_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ACRNM,V_EF_PROGRAM_FACILITY_EZ.PGM_SYS_ID,V_EF_PROGRAM_FACILITY_EZ.REGISTRY_ID,V_EF_PROGRAM_FACILITY_EZ.STANDZED_PRIM_NAME,V_EF_PROGRAM_FACILITY_EZ.PRIMARY_NAME,V_EF_PROGRAM_FACILITY_EZ.CITY_NAME,V_EF_PROGRAM_FACILITY_EZ.COUNTY_NAME,V_EF_PROGRAM_FACILITY_EZ.STATE_CODE,V_EF_PROGRAM_FACILITY_EZ.POSTAL_CODE
TRIS,76039MNSCNHWY15,110000599120,BF GOODRICH LANDING GEAR DIV,BF GOODRICH LANDING GEAR DIVISION,EULESS,TARRANT,TX,760407012
TRIS,76092STHLK1700S,110000599148,SOUTHLAKE REFINED PROD TERRMINAL,SOUTHLAKE REFINED PRODUCTS TERRMINAL,SOUTHLAKE,TARRANT,TX,76092
TRIS,77070CMPQC20555,110000599282,HEWLETT PACKARD ; MAIN CAMPUS,HEWLETT-PACKARD COMPANY MAIN CAMPUS,HOUSTON,HARRIS,TX,770702607
TRIS,77511QNTMC2MILE,110000599406,LYONDELL CHEM ; CHOCOLATE BAYOU CHEM PLT,LYONDELL CHEMICAL CO - CHOCOLATE BAYOU CHEMICALS PLANT,ALVIN,BRAZORIA,TX,77511
TRIS,77536QLNLB5900H,110000599424,SHELL CHEM SHELL OIL DEER PARK,SHELL CHEMICAL SHELL OIL DEER PARK,DEER PARK,HARRIS,TX,77536
TRIS,77578KSHNB22102,110000599479,KEESHAN AND BOST CHEM,KEESHAN & BOST CHEMICAL,MANVEL,BRAZORIA,TX,77578
TRIS,75601GRLND115GA,110002040452,GARLAND CREOSOTING,GARLAND CREOSOTING COMPANY,LONGVIEW,GREGG,TX,75602
TRIS,75217DLTLC7834H,110002041246,DAL TILE ; DALLAS M ANUFACTURING,DAL-TILE CORP DALLAS M ANUFACTURING,DALLAS,DALLAS,TX,75217
TRIS,75006PRNCG1225T,110002130756,PRINCE GOLF INTL,PRINCE GOLF INTERNATIONAL LTD.,CARROLLTON,DALLAS,TX,75006
TRIS,75041PCRCR2601O,110002130907,PECORA,PECORA,GARLAND,DALLAS,TX,75041
TRIS,79901NTRNT9301B,110002135421,INTL PAPER,INTERNATIONAL PAPER,EL PASO,EL PASO,TX,79901
TRIS,78596CLDWL800WR,110000465256,CALDWELL VSR,CALDWELL / VSR INC,WESLACO,HIDALGO,TX,78596
TRIS,78610TXSLHLOOP4,110000465274,TX LEHIGH CEM,TEXAS LEHIGH CEMENT COMPANY,BUDA,HAYS,TX,786100610
TRIS,77507RCNDS13440,110000503544,TRIGAS ; PASADENA,TRIGAS INCORPORATED PASADENA,PASADENA,HARRIS,TX,77507
TRIS,77651TXCRFCORNE,110000599576,PORT NECHES TERML,PORT NECHES TERMINAL,PORT NECHES,JEFFERSON,TX,77651
TRIS,78156STRCTPOBOX,110000599745,SMI TX,SMI TEXAS,SEGUIN,GUADALUPE,TX,78155
TRIS,78370BYCHMSTATE,110000599816,BAY CHEM AND SUPPLY,BAY CHEMICAL & SUPPLY COMPANY,ODEM,SAN PATRICIO,TX,78370
TRIS,76063SMMTN401IN,110000842722,SUMMIT IND COTG MANSFIELD TX,SUMMIT INDUSTRIAL COATINGS MANSFIELD TX,MANSFIELD,TARRANT,TX,76063
TRIS,75081SRGRD514BI,110002131185,SUREGUARD,SUREGUARD INCORPORATED,RICHARDSON,DALLAS,TX,75081
TRIS,75149HBFLL3500E,110002131292,H B FULLER,H B FULLER COMPANY,MESQUITE,DALLAS,TX,75149
TRIS,75160GRNMF3000T,110002131309,GREEN MFG,GREEN MANUFACTURING CO INC,TERRELL,KAUFMAN,TX,75160
TRIS,79906DSLRC20ZAN,110002135485,DIESEL RECON,DIESEL RECON CO,EL PASO,EL PASO,TX,799064809
TRIS,79934BRCFD8000A,110002135573,BRUCE FOODS PLT 4,BRUCE FOODS PLANT 4,EL PASO,EL PASO,TX,79934
TRIS,79934NWMNP4900S,110002135582,NEWMAN PWR STA,NEWMAN POWER STATION,EL PASO,EL PASO,TX,79934
