,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000,,,,,,,,,,,,,
,,,,,,,,,,, ,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,TOTAL POPULATION,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,  support........................................................................,15.8,18.1,24.2,20.0,(B),11.3,20.1,8.6,7.6,12.8,15.6,22.0,11.7
,    Technicians and related support.........................................,2.8,3.3,5.9,5.3,(B),1.0,2.9,0.5,0.4,0.9,1.8,3.3,3.6
,    Sales occupations.........................................,8.9,10.8,12.0,9.1,(B),6.8,13.3,4.8,4.3,7.2,10.2,15.8,6.4
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,4.2,3.9,6.2,5.6,(B),3.5,3.9,3.4,3.0,4.8,3.6,3.0,1.7
,Service occupations.........................................,13.6,8.1,12.2,15.1,(B),15.5,14.0,15.7,15.5,16.6,16.2,2.2,19.9
,    Private household.........................................,0.1,-,0.1,-,-,0.1,-,0.0,0.0,0.1,0.3,-,-
,    Protective service.........................................,1.1,1.5,1.0,5.4,-,0.9,1.8,0.4,0.2,1.1,2.5,0.9,1.7
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,12.4,6.6,11.1,9.6,(B),14.6,12.1,15.3,15.3,15.4,13.4,1.3,18.2
,"Precision production, craft, and repair.........................................",17.6,18.8,8.1,5.8,(B),22.8,15.1,24.6,24.8,23.6,22.5,13.1,10.8
,    Mechanics and repairers.........................................,4.3,5.7,2.4,2.2,4.4,5.0,5.2,4.3,4.1,5.1,9.1,3.7,3.0
