V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
COBALT COMPOUNDS,AUTOLIV NORTH AMERICA,0,255,0,5,250,255,5,84302MRTNT250AM,0
ZINC COMPOUNDS,GREAT SALT LAKE MINERALS CORP,0,0,,0,0,0,0,84404GRTSL765N1,
POLYCYCLIC AROMATIC COMPOUNDS,PACIFICORP HUNTER PLANT,0,0,0,0,0,3.6,3.6,84513PCFCR3MILE,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),PACIFICORP HUNTER PLANT,0,0,0,0,0,62200,62200,84513PCFCR3MILE,0
MERCURY COMPOUNDS,PACIFICORP HUNTER PLANT,275.3,0,0,0,0,381.8,381.8,84513PCFCR3MILE,0
LEAD,GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,3211.1,0,0,0,0,3214.7,3214.7,84624GRYMN32MIL,0
MANGANESE,SAPA EXTRUSIONS INC,0,9557.1,0,0,17,18.1,1.1,84660CRSSN1550N,0
CHROMIUM,SAPA EXTRUSIONS INC,0,16813.4,0,0,454,474,20,84660CRSSN1550N,0
NITRIC ACID,ENSIGN-BICKFORD CO,61,0,61,0,0,2591,2591,84660TRJNCJUNCT,0
POLYCYCLIC AROMATIC COMPOUNDS,STAKER & PARSON COS ST GEORGE READY-MIX & ASPHALT,0,0,0,0,0,.099,.099,84770STKRP1843E,0
MERCURY COMPOUNDS,KENNECOTT BARNEYS CANYON MINING CO,0,0,0,0,0,.012,.012,84006KNNCT8200S,0
LEAD COMPOUNDS,US AIR FORCE UTTR  RANGE ACTIVITIES,812.6,0,812.6,0,0,1241.5,1241.5,84029SRFRC18MIL,0
ALUMINUM (FUME OR DUST),US AIR FORCE UTTR  RANGE ACTIVITIES,0,0,0,0,0,0,0,84029SRFRC18MIL,0
N-HEXANE,CHEMCENTRAL/SALT LAKE CITY,0,0,,0,0,0,0,84087CHMCN2465S,
METHANOL,CHEMCENTRAL/SALT LAKE CITY,0,0,0,0,0,1000,1000,84087CHMCN2465S,0
COPPER,VARIAN MEDICAL SYSTEMS X-RAY PRODUCTS CPI EIMAC,0,29188.79,0,3.79,0,0,0,84104VRNMC1678S,0
DIISOCYANATES,PARKER HANNIFIN CORP EPS DIV,0,0,,0,0,0,0,84119PRKRP2220S,
ZINC COMPOUNDS,GREENFIBER SLC INC,0,0,,0,0,0,0,84119RDTHR361S3,
N-HEXANE,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
LEAD COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,46883.3,0,0,0,0,47002.1,47002.1,84624NTRMN850BR,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,7.0742,0,0,0,0,9.127,9.127,84624NTRMN850BR,0
N-HEXANE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,74,0,0,0,496,496,84054CNCNR245E1,0
1 2 4-TRIMETHYLBENZENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,184,0,0,0,52,52,84054CNCNR245E1,0
TOLUENE,BJ CHEMICAL SERVICES,0,0,,0,0,0,0,84066BJSRV1661W,
POLYCYCLIC AROMATIC COMPOUNDS,PEAK ASPHALT LLC - COWBOY ASPHALT TERMINAL,0,0,0,0,0,1.76,1.76,84087CRWNS1710W,0
CUMENE,TESORO REFINING & MARKETING CO,0,250,0,0,0,5,5,84103MCLCM474WE,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,TESORO REFINING & MARKETING CO,0,0,0,0,0,.028,.028,84103MCLCM474WE,0
LEAD,EFI ELECTRONICS,0,217,0,0,217,217,0,84104FLCTR1751S,0
BARIUM COMPOUNDS,BRENNTAG PACIFIC INC.,0,0,,0,0,0,0,84104GRTWS2334W,
AMMONIA,AUTOLIV ASP INC PROMONTORY,0,8,0,0,7,385,378,84302MRTNT9160A,0
METHYL ISOBUTYL KETONE,WESTERN ZIRCONIUM,570,40,0,0,0,3870,3870,84404WSTRN10000,0
POLYCYCLIC AROMATIC COMPOUNDS,DTE UTAH II LLC,0,0,0,0,0,.767123,.767123,84501DTTHL4722S,0
NICKEL,EXPRESS METAL FABRICATORS INC.,0,44460,0,0,0,2.2,2.2,84770STGRG1301E,0
METHYL TERT-BUTYL ETHER,CLEAN HARBORS ARAGONITE LLC,0,13,0,0,6,13,7,84029SFTYK11600,0
COPPER,CLEAN HARBORS ARAGONITE LLC,0,28235,0,0,28161,28164,3,84029SFTYK11600,0
CHROMIUM,CLEAN HARBORS ARAGONITE LLC,0,47329,0,0,47329,47334,5,84029SFTYK11600,0
BARIUM,CLEAN HARBORS ARAGONITE LLC,0,30008,0,0,30008,30011,3,84029SFTYK11600,0
XYLENE (MIXED ISOMERS),CLEAN HARBORS ARAGONITE LLC,0,2358,0,0,2319,2451,132,84029SFTYK11600,0
METHANOL,CLEAN HARBORS ARAGONITE LLC,0,1122,0,0,893,1007,114,84029SFTYK11600,0
MALATHION,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,7,14,7,84029SFTYK11600,0
CERTAIN GLYCOL ETHERS,CLEAN HARBORS ARAGONITE LLC,0,12060,0,0,36,58,22,84029SFTYK11600,0
CAPTAN,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,3,3,84029SFTYK11600,0
1 2-DICHLOROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,2,1,84029SFTYK11600,0
1-(3-CHLOROALLYL)-3 5 7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE,HUISH DETERGENTS INC,0,0,,0,0,0,0,84104HSHDT3540W,
COPPER COMPOUNDS,COMPEQ INTERNATIONAL,0,157611.62,0,121.62,0,0,0,84116CMPQN620NO,0
AMMONIA,JB SWIFT & CO HYRUM UTAH PLANT,0,21954,0,0,0,13275,13275,84319MLLRN410NO,0
NICKEL,CHROMALOX INC,250,12537.91,250,0,0,250,250,84404CHRML2150N,0
MANGANESE,PETERSEN INC.,0,0,,0,0,0,0,84404PTRSN1527N,
DIISOCYANATES,FLOWSERVE/SPRINGVILLE,0,0,,0,0,0,0,84663VLTKN1MOUN,
AMMONIA,HEXCEL CORP,0,7638,0,7638,0,43443,43443,84044HRCLS6800W,0
LEAD,TRINITY HIGHWAY PRODUCTS LLC,0,5459.43,0,0,24,27,3,84014SYRST950WE,0
AMMONIA,DYNO NOBEL INC LEHI SITE B,250,750,250,750,0,1250,1250,84043RCNCRPELIC,0
BENZO(G H I)PERYLENE,STAKER & PARSON COMPANIES POINT NORTH,0,0,0,0,0,.015,.015,84043STKRP1262N,0
MANGANESE,ENERGYSOLUTIONS LLC,278932,0,0,0,0,278932,278932,84029NVRCRUSINT,0
ASBESTOS (FRIABLE),ENERGYSOLUTIONS LLC,95434,0,0,0,0,95434,95434,84029NVRCRUSINT,0
ARSENIC,CLEAN HARBORS GRASSY MOUNTAIN LLC,20863,0,0,0,0,20863,20863,84074PPMNCI80,0
ALUMINUM OXIDE (FIBROUS FORMS),CLEAN HARBORS GRASSY MOUNTAIN LLC,138579,0,0,0,0,138585,138585,84074PPMNCI80,0
NICKEL COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,25972,0,0,0,0,25972,25972,84074PPMNCI80,0
HYDROGEN FLUORIDE,CLEAN HARBORS GRASSY MOUNTAIN LLC,18098,0,0,0,0,18098,18098,84074PPMNCI80,0
HEXACHLOROBENZENE,CLEAN HARBORS GRASSY MOUNTAIN LLC,14.4,0,0,0,0,14.4,14.4,84074PPMNCI80,0
BARIUM COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,28530,0,0,0,0,28531,28531,84074PPMNCI80,0
ARSENIC COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,11459,0,0,0,0,11459,11459,84074PPMNCI80,0
ANTIMONY COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,20321,0,0,0,0,20322,20322,84074PPMNCI80,0
NITRATE COMPOUNDS,FAIRCHILD SEMICONDUCTOR,0,84156,0,84156,0,0,0,84088NTNLS3333W,0
ZINC COMPOUNDS,VALMONT COATINGS INTERMOUNTAIN GALVANIZING,0,122380,0,0,2380,4050,1670,84042NTRMN1085W,170
ZINC COMPOUNDS,HOLCIM (US) INC DEVIL'S SLIDE PLANT,3639,0,0,0,0,3919.38,3919.38,84050HLNMN6055E,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,HOLCIM (US) INC DEVIL'S SLIDE PLANT,0,0,0,0,0,.08,.08,84050HLNMN6055E,0
DICHLOROMETHANE,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,23083,0,10,11,67148,67137,84056SRFRC7274W,0
NITRATE COMPOUNDS,GENEVA NITROGEN LLC,0,93000,0,93000,0,0,0,84057LRCHN1165N,0
NITRIC ACID,MEADOW GOLD DAIRY,0,0,0,0,0,0,0,84104MDWGL3730W,0
ETHYLBENZENE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,505,0,0,5,1010,1005,84116CHVRN2351N,5
CYCLOHEXANE,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,250,0,0,0,505,505,84116CHVRN2351N,5
MERCURY COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,39,0,0,12,13.5,1.5,84116CHVRN2351N,.3
NITRATE COMPOUNDS,STAKER & PARSON CALIFORNIA READY-MIX CONCRETE,4114.16,0,0,0,0,4114.16,4114.16,84157STKRP3313W,0
MERCURY,STAKER & PARSON CALIFORNIA READY-MIX CONCRETE,.6504,0,0,0,0,.6504,.6504,84157STKRP3313W,0
LEAD COMPOUNDS,TTM TECHNOLOGIES INC.,0,608,0,29,503,504.8,1.8,84321LNDHL710NO,0
CHROMIUM,GSC FOUNDRIES,0,755,0,0,755,1005,250,84401GSCFN2738C,0
MANGANESE COMPOUNDS,WILBUR-ELLIS CO,0,0,0,0,0,0,0,84401KNXMC815W2,0
ZINC COMPOUNDS,ALBION MANUFACTURING TECHNOLOGIES,0,653,0,1,489,616,127,84401LBNMF2774S,0
AMMONIA,U.S. FOREST SERVICE CEDAR CITY AIRTANKER BASE,250,0,0,0,0,250,250,84720SFRST1635N,0
TOLUENE,ASHLAND DISTRIBUTION CO.,0,191,0,0,0,0,0,84016SHLNDFREEP,0
MERCURY,MATERIALS PACKAGING CORP,0,0,0,0,0,.0047,.0047,84020MTRLS15567,0
N-HEXANE,BRODY CHEMICAL,0,250,0,0,250,250,0,84118BRDYC4825S,0
NITRIC ACID,GOSSNER FOODS INC.,0,0,0,0,0,0,0,84321GSSNR1051N,0
NITRATE COMPOUNDS,GOSSNER FOODS INC.,46906,0,0,0,0,46906,46906,84321GSSNR1051N,0
LEAD COMPOUNDS,IMS DIV TUBE CITY IMS,0,0,0,0,0,.036,.036,84330MSSTLPOBOX,0
MANGANESE COMPOUNDS,IMS DIV TUBE CITY IMS,0,0,0,0,0,787,787,84330MSSTLPOBOX,0
CHROMIUM,PARKER HANNIFIN CORP CSD OGDEN,0,26681,0,0,0,0,0,84404PRKRH1425W,0
ETHYLBENZENE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
ZINC COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,3968905.1,3505,0,0,3505,3973831.1,3970326.1,84006KNNCT8362W,387
AMMONIA,KENNECOTT UTAH COPPER SMELTER & REFINERY,18000,0,0,0,0,27900,27900,84006KNNCT8362W,250
THIOUREA,KENNECOTT UTAH COPPER SMELTER & REFINERY,250,.5,0,0,1,251.5,250.5,84006KNNCT8362W,0
CHROMIUM,SHAW NAPTECH INC.,0,43002.96,0,0,0,45.6,45.6,84015NPTCH851SF,0
HYDROGEN FLUORIDE,BIG WEST OIL LLC,0,0,0,0,0,4701,4701,84054BGWST333WE,0
CYCLOHEXANE,BIG WEST OIL LLC,0,0,0,0,0,1379,1379,84054BGWST333WE,0
TOLUENE,BIG WEST OIL LLC,0,3289,0,3289,0,2742,2742,84054BGWST333WE,0
NAPHTHALENE,BIG WEST OIL LLC,0,96.1,0,96.1,0,12,12,84054BGWST333WE,0
MOLYBDENUM TRIOXIDE,BIG WEST OIL LLC,0,11180,0,0,0,0,0,84054BGWST333WE,0
LEAD COMPOUNDS,BIG WEST OIL LLC,0,12.5,0,0,0,2.53,2.53,84054BGWST333WE,0
ZINC (FUME OR DUST),CARGILL SALT,0,0,0,0,0,1,1,84074KZSLT1428H,0
COBALT COMPOUNDS,CHELATED MINERALS CORP,0,3,0,0,3,3,0,84104CHLTD331W9,0
LEAD COMPOUNDS,EDO CORP WESTERN DIV,0,140098.6,0,44.47,140054,140055.789,1.789,84115DCRPR2645S,0
NITRATE COMPOUNDS,SCHREIBER FOODS INC.,0,174100,0,0,174100,174100,0,84335SCHRB218W6,0
AMMONIA,LISBON VALLEY MINING CO LLC,0,0,,0,0,0,0,84530LSBNV92SCU,
DIISOCYANATES,UTILITY TRAILER MANUFACTURING,0,0,0,0,0,4.5,4.5,84016TLTYT1111S,0
NITRATE COMPOUNDS,UTAH REFRACTORIES CORP,0,0,,0,0,0,0,84043GNRLR2200N,
LEAD,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,9.3,0,0,9,11.3,2.3,84087PHLLP393SO,0
HYDROGEN FLUORIDE,HOLLY REFINING & MARKETING CO WOODS CROSS REFINERY,0,0,0,0,0,20,20,84087PHLLP393SO,0
LEAD COMPOUNDS,OWENS CORNING INSULATING SYSTE M LLC - SALT LAKE CITY,0,5,0,0,5,11,6,84104WSTRN4340W,0
MANGANESE COMPOUNDS,INTERPACE HOLDINGS LLC,0,0,,0,0,0,0,84315NTRPC736WH,
CHLORINE,HORIZON MILLING LLC,0,0,0,0,0,250,250,84401PLLSB2780G,0
METHANOL,BRENNTAG PACIFIC INC,0,412.73,0,0,413,2529.47,2116.47,84402HCDYC450EX,0
ETHYLENE GLYCOL,BRENNTAG PACIFIC INC,0,336.8,0,0,337,412.04,75.04,84402HCDYC450EX,0
ANTIMONY COMPOUNDS,CERRO WIRE INC,0,17521,0,0,45,45.32,.32,84404CRRWR1160W,.32
DIOXIN AND DIOXIN-LIKE COMPOUNDS,PACIFICORP HUNTINGTON PLANT,0,0,0,0,0,.4032,.4032,84528PCFCR10MIL,0
LEAD,CERRO FLOW PRODUCTS INC CEDAR CITY FACILITY,0,.07,0,0,0,0,0,84720CRRCP888N5,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,0,0,0,0,0,4824,4824,84006KNNCT12300,0
CYANIDE COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,15000,0,0,0,0,16000,16000,84006KNNCT12300,250
AMMONIA,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,250,0,0,0,0,4250,4250,84006KNNCT12300,0
SILVER COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,933,0,800,0,0,1184,1184,84006KNNCT12300,250
ANTIMONY COMPOUNDS,KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,10120,0,10000,0,0,10370,10370,84006KNNCT12300,250
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),UTAH STAMPING CO,0,0,,0,0,0,0,84016THSTMF5SEC,
COPPER COMPOUNDS,BONANZA POWER PLANT,22581,9,0,0,9,22599,22590,84078BNNZP12500,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,PACIFICORP HUNTER PLANT,0,0,0,0,0,.6967,.6967,84513PCFCR3MILE,0
HYDROGEN FLUORIDE,PACIFICORP HUNTER PLANT,0,0,0,0,0,40600,40600,84513PCFCR3MILE,0
NICKEL COMPOUNDS,PACIFICORP HUNTER PLANT,29399,0,0,0,0,29671,29671,84513PCFCR3MILE,0
COPPER COMPOUNDS,PACIFICORP HUNTER PLANT,25900,0,0,0,0,26072,26072,84513PCFCR3MILE,0
MERCURY COMPOUNDS,GRAYMONT WESTERN U.S. INC. CRICKET MOUNTAIN,41.4,0,41.4,0,0,41.4,41.4,84624GRYMN32MIL,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,SAPA EXTRUSIONS INC,0,0,0,0,0,.2813,.2813,84660CRSSN1550N,0
LEAD,HANSON PIPE & PRECAST INC WASHINGTON UT,0,0,0,0,0,.14,.14,84780HNSNP99S1E,0
POLYCYCLIC AROMATIC COMPOUNDS,ATK LAUNCH SYSTEMS INC BACCHUS,0,0,0,0,0,.3533,.3533,84044HRCLS4950S,0
NITRIC ACID,VARIAN MEDICAL SYSTEMS X-RAY PRODUCTS CPI EIMAC,0,0,0,0,0,0,0,84104VRNMC1678S,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),ATK LAUNCH SYSTEMS PROMONTORY,0,0,0,0,0,1659275,1659275,84302MRTNT9160N,0
ETHYLBENZENE,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
BENZENE,CASTLE COUNTRY OIL,0,0,,0,0,0,0,84501CSTLC352WM,
POLYCYCLIC AROMATIC COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,0,0,0,0,0,107.4,107.4,84624NTRMN850BR,0
COBALT COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,20500,0,0,0,0,20755,20755,84624NTRMN850BR,0
SELENIUM COMPOUNDS,INTERMOUNTAIN POWER GENERATING STATION,19400,0,0,0,0,22905,22905,84624NTRMN850BR,0
ZINC COMPOUNDS,NEPHI RUBBERPRODUCTS CORP.,0,0,0,0,0,0,0,84648NPHRB255WE,0
CERTAIN GLYCOL ETHERS,CABINETEC,0,1099,0,0,0,10631,10631,84790CBNTC188N3,0
TOLUENE,CABINETEC,0,1044,0,0,0,9096,9096,84790CBNTC188N3,0
NAPHTHALENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,7,7,84054CNCNR245E1,0
BIPHENYL,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,.1,.1,84054CNCNR245E1,0
BENZO(G H I)PERYLENE,CONOCOPHILLIPS NORTH SALT LAKE PRODUCT TERMIN AL,0,0,0,0,0,0,0,84054CNCNR245E1,0
LEAD COMPOUNDS,QUALITY PLATING CO. INC.,0,10.6,0,.8,0,0,0,84101QLTYP533WE,0
PROPYLENE,TESORO REFINING & MARKETING CO,0,0,0,0,0,31700,31700,84103MCLCM474WE,0
TOLUENE,TESORO REFINING & MARKETING CO,0,6505,0,6000,5,17505,17500,84103MCLCM474WE,0
ANTHRACENE,TESORO REFINING & MARKETING CO,0,250,0,250,0,255,255,84103MCLCM474WE,0
AMMONIA,TESORO REFINING & MARKETING CO,0,4400,0,4400,0,1550,1550,84103MCLCM474WE,0
MOLYBDENUM TRIOXIDE,TESORO REFINING & MARKETING CO,0,750,0,0,0,0,0,84103MCLCM474WE,0
LEAD COMPOUNDS,TESORO REFINING & MARKETING CO,0,15.25,0,0,14,29,15,84103MCLCM474WE,0
NITRATE COMPOUNDS,CYTOZYME LABORATORIES INC,0,0,,0,0,0,0,84104CYTZY134S7,
MANGANESE,EXPRESS METAL FABRICATORS INC.,0,3791,0,0,0,23.1,23.1,84107TTNST4315S,0
LEAD COMPOUNDS,PRECISION TECHNOLOGY INC,0,6688.155,0,.355,0,0,0,84115PRCSN2970S,0
NITRATE COMPOUNDS,STAKER & PARSON COS BECK NORTH READY MIX & ASPHALT,1836.62,0,0,0,0,1836.62,1836.62,84116STKRP2080N,0
SODIUM AZIDE,AUTOLIV ASP INC PROMONTORY,0,10,0,0,10,12,2,84302MRTNT9160A,0
HEXACHLOROBENZENE,WESTERN ZIRCONIUM,9,.07,0,0,0,9,9,84404WSTRN10000,0
DIOXIN AND DIOXIN-LIKE COMPOUNDS,WESTERN ZIRCONIUM,.14,17.6,0,0,18,18.14,.14,84404WSTRN10000,0
PHOSGENE,WESTERN ZIRCONIUM,0,0,0,0,0,2600,2600,84404WSTRN10000,0
LEAD COMPOUNDS,U.S. ARMY DUGWAY PROVING GROUN D,468.5,0,468.5,0,0,937,937,84022SRMYDSTEDP,0
COPPER,U.S. ARMY DUGWAY PROVING GROUN D,30000,30750,30000,0,750,67174,66424,84022SRMYDSTEDP,0
STYRENE,CLEAN HARBORS ARAGONITE LLC,0,10,0,0,8,12,4,84029SFTYK11600,0
SILVER,CLEAN HARBORS ARAGONITE LLC,0,44778,0,0,44778,44782,4,84029SFTYK11600,0
PICRIC ACID,CLEAN HARBORS ARAGONITE LLC,0,12,0,0,12,13,1,84029SFTYK11600,0
PHENOL,CLEAN HARBORS ARAGONITE LLC,0,37,0,0,14,26,12,84029SFTYK11600,0
NITROBENZENE,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,1,1,84029SFTYK11600,0
N N-DIMETHYLFORMAMIDE,CLEAN HARBORS ARAGONITE LLC,0,2,0,0,2,17,15,84029SFTYK11600,0
ETHYLENE GLYCOL,CLEAN HARBORS ARAGONITE LLC,0,93,0,0,45,81,36,84029SFTYK11600,0
DIISOCYANATES,CLEAN HARBORS ARAGONITE LLC,0,6,0,0,6,9,3,84029SFTYK11600,0
CREOSOTE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,5,4,84029SFTYK11600,0
ASBESTOS (FRIABLE),CLEAN HARBORS ARAGONITE LLC,0,29708,0,0,29708,29711,3,84029SFTYK11600,0
4 4'-ISOPROPYLIDENEDIPHENOL,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,23,23,84029SFTYK11600,0
TRIFLURALIN,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,0,0,84029SFTYK11600,0
MERCURY COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,35214,0,0,35211,35215,4,84029SFTYK11600,0
ISODRIN,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,0,0,84029SFTYK11600,0
CHLORDANE,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,7,11,4,84029SFTYK11600,0
COBALT,PETERSEN INC.,0,0,,0,0,0,0,84404PTRSN1527N,
ZINC COMPOUNDS,TRINITY HIGHWAY PRODUCTS LLC,0,7905,0,0,7905,8186,281,84014SYRST950WE,0
NICKEL,TRINITY HIGHWAY PRODUCTS LLC,0,0,,0,0,0,0,84014SYRST950WE,
COPPER COMPOUNDS,ENERGYSOLUTIONS LLC,1339821,0,0,0,0,1339821,1339821,84029NVRCRUSINT,0
CADMIUM COMPOUNDS,ENERGYSOLUTIONS LLC,13634,0,0,0,0,13634,13634,84029NVRCRUSINT,0
MERCURY,CLEAN HARBORS GRASSY MOUNTAIN LLC,2313.3,0,0,0,0,2313.3,2313.3,84074PPMNCI80,0
ETHYLENE GLYCOL,CLEAN HARBORS GRASSY MOUNTAIN LLC,71096,0,0,0,0,71100,71100,84074PPMNCI80,0
COPPER COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,84592,0,0,0,0,84596,84596,84074PPMNCI80,0
CHLORDANE,CLEAN HARBORS GRASSY MOUNTAIN LLC,44.6,0,0,0,0,44.6,44.6,84074PPMNCI80,0
SELENIUM,CLEAN HARBORS GRASSY MOUNTAIN LLC,102018,0,0,0,0,102023,102023,84074PPMNCI80,0
LEAD,VALMONT COATINGS INTERMOUNTAIN GALVANIZING,0,6252.3,0,0,152,216,64,84042NTRMN1085W,0
CERTAIN GLYCOL ETHERS,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,14578,0,0,14454,20656,6202,84056SRFRC7274W,0
XYLENE (MIXED ISOMERS),U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,2789,0,0,301,11303,11002,84056SRFRC7274W,0
TOLUENE,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,7932,0,6,930,8305,7375,84056SRFRC7274W,0
PHENOL,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,5272,0,0,0,14279,14279,84056SRFRC7274W,0
STYRENE,VACATION VILLAGE INC.,0,0,0,0,0,3804,3804,84107VCTNV4231S,0
ZINC COMPOUNDS,CHEVRON PRODUCTS CO SALT LAKE REFINERY,0,5,0,0,5,505,500,84116CHVRN2351N,250
LEAD,NORTHROP GRUMMAN GUIDANCE & ELECTRONICS CO INC,0,208.3458,0,.336,0,.379,.379,84116LTTNG2211W,0
LEAD COMPOUNDS,RUBBER ENGINEERING,0,59.6,0,0,60,64,4,84119RBBRN3459S,1
NITRIC ACID,TTM TECHNOLOGIES INC.,0,0,0,0,0,207,207,84321LNDHL710NO,0
FORMIC ACID,TTM TECHNOLOGIES INC.,0,0,0,0,0,267,267,84321LNDHL710NO,0
COPPER COMPOUNDS,TTM TECHNOLOGIES INC.,0,50473,0,223,250,257,7,84321LNDHL710NO,0
NICKEL,GSC FOUNDRIES,8000,2000,0,0,2000,10035,8035,84401GSCFN2738C,0
XYLENE (MIXED ISOMERS),ASHLAND DISTRIBUTION CO.,0,971,0,0,0,179,179,84016SHLNDFREEP,0
ETHYLENE GLYCOL,ASHLAND DISTRIBUTION CO.,0,556,0,0,0,289,289,84016SHLNDFREEP,0
NITRIC ACID,KROGER CORP SMITHS FOOD & DRUG DAIRY DIV,0,0,0,0,0,0,0,84041SMTHS500NS,0
POLYCYCLIC AROMATIC COMPOUNDS,SEMMATERIALS  L.P.  - NORTH SA LT LAKE UT,0,2.1,0,0,0,.6,.6,84054KCHMT95WES,0
DIISOCYANATES,BULLFROG INTERNATIONAL L.C.,0,581,0,0,0,0,0,84065BLLFR668WE,0
METHANOL,BRODY CHEMICAL,0,0,0,0,0,6,6,84118BRDYC4825S,0
LEAD COMPOUNDS,CAMPBELL SCIENTIFIC INC,0,192.569,0,.069,0,0,0,84321CMPBL815W1,0
LEAD COMPOUNDS,YOUNG ELECTRIC SIGN CO INC LOGAN BRANCH,0,4817.32,0,.02,0,1.9,1.9,84321YNGLC1651N,0
LEAD,OLDCASTLE PRECAST INC,0,0,,0,0,0,0,84404MCRPR1625W,
POLYCYCLIC AROMATIC COMPOUNDS,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
N-HEXANE,HAYCOCK PETROLEUM SAINT GEORGE BULK PLANT,0,0,,0,0,0,0,84770HYCCK845NI,
LEAD,PACIFIC STATES CAST IRON PIPE CO,49000,3500,0,0,3500,52785,49285,84601PCFCS2550S,0
BARIUM,PACIFIC STATES CAST IRON PIPE CO,31600,2581,0,0,2581,34681,32100,84601PCFCS2550S,0
METHANOL,FORESTWOOD INDUSTRIAL INC.,0,100,0,100,0,2238,2238,84784FRSTW138WF,0
NICKEL COMPOUNDS,KENNECOTT UTAH COPPER SMELTER & REFINERY,747245,4502.3,0,0,4502,752893,748391,84006KNNCT8362W,854
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),KENNECOTT UTAH COPPER SMELTER & REFINERY,0,0,0,0,0,251.7,251.7,84006KNNCT8362W,0
