V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.OFF_SITE_TOTAL_TRANSFERS,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.POTW_TOT_TRANSFER,V_TRI_FORM_R_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
METHANOL,UNIVAR USA INC. - SALT LAKE CI TY,0,0,,0,0,0,0,84104VNWTR650W8,
COPPER COMPOUNDS,AUTOLIV ASP INC PROMONTORY,0,11013,0,0,11013,11033,20,84302MRTNT9160A,0
CHLORINE,WESTERN ZIRCONIUM,0,0,0,0,0,14330,14330,84404WSTRN10000,0
AMMONIA,WESTERN ZIRCONIUM,300000,0,0,0,0,305623,305623,84404WSTRN10000,0
BENZO(G H I)PERYLENE,DTE UTAH II LLC,0,0,0,0,0,.003876,.003876,84501DTTHL4722S,0
TOLUENE,CLEAN HARBORS ARAGONITE LLC,0,2119,0,0,2080,2426,346,84029SFTYK11600,0
POLYCHLORINATED BIPHENYLS,CLEAN HARBORS ARAGONITE LLC,0,18,0,0,18,108,90,84029SFTYK11600,0
NITRIC ACID,CLEAN HARBORS ARAGONITE LLC,0,0,0,0,0,2,2,84029SFTYK11600,0
NICKEL COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,15794,0,0,15794,15796,2,84029SFTYK11600,0
NICKEL,CLEAN HARBORS ARAGONITE LLC,0,15671,0,0,15602,15604,2,84029SFTYK11600,0
NAPHTHALENE,CLEAN HARBORS ARAGONITE LLC,0,15,0,0,15,20,5,84029SFTYK11600,0
N-BUTYL ALCOHOL,CLEAN HARBORS ARAGONITE LLC,0,56,0,0,56,74,18,84029SFTYK11600,0
DIAZINON,CLEAN HARBORS ARAGONITE LLC,0,384,0,0,9,21,12,84029SFTYK11600,0
CHLOROFORM,CLEAN HARBORS ARAGONITE LLC,0,55,0,0,6,30,24,84029SFTYK11600,0
ACETONITRILE,CLEAN HARBORS ARAGONITE LLC,0,56,0,0,56,167,111,84029SFTYK11600,0
1 2-DICHLOROETHANE,CLEAN HARBORS ARAGONITE LLC,0,7,0,0,7,9,2,84029SFTYK11600,0
TRIETHYLAMINE,CLEAN HARBORS ARAGONITE LLC,0,1,0,0,1,3,2,84029SFTYK11600,0
METHYL ISOBUTYL KETONE,CLEAN HARBORS ARAGONITE LLC,0,743,0,0,739,755,16,84029SFTYK11600,0
LEAD COMPOUNDS,CLEAN HARBORS ARAGONITE LLC,0,144555,0,0,144555,144569,14,84029SFTYK11600,0
AMMONIA,COMPEQ INTERNATIONAL,0,71139,0,67315,0,3744,3744,84116CMPQN620NO,0
NICKEL,ROCKY MOUNTAIN FABRICATION,0,18143,0,0,0,0,0,84116RCKYM1125W,0
BENZO(G H I)PERYLENE,CEDAR CITY ASPHALT & CONCRETE PLANTS,0,0,0,0,0,.007,.007,84720CDRCT145NB,0
N-METHYL-2-PYRROLIDONE,HEXCEL CORP,0,59440,0,0,0,276,276,84044HRCLS6800W,0
HYDROGEN CYANIDE,HEXCEL CORP,0,0,0,0,0,37171,37171,84044HRCLS6800W,0
BENZO(G H I)PERYLENE,ENERGYSOLUTIONS LLC,12.8,0,0,0,0,12.8,12.8,84029NVRCRUSINT,0
SODIUM DIMETHYLDITHIOCARBAMATE,ENERGYSOLUTIONS LLC,133,0,0,0,0,133,133,84029NVRCRUSINT,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),US AIR FORCE UTTR DEMILITARIZATION ACTIVITIES,33061,0,33061,0,0,33061,33061,84029SDDTH22MIL,0
CADMIUM,CLEAN HARBORS GRASSY MOUNTAIN LLC,328604,0,0,0,0,328619,328619,84074PPMNCI80,0
SODIUM AZIDE,CLEAN HARBORS GRASSY MOUNTAIN LLC,51775,0,0,0,0,51788,51788,84074PPMNCI80,0
LEAD,CLEAN HARBORS GRASSY MOUNTAIN LLC,30220.8,0,0,0,0,30220.8,30220.8,84074PPMNCI80,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),CLEAN HARBORS GRASSY MOUNTAIN LLC,48114,0,0,0,0,48116,48116,84074PPMNCI80,0
BERYLLIUM COMPOUNDS,CLEAN HARBORS GRASSY MOUNTAIN LLC,20257,0,0,0,0,20258,20258,84074PPMNCI80,0
AMMONIA,FAIRCHILD SEMICONDUCTOR,0,3651,0,3401,0,9139,9139,84088NTNLS3333W,0
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),FAIRCHILD SEMICONDUCTOR,0,10,0,0,10,6682,6672,84088NTNLS3333W,0
LEAD COMPOUNDS,BROWNING ARMS CO,3185.26,0,3185.26,0,0,3187.17,3187.17,84050BRWNN1BROW,0
MERCURY COMPOUNDS,HOLCIM (US) INC DEVIL'S SLIDE PLANT,1.49,0,0,0,0,12.73,12.73,84050HLNMN6055E,0
CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),HOLCIM (US) INC DEVIL'S SLIDE PLANT,0,0,,0,0,0,0,84050HLNMN6055E,
NAPHTHALENE,U.S. AIR FORCE OGDEN AIR LOGISTICS CENTER,0,11,0,0,0,27,27,84056SRFRC7274W,0
