SPECIES	ABUNDANCE	LATIN	COMMON	SP_CODE
47456	3		Branching plumes	663    Branching plumes
24781	1	Stegastes variabilis	Cocoa damselfish	453    Stegastes variabilis
59998	1	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
60998	2	Halimeda tuna	Green algae - calcified	214    Halimeda tuna
61098	1	Agaricia undata	Scroll coral	414    Agaricia undata
61108	1		Sponges - barrel	121    Sponges - barrel
62677	3		Branching rods	662    Branching rods
74281	2		Sponges - vase	122    Sponges - vase
13191	1	Serranidae	Groupers	159    Serranidae
13201	2	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
14419	1	Sargassum sp.	Brown algae	230    Sargassum sp.
14420	3	Thallasia testudinum	Turtle grass	142    Thallasia testudinum
4324	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
47119	1	Rhipocephalus phoenix	Green algae - brush like	194    Rhipocephalus phoenix
47120	1	Penicillus capitatus	Green algae - brush like	195    Penicillus capitatus
65732	1		Branching rods	662    Branching rods
72546	2	Madracis mirabillis	Yellow pencil coral	401    Madracis mirabillis
73315	2	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
11382	2	Gorgonion	Branching gorgonion	59     Gorgonion
13369	2	Avrainvillea sp.	Green algae - blade like	199    Avrainvillea sp.
13370	1	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
28657	1	Porites furcata	Finger coral	111    Porites furcata
35445	2	Acanthurus bahianus	Ocean surgeonfish	310    Acanthurus bahianus
36664	1	Thalassoma bifasciatum	Bluehead wrasse	489    Thalassoma bifasciatum
187	1	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
51331	2	Chromis cyanea	Blue chromis	658    Chromis cyanea
4261	1	Plexaura flexuosa	Sea rods	120    Plexaura flexuosa
4983	2		Sponges - tube	123    Sponges - tube
16799	1	Stegastes fuscus	Dusky damselfish	452    Stegastes fuscus
16809	1	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
16810	3	Halimeda sp.	Green algae - calcified	208    Halimeda sp.
31645	1	Udotea cyathiformis	Green algae - cup like	205    Udotea cyathiformis
35175	2	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
5083	1	Pomacanthus arcuatus	Gray angelfish	152    Pomacanthus arcuatus
49846	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
50846	1	Melichthys niger	Black durgon	549    Melichthys niger
61692	1		Branching plumes	663    Branching plumes
61702	1	Sparispoma viride	Stoplight parrotfish	148    Sparispoma viride
26431	1	Bodianus rufus	Spanish hogfish	485    Bodianus rufus
28152	2	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
41885	2	Melichthys niger	Black durgon	549    Melichthys niger
46165	1	Diploria labyrinthiformis	Grooved brain coral	105    Diploria labyrinthiformis
61571	1	Caulerpa sp.	Green algae - brush like	191    Caulerpa sp.
11164	2	Stegastes diencaeus	Longfin damselfish	508    Stegastes diencaeus
25628	2	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
29198	2	Stegastes planifrons	Threespot damselfish	456    Stegastes planifrons
29208	2	Halichoeres bivittatus	Slippery dick	74     Halichoeres bivittatus
30198	3	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
30208	1	Holocentrus rufus	Longspine squirrelfish	496    Holocentrus rufus
36882	1	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
38752	1	Scarus taeniopterus	Princess parrotfish	480    Scarus taeniopterus
51319	2	Millepora sp	Fire 'coral'	117    Millepora sp
51320	1	Spirobranchus gigante	Christmas tree worm	600    Spirobranchus gigante
52734	1	Millepora sp	Fire 'coral'	117    Millepora sp
57991	1	Chaetodon capistratus	Foureye butterflyfish	604    Chaetodon capistratus
58091	2	Siderastrea radians	Rough starlet coral	402    Siderastrea radians
58101	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
66892	1	Halichoeres garnoti	Yellowhead wrasse	488    Halichoeres garnoti
66902	2	Halimeda discoidea	Green algae - calcified	66     Halimeda discoidea
67002	2	Stegastes fuscus	Dusky damselfish	452    Stegastes fuscus
69354	2	Sargassum sp.	Brown algae	230    Sargassum sp.
70354	1	Scolymia lacera	Solitary disk coral	404    Scolymia lacera
2575	3	Halimeda copiosa	Green algae - calcified	213    Halimeda copiosa
9161	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
47737	1	Ophiuroidea	Brittle star	629    Ophiuroidea
26338	2	Dasya Baillouviana	Red algae	639    Dasya Baillouviana
37179	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
37180	1	Madracis mirabillis	Yellow pencil coral	401    Madracis mirabillis
39659	1	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
39660	1	Halimeda monile	Green algae - calcified	211    Halimeda monile
40659	2	Palythoa caribaeorum	False coral	45     Palythoa caribaeorum
40660	1	Oreaster reticulatus	Cushion sea star	592    Oreaster reticulatus
43338	2	Porites porites	Club finger coral	56     Porites porites
61229	1	Madracis mirabillis	Yellow pencil coral	401    Madracis mirabillis
61230	2	Montastrea annularis	Mountainous star coral	114    Montastrea annularis
74351	1	Acanthurus coeruleus	Blue tang	428    Acanthurus coeruleus
121	3	Rhodophycota	Red algae - filamentous	221    Rhodophycota
2238	5	Agaricia tenuifolia	Ribbon coral	107    Agaricia tenuifolia
13495	1	Ulva	Green algae - ulva species	185    Ulva
13505	1	Dichocoenia stokesii	Elliptical star coral	112    Dichocoenia stokesii
25916	1	Haemulon sciurus	Bluestriped grunt	439    Haemulon sciurus
26016	1	Mullidae	Goatfish	671    Mullidae
26682	1	Acropora cervicornis	Staghorn coral	102    Acropora cervicornis
31161	1	Penicillus dumetosus	Green algae - brush like	196    Penicillus dumetosus
32744	1	Halimeda copiosa	Green algae - calcified	213    Halimeda copiosa
33838	1	Gramma loreto	Fairy basslet	476    Gramma loreto
43894	2	Montrastraea cavernosa	Cavernous star coral	113    Montrastraea cavernosa
43904	1		Sponges - vase	122    Sponges - vase
44004	1	Stegastes partitus	Bicolor damselfish	455    Stegastes partitus
45728	1	Haemulon aurolineatum	Tomtate grunt	446    Haemulon aurolineatum
46947	2	Haemulon sciurus	Bluestriped grunt	439    Haemulon sciurus
47047	2	Colpophyllia natans	Giant brain coral	104    Colpophyllia natans
17176	1	Serranus tigrinus	Harlequin bass	474    Serranus tigrinus
30611	4	Dictyota sp.	Brown algae - fine branched	225    Dictyota sp.
29611	2	Mycetophyllia lamarckiana	Fungus coral	49     Mycetophyllia lamarckiana
4542	3	Rhodophycota	Red algae - coarse branched	217    Rhodophycota
65916	1	Mullidae	Goatfish	671    Mullidae
66016	2	Echinoidea	Short-spined sea urchin	646    Echinoidea
68149	2	Isophyllastrea rigida	Rough star coral	421    Isophyllastrea rigida
68150	1	Porites astreoides	Mustard hill coral	116    Porites astreoides
74873	3	Lobophora variegata	Brown algae - blade like	227    Lobophora variegata
5831	1	Anisotremus virginicus	Porkfish	450    Anisotremus virginicus
13848	1	Turbinaria sp.	Brown algae - pyramid like	223    Turbinaria sp.
18911	1	Halimeda opuntia	Green algae - calcified	210    Halimeda opuntia
19011	1	Amphiroa sp.	Red algae - calcified	219    Amphiroa sp.
26387	2	Halimeda sp.	Green algae - calcified	208    Halimeda sp.
36524	1		Sponges - tube	123    Sponges - tube
39954	1		Sponges - ball	675    Sponges - ball
40954	1		Branching plumes	663    Branching plumes
41054	1	Hypoplectrus puella	Barred hamlet	459    Hypoplectrus puella
42473	1	Stegastes planifrons	Threespot damselfish	456    Stegastes planifrons
20011	2	Holocentrus adscensionis	Squirrelfish	288    Holocentrus adscensionis
53248	1	Ernodesmis verticillata	Green algae	798    Ernodesmis verticillata
55316	1	Caulerpa paspaloides	Green algae - brush like	193    Caulerpa paspaloides
63994	2	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
64094	3	Agaricia agaricites	Leaf coral	398    Agaricia agaricites
64104	1	Gorgonia ventalina	Common sea fan	664    Gorgonia ventalina
