Dataset:              Fish Species Abundance Data
File Name:            CB93_4_2.txt
Date Created:         12/17/96
# Variables:          4
# Header Records:     14
# Data Records:       462
Missing Value Symbol: .

Variables:    SITE         Station name
              MONTH        Month (JUN,AUG,SEP) of data collection
              SPECIES      Common name of species collected
              ABUN         No. of individuals collected of the species

SITE    MONTH   SPECIES                         ABUN
STN_26  JUL     Striped killifish                 15
STN_26  SEP     Striped killifish                 14
STN_27  SEP     Atlantic silverside               29
STN_27  SEP     Bay anchovy                       63
STN_27  SEP     Black drum                         2
STN_27  SEP     Bluefish                           3
STN_27  JUL     Hogchoker                          1
STN_27  AUG     Mummichog                         23
STN_27  SEP     Naked goby                         3
STN_27  SEP     Northern kingfish                  1
STN_27  SEP     Northern pipefish                  1
STN_27  SEP     Northern puffer                    2
STN_27  SEP     Spot                               1
STN_27  SEP     Striped anchovy                    6
STN_27  AUG     Striped bass                       1
STN_27  AUG     Striped killifish                 28
STN_27  JUL     Striped killifish                  3
STN_28  JUL     Bluefish                           1
STN_28  JUL     Crevalle jack                      1
STN_28  SEP     Inshore lizardfish                 1
STN_28  SEP     Mullet white                      15
STN_28  AUG     Mummichog                        221
STN_28  JUL     Mummichog                          1
STN_28  SEP     Mummichog                          4
STN_28  AUG     Sheepshead minnow                135
STN_28  AUG     Spot                               5
STN_28  AUG     Striped bass                       1
STN_28  AUG     Striped killifish                 38
STN_28  JUL     Striped killifish                 39
STN_28  SEP     Striped killifish                 27
STN_29  AUG     Black drum                         2
STN_29  AUG     Mullet sp.                         1
STN_29  SEP     Mullet white                       2
STN_29  JUL     Mummichog                          3
STN_29  JUL     Sheepshead minnow                 16
STN_29  AUG     Spot                               4
STN_29  JUL     Spot                               1
STN_29  JUL     Striped killifish                 70
STN_29  SEP     Striped killifish                  1
STN_3   SEP     Atlantic croaker                   1
STN_3   AUG     Atlantic silverside               44
STN_3   JUL     Atlantic silverside               30
STN_3   SEP     Atlantic silverside               62
STN_3   SEP     Bay anchovy                        4
STN_3   SEP     Hogchoker                          1
STN_3   AUG     Inland silverside                  1
STN_3   SEP     Inland silverside                  6
STN_3   SEP     Mullet white                       3
STN_3   AUG     Mummichog                       1458
STN_3   JUL     Mummichog                       2220
STN_3   SEP     Mummichog                        134
STN_3   JUL     Sheepshead minnow                  5
STN_3   SEP     Silver perch                       3
STN_3   SEP     Striped bass                       1
STN_3   AUG     Striped killifish                166
STN_3   JUL     Striped killifish                 90
STN_3   SEP     Striped killifish                  8
STN_4   AUG     Atlantic silverside                4
STN_4   SEP     Atlantic silverside              148
STN_4   SEP     Bay anchovy                        2
STN_4   SEP     Black-checked tonguefish           1
STN_4   JUL     Bluefish                           1
STN_4   AUG     Inland silverside                  1
STN_4   JUL     Inshore lizardfish                 1
STN_4   AUG     Mummichog                         70
STN_4   JUL     Mummichog                         20
STN_4   SEP     Mummichog                         17
STN_4   AUG     Naked goby                         1
STN_4   SEP     Silver perch                       1
STN_4   JUL     Spot                               5
STN_4   SEP     Striped anchovy                    2
STN_4   AUG     Striped bass                       2
