# StationID,Lat(deg.NAD27),Lon(deg.NAD27),Elev(m.NGVD29),Obs_grav(mGal),Free_air_anom(mGal),Inner_terr_corr(mGal),Total_terr_corr(mGal),Complete_Bouguer_anom(mGal),Isostatic_anom(mGal) -- see USGS OFR2006-1396 for more info
441158sg,36.3918,-114.4230,447.1,979646.44,-67.68,0.08,0.35,-117.94,-13.66
441176ky,36.4250,-114.5328,638.6,979627.93,-29.98,0.25,0.62,-101.60,2.57
441177lz,36.3427,-114.6553,892.2,979563.47,-9.09,1.00,1.65,-108.29,-4.99
441178ma,36.3425,-114.5818,725.4,979599.14,-24.87,0.30,0.52,-106.38,-3.69
441187ui,36.4633,-114.2750,478.2,979645.93,-64.78,0.04,0.56,-118.34,-8.41
441188vj,36.4480,-114.2407,552.7,979652.36,-34.04,0.27,0.93,-95.65,15.53
441189wk,36.4107,-114.2308,678.9,979628.40,-15.83,0.81,1.52,-91.11,19.81
441190xl,36.3517,-114.2383,885.1,979586.36,10.84,0.64,1.81,-87.41,22.25
441191ym,36.2893,-114.2153,1049.8,979551.99,32.64,0.48,1.82,-84.14,25.75
441193ao,36.2627,-114.2923,839.1,979590.74,8.70,0.27,1.36,-84.81,21.49
441194bp,36.2655,-114.2317,1060.5,979552.03,38.04,0.21,1.70,-80.08,28.74
441195cq,36.3275,-114.2067,1105.8,979539.93,34.57,0.78,2.43,-87.92,22.83
441196dr,36.3967,-114.1262,797.4,979591.10,-15.37,0.60,1.19,-104.34,11.68
441197es,36.4010,-114.0877,722.2,979589.82,-40.22,0.04,0.55,-121.35,-3.14
441199ft,36.4990,-114.1530,828.4,979581.19,-24.56,0.17,1.20,-117.02,-0.35
441201gu,36.6658,-114.2917,448.1,979660.93,-76.59,0.10,0.84,-126.47,-11.94
441202hv,36.7127,-114.1837,664.2,979619.24,-55.66,0.41,1.42,-129.37,-9.32
441204iw,36.4460,-114.3580,372.2,979653.03,-88.89,0.11,0.38,-130.65,-23.99
441205jx,36.4817,-114.4307,465.7,979642.83,-73.32,0.53,0.54,-125.49,-19.65
441206ky,36.5208,-114.4733,445.0,979645.28,-80.64,0.19,0.31,-130.70,-24.41
441207lz,36.5437,-114.4423,384.8,979656.53,-89.94,0.01,0.24,-133.26,-26.10
441208ma,36.5848,-114.4052,572.7,979613.85,-78.21,0.71,0.74,-142.27,-33.37
441209nb,36.5180,-114.3772,576.0,979619.76,-65.49,0.67,1.03,-129.64,-21.97
441210oc,36.6425,-114.3835,577.3,979621.00,-74.63,0.02,-0.02,-139.98,-28.69
441211pd,36.6937,-114.4110,637.0,979614.19,-67.45,0.11,0.07,-139.44,-26.53
441212qe,36.7320,-114.7245,553.3,979666.86,-43.92,0.04,0.50,-106.04,11.16
441213rf,36.7488,-114.7513,603.0,979658.61,-38.30,0.31,0.78,-105.74,12.96
441214sg,36.7125,-114.6770,523.2,979664.92,-53.47,0.05,0.26,-112.42,2.63
441215th,36.6717,-114.6235,507.6,979664.01,-55.64,0.02,0.04,-113.05,-0.86
441216ui,36.6178,-114.6728,541.8,979650.82,-53.62,0.01,0.07,-114.87,-3.71
441217vj,36.5953,-114.6967,562.2,979638.82,-57.38,0.02,0.11,-120.89,-9.85
441220wk,36.6527,-114.5620,463.5,979681.65,-49.97,0.17,0.33,-102.10,8.62
