Miami-Fort Lauderdale-Miami Beach, FL 	Brazil 	1933393769 	2185889743 	1020686201
Miami-Fort Lauderdale-Miami Beach, FL 	Canada 	1047474413 	1067424782 	682290345
Miami-Fort Lauderdale-Miami Beach, FL 	Colombia 	1120014374 	1297006448 	763204560
Miami-Fort Lauderdale-Miami Beach, FL 	Mexico 	2138719968 	2566250021 	736695540
Miami-Fort Lauderdale-Miami Beach, FL 	Residual 	12234965144 	13789937532 	7729249262
Miami-Fort Lauderdale-Miami Beach, FL 	Venezuela 	1908379589 	2584764766 	1393094420
Milwaukee-Waukesha-West Allis, WI 	Canada 	1681554370 	1737501836 	904244970
Milwaukee-Waukesha-West Allis, WI 	China 	339316012 	404414414 	250249212
Milwaukee-Waukesha-West Allis, WI 	Federal Republic of Germany 	253811453 	294363352 	166121932
Milwaukee-Waukesha-West Allis, WI 	France 	-2 	-2 	162491330
Milwaukee-Waukesha-West Allis, WI 	Japan 	307335474 	309670230 	-2
Milwaukee-Waukesha-West Allis, WI 	Mexico 	961294533 	1296129656 	834800527
Milwaukee-Waukesha-West Allis, WI 	Residual 	2476098098 	2806453361 	1478923067
Minneapolis-St. Paul-Bloomington, MN-WI 	Canada 	3161606799 	3684612845 	2057810733
Minneapolis-St. Paul-Bloomington, MN-WI 	China 	1134381103 	1402134675 	848391749
Minneapolis-St. Paul-Bloomington, MN-WI 	Ireland 	1344878935 	986654239 	655590540
Minneapolis-St. Paul-Bloomington, MN-WI 	Japan 	971941105 	997807318 	-2
Minneapolis-St. Paul-Bloomington, MN-WI 	Mexico 	1537237056 	1706731307 	1055436934
Minneapolis-St. Paul-Bloomington, MN-WI 	Residual 	7787918255 	8823925427 	4837118682
Minneapolis-St. Paul-Bloomington, MN-WI 	Taiwan 	-2 	-2 	499619560
Nashville-Davidson--Murfreesboro, TN 	Canada 	2388260893 	2282639772 	1122392229
Nashville-Davidson--Murfreesboro, TN 	Japan 	-2 	-2 	64836425
Nashville-Davidson--Murfreesboro, TN 	Kuwait 	-1 	-2 	-2
Nashville-Davidson--Murfreesboro, TN 	Mexico 	666174512 	770016372 	411296108
Nashville-Davidson--Murfreesboro, TN 	Residual 	1386456574 	1578238142 	-1
Nashville-Davidson--Murfreesboro, TN 	Saudi Arabia 	-2 	-1 	-2
Nashville-Davidson--Murfreesboro, TN 	Spain 	-2 	-2 	-1
Nashville-Davidson--Murfreesboro, TN 	United Arab Emirates 	-1 	-1 	-2
Nashville-Davidson--Murfreesboro, TN 	United Kingdom 	190887531 	186307892 	99161276
New Orleans-Metairie-Kenner, LA 	Belgium 	252359563 	-2 	-2
New Orleans-Metairie-Kenner, LA 	Canada 	-2 	265179572 	-2
New Orleans-Metairie-Kenner, LA 	China 	306058083 	544946078 	334384353
New Orleans-Metairie-Kenner, LA 	Egypt 	-2 	-2 	-1
New Orleans-Metairie-Kenner, LA 	Jamaica 	-2 	287660527 	-2
New Orleans-Metairie-Kenner, LA 	Japan 	-1 	-1 	-1
New Orleans-Metairie-Kenner, LA 	Korea, South 	247203729 	-2 	-2
New Orleans-Metairie-Kenner, LA 	Mexico 	442698066 	532925794 	458403847
New Orleans-Metairie-Kenner, LA 	Residual 	-1 	-1 	1985668568
New Orleans-Metairie-Kenner, LA 	Singapore 	-2 	-2 	162874407
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Canada 	7110647013 	8178337998 	4595125498
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Israel 	4158282981 	4272339673 	2492165101
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Japan 	4692712254 	5681079765 	3390116371
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Mexico 	3279905758 	-2 	-2
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Residual 	32707757560 	38370389160 	21778102066
New York-Northern New Jersey-Long Island, NY-NJ-PA 	Switzerland 	-2 	4745208325 	3380616329
New York-Northern New Jersey-Long Island, NY-NJ-PA 	United Kingdom 	3615488786 	4981533042 	4084466644
Peoria, IL 	Australia 	-1 	-1 	-1
Peoria, IL 	Belgium 	-1 	-1 	-1
Peoria, IL 	Brazil 	-1 	-1 	-1
Peoria, IL 	Canada 	-1 	-1 	-1
Peoria, IL 	Mexico 	-2 	-1 	-2
Peoria, IL 	Residual 	3320475408 	-1 	-1
Peoria, IL 	Singapore 	-1 	-2 	-1
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	Canada 	3629563562 	3687461382 	2093417220
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD 	Federal Republic of Germany 	862789373 	927044393 	472245808
