                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Suaeda fruticosa auct. non Forsk.                                                           Suaeda moquinii (Torr.) Greene                                                             KAR94    
*  Suaeda intermedia S. Wats.                                                                  Suaeda moquinii (Torr.) Greene                                                             KAR94    
   Suaeda maritima var. americana (Pers.) Boivin                                               Suaeda calceoliformis (Hook.) Moq.                                                         KAR94    
   Suaeda minutiflora S. Wats.                                                                 Suaeda calceoliformis (Hook.) Moq.                                                         KAR94    
*  Suaeda nigra J.F. Macbr.                                                                    Suaeda moquinii (Torr.) Greene                                                             KAR94    
*  Suaeda nigrescens I.M. Johnston                                                             Suaeda suffrutescens var. detonsa I.M. Johnston                                            KAR94    
   Suaeda nigrescens var. glabra I.M. Johnston                                                 Suaeda suffrutescens var. detonsa I.M. Johnston                                            KAR94    
*  Suaeda occidentalis (S. Wats.) S. Wats.                                                     Suaeda calceoliformis (Hook.) Moq.                                                         KAR94    
   Suaeda ramosissima (Standl.) I.M. Johnston                                                  Suaeda moquinii (Torr.) Greene                                                             KAR94    
   Suaeda taxifolia ssp. brevifolia (Standl.) Abrams                                           Suaeda taxifolia (Standl.) Standl.                                                         KAR94    
*  Suaeda torreyana S. Wats.                                                                   Suaeda moquinii (Torr.) Greene                                                             KAR94    
   Suaeda torreyana var. ramosissima (Standl.) Munz                                            Suaeda moquinii (Torr.) Greene                                                             KAR94    
*  Sullivantia purpusii (Brand) Rosendahl                                                      Sullivantia hapemanii var. purpusii (Brand) Soltis                                         KAR94    
   Swainsona salsula (Pallas) Taubert                                                          Sphaerophysa salsula (Pallas) DC.                                                          KAR94    
*  Swertia fastigiata Pursh                                                                    Frasera fastigiata (Pursh) Heller                                                          KAR94    
   Swertia perennis var. obtusa (Ledeb.) Ledeb. ex Griseb.                                     Swertia perennis L.                                                                        KAR94    
*  Swertia radiata (Kellogg) Kuntze                                                            Frasera speciosa Dougl. ex Griseb.                                                         KAR94    
   Swertia radiata var. macrophylla (Greene) St. John                                          Frasera speciosa Dougl. ex Griseb.                                                         KAR94    
   Swertia recurva Sm.                                                                         Halenia recurva (Sm.) Allen                                                                KAR94    
   Swertia umpquaensis (M.E. Peck & Applegate) St. John                                        Frasera fastigiata (Pursh) Heller                                                          KAR94    
   Swida alternifolia (L. f.) Small                                                            Cornus alternifolia L. f.                                                                  KAR94    
   Swida asperifolia (Michx.) Small                                                            Cornus asperifolia Michx.                                                                  KAR94    
   Swida foemina (P. Mill.) Rydb.                                                              Cornus foemina P. Mill.                                                                    KAR94    
   Swida instolonea (A. Nels.) Rydb.                                                           Cornus sericea ssp. sericea L.                                                             KAR94    
   Swida microcarpa (Nash) Small                                                               Cornus asperifolia Michx.                                                                  KAR94    
   Swida priceae (Small) Small                                                                 Cornus drummondii C.A. Mey.                                                                KAR94    
   Swida stolonifera (Michx.) Rydb.                                                            Cornus sericea ssp. sericea L.                                                             KAR94    
   Swida stricta (Lam.) Small                                                                  Cornus foemina P. Mill.                                                                    KAR94    
   Swida suecica (L.) Holub                                                                    Cornus suecica L.                                                                          KAR94    
   Symphoricarpos symphoricarpos (L.) MacM.                                                    Symphoricarpos orbiculatus Moench                                                          KAR94    
   Symphyotrichum boreale (Torr. & Gray) A.& D. Löve                                           Aster borealis (Torr. & Gray) Prov.                                                        KAR94    
   Symphyotrichum hesperium (Gray) A.& D. Löve                                                 Aster lanceolatus ssp. hesperius (Gray) Semple & Chmielewski                               KAR94    
   Symphyotrichum lateriflorum (L.) A.& D. Löve                                                Aster lateriflorus var. lateriflorus (L.) Britt.                                           KAR94    
   Symphyotrichum simplex (Willd.) A.& D. Löve                                                 Aster lanceolatus ssp. lanceolatus var. lanceolatus Willd.                                 KAR94    
   Symphytum asperrimum Donn ex Sims                                                           Symphytum asperum Lepechin                                                                 KAR94    
   Symplocos tinctoria var. ashei Harbison                                                     Symplocos tinctoria (L.) L'Hér.                                                            KAR94    
   Symplocos tinctoria var. pygmaea Fern.                                                      Symplocos tinctoria (L.) L'Hér.                                                            KAR94    
   Syndesmon thalictroides (L.) Hoffmgg. ex Britt.                                             Thalictrum thalictroides (L.) Eames & Boivin                                               KAR94    
   Synedrella vialis (Less.) Gray                                                              Calyptocarpus vialis Less.                                                                 KAR94    
   Synedrellopsis grisebachii auct. non Hieron. & Kuntze                                       Calyptocarpus vialis Less.                                                                 KAR94    
   Syntherisma chinensis (Nees) A.S. Hitchc.                                                   Digitaria violascens Link                                                                  KAR94    
   Syntherisma marginata (Link) Nash                                                           Digitaria ciliaris (Retz.) Koel.                                                           KAR94    
   Syntherisma pauciflora (A.S. Hitchc.) A.S. Hitchc.                                          Digitaria pauciflora A.S. Hitchc.                                                          KAR94    
   Syntherisma pauciflorum A.HITCHC.                                                           Digitaria pauciflora A.S. Hitchc.                                                          NLSPN    
   Syntherisma sanguinale (L.)DULAC                                                            Digitaria sanguinalis (L.) Scop.                                                           NLSPN    
   Syntherisma sanguinalis (L.) Dulac                                                          Digitaria sanguinalis (L.) Scop.                                                           KAR94    
   Syntherisma serotina Walt.                                                                  Digitaria serotina (Walt.) Michx.                                                          KAR94    
   Syntherisma serotinum WALTER                                                                Digitaria serotina (Walt.) Michx.                                                          NLSPN    
   Syringodium filiforme Kuetz.                                                                Cymodocea filiformis (Kuetz.) Correll                                                      KAR94    
   Syzygium cuminii (L.)SKEELS                                                                 Syzygium cumini (L.) Skeels                                                                NLSPN    
   Tabebuia heterophylla ssp. pallida auct. non (Miers) Stehlé                                 Tabebuia heterophylla (DC.) Britt.                                                         KAR94    
   Tabebuia lucida Britt.                                                                      Tabebuia heterophylla (DC.) Britt.                                                         KAR94    
   Tabebuia pallida sensu Liogier & Martorell                                                  Tabebuia heterophylla (DC.) Britt.                                                         KAR94    
   Tabebuia pentaphylla (DC.) Hemsl.                                                           Tabebuia heterophylla (DC.) Britt.                                                         KAR94    
   Tabebuia triphylla DC.                                                                      Tabebuia heterophylla (DC.) Britt.                                                         KAR94    
   Tabernaemontana oppositifolia (Spreng.) Urban                                               Tabernaemontana citrifolia L.                                                              KAR94    
   Talinum pygmaeum Gray                                                                       Lewisia pygmaea (Gray) B.L. Robins.                                                        KAR94    
   Tamala borbonia (L.) Raf.                                                                   Persea borbonia (L.) Spreng.                                                               KAR94    
   Tamala littoralis (Small) Small                                                             Persea borbonia (L.) Spreng.                                                               KAR94    
   Tamarix articulata Vahl                                                                     Tamarix aphylla (L.) Karst.                                                                KAR94    
   Tamarix pentandra Pallas                                                                    Tamarix chinensis Lour.                                                                    KAR94    
   Tamarix tetrandra auct. non Pallas                                                          Tamarix parviflora DC.                                                                     KAR94    
   Tamonea guianensis Aubl.                                                                    Miconia mirabilis (Aubl.) L.O. Williams                                                    KAR94    
   Tamonea macrophylla (D. Don) Krasser                                                        Miconia serrulata (DC.) Naud.                                                              KAR94    
   Tanacetum suaveolens (Pursh) Hook.                                                          Matricaria discoidea DC.                                                                   KAR94    
   Tanacetum vulgare var. crispum DC.                                                          Tanacetum vulgare L.                                                                       KAR94    
   Taonabo heptasepala (Krug & Urban) Britt.                                                   Ternstroemia heptasepala Krug & Urban                                                      KAR94    
   Taonabo luquillensis (Krug & Urban) Britt.                                                  Ternstroemia luquillensis Krug & Urban                                                     KAR94    
   Taonabo pachyphylla (Krug & Urban) Britt.                                                   Ternstroemia stahlii Krug & Urban                                                          KAR94    
   Taonabo peduncularis (DC.) Britt.                                                           Ternstroemia peduncularis DC.                                                              KAR94    
   Taonabo stahlii (Krug & Urban) Britt.                                                       Ternstroemia stahlii Krug & Urban                                                          KAR94    
   Taonabo subsessilis Britt.                                                                  Ternstroemia subsessilis (Britt.) Kobuski                                                  KAR94    
   Taraxia breviflora (Torr. & Gray) Nutt. ex Small                                            Camissonia breviflora (Torr. & Gray) Raven                                                 KAR94    
   Taxodium distichum var. imbricarium (Nutt.) Croom                                           Taxodium ascendens Brongn.                                                                 KAR94    
*  Taxodium distichum var. nutans (Ait.) Sweet                                                 Taxodium ascendens Brongn.                                                                 KAR94    
   Tecoma radicans (L.) Juss.                                                                  Campsis radicans (L.) Seem. ex Bureau                                                      KAR94    
*  Tectaria lobata (K. Presl) Morton                                                           Tectaria fimbriata (Willd.) Proctor & Lourteig                                             KAR94    
   Tectaria martinicensis (Spreng.) Copeland                                                   Tectaria incisa Cav.                                                                       KAR94    
   Tectaria minima Underwood                                                                   Tectaria fimbriata (Willd.) Proctor & Lourteig                                             KAR94    
   Tellima odorata T.J. Howell                                                                 Tellima grandiflora (Pursh) Dougl. ex Lindl.                                               KAR94    
   Teloxys botrys (L.) W.A. Weber                                                              Chenopodium botrys L.                                                                      KAR94    
   Tephroseris atropurpurea ssp. frigida (Richards.) A.& D. Löve                               Senecio atropurpureus (Ledeb.) Fedtsch.                                                    KAR94    
   Tephroseris atropurpurea ssp. tomentosa (Kjellm.) A.& D. Löve                               Senecio atropurpureus (Ledeb.) Fedtsch.                                                    KAR94    
   Tephroseris integrifolia ssp. atropurpurea (Ledeb.) B. Nordenstam                           Senecio atropurpureus (Ledeb.) Fedtsch.                                                    KAR94    
   Tepion alatum (L.) Britt.                                                                   Verbesina alata L.                                                                         KAR94    
   Terebraria resinosa (Vahl) Sprague                                                          Neolaugeria resinosa (Vahl) Nicols.                                                        KAR94    
   Ternstroemia albopunctata Griseb.                                                           Cleyera albopunctata (Griseb.) Krug & Urban                                                KAR94    
   Terrellia villosa (Muhl. ex Willd.) Baum                                                    Elymus villosus Muhl. ex Willd.                                                            KAR94    
   Tessaria sericea (Nutt.) Shinners                                                           Pluchea sericea (Nutt.) Cav.                                                               KAR94    
   Tesseranthium angustifolium (Rydb.) Rydb.                                                   Frasera speciosa Dougl. ex Griseb.                                                         KAR94    
   Tesseranthium macrophyllum (Greene) Rydb.                                                   Frasera speciosa Dougl. ex Griseb.                                                         KAR94    
   Tesseranthium radiatum Kellogg                                                              Frasera speciosa Dougl. ex Griseb.                                                         KAR94    
   Tetragamestus modestus Reichenb. f.                                                         Scaphyglottis modesta (Reichenb. f.) Schlechter                                            KAR94    
   Tetragonia expansa Murr.                                                                    Tetragonia tetragonioides (Pallas) Kuntze                                                  KAR94    
   Tetraplasandra bisattenuata Sherff                                                          Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra gymnocarpa var. leptocarpa Sherff                                            Tetraplasandra gymnocarpa (Hbd.) Sherff                                                    KAR94    
   Tetraplasandra gymnocarpa var. megalocarpa Sherff                                           Tetraplasandra gymnocarpa (Hbd.) Sherff                                                    KAR94    
   Tetraplasandra gymnocarpa var. pupukeensis (O. Deg.) Sherff                                 Tetraplasandra gymnocarpa (Hbd.) Sherff                                                    KAR94    
   Tetraplasandra hawaiensis var. awiniensis Sherff                                            Tetraplasandra hawaiensis Gray                                                             KAR94    
   Tetraplasandra hawaiensis var. gracilis Sherff                                              Tetraplasandra hawaiensis Gray                                                             KAR94    
   Tetraplasandra hawaiensis var. microcarpa Sherff                                            Tetraplasandra hawaiensis Gray                                                             KAR94    
   Tetraplasandra kaalae (Hbd.) H.A.T. Harms                                                   Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra kaalae var. multiplex Sherff                                                 Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra kahanana O. Deg. & Sherff                                                    Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra kavaiensis var. dipyrena (Mann) Sherff                                       Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. grandis Sherff                                               Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. intercedens Sherff                                           Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. koloana Sherff                                               Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. nahikuensis Sherff                                           Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. occidua O. Deg. & Sherff                                     Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kavaiensis var. robustior Sherff                                             Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra kohalae Skottsberg                                                           Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lanaiensis Rock                                                              Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lihuensis Sherff                                                             Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra lihuensis var. gracilipes Sherff                                             Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra lydgatei (Hbd.) H.A.T. Harms                                                 Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lydgatei var. brachypoda Sherff                                              Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lydgatei var. coriacea Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lydgatei var. forbesii Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra lydgatei var. leptorachis O. Deg. & Sherff                                   Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
*  Tetraplasandra meiandra (Hbd.) H.A.T. Harms                                                 Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. bisobtusa Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. bryanii Sherff                                                 Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. degeneri Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. hillebrandii Sherff                                            Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. hiloensis Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. leptomera Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. longipedunculata Skottsberg                                    Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. makalehana Sherff                                              Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. mauiensis Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. molokaiensis Skottsberg                                        Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. occidentalis Skottsberg                                        Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. olowaluana Sherff                                              Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. ovalis Sherff                                                  Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. polyantha Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. polystigmata Sherff                                            Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. prolifica Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. prolificoides Sherff                                           Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. ramosior Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. rhynchocarpa Sherff                                            Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. rhynchocarpoides O. Deg. & Sherff                              Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. rockii Sherff                                                  Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. simulans Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. skottsbergii Sherff                                            Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. tenuistylis Sherff                                             Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra meiandra var. tenuistyloides O. Deg. & Sherff                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra micrantha Sherff                                                             Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra munroi Sherff                                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. eradiata Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. fauriei Sherff                                                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. hailiensis (O. Deg. & Sherff) O. Deg. & Sherff                Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. longipes Sherff                                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. pseudolongipes O. Deg. & Sherff                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. pseudorachis Sherff                                           Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. subglobosa O.& I. Deg. & Sherff                               Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra oahuensis var. venulosior Sherff                                             Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra pupukeensis Skottsberg                                                       Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra pupukeensis var. decipiens O. Deg. & Sherff                                  Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra pupukeensis var. megalopoda Sherff                                           Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra pupukeensis var. nitida O. Deg. & Sherff                                     Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra pupukeensis var. venosa O. Deg. & Sherff                                     Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra sherffii O.& I. Deg.                                                         Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra turbens Sherff                                                               Tetraplasandra kavaiensis (Mann) Sherff                                                    KAR94    
   Tetraplasandra waianuensis O. Deg.                                                          Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra waianuensis var. palehuana Sherff                                            Tetraplasandra oahuensis (Gray) H.A.T. Harms                                               KAR94    
   Tetraplasandra wailealae var. acrior Sherff                                                 Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra wailealae var. kohuana O. Deg. & Sherff                                      Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra wailealae var. pluricostata O. Deg. & Sherff                                 Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra wailealae var. subsessilis Sherff                                            Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra wailealae var. urceolata Sherff                                              Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra wailealae var. wahiawensis Sherff                                            Tetraplasandra waialealae Rock                                                             KAR94    
   Tetraplasandra waimeae var. angustior Sherff                                                Tetraplasandra waimeae Wawra                                                               KAR94    
*  Tetrazygia stahlii Cogn.                                                                    Tetrazygia urbanii Cogn.                                                                   KAR94    
   Tetrorum pusillum (Michx.) Rose                                                             Sedum pusillum Michx.                                                                      KAR94    
   Thacla natans (Pallas ex Georgi) Deyl & Soják                                               Caltha natans Pallas ex Georgi                                                             KAR94    
   Thalesia uniflora (L.) Britt.                                                               Orobanche uniflora L.                                                                      KAR94    
   Thalia barbata Small                                                                        Thalia dealbata Fraser ex Roscoe                                                           KAR94    
   Thalia trichocalyx Gagnepain                                                                Thalia geniculata L.                                                                       KAR94    
   Thalictrum alpinum var. hebetum Boivin                                                      Thalictrum alpinum L.                                                                      KAR94    
   Thalictrum caulophylloides Small                                                            Thalictrum coriaceum (Britt.) Small                                                        KAR94    
*  Thalictrum confine Fern.                                                                    Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum confine var. columbianum (Rydb.) Boivin                                          Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum confine var. greeneanum Boivin                                                   Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum dasycarpum var. hypoglaucum (Rydb.) Boivin                                       Thalictrum dasycarpum Fisch. & Avé-Lall.                                                   KAR94    
   Thalictrum hypoglaucum Rydb.                                                                Thalictrum dasycarpum Fisch. & Avé-Lall.                                                   KAR94    
   Thalictrum occidentale var. columbianum (Rydb.) M.E. Peck                                   Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum perelegans Greene                                                                Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum polygamum Muhl. ex Spreng.                                                       Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum polygamum var. hebecarpum Fern.                                                  Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum polygamum var. intermedium Boivin                                                Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum pubescens var. hebecarpum (Fern.) Boivin                                         Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum pubescens var. hepaticum (Greene) Keener                                         Thalictrum pubescens Pursh                                                                 KAR94    
   Thalictrum revolutum var. glandulosior Boivin                                               Thalictrum revolutum DC.                                                                   KAR94    
*  Thalictrum steeleanum Boivin                                                                Thalictrum coriaceum (Britt.) Small                                                        KAR94    
   Thalictrum subrotundum Boivin                                                               Thalictrum macrostylum Small & Heller                                                      KAR94    
   Thalictrum turneri Boivin                                                                   Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum venulosum var. confine (Fern.) Boivin                                            Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum venulosum var. fissum (Greene) Boivin                                            Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum venulosum var. lunellii (Greene) Boivin                                          Thalictrum venulosum Trel.                                                                 KAR94    
   Thalictrum venulosum var. turneri (Boivin) Boivin                                           Thalictrum venulosum Trel.                                                                 KAR94    
   Thaspium aureum (L.)NUTT.                                                                   Zizia aurea (L.) W.D.J. Koch                                                               NLSPN    
   Thaspium barbinode var. angustifolium Coult. & Rose                                         Thaspium barbinode (Michx.) Nutt.                                                          KAR94    
   Thaspium chapmanii (Coult. & Rose) Small                                                    Thaspium barbinode (Michx.) Nutt.                                                          KAR94    
   Thaspium trifoliatum var. aureum (L.)BRITTON                                                Zizia aurea (L.) W.D.J. Koch                                                               NLSPN    
   Thelypodiopsis sagittata var. ovalifolium (Rydb.) Welsh                                     Thelypodium sagittatum ssp. ovalifolium (Rydb.) Al-Shehbaz                                 KAR94    
   Thelypodium pinnatifidum (Michx.) S. Wats.                                                  Iodanthus pinnatifidus (Michx.) Steud.                                                     KAR94    
   Thelypodium sagittatum var. ovalifolium (Rydb.) Welsh & Reveal                              Thelypodium sagittatum ssp. ovalifolium (Rydb.) Al-Shehbaz                                 KAR94    
   Thelypteris confluens var. pubescens (Lawson) Pringle                                       Thelypteris palustris var. pubescens (Lawson) Fern.                                        KAR94    
   Thelypteris dryopteris (L.) Slosson                                                         Gymnocarpium dryopteris (L.) Newman                                                        KAR94    
   Thelypteris gongylodes (Schkuhr) Small                                                      Thelypteris interrupta (Willd.) K. Iwats.                                                  KAR94    
   Thelypteris hawaiiensis C.F. Reed                                                           Pneumatopteris sandwicensis (Brack.) Holttum                                               KAR94    
*  Thelypteris hexagonoptera (Michx.) Weatherby                                                Phegopteris hexagonoptera (Michx.) Fée                                                     KAR94    
   Thelypteris macrorhizoma E. St. John                                                        Thelypteris kunthii (Desv.) Morton                                                         KAR94    
   Thelypteris normalis (C. Christens.) Moxley                                                 Thelypteris kunthii (Desv.) Morton                                                         KAR94    
   Thelypteris palustris var. haleana Fern.                                                    Thelypteris palustris var. pubescens (Lawson) Fern.                                        KAR94    
*  Thelypteris phegopteris (L.) Slosson                                                        Phegopteris connectilis (Michx.) Watt                                                      KAR94    
   Thelypteris reducta Small ex R. St. John                                                    Thelypteris dentata (Forsk.) E. St. John                                                   KAR94    
   Thelypteris sancta var. portoricensis (C. Christens.) Morton                                Thelypteris sancta (L.) Ching                                                              KAR94    
   Thelypteris saxatilis R. St. John                                                           Thelypteris kunthii (Desv.) Morton                                                         KAR94    
   Thelypteris sprengelii (Kaulfuss) Proctor                                                   Thelypteris balbisii (Spreng.) Ching                                                       KAR94    
   Thelypteris submarginalis (LANGSD. & FISCH.)SMALL                                           Ctenitis submarginalis (Langsd. & Fisch.) Ching                                            NLSPN    
   Thelypteris thelypterioides (Michx.) Holub                                                  Thelypteris noveboracensis (L.) Nieuwl.                                                    KAR94    
   Thelypteris torresiana (Gaud.) Alston                                                       Macrothelypteris torresiana (Gaud.) Ching                                                  KAR94    
   Thelypteris totta (Thunb.) Schelpe                                                          Thelypteris interrupta (Willd.) K. Iwats.                                                  KAR94    
   Thelypteris unca R. St. John                                                                Thelypteris kunthii (Desv.) Morton                                                         KAR94    
*  Thermopsis gracilis T.J. Howell                                                             Thermopsis macrophylla var. venosa (Eastw.) Isely                                          KAR94    
   Thermopsis gracilis var. venosa (Eastw.) Jepson                                             Thermopsis macrophylla var. venosa (Eastw.) Isely                                          KAR94    
   Thermopsis montana var. venosa (Eastw.) Jepson                                              Thermopsis macrophylla var. venosa (Eastw.) Isely                                          KAR94    
   Thermopsis subglaber Henderson                                                              Thermopsis macrophylla var. venosa (Eastw.) Isely                                          KAR94    
