                                                           NATIONAL LIST OF VASCULAR PLANT SPECIES THAT OCCUR IN WETLANDS:  1996 SYNONYMY

   SYNONYM                                                                                     ACCEPTED SCIENTIFIC NAME                                                                   SOURCE
   Agropyron alaskanum Scribn. & Merr.                                                         Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
   Agropyron boreale ssp. alaskanum (Scribn. & Merr.) Melderis                                 Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
   Agropyron boreale var. alaskanum (Scribn. & Merr.) Welsh                                    Elymus alaskanus ssp. alaskanus (Scribn. & Merr.) A. Love                                  KAR94    
   Agropyron brevifolium Scribn.                                                               Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
*  Agropyron caninum (L.) Beauv.                                                               Elymus caninus (L.) L.                                                                     KAR94    
   Agropyron caninum ssp. majus (Vasey) C.L. Hitchc.                                           Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron caninum var. andinum (Scribn. & J.G. Sm.) C.L. Hitchc.                            Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron caninum var. hornemannii (Koch) Pease & Moore                                     Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
   Agropyron caninum var. majus (VASEY)C.HITCHC.                                               Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             NLSPN    
   Agropyron caninum var. mitchellii Welsh                                                     Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
*  Agropyron dasystachyum (Hook.) Scribn. & J.G. Sm.                                           Elymus lanceolatus ssp. lanceolatus (Scribn. & J.G. Sm.) Gould                             KAR94    
   Agropyron dasystachyum var. riparum (Scribn. & J.G. Sm.) Bowden                             Elymus lanceolatus ssp. lanceolatus (Scribn. & J.G. Sm.) Gould                             KAR94    
   Agropyron dasystachyum var. sericeum auct. non Boivin                                       Elymus macrourus (Turcz.) Tzvelev                                                          KAR94    
   Agropyron elmeri Scribn.                                                                    Elymus lanceolatus ssp. lanceolatus (Scribn. & J.G. Sm.) Gould                             KAR94    
   Agropyron lanceolatum Scribn. & J.G. Sm.                                                    Elymus lanceolatus ssp. lanceolatus (Scribn. & J.G. Sm.) Gould                             KAR94    
   Agropyron littorale (Host) Dur.                                                             Elytrigia pungens (Pers.) Tutin                                                            KAR94    
*  Agropyron macrourum (Turcz.) Drobov                                                         Elymus macrourus (Turcz.) Tzvelev                                                          KAR94    
   Agropyron molle (Scribn. & J.G. Sm.) Rydb.                                                  Pascopyrum smithii (Rydb.) A. Löve                                                         KAR94    
   Agropyron pauciflorum (Schwein.) A.S. Hitchc. ex Silveus                                    Elymus trachycaulus ssp. trachycaulus (Link) Gould ex Shinners                             KAR94    
