output/r000485_001_out.datSun Sep 17 13:48:44 2000

cops number to output is    134528094
#Event:  1
Sun Sep 17 13:50:54 2000

#0004--
dcopsId 9 ccd1 909.49 110.013 0.591873
dcopsId 9 ccd2 1339.51 125.833 1.04119
dcopsId 9 ccd3 911.733 116.743 1.19222
dcopsId 9 ccd4 1376.92 132.746 -0.396234
#0003--
dcopsId 8 ccd1 733.883 101.413 0.785374
dcopsId 8 ccd2 1437.69 118.862 -1.83405
dcopsId 8 ccd3 729.486 110.341 3.0508
dcopsId 8 ccd4 1425.29 107.378 -0.924038
#0002--
dcopsId 7 ccd1 591.588 133.326 5.80494
dcopsId 7 ccd2 1655.32 99.439 -1.69177
dcopsId 7 ccd3 546.373 105.968 -1.80405
dcopsId 7 ccd4 1630.92 133.438 -6.64116
#0001--
dcopsId 6 ccd1 484.759 103.244 1.47258
dcopsId 6 ccd2 1435.8 159.398 -2.82446
dcopsId 6 ccd3 403.967 145.562 -14.512
dcopsId 6 ccd4 1442.26 165.076 4.03587
#0005--
dcopsId 5 ccd1 1877.61 146.145 46.2987
dcopsId 5 ccd2 147.582 364.683 -40.6209
dcopsId 5 ccd3 791.338 220.756 -10.2026
dcopsId 5 ccd4 1366.4 167.648 -18.2397
#0004--
dcopsId 4 ccd1 1826.29 275.208 109.767
dcopsId 4 ccd2 1055.73 151.302 -13.7748
dcopsId 4 ccd3 1179.59 186.86 -11.3833
dcopsId 4 ccd4 1159.72 160.964 -13.668
#0003--
dcopsId 3 ccd1 1470.28 67.4589 1.11517
dcopsId 3 ccd2 1404.54 67.9748 -0.880577
dcopsId 3 ccd3 1483.77 60.1271 0.165345
dcopsId 3 ccd4 155.746 71.5072 -623.105
#0002--
dcopsId 2 ccd1 1205.67 90.1154 -1.3744
dcopsId 2 ccd2 470.147 90.7704 1.62074
dcopsId 2 ccd3 1145.91 92.6636 -1.23932
dcopsId 2 ccd4 467.662 86.7788 3.17048
#0001--
dcopsId 1 ccd1 247.426 -125.803 0.853233
dcopsId 1 ccd2 1585.51 112.949 -0.704132
dcopsId 1 ccd3 204.564 97.6327 4.66849
dcopsId 1 ccd4 1538.1 115.741 -3.84141
#Event:  7
Sun Sep 17 13:58:41 2000

969217121 7 0 1
#0008--
dcopsId 13 ccd1 718.825 172.93 -0.651032
dcopsId 13 ccd2 758.968 199.949 2.46675
dcopsId 13 ccd3 2638.85 1165.74 1073.2
dcopsId 13 ccd4 2003.77 610.37 42.6911
#0007--
dcopsId 12 ccd1 1024.34 180.541 3.19879
dcopsId 12 ccd2 441.52 176.179 -0.00794276
dcopsId 12 ccd3 1048.2 181.848 -0.924454
dcopsId 12 ccd4 1857.75 387.944 201.867
#0006--
dcopsId 11 ccd1 984.565 146.306 0.471351
dcopsId 11 ccd2 846.554 143.196 -0.694262
dcopsId 11 ccd3 994.216 150.641 -0.863051
dcopsId 11 ccd4 234.702 325.794 4.6315
#0005--
dcopsId 10 ccd1 779.044 129.907 0.910423
dcopsId 10 ccd2 1054.56 132.615 3.8194
dcopsId 10 ccd3 779.059 132.355 0.094282
dcopsId 10 ccd4 1028.33 138.283 2.71536
#0004--
dcopsId 9 ccd1 910.4 109.913 0.429869
dcopsId 9 ccd2 1339.08 126.088 0.0864015
dcopsId 9 ccd3 913.249 116.456 0.961757
dcopsId 9 ccd4 1377.62 132.356 -2.78229
#0003--
dcopsId 8 ccd1 734.613 101.306 0.830125
dcopsId 8 ccd2 1437.45 118.899 -0.118463
dcopsId 8 ccd3 730.596 110.82 3.12769
dcopsId 8 ccd4 1425.71 107.453 -1.49738
#0002--
dcopsId 7 ccd1 591.942 133.37 6.44924
dcopsId 7 ccd2 1655.3 99.4202 -1.15259
dcopsId 7 ccd3 546.498 105.979 -1.5334
dcopsId 7 ccd4 1631.22 133.092 -7.74227
#0001--
dcopsId 6 ccd1 484.816 103.248 2.16568
dcopsId 6 ccd2 1435.43 159.136 -4.47433
dcopsId 6 ccd3 404.53 145.139 -12.8103
dcopsId 6 ccd4 1442.5 165.25 4.43998
#0005--
dcopsId 5 ccd1 1875.76 160.253 100.87
dcopsId 5 ccd2 3353.28 1171.53 1548.36
dcopsId 5 ccd3 794.078 220.461 -11.4704
dcopsId 5 ccd4 1370.68 166.558 -17.3656
#0004--
dcopsId 4 ccd1 3495.36 970.457 1738.54
dcopsId 4 ccd2 1060 151.192 -13.0965
dcopsId 4 ccd3 1179.4 187.132 -10.5969
dcopsId 4 ccd4 1163.42 160.349 -13.6229
#0003--
dcopsId 3 ccd1 1469.8 67.3555 0.305159
dcopsId 3 ccd2 1404.55 67.9204 -2.17763
dcopsId 3 ccd3 1483.5 60.1504 0.129539
dcopsId 3 ccd4 1854.16 198.967 -105.758
#0002--
dcopsId 2 ccd1 1205.55 90.2087 1.28973
dcopsId 2 ccd2 470.051 91.0957 1.78773
dcopsId 2 ccd3 1146.33 93.0662 0.383423
dcopsId 2 ccd4 467.497 86.6102 3.2099
#0001--
dcopsId 1 ccd1 247.843 -124.874 1.93135
dcopsId 1 ccd2 1585.54 112.424 -2.14363
dcopsId 1 ccd3 204.659 97.564 4.5347
dcopsId 1 ccd4 1538.16 116.091 -4.10075
#Event:  8
Sun Sep 17 13:59:49 2000

969217189 8 0 1
#0008--
dcopsId 13 ccd1 722.177 173.754 0.16683
dcopsId 13 ccd2 766.047 199.872 2.49523
dcopsId 13 ccd3 109.546 249.983 -10.3477
dcopsId 13 ccd4 111.95 298.195 -209.859
#0007--
dcopsId 12 ccd1 1027.03 179.556 4.40149
dcopsId 12 ccd2 443.344 177.101 0.380535
dcopsId 12 ccd3 1056.16 180.992 -0.661608
dcopsId 12 ccd4 99.8032 434.921 -12.2692
#0006--
dcopsId 11 ccd1 988.269 146.491 0.00693962
dcopsId 11 ccd2 850.099 143.194 -1.04717
dcopsId 11 ccd3 997.536 150.427 -0.601398
dcopsId 11 ccd4 234.25 327.541 -167.516
#0005--
dcopsId 10 ccd1 782.143 129.719 0.834366
dcopsId 10 ccd2 1057.24 132.906 0.319046
dcopsId 10 ccd3 781.815 132.096 0.245155
dcopsId 10 ccd4 1029.18 138.534 2.28786
#0004--
dcopsId 9 ccd1 909.261 109.504 0.289101
dcopsId 9 ccd2 1339.47 126.104 -0.136592
dcopsId 9 ccd3 911.545 116.352 0.627022
dcopsId 9 ccd4 1376.64 132.694 -2.54822
#0003--
dcopsId 8 ccd1 733.653 101.431 0.543239
dcopsId 8 ccd2 1437.66 118.713 -0.320955
dcopsId 8 ccd3 730.182 110.871 0.548896
dcopsId 8 ccd4 1424.83 107.272 -0.863771
#0002--
dcopsId 7 ccd1 591.91 132.797 6.22671
dcopsId 7 ccd2 1655.22 99.6197 -1.10712
dcopsId 7 ccd3 545.488 106.24 -2.4902
dcopsId 7 ccd4 1631.02 132.552 -8.41774
#0001--
dcopsId 6 ccd1 484.755 103.271 2.17502
dcopsId 6 ccd2 1435.46 159.371 -3.39255
dcopsId 6 ccd3 404.508 145.15 -13.7853
dcopsId 6 ccd4 1443.02 165.149 5.63532
#0005--
dcopsId 5 ccd1 1904.38 189.46 -78.5237
dcopsId 5 ccd2 2123.34 531.738 364.674
dcopsId 5 ccd3 795.967 220.251 -7.5328
dcopsId 5 ccd4 1365.88 166.869 -16.6929
#0004--
dcopsId 4 ccd1 2127.53 451.368 163.866
dcopsId 4 ccd2 1056.35 151.072 -14.6717
dcopsId 4 ccd3 1183.26 186.281 -10.5887
dcopsId 4 ccd4 1158.78 160.251 -14.3317
#0003--
dcopsId 3 ccd1 1470.04 67.5361 -0.701335
dcopsId 3 ccd2 1404.56 68.1702 -0.240742
dcopsId 3 ccd3 1483.59 60.1902 0.127649
dcopsId 3 ccd4 -608.629 489.19 -663.481
#0002--
dcopsId 2 ccd1 1205.57 90.2077 -1.43944
dcopsId 2 ccd2 469.983 91.8036 -1.11073
dcopsId 2 ccd3 1145.91 92.8472 -1.22613
dcopsId 2 ccd4 467.808 86.7985 0.502222
#0001--
dcopsId 1 ccd1 247.347 -125.642 2.3396
dcopsId 1 ccd2 1585.25 111.884 -1.50036
dcopsId 1 ccd3 204.642 97.5696 4.47106
dcopsId 1 ccd4 1537.67 116.302 -1.9525
#Event:  9
Sun Sep 17 14:06:11 2000

969217571 9 1 0
#0008--
dcopsId 13 ccd1 1309.27 148.094 -3.69121
dcopsId 13 ccd2 610.204 173.686 -2.15296
dcopsId 13 ccd3 1330.54 153.781 6.68002
dcopsId 13 ccd4 566.624 108.552 0.510256
#0007--
dcopsId 12 ccd1 874.013 118.054 -0.479417
dcopsId 12 ccd2 992.208 111.662 0.897676
dcopsId 12 ccd3 870.559 114.748 2.86118
dcopsId 12 ccd4 134.306 322.506 6.35033
#0006--
dcopsId 11 ccd1 700.224 100.071 0.547652
dcopsId 11 ccd2 943.406 97.9809 2.66108
dcopsId 11 ccd3 659.775 101.124 0.619703
dcopsId 11 ccd4 1014.94 94.4451 0.950717
#0005--
dcopsId 10 ccd1 421.406 116.469 2.19875
dcopsId 10 ccd2 916.319 -159.924 6.34501
dcopsId 10 ccd3 380.774 109.99 1.47165
dcopsId 10 ccd4 951.871 126.043 -0.0797038
#0004--
dcopsId 9 ccd1 1382.41 151.496 -1.5046
dcopsId 9 ccd2 886.19 124.421 0.377077
dcopsId 9 ccd3 1428.89 152.618 -0.581877
dcopsId 9 ccd4 849.651 128.371 1.42086
#0003--
dcopsId 8 ccd1 1276.98 136.153 -0.881854
dcopsId 8 ccd2 753.232 138.284 -1.38542
dcopsId 8 ccd3 1324.57 143.171 0.120298
dcopsId 8 ccd4 663.592 132.543 2.04562
#0002--
dcopsId 7 ccd1 1271.22 182.581 0.517118
dcopsId 7 ccd2 538.679 158.173 1.57148
dcopsId 7 ccd3 1300.62 199.21 -4.55627
dcopsId 7 ccd4 449.535 158.177 -0.843108
#0001--
dcopsId 6 ccd1 7683.82 -135777 6057.94
dcopsId 6 ccd2 779.224 210.135 6.59788
dcopsId 6 ccd3 1667.37 163.958 0.76859
dcopsId 6 ccd4 -1016.7 252.405 -1230.1
#0005--
dcopsId 5 ccd1 3561.27 696.795 1676.93
dcopsId 5 ccd2 3116.22 1167.68 1291.36
dcopsId 5 ccd3 789.716 219.501 -9.3151
dcopsId 5 ccd4 1366.44 167.872 -18.1075
#0004--
dcopsId 4 ccd1 1855.52 287.899 66.7849
dcopsId 4 ccd2 1056.89 150.775 -13.6368
