Holstein
Changes in May 2006 productive life and Net Merit using formulas to be implemented August 2006
PL diff is NewPL - (1.4 x OldPL) [see: http://aipl.arsusda.gov/reference/changes/eval0608.html]
UNOFFICIAL - NOT TO BE USED FOR ADVERTISING!  

                   ________PL_______ _REL__   ___NM$___
Bull ID             New   Old  Diff  New Old  Old  Diff NAAB Code  Name
HOUSA000124036811   0.1   0.2  -0.2  64  66   416   -50 011HO06251 LANGS-TWIN-B MERCURY-ET
HOUSA000128439689   1.9   1.8  -0.6  67  69   416   -27 200HO04570 COOKS-VALLEY CEREMONY-ET
HOUSA000128706141   0.6   0.8  -0.5  74  78   416   -43 007HO06704 HIDDEN-VIEW BARRETT-ET
HOUSA000123253040   4.6   3.3  -0.0  71  73   415    12 001HO05627 CO-OP COMPLETE-CRI
HOUSA000129008769   2.5   1.7   0.1  71  75   414   -12 029HO10446 HICKORYMEA OSWALD-P-ET
HOUSA000129832935  -2.4  -1.8   0.1  62  64   414   -96 001HO07116 WELCOME LEOPOLDE-ET
HOUSA000131381511   0.7   0.5  -0.0  65  69   414   -59 007HO07183 FAR-O-LA MAR SABLE SHAWN-ET
HOUSA000060000243   2.9   2.1  -0.0  59  60   413    14 536HO00249 PENN-ENGLAND GINGER 2A
HOUSA000126205028   1.9   1.2   0.2  73  76   413   -29 029HO10387 CHERRY-LOR MACHETE-ET
HOUSA000017042294   2.9   1.5   0.8  96  97   412     7 001HO06122 KNOXLAND LABELLE C IDEA-ET
HOUSA000128017557   2.8   1.7   0.4  67  69   412     1 001HO02390 PASEN MARSHALL-ET
HOUSA000130549749   0.3   0.8  -0.8  64  67   412   -65 122HO01517 CARMELITA LAMBOR FAST ED-ET
HOUSA000131194287   1.6   1.4  -0.4  64  67   412   -27 029HO10728 WESSWOOD-HC MISSION
HOUSA000131234417  -0.8  -0.6   0.0  61  64   412   -88 007HO07207 WA-DEL BOOKEN-ET
HOUSA000017231270   0.7   0.9  -0.6  85  88   411   -22 029HO09380 PASEN PATRON MATTEL-ETS
HOUSA000051564311   1.1   1.2  -0.6  53  53   411   -24 100HO10332 LEXVOLD M-TOTO CROSBY-ET
HOUSA000125178587   1.8   1.2   0.1  72  74   411   -18 001HO05702 TESK-HOLM MANFRED TYREL-ET
HOUSA000126470619   4.6   3.6  -0.4  73  76   411    13 009HO02760 NORRIELAKE AMEL DAKOTA-ET
HOUSA000131556504   1.9   1.6  -0.3  61  65   411   -43 001HO07166 POLY-KOW MULAMBO-ET
HOUSA000002212209   1.9   1.5  -0.2  62  63   409    -3 001HO03347 DREAM-ON ALADDIN-ET
HOUSA000060141587   3.4   2.2   0.3  68  71   409    21 014HO03801 KINGS-RANSOM MTOTO DTOTO-ET
HOUSA000126023394   3.1   2.0   0.3  71  73   409    14 014HO03400 CHAN-LEE TERRY GLEAM-ET
HOUSA000002154630   3.3   2.0   0.5  93  94   408    21 122HO02063 ZONNEVELD JAZZY-ET
HOUSA000060082142   2.9   1.8   0.4  71  74   408    22 009HO02831 KINGS-RANSOM M DUCE-ET
HOUSA000123925585   3.7   2.3   0.5  66  68   408     7 203HO00421 JAUQUET-SOUKUP CONQUEST-ET
HOUSA000123982137  -0.3   0.0  -0.3  71  74   408   -46 014HO03367 SANDY-VALLEY TREDWAY-ET
HOUSA000128385748   2.0   1.5  -0.1  69  73   408   -47 007HO06657 SANDY-VALLEY TOMAWAWK-ET
HOUSA000129443405   1.7   1.3  -0.1  70  73   408   -27 011HO07319 PARADISE-DND SUEDE-ET
HOUSA000017226919   3.6   2.8  -0.3  90  92   407    19 001HO02271 ROTHROCK DUSTER DARRIN-ET
HOUSA000124268111   2.8   2.2  -0.3  58  59   407    -6 140HO00501 CLAYTOP RUDY
HOUSA000129855754   1.2   0.6   0.4  64  66   407    -9 007HO07310 CROCKETT-ACRES TUFF-ET
HOUSA000017246343   4.0   3.3  -0.6  86  89   406     1 029HO09328 SANDY-VALLEY LOCKET-ET
HOUSA000128560550   3.3   2.2   0.2  66  70   406    28 001HO06721 DARLAWN MTOTO HOSEA
HOUSA000129211299   2.2   2.0  -0.6  62  64   406   -31 006HO00999 G-TOCTIN-SM COLE-ET
HOUSA000207170085  -0.4  -0.7   0.6  67  70   406   -42 029HO10243 EL-DE-JAY WIN NOR WALDEN-ET
HOITA006001001962   2.8   1.9   0.1  97  98   404    49 206HO00004 CAROL PRELUDE MTOTO-ET
HOUSA000129408961   0.3   0.9  -1.0  61  63   404   -70 100HO09488 LEXVOLD CONVINCER HECTOR-ET
HOUSA000130437590   1.6   1.8  -0.9  65  68   404   -32 001HO06921 BOMAZ EARL PINE-351-ET
HOUSA000130558398   1.5   1.4  -0.5  56  59   404   -19 200HO01578 APPLOUIS ALLY-ET
HOUSA000130612629  -0.9  -0.6  -0.1  61  64   404   -77 014HO03882 HIDDEN-VIEW BISHOP-ET
HOUSA000127683320   1.1   1.0  -0.3  52  54   403   -62 100HO09278 KISST B AMEL GRANT-ET
HOUSA000129956174  -0.5  -0.9   0.8  63  66   403   -73 014HO03772 HILMAR LZ SPENCER-ET
HOUSA000130198475   0.5   0.2   0.2  73  77   403   -29 011HO06992 BRANDT-VIEW YANKEE-ET
HOUSA000130800598   0.0  -0.1   0.1  55  57   403   -87 200HO03256 VANTAGE-PT VENTURE-ET
HOUSA000002290977   0.6   0.1   0.5  99  99   402   -99 007HO05375 MARA-THON BW MARSHALL-ET
HOUSA000050453249   3.9   2.6   0.3  74  77   402    33 029HO10376 LEXVOLD MANFRED EVAN-ET
HOUSA000128227570   5.6   3.9   0.1  64  67   402    30 200HO03186 ZIEMS INSPIRE-ET
HOUSA000129017952   2.0   1.8  -0.5  62  64   402    -7 007HO06706 WA-DEL BRENT-ET
HOUSA000130522720   0.6   0.7  -0.4  67  69   402   -70 001HO06903 POTTERS-FIELD ADD SCHEME-ET
HOUSA000060259622   0.2   0.1   0.1  66  70   401   -66 011HO07094 HARTFORD MYRON-ET
HOUSA000130312332   0.3   0.1   0.2  66  69   401   -62 007HO07011 PASEN MARSH-ET
HONLD000839380546  -1.2  -0.9   0.1  97  98   400  -106 097HO00060 ETAZON ADDISON-ET
