NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  8/29/2000
Date processed: 28-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 291
Relative Std Dev Filter Aerosol[%]: 3.0
Relative Std Dev Filter H2O [%]: 6.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
H2O coeff.  a: 0.005994 b: 0.6356
aerosol wavelengths [10^-6 m] 0.3535 0.3800 0.4490 0.4994 0.5246 0.6057 0.6751 0.7784 0.8645 1.0191 1.2413 1.5574
UT[h] Lat[deg] Long[deg] GPS_Alt[km] p_Alt[km] p[hPa] H2O[cm] H2O_Err[cm] AOD_flag AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557  Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557  a2_fit a1_fit a0_fit
08.76083 -23.11685  28.97836   3.843   3.890  644.31  0.0990  0.1025             1  0.0906  0.0859  0.0642  0.0521  0.0546  0.0380  0.0271  0.0216  0.0157  0.0137  0.0081  0.0026  0.0103  0.0199  0.0233  0.0277  0.0478  0.0306  0.0046  0.0030  0.0037  0.0030  0.0037  0.0100 -0.7009 -2.6518 -4.4088
08.76222 -23.11685  28.97836   3.904   3.926  641.49  0.0946  0.1024             1  0.0872  0.0830  0.0619  0.0501  0.0527  0.0367  0.0262  0.0207  0.0150  0.0132  0.0077  0.0026  0.0102  0.0199  0.0233  0.0277  0.0478  0.0306  0.0046  0.0029  0.0036  0.0030  0.0037  0.0099 -0.6886 -2.6458 -4.4490
08.76306 -23.10641  28.97313   3.904   3.924  641.62  0.0902  0.1023             1  0.0805  0.0785  0.0566  0.0476  0.0450  0.0366  0.0257  0.0196  0.0144  0.0125  0.0078  0.0054  0.0096  0.0198  0.0227  0.0275  0.0475  0.0305  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.0642 -1.9328 -4.3791
08.76444 -23.10227  28.97108   3.923   3.931  641.08  0.0889  0.1023             1  0.0810  0.0782  0.0574  0.0470  0.0475  0.0356  0.0251  0.0195  0.0143  0.0125  0.0076  0.0039  0.0096  0.0198  0.0227  0.0275  0.0475  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.3170 -2.2182 -4.4305
08.76556 -23.09812  28.96906   3.931   3.949  639.67  0.0883  0.1022             1  0.0819  0.0788  0.0580  0.0473  0.0485  0.0353  0.0250  0.0195  0.0143  0.0125  0.0075  0.0034  0.0096  0.0198  0.0227  0.0275  0.0475  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.4345 -2.3616 -4.4561
08.76639 -23.09603  28.96805   3.932   3.938  640.54  0.0880  0.1022             1  0.0815  0.0782  0.0579  0.0468  0.0488  0.0348  0.0247  0.0195  0.0140  0.0125  0.0074  0.0031  0.0097  0.0198  0.0227  0.0275  0.0476  0.0306  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.5000 -2.4357 -4.4756
08.76750 -23.09603  28.96805   3.932   3.933  640.95  0.0874  0.1022             1  0.0805  0.0778  0.0565  0.0466  0.0458  0.0359  0.0252  0.0194  0.0143  0.0124  0.0077  0.0049  0.0096  0.0198  0.0227  0.0275  0.0475  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1361 -2.0190 -4.4047
08.76861 -23.09603  28.96805   3.932   3.916  642.29  0.0869  0.1022             1  0.0802  0.0772  0.0568  0.0461  0.0472  0.0350  0.0246  0.0192  0.0140  0.0124  0.0075  0.0038  0.0097  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0024  0.0032  0.0024  0.0033  0.0098 -0.3185 -2.2263 -4.4481
08.76972 -23.08181  28.96115   3.908   3.916  642.29  0.0884  0.1023             1  0.0815  0.0785  0.0573  0.0469  0.0468  0.0359  0.0253  0.0195  0.0144  0.0125  0.0078  0.0046  0.0096  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1865 -2.0764 -4.4051
08.77083 -23.07967  28.96009   3.904   3.906  643.03  0.0843  0.1022             1  0.0773  0.0751  0.0540  0.0451  0.0432  0.0352  0.0245  0.0187  0.0139  0.0119  0.0076  0.0053  0.0097  0.0198  0.0228  0.0275  0.0476  0.0306  0.0043  0.0024  0.0032  0.0025  0.0033  0.0098 -0.0399 -1.9034 -4.4171
08.77194 -23.07267  28.95659   3.894   3.899  643.64  0.0811  0.1021             1  0.0741  0.0723  0.0522  0.0432  0.0422  0.0332  0.0233  0.0179  0.0130  0.0115  0.0071  0.0045  0.0096  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.1316 -2.0154 -4.4836
08.77306 -23.06832  28.95446   3.893   3.905  643.17  0.0771  0.1020             1  0.0714  0.0699  0.0505  0.0418  0.0413  0.0320  0.0223  0.0172  0.0126  0.0110  0.0068  0.0039  0.0097  0.0198  0.0228  0.0276  0.0476  0.0306  0.0043  0.0024  0.0033  0.0025  0.0033  0.0098 -0.2152 -2.1114 -4.5366
08.77444 -23.06399  28.95231   3.896   3.911  642.63  0.0784  0.1021             1  0.0743  0.0721  0.0527  0.0429  0.0439  0.0326  0.0229  0.0179  0.0132  0.0116  0.0072  0.0036  0.0096  0.0198  0.0227  0.0275  0.0476  0.0306  0.0042  0.0023  0.0032  0.0024  0.0033  0.0098 -0.3044 -2.1983 -4.5085
