2005 Colorado River interpolated elevation		
easting (m)	northing (m)	elev (ft)
623682.251	4273877.688	3951.521093
623684.251	4273877.688	3950.796029
623686.251	4273877.688	3951.445634
623688.251	4273877.688	3951.986971
623690.251	4273877.688	3951.206133
623692.251	4273877.688	3950.805871
623694.251	4273877.688	3950.76322
623696.251	4273877.688	3950.746816
623698.251	4273877.688	3950.986317
623700.251	4273877.688	3951.071619
623702.251	4273877.688	3951.15692
623704.251	4273877.688	3951.261907
623706.251	4273877.688	3951.189729
623708.251	4273877.688	3951.268469
623710.251	4273877.688	3951.252064
623712.251	4273877.688	3951.19629
623714.251	4273877.688	3951.120831
623716.251	4273877.688	3950.969913
623718.251	4273877.688	3950.927262
623720.251	4273877.688	3950.681199
623722.251	4273877.688	3950.64511
623724.251	4273877.688	3951.133954
623726.251	4273877.688	3951.35377
623728.251	4273877.688	3951.189729
623730.251	4273877.688	3951.225818
623732.251	4273877.688	3950.818994
623734.251	4273877.688	3950.743535
623736.251	4273877.688	3950.933824
623738.251	4273877.688	3950.635268
623740.251	4273877.688	3950.828837
623742.251	4273877.688	3950.720569
623744.251	4273877.688	3950.546685
623746.251	4273877.688	3950.136581
623748.251	4273877.688	3949.77897
623750.251	4273877.688	3949.752724
623752.251	4273877.688	3950.389205
623754.251	4273877.688	3951.363613
623756.251	4273877.688	3951.19629
623758.251	4273877.688	3950.930543
623760.251	4273877.688	3950.664795
623762.251	4273877.688	3950.628706
623764.251	4273877.688	3950.622144
623766.251	4273877.688	3950.464664
623768.251	4273877.688	3949.883957
623770.251	4273877.688	3949.58212
623772.251	4273877.688	3948.804563
623774.251	4273877.688	3948.210732
623776.251	4273877.688	3947.862964
623778.251	4273877.688	3948.610994
623780.251	4273877.688	3947.882649
623782.251	4273877.688	3948.223855
623784.251	4273877.688	3948.049971
623786.251	4273877.688	3948.010601
623788.251	4273877.688	3947.784224
623790.251	4273877.688	3947.830155
623792.251	4273877.688	3948.184485
623794.251	4273877.688	3948.030286
623796.251	4273877.688	3947.541442
623798.251	4273877.688	3947.410209
623800.251	4273877.688	3947.315064
623802.251	4273877.688	3947.53488
623804.251	4273877.688	3947.423332
623806.251	4273877.688	3946.996823
623808.251	4273877.688	3946.891837
623810.251	4273877.688	3946.918083
623812.251	4273877.688	3946.642493
623814.251	4273877.688	3946.639213
623816.251	4273877.688	3947.275694
623818.251	4273877.688	3948.115588
623820.251	4273877.688	3948.040129
623822.251	4273877.688	3947.308503
623824.251	4273877.688	3948.28291
623826.251	4273877.688	3948.640521
623828.251	4273877.688	3948.860337
623830.251	4273877.688	3948.670049
