    1
42.010426 -87.659103  42.012386 -87.661148  42.015324 -87.661972
42.018009 -87.663071  42.021255 -87.664070  42.024204 -87.665451
42.027336 -87.666840  42.030060 -87.668144  42.032578 -87.668655
42.034733 -87.669144  42.037308 -87.670013  42.039417 -87.669693
42.042385 -87.670555  42.044857 -87.671684  42.046474 -87.672485
42.048779 -87.672333  42.050804 -87.671783  42.052227 -87.669830
42.054409 -87.670013  42.056332 -87.670204  42.058170 -87.669708
42.060467 -87.670181  42.060188 -87.671524  42.060329 -87.672958
42.061554 -87.673996  42.063469 -87.674667  42.064629 -87.675041
42.066860 -87.676262  42.068752 -87.677635  42.070648 -87.678719
42.072971 -87.680573  42.074986 -87.682320  42.076038 -87.683983
42.076843 -87.684441  42.077412 -87.684090  42.078648 -87.682350
42.078815 -87.681053  42.079445 -87.681023  42.079769 -87.682083
42.080189 -87.684029  42.081230 -87.687767  42.082455 -87.691574
42.083736 -87.693863  42.085064 -87.695450//
    1
42.085064 -87.695450  42.086681 -87.697906  42.088715 -87.700951
42.090637 -87.703552  42.092903 -87.706810  42.095161 -87.709839
42.096710 -87.711861  42.098381 -87.714172  42.100471 -87.716957
42.102188 -87.718903  42.104259 -87.720985  42.106712 -87.723679
42.108902 -87.725929  42.111137 -87.728111  42.112541 -87.729187
42.114750 -87.731010  42.116486 -87.732506  42.118584 -87.734550
42.121777 -87.737328  42.123783 -87.738602  42.127430 -87.741142
42.130520 -87.743011  42.133007 -87.744820  42.136536 -87.747780
42.139206 -87.749657  42.141693 -87.751282  42.144653 -87.753563
42.146378 -87.754868  42.149422 -87.756927  42.152653 -87.759186
42.155155 -87.760704  42.156631 -87.761292  42.159145 -87.763283
42.162319 -87.765518  42.165462 -87.767265  42.168171 -87.769257
42.171223 -87.771866  42.173885 -87.774521  42.175922 -87.776276
42.179020 -87.778618  42.181759 -87.780525  42.183910 -87.782211
42.186977 -87.784889  42.188435 -87.785950  42.191494 -87.787598
42.192894 -87.788857  42.194489 -87.790291  42.196323 -87.791710
42.199726 -87.794167  42.202370 -87.795525  42.204288 -87.796722
42.206177 -87.797745  42.208050 -87.799019  42.210144 -87.800774
42.211758 -87.801498  42.213036 -87.802208  42.215382 -87.802948
42.217766 -87.803764  42.220886 -87.804405  42.222118 -87.805191
42.223900 -87.806648  42.226280 -87.808769  42.228680 -87.810509
42.230598 -87.811409  42.232784 -87.812195  42.234695 -87.812660
42.237373 -87.813469  42.240215 -87.815010  42.242756 -87.815826
42.246468 -87.817047  42.250267 -87.818489  42.254047 -87.820526
42.257454 -87.821945  42.259769 -87.823357  42.261902 -87.824364
42.264179 -87.825508  42.266346 -87.826424  42.268700 -87.827347
42.270912 -87.827728  42.273182 -87.828293  42.275219 -87.828667
42.276985 -87.829063  42.281021 -87.829826  42.283569 -87.830536
