Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	86
Date	2004MAR26
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	18.99984	[UTC]
Stop_time	19.28262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.36310	[p_s^-1]
ForeOptic_temperature	32.97	[ns]
Front_temperature	32.97	[ns]
Back_temperature	24.90	[ns]
Inside_temperature	24.30	[ns]
Shelter_temperature	22.33	[ns]
PSUnit_temperature	25.36	[ns]
AirCond_temperature	18.97	[ns]
Outside_temperature	26.49	[ns]
Comments	none
Formatted_file	2004086f12.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
327.060	477.46753	0.0002	0.0000
327.160	376.16339	0.0002	0.0000
327.260	466.09048	0.0002	0.0000
327.360	495.96783	0.0002	0.0000
327.460	457.94568	0.0002	0.0000
327.560	529.73303	0.0002	0.0000
327.659	419.94522	0.0002	0.0000
327.759	437.75641	0.0002	0.0000
327.859	431.28476	0.0002	0.0000
327.959	396.32452	0.0002	0.0000
328.059	463.92932	0.0002	0.0000
328.159	442.30328	0.0002	0.0000
328.259	395.84525	0.0002	0.0000
328.359	455.28720	0.0002	0.0000
328.459	474.69687	0.0002	0.0000
328.559	440.06903	0.0002	0.0000
328.659	343.53708	0.0002	0.0000
328.759	367.81870	0.0002	0.0000
328.859	417.35403	0.0002	0.0000
328.959	531.95660	0.0002	0.0000
329.059	549.90674	0.0002	0.0000
329.159	523.38531	0.0002	0.0000
329.259	532.79218	0.0002	0.0000
329.359	606.96338	0.0002	0.0000
329.459	573.05859	0.0002	0.0000
329.559	519.64655	0.0002	0.0000
329.659	560.18262	0.0002	0.0000
329.759	590.64935	0.0002	0.0000
329.859	515.76355	0.0002	0.0000
329.959	561.01526	0.0002	0.0000
330.059	692.24969	0.0001	0.0000
330.159	570.77734	0.0002	0.0000
330.259	429.80740	0.0002	0.0000
330.358	486.52377	0.0002	0.0000
330.458	493.25903	0.0002	0.0000
330.558	372.35001	0.0002	0.0000
330.658	347.13834	0.0002	0.0000
330.758	453.20557	0.0002	0.0000
330.858	503.34680	0.0002	0.0000
330.958	509.01935	0.0002	0.0000
331.058	465.95691	0.0002	0.0000
331.158	529.90131	0.0002	0.0000
331.258	440.54193	0.0002	0.0000
331.358	491.40851	0.0002	0.0000
331.458	395.84885	0.0002	0.0000
331.558	430.64209	0.0002	0.0000
331.658	516.19464	0.0002	0.0000
331.758	534.41156	0.0002	0.0000
331.858	536.44983	0.0002	0.0000
331.958	517.56732	0.0002	0.0000
332.058	481.67557	0.0002	0.0000
332.158	534.22949	0.0002	0.0000
332.258	381.83496	0.0002	0.0000
332.358	402.05316	0.0002	0.0000
332.458	466.66150	0.0002	0.0000
332.558	585.39594	0.0002	0.0000
332.658	526.15662	0.0002	0.0000
332.758	479.73419	0.0002	0.0000
332.858	490.50922	0.0002	0.0000
332.958	383.24268	0.0002	0.0000
333.058	545.63116	0.0002	0.0000
333.158	488.29904	0.0002	0.0000
333.257	499.06442	0.0002	0.0000
333.357	534.95190	0.0002	0.0000
333.457	467.66946	0.0002	0.0000
333.557	378.39508	0.0002	0.0000
333.657	319.37076	0.0002	0.0000
333.757	432.14789	0.0002	0.0000
333.857	483.77594	0.0002	0.0000
333.957	493.16803	0.0002	0.0000
334.057	441.83591	0.0002	0.0000
334.157	481.79880	0.0002	0.0000
334.257	483.68097	0.0002	0.0000
334.357	552.51715	0.0002	0.0000
334.457	545.84009	0.0002	0.0000
334.557	556.53876	0.0002	0.0000
334.657	539.83136	0.0002	0.0000
334.757	542.95026	0.0002	0.0000
334.857	479.35065	0.0002	0.0000
334.957	267.88171	0.0002	0.0000
335.057	476.13434	0.0002	0.0000
335.157	560.28772	0.0002	0.0000
335.257	575.21112	0.0002	0.0000
335.357	520.75464	0.0002	0.0000
335.457	533.48718	0.0002	0.0000
335.557	618.06293	0.0002	0.0000
335.657	558.02972	0.0002	0.0000
335.757	581.67639	0.0002	0.0000
335.857	425.12421	0.0002	0.0000
335.957	285.42639	0.0002	0.0000
336.057	255.67795	0.0002	0.0000
336.156	212.71652	0.0003	0.0000
336.256	413.21918	0.0002	0.0000
336.356	507.04938	0.0002	0.0000
336.456	550.94257	0.0002	0.0000
336.556	570.26697	0.0002	0.0000
336.656	477.46902	0.0002	0.0000
336.756	383.46875	0.0002	0.0000
336.856	377.42374	0.0002	0.0000
336.956	312.83014	0.0002	0.0000
337.056	391.35135	0.0002	0.0000
337.156	373.48877	0.0002	0.0000
337.256	303.85324	0.0002	0.0000
337.356	440.60681	0.0002	0.0000
337.456	417.46454	0.0002	0.0000
337.556	593.02814	0.0002	0.0000
337.656	572.56494	0.0002	0.0000
337.756	582.90387	0.0002	0.0000
337.856	494.29184	0.0002	0.0000
337.956	406.91092	0.0002	0.0000
338.056	259.05835	0.0002	0.0000
338.156	556.79504	0.0002	0.0000
338.256	499.59863	0.0002	0.0000
338.356	447.17355	0.0002	0.0000
338.456	512.72888	0.0002	0.0000
338.556	506.62314	0.0002	0.0000
338.656	615.74103	0.0002	0.0000
338.756	483.47278	0.0002	0.0000
338.856	432.47595	0.0002	0.0000
338.956	592.35699	0.0002	0.0000
339.056	572.17621	0.0002	0.0000
339.156	454.60596	0.0002	0.0000
339.255	310.65744	0.0002	0.0000
339.355	421.97488	0.0002	0.0000
339.455	467.66281	0.0002	0.0000
339.555	519.30920	0.0002	0.0000
339.655	533.36285	0.0002	0.0000
339.755	565.27216	0.0002	0.0000
339.855	590.63220	0.0002	0.0000
339.955	563.03015	0.0002	0.0000
340.055	718.90527	0.0001	0.0000
340.155	578.66272	0.0002	0.0000
340.255	536.96210	0.0002	0.0000
340.355	558.02747	0.0002	0.0000
340.455	481.91614	0.0002	0.0000
340.555	581.98779	0.0002	0.0000
340.655	491.97568	0.0002	0.0000
340.755	403.24506	0.0002	0.0000
340.855	552.91022	0.0002	0.0000
340.955	445.35785	0.0002	0.0000
341.055	532.79559	0.0002	0.0000
341.155	594.06049	0.0002	0.0000
341.255	526.03741	0.0002	0.0000
341.355	403.71646	0.0002	0.0000
341.455	343.34518	0.0002	0.0000
341.555	423.70160	0.0002	0.0000
341.655	555.79523	0.0002	0.0000
341.755	502.69064	0.0002	0.0000
341.855	557.07922	0.0002	0.0000
341.955	652.14606	0.0002	0.0000
342.055	611.25897	0.0002	0.0000
342.155	572.54248	0.0002	0.0000
342.255	488.00363	0.0002	0.0000
342.355	446.01053	0.0002	0.0000
342.454	464.98212	0.0002	0.0000
342.554	628.91840	0.0002	0.0000
342.654	478.29913	0.0002	0.0000
342.754	494.13007	0.0002	0.0000
342.854	493.41367	0.0002	0.0000
342.954	683.05670	0.0002	0.0000
343.054	650.66351	0.0002	0.0000
343.154	514.80878	0.0002	0.0000
343.254	529.81720	0.0002	0.0000
343.354	342.48718	0.0002	0.0000
343.454	585.04419	0.0002	0.0000
343.554	623.24280	0.0002	0.0000
343.654	553.21558	0.0002	0.0000
343.754	437.97647	0.0002	0.0000
343.854	493.19659	0.0002	0.0000
343.954	502.35999	0.0002	0.0000
344.054	239.62321	0.0003	0.0000
344.154	258.93744	0.0002	0.0000
344.254	347.76810	0.0002	0.0000
344.354	271.09656	0.0002	0.0000
344.454	423.05011	0.0002	0.0000
344.554	458.59772	0.0002	0.0000
344.654	348.95090	0.0002	0.0000
344.754	471.49786	0.0002	0.0000
344.854	520.45050	0.0002	0.0000
344.954	474.83499	0.0002	0.0000
345.054	606.50122	0.0002	0.0000
345.154	585.92487	0.0002	0.0000
345.254	429.03952	0.0002	0.0000
345.354	398.82947	0.0002	0.0000
345.454	645.01227	0.0002	0.0000
345.554	540.86780	0.0002	0.0000
345.654	504.73541	0.0002	0.0000
345.754	524.30420	0.0002	0.0000
