NASA Ames Airborne Tracking 14-Channel Sunphotometer, AATS-14
SAFARI-2000  9/ 1/2000
Date processed: 29-Jan-2002 by Beat Schmid, Version 1.6
NO2 [molec/cm2]: 2e+015
O3 [DU]: 295
Relative Std Dev Filter Aerosol[%]: 5.0
Relative Std Dev Filter H2O [%]: 10.0
Max m_aero: Inf
Max tau_aero: 5.0
Max tau_aero error: Inf
Min Alpha Angstrom: 0.00
AOD smoothing parameter 0.99
aerosol wavelengths [10^-6 m]  0.353  0.380  0.449  0.499  0.525  0.606  0.675  0.778  0.865  1.019  1.241  1.557
UT[h]     Lat[deg]  Lon[deg]  GPS_Alt p_Alt[km] p[hPa]  AOD0354 AOD0380 AOD0449 AOD0499 AOD0525 AOD0606 AOD0675 AOD0778 AOD0865 AOD1019 AOD1241 AOD1557 Err0354 Err0380 Err0449 Err0499 Err0525 Err0606 Err0675 Err0778 Err0865 Err1019 Err1241 Err1557 a2_fit  a1_fit  a0_fit  Ext0354 Ext0380 Ext0449 Ext0499 Ext0525 Ext0606 Ext0675 Ext0778 Ext0865 Ext1019 Ext1241 Ext1557 a2_fit  a1_fit  a0_fit
10.93000 -17.51355  25.10062  2.860   2.854     729.82  0.2555  0.2385  0.1767  0.1427  0.1341  0.1040  0.0808  0.0621  0.0602  0.0594  0.0307  0.0212  0.0138  0.0227  0.0286  0.0322  0.0551  0.0346  0.0063  0.0047  0.0054  0.0048  0.0055  0.0119  0.0100 -1.6323 -3.0670  0.0944  0.0854  0.0633  0.0532  0.0454  0.0359  0.0279  0.0202  0.0163  0.0107  0.0092  0.0075  0.3002 -1.6598 -4.3191
10.92722 -17.50287  25.09550  2.909   2.872     728.29  0.2585  0.2420  0.1776  0.1454  0.1332  0.1067  0.0823  0.0630  0.0610  0.0593  0.0312  0.0233  0.0109  0.0223  0.0255  0.0309  0.0534  0.0343  0.0047  0.0027  0.0036  0.0027  0.0037  0.0110  0.0757 -1.5613 -3.0439  0.0916  0.0827  0.0613  0.0513  0.0441  0.0346  0.0269  0.0196  0.0158  0.0105  0.0089  0.0072  0.2953 -1.6647 -4.3522
10.92556 -17.50084  25.09455  2.919   2.902     725.67  0.2675  0.2496  0.1836  0.1485  0.1388  0.1098  0.0849  0.0651  0.0629  0.0616  0.0326  0.0239  0.0110  0.0223  0.0256  0.0310  0.0535  0.0343  0.0048  0.0027  0.0037  0.0028  0.0038  0.0110  0.0768 -1.5583 -3.0102  0.0885  0.0796  0.0591  0.0489  0.0427  0.0332  0.0257  0.0188  0.0151  0.0103  0.0087  0.0068  0.2876 -1.6707 -4.3899
10.92444 -17.49756  25.09306  2.927   2.921     724.05  0.2588  0.2419  0.1776  0.1450  0.1333  0.1066  0.0823  0.0631  0.0611  0.0596  0.0314  0.0233  0.0110  0.0223  0.0256  0.0310  0.0535  0.0343  0.0048  0.0028  0.0037  0.0028  0.0038  0.0110  0.0771 -1.5578 -3.0418  0.0876  0.0787  0.0584  0.0481  0.0424  0.0327  0.0253  0.0186  0.0149  0.0103  0.0086  0.0066  0.2790 -1.6786 -4.4023
10.92278 -17.49348  25.09116  2.943   2.933     723.01  0.2568  0.2399  0.1771  0.1447  0.1333  0.1049  0.0815  0.0626  0.0606  0.0590  0.0309  0.0220  0.0119  0.0224  0.0265  0.0313  0.0539  0.0344  0.0053  0.0036  0.0043  0.0036  0.0044  0.0113  0.0376 -1.6043 -3.0581  0.0874  0.0784  0.0582  0.0477  0.0424  0.0325  0.0251  0.0185  0.0148  0.0104  0.0086  0.0065  0.2692 -1.6891 -4.4078
10.92111 -17.48940  25.08927  2.960   2.950     721.50  0.2559  0.2380  0.1776  0.1425  0.1371  0.1036  0.0807  0.0629  0.0604  0.0611  0.0308  0.0206  0.0109  0.0223  0.0255  0.0309  0.0535  0.0343  0.0047  0.0027  0.0036  0.0027  0.0037  0.0110 -0.0267 -1.6619 -3.0622  0.0876  0.0784  0.0583  0.0475  0.0427  0.0323  0.0250  0.0185  0.0148  0.0105  0.0085  0.0063  0.2460 -1.7154 -4.4130
10.91889 -17.47501  25.08544  3.017   2.975     719.41  0.2515  0.2337  0.1760  0.1414  0.1358  0.1007  0.0788  0.0617  0.0588  0.0599  0.0295  0.0182  0.0139  0.0227  0.0287  0.0321  0.0550  0.0346  0.0064  0.0051  0.0057  0.0051  0.0057  0.0119 -0.1113 -1.7646 -3.1016  0.0887  0.0791  0.0591  0.0478  0.0435  0.0323  0.0250  0.0186  0.0148  0.0107  0.0085  0.0060  0.2010 -1.7694 -4.4150
10.91736 -17.47501  25.08544  3.017   3.002     717.02  0.2453  0.2318  0.1687  0.1407  0.1241  0.1017  0.0798  0.0595  0.0593  0.0545  0.0299  0.0232  0.0167  0.0232  0.0318  0.0335  0.0568  0.0349  0.0079  0.0069  0.0073  0.0069  0.0073  0.0127  0.0948 -1.5446 -3.0931  0.0912  0.0812  0.0609  0.0490  0.0449  0.0329  0.0255  0.0190  0.0151  0.0109  0.0085  0.0058  0.1553 -1.8311 -4.4066
10.91444 -17.46070  25.08421  3.076   3.037     714.03  0.2559  0.2389  0.1767  0.1440  0.1336  0.1046  0.0811  0.0625  0.0601  0.0593  0.0304  0.0215  0.0120  0.0224  0.0267  0.0314  0.0540  0.0344  0.0054  0.0037  0.0044  0.0038  0.0045  0.0113  0.0167 -1.6272 -3.0649  0.0967  0.0860  0.0646  0.0520  0.0476  0.0345  0.0269  0.0200  0.0158  0.0114  0.0088  0.0057  0.1145 -1.8931 -4.3712
10.91333 -17.46070  25.08421  3.076   3.051     712.82  0.2663  0.2487  0.1835  0.1496  0.1384  0.1090  0.0843  0.0646  0.0621  0.0606  0.0315  0.0227  0.0110  0.0223  0.0257  0.0310  0.0536  0.0343  0.0048  0.0029  0.0038  0.0029  0.0038  0.0111  0.0387 -1.6129 -3.0301  0.0996  0.0886  0.0665  0.0536  0.0490  0.0355  0.0276  0.0206  0.0162  0.0116  0.0089  0.0058  0.0994 -1.9161 -4.3494
10.91167 -17.45837  25.08403  3.086   3.079     710.46  0.2660  0.2487  0.1828  0.1504  0.1365  0.1090  0.0842  0.0644  0.0618  0.0596  0.0311  0.0230  0.0122  0.0224  0.0269  0.0315  0.0542  0.0344  0.0055  0.0039  0.0046  0.0039  0.0047  0.0114  0.0520 -1.6061 -3.0356  0.1055  0.0939  0.0704  0.0568  0.0518  0.0375  0.0291  0.0217  0.0169  0.0122  0.0092  0.0059  0.0733 -1.9558 -4.3068
10.90840 -17.44356  25.08299  3.103   3.092     709.35  0.2482  0.2317  0.1720  0.1394  0.1312  0.1012  0.0786  0.0609  0.0588  0.0590  0.0297  0.0205  0.0116  0.0224  0.0263  0.0313  0.0539  0.0344  0.0052  0.0033  0.0042  0.0034  0.0042  0.0112 -0.0094 -1.6451 -3.0908  0.1080  0.0960  0.0721  0.0581  0.0530  0.0383  0.0297  0.0222  0.0172  0.0125  0.0093  0.0059  0.0613 -1.9736 -4.2901
10.90500 -17.43370  25.08240  3.132   3.110     707.84  0.2303  0.2163  0.1596  0.1299  0.1209  0.0955  0.0740  0.0571  0.0562  0.0563  0.0285  0.0203  0.0111  0.0223  0.0258  0.0311  0.0537  0.0344  0.0049  0.0029  0.0038  0.0030  0.0039  0.0111  0.0214 -1.5868 -3.1377  0.1105  0.0982  0.0737  0.0594  0.0542  0.0392  0.0303  0.0226  0.0175  0.0127  0.0094  0.0059  0.0451 -1.9965 -4.2751
10.90333 -17.42762  25.08202  3.175   3.148     704.61  0.2199  0.2063  0.1530  0.1228  0.1176  0.0908  0.0705  0.0548  0.0541  0.0559  0.0274  0.0186  0.0119  0.0224  0.0266  0.0314  0.0540  0.0344  0.0053  0.0036  0.0044  0.0037  0.0045  0.0113 -0.0257 -1.6242 -3.1788  0.1128  0.1003  0.0753  0.0606  0.0553  0.0399  0.0307  0.0230  0.0177  0.0130  0.0094  0.0058  0.0153 -2.0375 -4.2672
10.90222 -17.42278  25.08169  3.208   3.174     702.45  0.2210  0.2082  0.1530  0.1248  0.1160  0.0926  0.0716  0.0554  0.0548  0.0554  0.0279  0.0203  0.0113  0.0223  0.0260  0.0312  0.0538  0.0344  0.0050  0.0031  0.0040  0.0032  0.0041  0.0112  0.0386 -1.5514 -3.1585  0.1129  0.1003  0.0753  0.0605  0.0553  0.0400  0.0307  0.0230  0.0175  0.0131  0.0093  0.0057  0.0037 -2.0540 -4.2723
10.90111 -17.41796  25.08132  3.236   3.198     700.37  0.2277  0.2138  0.1581  0.1287  0.1201  0.0940  0.0732  0.0565  0.0556  0.0559  0.0281  0.0197  0.0128  0.0225  0.0276  0.0317  0.0545  0.0345  0.0059  0.0044  0.0050  0.0044  0.0051  0.0116  0.0031 -1.6072 -3.1503  0.1128  0.1002  0.0751  0.0605  0.0551  0.0400  0.0306  0.0229  0.0174  0.0130  0.0092  0.0057  0.0033 -2.0571 -4.2761
10.90000 -17.41796  25.08132  3.236   3.219     698.62  0.2091  0.1977  0.1449  0.1189  0.1096  0.0884  0.0682  0.0528  0.0528  0.0537  0.0269  0.0197  0.0122  0.0224  0.0270  0.0315  0.0542  0.0345  0.0055  0.0039  0.0046  0.0040  0.0047  0.0114  0.0421 -1.5313 -3.1971  0.1128  0.1003  0.0751  0.0605  0.0550  0.0401  0.0306  0.0229  0.0174  0.0130  0.0091  0.0057  0.0114 -2.0497 -4.2754
10.89847 -17.40934  25.08062  3.287   3.260     695.22  0.2268  0.2127  0.1585  0.1301  0.1214  0.0934  0.0733  0.0568  0.0557  0.0562  0.0278  0.0197  0.0129  0.0226  0.0278  0.0318  0.0546  0.0346  0.0059  0.0044  0.0051  0.0044  0.0051  0.0116 -0.0097 -1.6169 -3.1488  0.1149  0.1023  0.0763  0.0620  0.0557  0.0412  0.0314  0.0234  0.0178  0.0132  0.0093  0.0061  0.0462 -2.0110 -4.2489
