   yr mo da hr mn sc                S_40                T_28
 2004  2 16 18 57 30           32.756046            2.016800
 2004  2 16 19 57 30           32.748291            2.026650
 2004  2 16 20 57 30           32.751652            1.993350
 2004  2 16 21 57 30           32.730740            1.913650
 2004  2 16 22 57 30           32.756985            2.009400
 2004  2 16 23 57 30           32.789394            2.075358
 2004  2 17  0 57 30           32.785961            2.071125
 2004  2 17  1 57 30           32.720940            1.907750
 2004  2 17  2 57 30           32.708012            1.800175
 2004  2 17  3 57 30           32.682652            1.864100
 2004  2 17  4 57 30           32.699619            1.907850
 2004  2 17  5 57 30           32.737526            1.952758
 2004  2 17  6 57 30           32.740925            1.915983
 2004  2 17  7 57 30           32.722332            1.869258
 2004  2 17  8 57 30           32.740173            1.922258
 2004  2 17  9 57 30           32.738422            1.943250
 2004  2 17 10 57 30           32.742680            1.962267
 2004  2 17 11 57 30           32.740257            1.970050
 2004  2 17 12 57 30           32.748226            1.977800
 2004  2 17 13 57 30           32.744152            1.962342
 2004  2 17 14 57 30           32.741989            1.944917
 2004  2 17 15 57 30           32.725739            1.916875
 2004  2 17 16 57 30           32.748623            2.024517
 2004  2 17 17 57 30           32.766544            2.134892
 2004  2 17 18 57 30           32.766296            2.045866
 2004  2 17 19 57 30           32.745361            2.107942
 2004  2 17 20 57 30           32.726635            2.107667
 2004  2 17 21 57 30           32.788052            2.140867
 2004  2 17 22 57 30           32.794704            2.135067
 2004  2 17 23 57 30           32.786781            2.101175
 2004  2 18  0 57 30           32.793095            2.087100
 2004  2 18  1 57 30           32.795914            2.081825
 2004  2 18  2 57 30           32.789162            2.060592
 2004  2 18  3 57 30           32.779873            2.053717
 2004  2 18  4 57 30           32.798637            2.133708
 2004  2 18  5 57 30           32.756054            2.088442
 2004  2 18  6 57 30           32.784294            2.127283
 2004  2 18  7 57 30           32.791714            2.151667
 2004  2 18  8 57 30           32.807564            2.152583
 2004  2 18  9 57 30           32.801151            2.090258
 2004  2 18 10 57 30           32.791351            2.052833
 2004  2 18 11 57 30           32.801586            2.057733
 2004  2 18 12 57 30           32.803726            2.061192
 2004  2 18 13 57 30           32.786678            2.024267
 2004  2 18 14 57 30           32.744438            1.989883
 2004  2 18 15 57 30           32.731953            2.008658
 2004  2 18 16 57 30           32.780048            2.070025
 2004  2 18 17 57 30           32.752846            2.077083
 2004  2 18 18 57 30           32.707493            2.060050
 2004  2 18 19 57 30           32.704811            2.060517
 2004  2 18 20 57 30           32.716511            2.045667
 2004  2 18 21 57 30           32.687656            2.025617
 2004  2 18 22 57 30           32.677002            2.011817
 2004  2 18 23 57 30           32.670921            2.014617
 2004  2 19  0 57 30           32.701866            2.052383
 2004  2 19  1 57 30           32.719536            2.064367
 2004  2 19  2 57 30           32.730438            2.047850
 2004  2 19  3 57 30           32.734875            2.038650
 2004  2 19  4 57 30           32.728642            2.034675
 2004  2 19  5 57 30           32.711746            1.959000
 2004  2 19  6 57 30           32.723473            1.938275
 2004  2 19  7 57 30           32.777641            1.983917
 2004  2 19  8 57 30           32.771980            1.982567
 2004  2 19  9 57 30           32.785130            1.993192
 2004  2 19 10 57 30           32.764198            1.975483
 2004  2 19 11 57 30           32.784008            1.971483
 2004  2 19 12 57 30           32.806908            1.999000
 2004  2 19 13 57 30           32.821346            2.014850
 2004  2 19 14 57 30           32.823959            2.014242
 2004  2 19 15 57 30           32.823753            2.013483
 2004  2 19 16 57 30           32.824974            2.040475
 2004  2 19 17 57 30           32.822258            2.027583
 2004  2 19 18 57 30           32.806499            2.014600
 2004  2 19 19 57 30           32.789574            2.002408
 2004  2 19 20 57 30           32.788048            1.981433
 2004  2 19 21 57 30           32.791718            1.950117
 2004  2 19 22 57 30           32.764931            2.008967
 2004  2 19 23 57 30           32.772938            1.988883
 2004  2 20  0 57 30           32.779972            1.943642
 2004  2 20  1 57 30           32.776100            1.920217
 2004  2 20  2 57 30           32.778694            1.856750
 2004  2 20  3 57 30           32.774246            1.816033
 2004  2 20  4 57 30           32.770840            1.818883
 2004  2 20  5 57 30           32.776123            1.805800
 2004  2 20  6 57 30           32.770092            1.880392
 2004  2 20  7 57 30           32.766930            2.014383
 2004  2 20  8 57 30           32.776382            2.035808
 2004  2 20  9 57 30           32.781471            2.018758
 2004  2 20 10 57 30           32.762459            1.968000
 2004  2 20 11 57 30           32.778225            1.869250
 2004  2 20 12 57 30           32.770424            1.732083
 2004  2 20 13 57 30           32.761799            1.689858
 2004  2 20 14 57 30           32.755100            1.645742
 2004  2 20 15 57 30           32.754017            1.630642
 2004  2 20 16 57 30           32.752537            1.632917
 2004  2 20 17 57 30           32.753258            1.646867
 2004  2 20 18 57 30           32.762051            1.735758
 2004  2 20 19 57 30           32.770157            1.896750
 2004  2 20 20 57 30           32.796761            1.987608
 2004  2 20 21 57 30           32.813141            1.990117
 2004  2 20 22 57 30           32.794853            1.966567
 2004  2 20 23 57 30           32.782997            1.945525
 2004  2 21  0 57 30           32.779510            1.836450
 2004  2 21  1 57 30           32.759285            1.681050
 2004  2 21  2 57 30           32.756268            1.687050
 2004  2 21  3 57 30           32.759563            1.695850
 2004  2 21  4 57 30           32.762684            1.731092
 2004  2 21  5 57 30           32.765091            1.749917
 2004  2 21  6 57 30           32.773376            1.734700
 2004  2 21  7 57 30           32.772137            1.856033
 2004  2 21  8 57 30           32.765320            1.917717
