! Converted to time format with year at start.
!
! 03/20/86 CAROLYN DRS$DATA:[CAROLYN.JON]MELV70BS.200;
! DUA0:[DATA.][CAROLYN.JON]FMTA.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
!  
!*REDUCED MAGNETICS  BERING SEA  MELVILLE-70-BS               LINES M1 - M4  
! DATA: ID,LINE,JD,IH,AM,OBS,REG,RES,LAT,LONG,CSE,SPD  
! FORMAT(A2,2X,I1,I3,I2,I2,T15,I5,T25,F6.0,T32,F6.0,T39,F8.4,T49,F9.4,T60,F5.1,T66,F4.1)  
!      
19702070256000 49590.0
19702070301000 49575.0
19702070306000 49566.0
19702070311000 49555.0
19702070316000 49543.0
19702070321000 49531.0
19702070326000 49524.0
19702070331000 49514.0
19702070336000 49512.0
19702070341000 49510.0
19702070346000 49513.0
19702070351000 49523.0
19702070356000 49531.0
19702070401000 49547.0
19702070406000 49560.0
19702070411000 49577.0
19702070416000 49587.0
19702070421000 49601.0
19702070426000 49609.0
19702070431000 49622.0
19702070435000 49628.0
19702070440000 49632.0
19702070445000 49633.0
19702070450000 49633.0
19702070455000 49633.0
19702070500000 49639.0
19702070505000 49652.0
19702070510000 49660.0
19702070515000 49670.0
19702070521000 49681.0
19702070527000 49694.0
19702070531000 49702.0
19702070536000 49709.0
19702070541000 49714.0
19702070546000 49716.0
19702070551000 49721.0
19702070556000 49718.0
19702070601000 49712.0
19702070606000 49711.0
19702070611000 49706.0
19702070616000 49709.0
19702070621000 49712.0
19702070626000 49733.0
19702070631000 49748.0
19702070636000 49756.0
19702070641000 49755.0
19702070646000 49767.0
19702070651000 49783.0
19702070656000 49795.0
19702070701000 49800.0
19702070706000 49808.0
19702070711000 49818.0
19702070716000 49824.0
19702070721000 49831.0
19702070726000 49840.0
19702070731000 49849.0
19702070736000 49860.0
19702070741000 49874.0
19702070746000 49888.0
19702070751000 49902.0
19702070756000 49917.0
19702070801000 49933.0
19702070806000 49949.0
19702070810000 49968.0
19702070815000 49986.0
19702070820000 49997.0
19702070825000 50012.0
19702070830000 50026.0
19702070835000 50046.0
19702070840000 50074.0
19702070845000 50091.0
19702070850000 50106.0
19702070855000 50124.0
19702070900000 50139.0
19702070905000 50153.0
19702070910000 50160.0
19702070915000 50159.0
19702070920000 50166.0
19702070925000 50195.0
19702070930000 50267.0
19702070935000 50358.0
19702070940000 50431.0
19702070945000 50473.0
19702070950000 50484.0
19702070955000 50473.0
19702071000000 50462.0
19702071005000 50458.0
19702071010000 50461.0
19702071014000 50474.0
19702071019000 50476.0
19702071024000 50471.0
19702071029000 50450.0
19702071034000 50396.0
19702071039000 50481.0
19702071044000 50454.0
19702071049000 50407.0
19702071054000 50373.0
19702071059000 50366.0
19702071104000 50362.0
19702071109000 50379.0
19702071114000 50416.0
19702071119000 50432.0
19702071124000 50407.0
19702071129000 50368.0
19702071134000 50369.0
19702071139000 50278.0
19702071144000 50294.0
19702071149000 50357.0
19702071154000 50413.0
19702071158000 50414.0
19702071203000 50328.0
19702071208000 50333.0
19702071213000 50328.0
19702071218000 50255.0
19702071223000 50242.0
19702071228000 50707.0
19702071233000 50739.0
19702071238000 50212.0
19702071243000 50241.0
19702071248000 50257.0
19702071253000 50167.0
19702071258000 50086.0
19702071303000 50033.0
19702071648000 50139.0
19702071653000 50086.0
19702071658000 49995.0
19702071703000 49901.0
19702071708000 49852.0
19702071713000 49840.0
19702071718000 49843.0
19702071723000 49848.0
19702071728000 49885.0
19702071733000 49960.0
19702071738000 50050.0
19702071743000 50108.0
19702071747000 50055.0
19702071757000 49852.0
19702071802000 49837.0
19702071807000 49849.0
19702071812000 49861.0
19702071817000 49869.0
19702071822000 49876.0
19702071827000 49883.0
19702071832000 49891.0
19702071837000 49903.0
19702071842000 49913.0
19702071847000 49925.0
19702071852000 49936.0
19702071857000 49948.0
19702071902000 49959.0
19702071907000 49969.0
19702071912000 49984.0
19702071917000 49998.0
19702071922000 50010.0
19702071927000 50024.0
19702071932000 50034.0
19702071937000 50050.0
19702071942000 50062.0
19702071947000 50073.0
19702071952000 50087.0
19702071957000 50098.0
19702072002000 50110.0
19702072007000 50120.0
19702072012000 50129.0
19702072017000 50139.0
19702072022000 50147.0
19702072027000 50155.0
19702072032000 50163.0
19702072037000 50171.0
19702072042000 50180.0
19702072047000 50187.0
19702072052000 50196.0
19702072057000 50203.0
19702072102000 50210.0
19702072107000 50217.0
19702072112000 50224.0
19702072117000 50228.0
19702072122000 50231.0
19702072127000 50238.0
19702072132000 50241.0
19702072137000 50246.0
19702072142000 50251.0
19702072147000 50256.0
19702072152000 50257.0
19702072156000 50265.0
19702072201000 50270.0
19702072206000 50277.0
19702072211000 50287.0
19702072216000 50307.0
19702072221000 50310.0
19702072226000 50325.0
19702072231000 50335.0
19702072236000 50348.0
19702072241000 50366.0
19702072246000 50384.0
19702072251000 50407.0
19702072256000 50425.0
19702072301000 50444.0
19702072306000 50460.0
19702072311000 50478.0
19702072316000 50494.0
19702072321000 50510.0
19702072326000 50526.0
19702072331000 50542.0
19702072336000 50557.0
19702072341000 50568.0
19702072346000 50574.0
19702072351000 50576.0
19702072356000 50576.0
19702080005000 50566.0
19702080010000 50559.0
19702080015000 50554.0
19702080020000 50548.0
19702080025000 50543.0
19702080030000 50537.0
19702080034000 50535.0
19702080039000 50534.0
19702080044000 50537.0
19702080049000 50538.0
19702080054000 50537.0
19702080059000 50540.0
19702080104000 50540.0
19702080109000 50540.0
19702080114000 50540.0
19702080119000 50534.0
19702080124000 50526.0
19702080129000 50514.0
19702080134000 50499.0
19702080139000 50485.0
19702080144000 50473.0
19702080149000 50463.0
19702080154000 50459.0
19702080159000 50461.0
19702080204000 50462.0
19702080209000 50465.0
19702080214000 50464.0
19702080219000 50455.0
19702080224000 50442.0
19702080229000 50424.0
19702080234000 50403.0
19702080239000 50382.0
19702080244000 50361.0
19702080249000 50340.0
19702080254000 50314.0
19702080259000 50288.0
19702080304000 50269.0
19702080309000 50264.0
19702080314000 50273.0
19702080319000 50291.0
19702080324000 50311.0
19702080329000 50331.0
19702080334000 50347.0
19702080339000 50360.0
19702080344000 50375.0
19702080348000 50391.0
19702080353000 50418.0
19702080358000 50446.0
19702080403000 50481.0
19702080408000 50520.0
19702080413000 50563.0
19702080418000 50616.0
19702080423000 50672.0
19702080428000 50733.0
19702080433000 50870.0
19702080438000 50856.0
19702080443000 50902.0
19702080448000 50933.0
19702080453000 50943.0
19702080458000 50934.0
19702080503000 50912.0
19702080509000 50861.0
19702080514000 50808.0
19702080519000 50751.0
19702080524000 50697.0
19702080529000 50650.0
19702080534000 50618.0
19702080539000 50604.0
19702080544000 50593.0
19702080549000 50593.0
19702080554000 50604.0
19702080559000 50618.0
19702080603000 50603.0
19702080608000 50645.0
19702080613000 50639.0
19702080618000 50646.0
19702080623000 50643.0
19702080628000 50636.0
19702080633000 50628.0
19702080638000 50625.0
19702080643000 50628.0
19702080648000 50635.0
19702080653000 50644.0
19702080658000 50648.0
19702080703000 50647.0
19702080708000 50643.0
19702080713000 50634.0
19702080718000 50627.0
19702080723000 50617.0
19702080728000 50611.0
19702080733000 50612.0
19702080738000 50618.0
19702080743000 50636.0
19702080748000 50661.0
19702080753000 50695.0
19702080758000 50739.0
19702080802000 50795.0
19702080807000 50855.0
19702080812000 50920.0
19702080817000 50974.0
19702080822000 51012.0
19702080827000 51035.0
19702080832000 51041.0
19702080837000 51038.0
19702080842000 51030.0
19702080847000 51025.0
19702080852000 51019.0
19702080857000 51020.0
19702080902000 51026.0
19702080907000 51030.0
19702080912000 51033.0
19702080916000 51027.0
19702080921000 51014.0
19702080926000 50995.0
19702080931000 50976.0
19702080936000 50955.0
19702080941000 50932.0
19702080946000 50913.0
19702080951000 50900.0
19702080956000 50893.0
19702081001000 50896.0
19702081006000 50905.0
19702081011000 50916.0
19702081015000 50918.0
19702081020000 50917.0
19702081025000 50917.0
19702081030000 50923.0
19702081035000 50937.0
19702081040000 50952.0
19702081045000 50970.0
19702081050000 50981.0
19702081055000 50986.0
19702081100000 50985.0
19702081105000 50982.0
19702081110000 50986.0
19702081115000 51003.0
19702081120000 51028.0
19702081125000 51057.0
19702081130000 51081.0
19702081134000 51095.0
19702081139000 51103.0
19702081144000 51111.0
19702081149000 51115.0
19702081154000 51116.0
19702081159000 51115.0
19702081204000 51110.0
19702081209000 51107.0
19702081214000 51107.0
19702081219000 51107.0
19702081224000 51108.0
19702081229000 51112.0
19702081234000 51121.0
19702081239000 51135.0
19702081244000 51156.0
19702081249000 51173.0
19702081254000 51185.0
19702081259000 51188.0
19702081304000 51180.0
19702081309000 51172.0
19702081314000 51170.0
19702081319000 51174.0
19702081324000 51190.0
19702081329000 51227.0
19702081334000 51280.0
19702081339000 51342.0
19702081344000 51385.0
19702081349000 51396.0
19702081354000 51391.0
19702081359000 51382.0
19702081404000 51373.0
19702081409000 51348.0
19702081414000 51314.0
19702081419000 51268.0
19702081424000 51223.0
19702081428000 51196.0
19702081433000 51193.0
19702081438000 51200.0
19702081443000 51210.0
19702081448000 51221.0
19702081453000 51238.0
19702081458000 51256.0
19702081503000 51273.0
19702081508000 51285.0
19702081513000 51296.0
19702081518000 51309.0
19702081523000 51269.0
19702081528000 51350.0
19702081533000 51368.0
19702081538000 51377.0
19702081543000 51395.0
19702081548000 51422.0
19702081553000 51452.0
19702081558000 51458.0
19702081603000 51450.0
19702081608000 51431.0
19702081613000 51402.0
19702081618000 51368.0
19702081623000 51337.0
19702081628000 51309.0
19702081633000 51280.0
19702081638000 51244.0
19702081643000 51206.0
19702081648000 51172.0
19702081653000 51153.0
19702081658000 51143.0
19702081703000 51119.0
19702081708000 51100.0
19702081712000 51095.0
19702081718000 51123.0
19702081722000 51163.0
19702081727000 51193.0
19702081732000 51213.0
19702081737000 51203.0
19702081742000 51181.0
19702081747000 51157.0
19702081752000 51141.0
19702081757000 51139.0
19702081802000 51142.0
19702081807000 51148.0
19702081812000 51158.0
19702081817000 51168.0
19702081822000 51186.0
19702081827000 51204.0
19702081832000 51220.0
19702081837000 51228.0
19702081842000 51225.0
19702081847000 51217.0
19702081852000 51208.0
19702081857000 51209.0
19702081902000 51211.0
19702081907000 51226.0
19702081912000 51257.0
19702081917000 51301.0
19702081922000 51346.0
19702081927000 51384.0
19702081932000 51420.0
19702081937000 51451.0
19702081942000 51480.0
19702081947000 51511.0
19702081952000 51527.0
19702081957000 51526.0
19702082002000 51499.0
19702082007000 51447.0
19702082012000 51380.0
19702082017000 51322.0
19702082022000 51365.0
19702082027000 51401.0
19702082032000 51347.0
19702082037000 51379.0
19702082042000 51400.0
19702082047000 51407.0
19702082052000 51422.0
19702082057000 51485.0
19702082102000 51506.0
19702082107000 51460.0
19702082112000 51429.0
19702082117000 51405.0
19702082122000 51382.0
19702082127000 51365.0
19702082132000 51352.0
19702082137000 51343.0
19702082142000 51331.0
19702082147000 51316.0
19702082152000 51298.0
19702082157000 51289.0
