"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Marion County","01","093","63500","14714     ","3447      ","3678      ","342       ","85        ","82        ","34        ","16        ","0         ","27        ","9         ","10        ","21        ","7         ","0         ","0         ","0         ","0         ","82        ","30        ","19        ","73        ","20        ","27        ","14641     ","3427      ","3651      ","18799","19234","19937","14492     ","     8.3","     7.0","     6.3"
"Marshall County","01","095","80900","31756     ","7648      ","8600      ","514       ","99        ","137       ","214       ","17        ","55        ","0         ","0         ","0         ","10        ","10        ","0         ","399       ","131       ","113       ","719       ","115       ","160       ","959       ","337       ","221       ","31296     ","7460      ","8524      ","23583","23763","24654","18000     ","     5.6","     5.4","     4.8"
"Mobile County","01","097","80500","92964     ","26103     ","24797     ","58576     ","14530     ","18050     ","1622      ","467       ","376       ","1976      ","589       ","471       ","7         ","0         ","7         ","247       ","112       ","54        ","2534      ","689       ","618       ","1447      ","480       ","324       ","92186     ","25869     ","24628     ","21999","22695","23164","16964     ","     6.2","     6.8","     6.5"
"Monroe County","01","099","66900","4938      ","1229      ","1313      ","4505      ","1003      ","1282      ","113       ","36        ","19        ","19        ","10        ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","152       ","50        ","35        ","6         ","0         ","4         ","4932      ","1229      ","1309      ","20377","20132","21110","15404     ","     8.1","     8.2","     7.5"
"Montgomery County","01","101","87700","33660     ","8752      ","9819      ","44262     ","10533     ","13244     ","313       ","59        ","86        ","403       ","102       ","167       ","2         ","0         ","2         ","268       ","84        ","51        ","671       ","180       ","164       ","764       ","242       ","153       ","33364     ","8664      ","9769      ","28488","30209","31381","22519     ","     5.1","     5.7","     5.7"
"Morgan County","01","103","88600","35174     ","8986      ","9496      ","5398      ","1500      ","1577      ","332       ","81        ","115       ","74        ","15        ","33        ","0         ","0         ","0         ","236       ","115       ","34        ","909       ","209       ","213       ","784       ","276       ","203       ","34819     ","8872      ","9388      ","25917","26739","27475","20032     ","     6.1","     6.4","     6.0"
"Perry County","01","105","47600","1604      ","398       ","432       ","4006      ","931       ","1198      ","18        ","0         ","6         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","289       ","32        ","44        ","215       ","41        ","30        ","1602      ","398       ","430       ","17118","17440","18389","13236     ","    11.1","    10.2","     9.9"
"Pickens County","01","107","66000","5341      ","1334      ","1404      ","4919      ","1157      ","1415      ","28        ","9         ","3         ","9         ","4         ","1         ","1         ","0         ","1         ","11        ","1         ","8         ","31        ","13        ","12        ","32        ","12        ","8         ","5317      ","1322      ","1404      ","19462","19604","20679","14936     ","     7.8","     8.0","     7.5"
"Pike County","01","109","71400","6604      ","1832      ","1730      ","5615      ","1290      ","1595      ","93        ","17        ","28        ","30        ","27        ","3         ","0         ","0         ","0         ","12        ","6         ","0         ","227       ","76        ","61        ","49        ","10        ","14        ","6573      ","1822      ","1722      ","22531","23416","24856","17700     ","     5.7","     5.6","     5.3"
"Randolph County","01","111","63800","7365      ","1952      ","1923      ","2441      ","640       ","571       ","30        ","5         ","5         ","0         ","0         ","0         ","0         ","0         ","0         ","10        ","10        ","0         ","121       ","41        ","34        ","134       ","53        ","33        ","7293      ","1921      ","1907      ","18681","19070","19645","14349     ","     6.4","     7.2","     6.5"
"Russell County","01","113","71500","13449     ","3461      ","3363      ","9205      ","2045      ","2639      ","250       ","65        ","38        ","77        ","17        ","38        ","0         ","0         ","0         ","64        ","26        ","15        ","341       ","86        ","88        ","228       ","71        ","50        ","13357     ","3434      ","3339      ","20386","20783","21586","15688     ","     6.2","     7.1","     6.1"
