SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85997457.5   NPRNTI= 3   NPRNTF= 5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2P6 3S1             (2)0( 0.5)        0.0 
     2          2P6 3P1             (2)1( 0.5)   106188.1 
     3          2P6 3P1             (2)1( 1.5)   107487.4 
     4          2P6 3D1             (2)2( 1.5)   248208.2*
     5          2P6 3D1             (2)2( 2.5)   248376.5*

   IC RESOLVED LEVEL INDEXING           BWNR=  86578705.4   NLVL= 411
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   312     3    2P6 3P1 7D1         (1)3( 3.0)   630619.8*     0.00E+00  0.00E+00
   313     2    2P6 3P1 7F1         (3)4( 3.0)   630688.1*     0.00E+00
   314     2    2P6 3P1 7F1         (3)3( 3.0)   630938.1*     0.00E+00
   315     3    2P6 3P1 7D1         (1)1( 1.0)   630967.0*     0.00E+00  0.00E+00
   316     2    2P6 3P1 8S1         (3)1( 0.0)   630980.9*     0.00E+00
   317     2    2P6 3P1 7F1         (3)4( 4.0)   631047.3*     0.00E+00
   318     2    2P6 3P1 8S1         (3)1( 1.0)   631068.1*     0.00E+00
   319     2    2P6 3P1 7F1         (3)3( 2.0)   631144.9*     0.00E+00
   320     2    2P6 3P1 7G1         (1)4( 4.0)   631303.3*     0.00E+00
   321     2    2P6 3P1 7G1         (3)4( 4.0)   631317.8*     0.00E+00
   322     2    2P6 3P1 7G1         (3)4( 3.0)   631336.0*     0.00E+00
   323     2    2P6 3P1 7G1         (3)5( 5.0)   631361.7*     0.00E+00
   324     2    2P6 3P1 7H1         (3)5( 5.0)   631414.5*     0.00E+00
   325     2    2P6 3P1 7H1         (3)5( 4.0)   631415.5*     0.00E+00
   326     2    2P6 3P1 7H1         (3)6( 5.0)   631423.9*     0.00E+00
   327     2    2P6 3P1 7H1         (3)6( 6.0)   631427.4*     0.00E+00
   328     3    2P6 3P1 7F1         (1)3( 3.0)   631914.5*     0.00E+00  0.00E+00
   329     3    2P6 3P1 7F1         (3)3( 4.0)   632053.0*     0.00E+00  0.00E+00
   330     3    2P6 3P1 7F1         (3)4( 5.0)   632096.0*     0.00E+00  0.00E+00
   331     3    2P6 3P1 8S1         (3)1( 2.0)   632280.2*     0.00E+00  0.00E+00
   332     3    2P6 3P1 7F1         (3)2( 3.0)   632394.5*     0.00E+00  0.00E+00
   333     3    2P6 3P1 7G1         (3)5( 4.0)   632469.2*     0.00E+00  0.00E+00
