Dataset:              EMAP Lake Watershed Characteristics
File Name:            watchar
Date Created:         10/16/98
# Variables:          41
# Header Records:     51
# Data Records:       365
Missing Value Symbol: .

Variables:    AG_TOT           % watershed agricultural/range
              AREA_WS          Area of watershed (ha) excluding sampled lake
              AV_DEP           Est. Mean depth (m) 
              BAR_TOT          % watershed barren land
              COM_STRS         Comments on data peculiarities          
              DISTOT           % watershed human disturbed land
              DOMECO           Dominant ecoregion in watershed(level 3)
              DOMLAB           Name of dominant ecoregion(level 3)
              ECOREG4          Level 4 ecoregion classification
              ELEV             Lake elevation (m) from map
              FOR_TOT          % watershed - forest
              H2O_TOT2         % watershed in H2O excluding sample lake
              HI_PT            High point of watershed (m)            
              HOUDENKM         Housing unit density (housing/sq km)
              HOUSINGU         Est. # housing units in watershed
              HYDSHRDV         Hydrologic shoreline development
              KM_SEA           Distance from ocean (km) 
              LAKENAME         Lake Name
              LAKE_ID          Lake Identification Code
              LAT_DD           Lake Latitude (decimal degrees)
              LKVOL2M3         Est. lake volume (m**3) 
              LK_HA            Lake surface area (ha) 
              LON_DD           Lake Longitude (decimal degrees)
              LTROFF_M         Long term average annual runoff (m) 
              MAPSCDIG         Denominator of map scale used to digitize 
              MINE_TOT         %watershed-strip mine/quarrie/gravel pit
              NONRES           % watershed non-res. urban land
              POPDENKM         Population density (persons/sq km
              POPEST           Est. Human population in watershed
              PRECIP_M         Long term precipitation average (m)
              RD_DEN           Road density (m/ha) (TOT_RD / AREA_WS)
              RETENT           Est. water retention time for lakes (yrs) 
              SAMPLED          Field sampled (Yes/No)
              SAMPLK           % watershed occupied by sampled lake
              SHR_LTH          Length of shoreline including islands 
              SLOPE            Est. slope of the watershed (%/100)
                                (HI_PT/watershed length) 
              STUDY            EMAP/REMAP/TIME
              TOT_RD           Meters of road in watershed
              URB_TOT          %wshed urban (including mines/quarries)
              WETL_TOT         % watershed wetlands
              YEAR             Sample Year

"AG_TOT","AREA_WS","AV_DEP","BAR_TOT","COM_STRS","DISTOT","DOMECO","DOMLAB","ECOREG4","ELEV","FOR_TOT","H2O_TOT2","HI_PT","HOUDENKM","HOUSINGU","HYDSHRDV","KM_SEA","LAKENAME","LAKE_ID","LAT_DD","LKVOL2M3","LK_HA","LON_DD","LTROFF_M","MAPSCDIG","MINE_TOT","NONRES","POPDENKM","POPEST","PRECIP_M","RD_DEN","RETENT","SAMPLED","SAMPLK","SHR_LTH","SLOPE","STUDY","TOT_RD","URB_TOT","WETL_TOT","YEAR" 
0,156.88,8.44,0,"XXXXX",0,58,"Northeastern Highlands"," ",510,70.24,9.44,635,8.021,11.238,2.169,303,"CLEAR POND","NY005L",44.48694,3378764.48,40.01,-74.16028,0.584,25000,0,0,1.416,1.984,0.969,10.09,2.938,"Yes",20.32,4864.868,0.04,"TIME",1582.63,0,0,1991 
0,3778.36,3.9,0,"NESTED_IN_NY011L/NY012L_NESTED",0,58,"Northeastern Highlands"," ",509,92.3,0,1015,1.478,55.729,4.38,301,"NO NAME","NY006L",44.49667,1801470.72,46.22,-74.13139,0.58,25000,0,0,0.458,17.276,0.986,3.83,0.081,"Yes",1.21,10555.958,0.06,"TIME",14455.77,0,6.57,1991 
0,660.03,9.51,0,"NESTED_IN_NY008L",0,58,"Northeastern Highlands"," ",537,92.61,0.07,715,0.346,2.286,1.498,305,"MOHEGAN LAKE","NY007L",44.05361,4960508,52.15,-74.47611,0.6983,25000,0,0,0,0,1.115,5.47,0.997,"Yes",7.32,3833.856,0.05,"TIME",3608.52,0,0,1991 
0,1876.51,6.87,0,"XXXXX",0,58,"Northeastern Highlands"," ",532,89.92,3.62,843,0.478,8.637,2.082,305,"GRAMPUS LAKE","NY008L",44.03694,7010724.48,102.09,-74.47472,0.7009,25000,0,0,0,0,1.126,4.49,0.506,"Yes",5.16,7457.568,0.06,"TIME",8433.32,0,1.3,1991 
0,60.36,8.35,0,"XXXXX",0,58,"Northeastern Highlands"," ",380,86.13,0,436,1.516,0.928,1.767,335,"LONG POND","NY010L",44.65167,1105804.8,13.24,-74.4975,0.5744,24000,0,0,1.597,0.977,1.051,20.33,2.616,"Yes",17.99,2279.985,0.04,"TIME",1227.21,0,0,1991 
0,5005.26,11.37,0,"XXXXX",0.77,58,"Northeastern Highlands"," ",509,89.23,1.58,800,1.724,84.497,3.275,301,"LAKE KUSHAQUA","NY011L",44.51917,17613579.2,154.94,-74.11444,0.5793,24000,0,0.77,0.934,45.744,0.987,5.02,0.589,"Yes",3,14454.004,0.03,"TIME",25115.64,0.77,5.41,1991 
0,52.9,5.1,0,"DOUBLE_NESTED_IN_NY006L_AND_NY011L",0,58,"Northeastern Highlands"," ",515,100,0,594,5,2.725,1.218,302,"HOPE POND","NY012L",44.5125,482328,9.45,-74.12722,0.579,24000,0,0,3.719,2.027,0.986,8.57,1.336,"Yes",15.16,1327.309,0.06,"TIME",453.58,0,0,1991 
0,442.41,2.04,0,"XXXXX",0,58,"Northeastern Highlands"," ",681,94.06,1.5,939,0.576,2.561,2.051,263,"SECOND POND","NY013L",43.66222,419344.64,20.54,-74.08306,0.7021,25000,0,0,0.745,3.311,1.138,0,0.129,"Yes",4.44,3294.53,0.1,"TIME",0,0,0,1991 
0,124.83,3.06,0,"XXXXX",0,58,"Northeastern Highlands"," ",646,78.67,0,789,0,0,2.074,300,"SQUAW LAKE","NY014L",43.63306,1208423.04,39.46,-74.73944,0.762,25000,0,0,0,0,1.372,6.24,0.965,"Yes",24.02,4619.443,0.1,"TIME",779.1,0,0,1991 
0,1084.92,5.1,0,"XXXXX",0,58,"Northeastern Highlands"," ",654,83.78,0.33,887,0,0,2.112,300,"INDIAN LAKE","NY015L",43.61639,1777723.2,34.83,-74.75333,0.762,25000,0,0,0,0,1.372,3.83,0.208,"Yes",3.11,4418.741,0.04,"TIME",4155.5,0,12.78,1991 
0,782.06,0.56,0,"XXXXX",0,58,"Northeastern Highlands"," ",557,85.94,11.91,788,0.945,6.43,4.579,250,"MIDDLE FLOW","NY016L",43.38667,76448.64,13.73,-74.025,0.6347,25000,0,0,0.848,5.768,1.143,0.63,0.015,"Yes",1.73,6014.399,0.06,"TIME",490.64,0,0.42,1991 
0,1587.73,0.97,0,"XXXXX",0,58,"Northeastern Highlands"," ",550,93.76,1.23,765,0.363,5.674,2.335,269,"BIG ALDERBED","NY017L",43.32528,133785.12,13.73,-74.70556,0.762,25000,0,0,0.093,1.447,1.29,0,0.011,"Yes",0.86,3066.802,0.04,"TIME",0,0,4.14,1991 
0,72.06,7.89,0,"XXXXX",0,58,"Northeastern Highlands"," ",667,71.33,4.32,751,0.019,0.014,2.5,269,"LONG LAKE","NY018L",43.31333,1842636.8,23.36,-74.71917,0.762,25000,0,0,0,0,1.275,0,2.534,"Yes",24.36,4284.321,0.05,"TIME",0,0,0,1991 
0,79737.63,15.59,0,"XXXXX",1.95,58,"Northeastern Highlands"," ",246,93.02,2.34,1470,3,2334.594,3.013,244,"SCHROON LAKE","NY019L",43.81139,261407354.88,1676.72,-73.76306,0.5469,100000,0.06,1.95,3.33,2591.834,0.99,5.38,0.587,"Yes",2.05,43734.485,0.03,"TIME",429377.39,1.9,0.64,1991 
0,14.99,6.26,0,"NESTED_IN_NY019L AKA NY254L",0,58,"Northeastern Highlands"," ",351,55.84,15.95,410,0.168,0.026,1.217,240,"GULL POND","NY020L",43.83278,368949.6,5.89,-73.70833,0.5284,24000,0,0,0.09,0.014,1.007,0,3.344,"Yes",28.21,1046.695,0.14,"TIME",0,0,0,1991 
0,164.97,0.56,0,"XXXXX",0,60,"Northern Appalachian Plateau and Uplands"," ",421,100.01,0,561,2.258,3.725,1.614,391,"GERLACH POND","NY021L",42.31583,10022.4,1.8,-78.97917,0.6136,24000,0,0,2.545,4.2,1.104,13.94,0.01,"Yes",1.08,767.459,0.1,"EMAP",2299.98,0,0,1991 
41.54,270.37,0.56,0,"XXXXX",41.54,60,"Northern Appalachian Plateau and Uplands"," ",515,56.13,0,637,3.907,10.545,1.762,349,"MOSKO POND","NY022L",42.45417,61136.64,10.98,-77.63194,0.3741,24000,0,0,10.589,28.577,0.847,19,0.058,"Yes",3.91,2069.848,0.05,"EMAP",5137.91,0,0,1991 
68.49,1629.44,3.06,0,"XXXXX",68.49,61,"Erie/Ontario Lake Plain"," ",129,18.7,0,178,8.244,134.454,1.366,375,"CRYSTAL LAKE","NY023L",43.8275,2084881.92,68.08,-76.12861,0.6437,24000,0,0,11.259,183.631,0.996,13.37,0.191,"Yes",4.01,3994.283,0.01,"EMAP",21777.52,0,8.94,1991 
0,47.21,5.52,0,"1992_REPEAT",7.01,61,"Erie/Ontario Lake Plain"," ",165,92.99,0,233,4.89,2.362,1.335,298,"WHITE LAKE","NY024L",43.00639,220311.84,3.99,-76.04167,0.5471,24000,0,7.01,12.65,6.107,1.009,0,0.787,"Yes",7.79,945.576,0.08,"EMAP",0,7.01,0,1991 
34,499.26,3.43,0,"XXXXX",35.37,61,"Erie/Ontario Lake Plain"," ",117,51.43,0,146,10.998,55.421,1.639,402,"HYDE LAKE","NY025L",44.24444,2604385.6,75.85,-75.83417,0.627,24000,0,1.36,14.107,71.089,0.939,19.95,0.722,"Yes",13.19,5060.809,0.01,"EMAP",9959.48,1.36,1.6,1991 
9.83,2751.27,1.16,0,"XXXXX",9.83,62,"North Central Appalachians"," ",358,89.88,0,536,8.873,244.212,2.077,133,"BRISCOE LAKE","NY028L",41.76472,305776,26.36,-74.87306,0.6119,24000,0,0,14.522,399.686,1.132,15.83,0.018,"Yes",0.95,3780.077,0.03,"EMAP",43549.32,0,0,1991 
0,221.97,1.02,0,"XXXXX",0,58,"Northeastern Highlands"," ",596,85.82,0.4,733,0.469,1.038,1.492,324,"LITTLE LILLY POND","NY029L",43.91111,63493.76,6.22,-74.77583,0.762,25000,0,0,0.014,0.03,1.198,0,0.037,"Yes",2.72,1318.899,0.07,"EMAP",0,0,11.06,1991 
0,1392.06,1.39,0,"XXXXX",0,58,"Northeastern Highlands"," ",590,80.74,2.28,767,0.469,6.386,1.635,322,"UPPER SISTER LAKE","NY030L",43.88361,381268.8,27.39,-74.76194,0.762,25000,0,0,0.014,0.185,1.205,0,0.035,"Yes",1.93,3033.822,0.03,"EMAP",0,0,15.05,1991 
0,312.18,1.76,0,"1992_REPEAT",0,58,"Northeastern Highlands"," ",477,88.56,1.59,652,0.712,2.197,2.774,320,"WILLIS POND (E)","NY031L",44.35333,601956.48,34.14,-74.49833,0.6198,25000,0,0,0.043,0.133,1.028,9.57,0.28,"Yes",9.86,5747.107,0.07,"EMAP",2987.23,0,0,1991 
0,233.41,3.02,0,"XXXXX",0,58,"Northeastern Highlands"," ",502,81.52,3.15,667,0.509,1.176,2.169,317,"WINDFALL POND","NY032L",44.36444,1274561.6,42.26,-74.44917,0.6163,25000,0,0,0.018,0.042,1.011,5.43,0.75,"Yes",15.34,4998.801,0.07,"EMAP",1267.78,0,0,1991 
0,177.23,1.07,0,"XXXXX",0,58,"Northeastern Highlands"," ",497,83.26,3.49,607,3.159,5.336,2.662,316,"DRY CHANNEL POND","NY033L",44.35222,288997.76,27.08,-74.43639,0.6174,25000,0,0,0.039,0.066,1.01,17.9,0.229,"Yes",13.25,4911.466,0.05,"EMAP",3172.54,0,0,1991 
0,7974.17,9.98,0,"XXXXX",3.99,58,"Northeastern Highlands"," ",525,73.32,7.68,953,14.487,1057.538,1.882,272,"LAKE PLEASANT","NY034L",43.48417,58431427.2,585.72,-74.42111,0.762,25000,0.41,3.99,7.733,564.52,1.179,12.25,0.896,"Yes",6.84,16148.651,0.05,"EMAP",97678.69,3.58,8.18,1991 
0,4479.36,10.44,0,"NESTED_IN_NY034L",1.63,58,"Northeastern Highlands"," ",526,76.98,0.63,953,8.789,390.754,2.135,272,"SACANDAGA LAKE","NY035L",43.48389,67518612,646.73,-74.36611,0.762,25000,0.68,1.63,6.064,269.579,1.179,11.7,1.729,"Yes",12.61,19248.457,0.04,"EMAP",52424.84,0.95,8.15,1991 
69.64,21.46,2.09,0,"XXXXX",69.64,60,"Northern Appalachian Plateau and Uplands"," ",216,30.4,0,436,1.995,0.431,1.133,188,"MASICK'S POND","NY036L",42.63333,36748.8,1.76,-74.32472,0.4902,24000,0,0,3.996,0.862,0.968,15.92,0.323,"Yes",7.58,532.661,0.15,"EMAP",341.58,0,0,1991 
0,999.89,5.1,0,"XXXXX",7.73,58,"Northeastern Highlands"," ",155,80.51,0,336,60.285,602.123,2.431,45,"OSCAWANNA LAKE","NY039L",41.39972,7513598.4,147.21,-73.84861,0.5599,24000,0,0,113.976,1138.427,1.221,32.79,1.17,"Yes",12.83,10456.137,0.04,"EMAP",32784.47,7.73,0,1991 
0,14.13,14.85,0,"NESTED_IN_NY041L",0,58,"Northeastern Highlands"," ",271,69.58,0,320,0.667,0.146,1.344,49,"CLEAR LAKE","NY040L",41.42944,1147750.4,7.73,-73.84083,0.56,24000,0,0,1.661,0.363,1.244,44.93,9.376,"Yes",35.36,1324.825,0.08,"EMAP",634.92,0,0,1991 
0,567.74,2.78,0,"XXXXX",3.7,58,"Northeastern Highlands"," ",229,83.79,4.99,367,1.491,8.145,2.047,48,"WICCOPEE RESERVOIR (N)","NY041L",41.42444,1285094.4,46.16,-73.8225,0.5621,24000,0,3.7,3.633,19.837,1.254,12.73,0.372,"Yes",7.52,4931.229,0.03,"EMAP",7226.81,3.7,0,1991 
3.88,1025.61,10.76,0,"1992_REPEAT",3.88,58,"Northeastern Highlands"," ",240,87.28,0,491,20.35,209.604,1.987,230,"TROUT LAKE","NY042L",43.54222,11075902.72,102.89,-73.70333,0.508,24000,0,0,8.119,83.622,0.994,20.6,1.932,"Yes",9.12,7145.421,0.07,"EMAP",21132.54,0,0,1991 
24.21,287.81,4.87,0,"XXXXX",61.62,60,"Northern Appalachian Plateau and Uplands"," ",149,27.22,0,212,80.85,233.251,1.293,163,"SYNDERS LAKE","NY043L",42.66361,2122243.2,43.56,-73.63472,0.4572,24000,0,0,223.877,645.855,0.974,43.52,1.401,"Yes",13.15,3024.528,0.03,"EMAP",12525.98,37.41,0,1991 
14.51,161.09,5.2,0,"XXXXX",14.51,58,"Northeastern Highlands"," ",175,85.49,0,416,6.562,10.303,1.933,81,"ARROWHEAD LAKE","NY044L",41.85194,121085.44,2.33,-73.56139,0.5714,24000,0,0,12.913,20.271,1.13,0,0.13,"Yes",1.43,1045.99,0.11,"EMAP",0,0,0,1991 
0,10.26,5.57,0," ",0,58,"Northeastern Highlands"," ",405,73.72,0,411,0.91,0.1,1.47,342,"TWIN PONDS (E)","NY250L",44.51972,371385.6,6.67,-74.69333,0.62,24000,0,0,0,0,1.03,2.41,3.53,"Yes",39.34,1348.85,0.13," ",24.71,0,0,1992 
0,313.33,1.35,0," ",0,58,"Northeastern Highlands"," ",527,100,0,747,0,0,1.21,296,"BRUEYER POND","NY253L",44.13778,70374.88,5.23,-74.29583,0.6,62500,0,0,0,0,1.04,0,0.04,"Yes",1.64,980.79,0.12," ",0,0,0,1992 
0,80001.9,21.81,0,"1991_TIME_LAKE_36019 AKA NY020L",0,.," "," ",246,55.84,15.95,1470,0.168,0.026,3.01,244,"SCHROON LAKE","NY254L",43.78472,365722340.8,1677.01,-73.77722,0.51,62500,0,0,0.09,0.014,0.99,0,0.88,"Yes",28.21,43738.53,0.02," ",0,0,0,1992 
0,218.09,0.79,0," ",0,58,"Northeastern Highlands"," ",387,88.56,5.74,598,2.5,5.46,1.25,249,"HIDDEN LAKE","NY255L",43.73444,104121.6,13.2,-73.87833,0.58,24000,0,0,4.29,9.38,1,8.55,0.08,"Yes",5.71,1610.61,0.13," ",1863.62,0,0,1992 
0,267.47,3.94,0," ",0,58,"Northeastern Highlands"," ",355,94.04,0.32,579,1.03,2.77,1.45,248,"BENNETT LAKE","NY256L",43.31528,629856.8,15.97,-74.19444,0.64,25000,0,0,1.83,4.9,1.13,7.07,0.35,"Yes",5.63,2059.84,0.08," ",1891.22,0,0,1992 
32.56,36723.63,7.42,0," ",34.57,61,"Erie/Ontario Lake Plain"," ",167,62.06,0,553,7.15,2622.58,3.52,292,"DELTA RESERVOIR","NY257L",43.29167,71530982.4,963.51,-75.44306,0.89,24000,0.17,0.88,19.26,7065.92,1.22,11,0.21,"Yes",2.56,38713.16,0.01," ",403945.78,1.84,1.7,1992 
0,40.9,0.84,0," ",0,58,"Northeastern Highlands"," ",353,100,0,512,1.07,0.44,1.56,245,"ALEXANDRA LAKE","NY258L",43.29083,19293.12,2.31,-74.17083,0.62,25000,0,0,0.89,0.37,1.12,6.6,0.07,"Yes",5.35,841.1,0.17," ",269.76,0,0,1992 
0,793.76,0.84,0," ",4.16,62,"North Central Appalachians"," ",433,94.22,0.62,491,7.46,58.87,2.12,107,"MELODY LAKE","NY266L",41.59917,66147.84,7.92,-74.67111,0.55,24000,0,0,13.26,104.7,1.16,16.04,0.02,"Yes",0.99,2112.64,0.01," ",12730.04,4.16,0,1992 
4.4,1231.7,1.3,2.93," ",23.92,62,"North Central Appalachians"," ",436,65.29,0.63,502,50.8,624.79,1.94,109,"ST.JOSEPHS LAKE","NY267L",41.59778,1247102.08,95.99,-74.70417,0.55,24000,0,7.53,111.53,1371.64,1.16,21.95,0.17,"Yes",7.23,6731.87,0.01," ",27031.76,19.52,0,1992 
13.04,93275.4,18.47,0.05," ",29.31,58,"Northeastern Highlands"," ",61,64.07,5.1,406,66.6,58960.22,4.78,30,"NEW CROTON RESERVOIR","NY268L",41.235,134974918.08,730.89,-73.75972,0.56,250000,0.07,3.74,183.74,162668.54,1.23,30.34,0.26,"Yes",0.78,45829.2,0.01," ",2829912.18,16.2,0.7,1992 
0.84,6350.64,7.66,0.47," ",22.81,58,"Northeastern Highlands"," ",192,64.31,0.85,454,103.61,6476.21,2.53,52,"GREENWOOD LAKE","NY270L",41.18417,57462108,750.55,-74.32028,0.72,24000,0,2.27,240.41,15026.41,1.27,34.27,1.13,"Yes",10.57,24613.09,0.02," ",217620.06,21.96,0.99,1992 
0,233.01,1.67,0," ",0,58,"Northeastern Highlands"," ",314,96.31,0,384,2.59,6.01,1.11,51,"LITTLE CEDAR POND","NY271L",41.18028,148999.68,8.92,-74.27639,0.71,24000,0,0,5.34,12.4,1.25,0,0.09,"Yes",3.69,1169.96,0.03," ",0,0,0,1992 
0,59.36,0.79,0," ",88.7,59,"Northeastern Coastal Zone"," ",17,0,0.53,44,1159.85,771.3,2.94,1,"THE LAKE","NY273L",40.77583,56635.84,7.18,-73.97167,0.5,24000,0,88.7,1669.82,1111.14,1.12,69.06,0.17,"Yes",10.79,2791.86,0.02," ",4099.24,88.7,0,1992 
0.26,64683.95,3.71,0," ",0.3,58,"Northeastern Highlands"," ",326,80.31,8.37,838,1.28,754.71,2.12,352,"TAYLORVILLE POND","NY275L",43.92639,1403878.4,37.82,-75.30278,0.74,62500,0,0.04,0.23,135.87,1.06,3.44,0,"Yes",0.06,4630.45,0.01," ",222400.93,0.04,10.96,1992 
0,600.95,3.16,0," ",0,58,"Northeastern Highlands"," ",258,96.93,2.45,343,0.57,3.42,1.23,373,"BULLHEAD POND","NY276L",44.21333,117373.44,3.72,-75.28111,0.6,24000,0,0,1.43,8.54,1.01,6.02,0.03,"Yes",0.62,841.62,0.02," ",3619.77,0,0,1992 
0.18,64078.07,3.48,0,"NESTED_IN_NY275/NY280+NY281_NESTED",0.23,58,"Northeastern Highlands"," ",354,80.28,8.25,838,1.24,727.81,2.89,351,"EFFLEY FALLS POND","NY277L",43.92028,4291188,123.31,-75.26056,0.74,62500,0,0.04,0.22,129.93,1.19,3.39,0.01,"Yes",0.19,11358.94,0.01," ",217105.81,0.04,11.05,1992 
0,51.45,1.25,0," ",0,58,"Northeastern Highlands"," ",351,86.6,0,415,0.19,0.1,1.87,356,"PARMETER POND","NY278L",44.35556,137306.88,10.96,-74.99167,0.6,24000,0,0,0.53,0.27,1.03,0,0.37,"Yes",17.56,2194.96,0.07," ",0,0,0,1992 
0,7537.16,7.89,0," ",0,58,"Northeastern Highlands"," ",555,90.41,0.31,817,0.56,41.85,3.63,299,"NORTH LAKE","NY279L",43.53806,14041428.8,178.01,-74.92694,0.84,25000,0,0,0.15,11.18,1.34,1.79,0.22,"Yes",2.31,17159.05,0.02," ",13457.45,0,6.98,1992 
0,23.15,4.87,0,"DOUBLE_NESTED_IN_NY277_+_NY275",0,58,"Northeastern Highlands"," ",668,72.94,7.47,738,2.67,0.61,1.48,328,"RAZORBACK POND","NY280L",43.84917,274780.8,5.64,-74.92056,0.77,62500,0,0,0.33,0.08,1.21,0,1.24,"Yes",19.59,1248.98,0.09," ",0,0,0,1992 
0,46.18,2.88,0,"DOUBLE_NESTED_IN_NY277_+_NY275",0,58,"Northeastern Highlands"," ",588,80.46,0,710,2.67,1.24,1.14,327,"SNAKE POND","NY281L",43.835,120250.24,4.18,-74.91472,0.77,62500,0,0,0.33,0.15,1.21,0,0.31,"Yes",8.3,823.21,0.14," ",0,0,19.54,1992 
0,1445.04,9.42,0," ",0,58,"Northeastern Highlands"," ",615,85.76,0,802,0.56,8.09,2.83,294,"SOUTH LAKE","NY282L",43.51139,18494599.2,196.35,-74.88611,0.86,25000,0,0,0.15,2.19,1.33,3.55,1.31,"Yes",12.01,14077.88,0.04," ",5128.58,0,2.48,1992 
0,12.26,6.96,0," ",0,58,"Northeastern Highlands"," ",464,100,0,501,1.23,0.16,1.83,327,"BOOTTREE POND","NY284L",44.24278,517128,7.43,-74.65722,0.64,62500,0,0,0,0,1.06,5.7,4.14,"Yes",37.73,1765.14,0.07," ",69.86,0,0,1992 
0,92.46,5.43,0," ",0,58,"Northeastern Highlands"," ",466,88.53,0,538,1.25,1.14,2.35,326,"HORSESHOE POND","NY285L",44.24583,641141.28,11.81,-74.64806,0.64,62500,0,0,0.16,0.15,1.05,11.85,0.97,"Yes",11.33,2865.74,0.03," ",1095.58,0,4.02,1992 
0,3586.12,1.76,0," ",0,58,"Northeastern Highlands"," ",525,84.08,2.31,765,0.29,10.01,1.81,317,"ROCK POND","NY286L",43.98694,2031382.72,115.21,-74.64194,0.69,62500,0,0,0.19,6.57,1.14,1.73,0.08,"Yes",3.09,6902.44,0.02," ",6217,0,10.53,1992 
0,153.09,0.65,0," ",0,58,"Northeastern Highlands"," ",531,86.95,2.08,711,0.09,0.14,2.58,316,"ANTEDILUVIAN POND","NY287L",44.00167,62166.72,9.57,-74.6225,0.69,25000,0,0,0.16,0.25,1.13,0,0.06,"Yes",5.89,2829.9,0.09," ",0,0,5.08,1992 
0,69.42,2.23,0," ",0,58,"Northeastern Highlands"," ",466,100,0,509,1.17,0.8,1.12,326,"SEVEN SISTERS POND","NY288L",44.28111,67038.72,3.01,-74.61833,0.64,24000,0,0,0.94,0.64,1.03,0,0.15,"Yes",4.16,688.97,0.04," ",0,0,0,1992 
0,44.1,1.07,0," ",0,58,"Northeastern Highlands"," ",572,77.5,5.11,729,0.09,0.04,1.44,312,"PEAR POND","NY289L",43.95,99036.16,9.28,-74.61361,0.71,25000,0,0,0.16,0.07,1.16,0,0.26,"Yes",17.38,1551.29,0.16," ",0,0,0,1992 
0,24.41,2.23,0," ",0,58,"Northeastern Highlands"," ",569,82.93,0,609,0.09,0.02,1.59,312,"HAMILTON POND","NY290L",43.94667,116482.56,5.23,-74.61028,0.71,25000,0,0,0.16,0.04,1.16,0,0.55,"Yes",17.68,1287.05,0.03," ",0,0,0,1992 
0,120.2,1.39,0," ",0,58,"Northeastern Highlands"," ",556,87.93,3.96,711,0.09,0.11,1.37,314,"DOCTORS POND","NY291L",44.00528,147691.2,10.61,-74.60111,0.68,25000,0,0,0.16,0.19,1.14,0,0.17,"Yes",8.11,1581.91,0.12," ",0,0,0,1992 
0,10146.31,18.33,0," ",0.88,58,"Northeastern Highlands"," ",472,82.86,3.45,850,6.32,619.19,3.98,247,"CANADA LAKE","NY292L",43.15778,63568835.2,346.84,-74.54528,0.62,24000,0,0.88,2.9,284.11,1.23,4.53,0.98,"Yes",3.31,26292.74,0.02," ",45990.57,0.88,9.51,1992 
0,5.97,8.12,0,"NESTED_IN_NY296",0,58,"Northeastern Highlands"," ",442,0,9.83,472,1.1,0.07,1.32,328,"LITTLE DUCK POND","NY295L",44.70694,275268,3.39,-74.34611,0.69,24000,0,0,1.46,0.09,1.07,0,4.29,"Yes",36.22,859.95,0.08," ",0,0,53.95,1992 
0,1875.3,9.42,0," ",0,58,"Northeastern Highlands"," ",440,84.85,0.12,736,1.28,23.67,3.91,329,"TWIN PONDS","NY296L",44.70361,4687935.84,49.77,-74.33806,0.69,24000,0,0,2.26,41.77,1.07,3.19,0.36,"Yes",2.59,9775.67,0.06," ",5974.44,0,12.45,1992 
0,68.13,1.48,0,"NESTED_IN_NY300",0,58,"Northeastern Highlands"," ",527,99.99,0,723,0.46,0.31,2.43,309,"BICKFORD POND","NY297L",44.3975,67409.92,4.54,-74.3175,0.58,25000,0,0,0.18,0.12,0.94,0,0.16,"Yes",6.25,1837.66,0.11," ",0,0,0,1992 
0,192.58,6.59,0,"NESTED_IN_NY300",1.95,58,"Northeastern Highlands"," ",499,91.54,0,865,2.65,5.09,1.49,309,"SPECTACLE POND","NY298L",44.415,1211680.32,18.39,-74.30167,0.58,25000,0,0,0.91,1.75,0.94,3.27,0.99,"Yes",8.72,2264.06,0.14," ",630.69,1.95,0,1992 
0,16.37,1.07,0,"NESTED_IN_NY300",0,58,"Northeastern Highlands"," ",493,100,0,540,6.73,1.11,1.12,308,"POND NR SPITFIRE L.","NY299L",44.41639,23691.84,2.22,-74.28833,0.57,25000,0,0,1.85,0.31,0.93,52.31,0.22,"Yes",11.94,593.27,0.03," ",856.28,0,0,1992 
1,6415.91,4.36,0," ",2.79,58,"Northeastern Highlands"," ",494,79.86,4.33,876,5.69,340.08,5.38,309,"SPITFIRE/ST.REGIS L.","NY300L",44.415,25397596.8,582.3,-74.2725,0.56,62500,0,1.66,16.71,998.68,0.93,10.79,0.65,"Yes",8.3,46024.06,0.03," ",69213.27,1.79,4.72,1992 
0,2844.78,7.98,0," ",0,58,"Northeastern Highlands"," ",485,87.46,9.13,834,1.08,28.24,1.63,284,"FIRST L., FULTON CHN","NY301L",43.86278,1726247.04,21.63,-74.27111,0.69,62500,0,0,0.06,1.59,1.09,8.45,0.09,"Yes",0.75,2688.03,0.01," ",24046.77,0,2.66,1992 
0,31.21,1.39,0," ",0,58,"Northeastern Highlands"," ",503,63.07,0,530,0.07,0.02,1.38,282,"GREEN POND","NY302L",43.82778,97440,7,-74.2575,0.69,62500,0,0,0.07,0.02,1.09,0,0.37,"Yes",18.29,1298.41,0.04," ",0,0,36.9,1992 
0,78.34,1.16,0,"DOUBLE_NESTED_IN_NY304_+_NY301",0,58,"Northeastern Highlands"," ",489,88.16,1.73,594,0,0,1.26,283,"MUD POND","NY303L",43.88083,102080,8.8,-74.25639,0.69,62500,0,0,0,0,1.09,17.85,0.17,"Yes",10.1,1320.49,0.07," ",1398.09,0,0,1992 
0,2635.4,4.27,0,"NESTED_IN_NY301/NY303_NESTED",0,58,"Northeastern Highlands"," ",487,88.02,4.8,834,1.09,27.64,2.72,283,"THIRD L. FULTON CHN","NY304L",43.87694,5184030.72,121.44,-74.25194,0.69,62500,0,0,0.06,1.59,1.09,9.12,0.27,"Yes",4.4,10635.69,0.05," ",24046.77,0,2.77,1992 
0,172.22,1.62,0," ",0,58,"Northeastern Highlands"," ",491,90.48,0,623,0.88,1.52,1.34,280,"CORNER POND","NY305L",43.83167,134467.2,8.28,-74.23306,0.69,62500,0,0,0.59,1.01,1.07,0,0.11,"Yes",4.59,1361.97,0.11," ",0,0,4.96,1992 
