_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE
RCRAINFO,WI0000934042,110009513687,WAUKESHA,WI
RCRAINFO,WID063499693,110006142192,WASHINGTON,WI
WI-ESR,115288,110006142227,JACKSON,WI
RCRAINFO,WID070743828,110006142227,JACKSON,WI
WI-ESR,116261,110006142316,GREEN,WI
RCRAINFO,WID083291195,110006142334,MARATHON,WI
WI-ESR,116875,110006142405,DANE,WI
RCRAINFO,WID097099725,110006142432,ST. CROIX,WI
WI-ESR,117365,110006142469,VILAS,WI
WI-ESR,118051,110006142548,OZAUKEE,WI
RCRAINFO,WID136503208,110006142637,PORTAGE,WI
RCRAINFO,WID980283428,110006142780,VILAS,WI
WI-ESR,121041,110006143020,POLK,WI
WI-ESR,123009,110006143280,WOOD,WI
WI-ESR,123655,110006143422,ONEIDA,WI
RCRAINFO,WID982637852,110006143468,MARATHON,WI
RCRAINFO,WID982645996,110006143510,WAUKESHA,WI
NCDB,C05#013092WI01101,110011830411,TAYLOR,WI
RCRAINFO,WID988631909,110006145224,WOOD,WI
WI-ESR,14075757,110005543876,WAUKESHA,WI
RCRAINFO,WIR000051060,110005544642,MANITOWOC,WI
RCRAINFO,WID988580239,110006143903,WOOD,WI
RCRAINFO,WID988586947,110006143985,GRANT,WI
WI-ESR,126429,110006144001,VILAS,WI
RCRAINFO,WID988626784,110006145082,DOOR,WI
RCRAINFO,WID988626792,110006145091,DANE,WI
WI-ESR,145115,110006145117,PORTAGE,WI
RCRAINFO,WID988631057,110006145180,OCONTO,WI
RCRAINFO,WID988577318,110006143743,ONEIDA,WI
RCRAINFO,WID988592291,110006144092,ST. CROIX,WI
RCRAINFO,WIR000016204,110006146571,RICHLAND,WI
RCRAINFO,WID982063620,110005460376,WAUKESHA,WI
RCRAINFO,WID988615787,110006144706,WOOD,WI
RCRAINFO,WID988616660,110006144742,PRICE,WI
WI-ESR,142439,110006144760,OCONTO,WI
RCRAINFO,WID004829701,110005422792,SAUK,WI
RCRAINFO,WID041196619,110005434663,OZAUKEE,WI
RCRAINFO,WID077627776,110005442066,DOUGLAS,WI
RCRAINFO,WID988636981,110006145368,WALWORTH,WI
RCRAINFO,WID988640702,110006145545,ST. CROIX,WI
RCRAINFO,WID988642310,110006145634,WOOD,WI
WI-ESR,150451,110006145634,WOOD,WI
RCRAINFO,WIR000036137,110006147516,CHIPPEWA,WI
RCRAINFO,WIR000043646,110006147810,FOREST,WI
RCRAINFO,WIR000025668,110006147044,GREEN,WI
WI-ESR,179971,110006147071,WALWORTH,WI
RCRAINFO,WIR000026989,110006147099,ST CROIX,WI
RCRAINFO,WIR000027011,110006147106,POLK,WI
WI-ESR,9098,110005539596,WINNEBAGO,WI
RCRAINFO,WID988579181,110005470739,DANE,WI
NCDB,C05#040491WI01101,110005461160,PIERCE,WI
RCRAINFO,WID988643243,110006145689,DOUGLAS,WI
WI-ESR,158853,110006145867,DOUGLAS,WI
RCRAINFO,WIR000002253,110006145867,DOUGLAS,WI
WI-ESR,160095,110006146152,RICHLAND,WI
RCRAINFO,WID982605867,110005463060,POLK,WI
RCRAINFO,WID982614216,110005463578,WASHINGTON,WI
RCRAINFO,WID982618829,110005463943,SHAWANO,WI
WI-ESR,128500,110005480407,WASHINGTON,WI
RCRAINFO,WID988598850,110005480407,WASHINGTON,WI
RCRAINFO,WID988603452,110005483495,DANE,WI
WI-ESR,11711757,110006147883,WASHBURN,WI
RCRAINFO,WIR000044701,110006147883,WASHBURN,WI
AIRS/AFS,5504503808,110012148746,GREEN,WI
WI-ESR,12332526,110006148150,VILAS,WI
RCRAINFO,WIR000101402,110006148301,RICHLAND,WI
RCRAINFO,WIR000101659,110006148310,POLK,WI
RCRAINFO,WID988595534,110005478170,MILWAUKEE,WI
RCRAINFO,WID988596953,110005479348,WAUKESHA,WI
RCRAINFO,WID988588935,110009519075,WAUKESHA,WI
WI-ESR,151340,110006140880,DANE,WI
RCRAINFO,WI0000024364,110006140915,ROCK,WI
WI-ESR,153927,110006141246,ONEIDA,WI
WI-ESR,154016,110006141264,WAUKESHA,WI
RCRAINFO,WIR000107540,110012175458,WAUKESHA,WI
RCRAINFO,WID988610333,110005487099,GREEN LAKE,WI
RCRAINFO,WIR000039644,110005536526,OZAUKEE,WI
WI-ESR,167548,110006147204,WAUKESHA,WI
RCRAINFO,WID988622007,110005493224,WAUKESHA,WI
WI-ESR,175426,110005516272,OUTAGAMIE,WI
WI-ESR,176210,110005518323,ST. CROIX,WI
RCRAINFO,WIR000017244,110005519821,WOOD,WI
WI-ESR,196714,110005527108,SHEBOYGAN,WI
RCRAINFO,WIR000029231,110005528811,WAUKESHA,WI
WI-ESR,198417,110005528811,WAUKESHA,WI
RCRAINFO,WIR000033241,110009448062,WAUKESHA,WI
RCRAINFO,WID982075665,110001927979,LAFAYETTE,WI
RCRAINFO,WIR000001578,110001928558,POLK,WI
RCRAINFO,WI0000013433,110001928736,WAUKESHA,WI
WI-ESR,150927,110001928736,WAUKESHA,WI
NCDB,C05#021600WAH0601,110009516602,BROWN,WI
NCDB,I05#19920515WI009 1,110009516602,BROWN,WI
RCRAINFO,WIR000108241,110012178721,GREEN,WI
RCRAINFO,WIR000039701,110005536562,RUSK,WI
RCRAINFO,WIR000042150,110005538098,ST. CROIX,WI
WI-ESR,180300,110012179061,WAUKESHA,WI
WI-ESR,403953,110016874444,ONEIDA,WI
WI-ESR,403938,110016874505,ONEIDA,WI
WI-ESR,457539,110016875256,ST. CROIX,WI
WI-ESR,458643,110016875826,MANITOWOC,WI
WI-ESR,525191,110016876479,ONEIDA,WI
RCRAINFO,WI0000593871,110005415782,WAUKESHA,WI
WI-ESR,397466,110013083956,KENOSHA,WI
WI-ESR,3056131,110016878495,DOOR,WI
WI-ESR,3046115,110016878565,ADAMS,WI
WI-ESR,11493495,110016879234,BURNETT,WI
WI-ESR,406372,110016891229,VILAS,WI
WI-ESR,12332497,110016892317,ST. CROIX,WI
SDWIS,WI6560125,110013064806,ST. CROIX,WI
WI-ESR,401674,110013071148,BARRON,WI
SDWIS,WI6030135,110013071380,BARRON,WI
WI-ESR,525197,110010884169,ONEIDA,WI
WI-ESR,457276,110010885248,COLUMBIA,WI
NPDES,WI0036773,110010886112,BROWN,WI
WI-ESR,456492,110010886112,BROWN,WI
WI-ESR,180138,110016931793,VILAS,WI
NCDB,C05#060900WAH0601,110011924720,OUTAGAMIE,WI
NCDB,I05#20000106WAH06 1,110011924720,OUTAGAMIE,WI
NCDB,C05#LA9WRFY99031,110011925195,WASHBURN,WI
WI-ESR,414255,110016907702,WAUKESHA,WI
WI-ESR,414137,110016908300,PORTAGE,WI
WI-ESR,412131,110016923917,TAYLOR,WI
RCRAINFO,WID988589503,110009519155,WAUKESHA,WI
WI-ESR,407907,110016902057,OCONTO,WI
WI-ESR,409701,110016912304,ONEIDA,WI
WI-ESR,409426,110016913296,VILAS,WI
WI-ESR,171264,110016928681,VILAS,WI
WI-ESR,176784,110016929083,RACINE,WI
WI-ESR,410299,110016930133,MONROE,WI
WI-ESR,398724,110016946689,WAUKESHA,WI
WI-ESR,399352,110016949588,DOOR,WI
WI-ESR,408222,110016903822,FLORENCE,WI
WI-ESR,408117,110016904484,VILAS,WI
WI-ESR,409227,110016911412,ST. CROIX,WI
WI-ESR,410466,110016916131,VILAS,WI
WI-ESR,410282,110016916284,JACKSON,WI
WI-ESR,410272,110016916355,EAU CLAIRE,WI
WI-ESR,45141044,110016926200,MARATHON,WI
WI-ESR,162216,110016926727,CHIPPEWA,WI
WI-ESR,408266,110016903662,VILAS,WI
WI-ESR,410259,110016916435,CRAWFORD,WI
NCDB,I05#20030502FTL53 1,110017363690,KENOSHA,WI
WI-ESR,415253,110016850978,ONEIDA,WI
WI-ESR,42245574,110016924131,WASHINGTON,WI
WI-ESR,398393,110016941336,WASHINGTON,WI
WI-ESR,38490087,110013359338,EAU CLAIRE,WI
WI-ESR,409820,110016915711,ROCK,WI
WI-ESR,412448,110016931445,LAFAYETTE,WI
WI-ESR,396940,110016944280,LAFAYETTE,WI
WI-ESR,413414,110016847625,OZAUKEE,WI
WI-ESR,407970,110016904876,BARRON,WI
WI-ESR,411061,110016919003,WAUKESHA,WI
WI-ESR,411595,110016919780,MARATHON,WI
WI-ESR,411419,110016920581,CHIPPEWA,WI
WI-ESR,411952,110016921401,WAUKESHA,WI
WI-ESR,411934,110016921526,DOUGLAS,WI
WI-ESR,411739,110016922339,BURNETT,WI
WI-ESR,413256,110016845994,VILAS,WI
WI-ESR,396653,110016936119,GRANT,WI
WI-ESR,398753,110016936725,WAUKESHA,WI
WI-ESR,398416,110016937216,WASHINGTON,WI
