"State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"CA","DFICB","58992.27334","61991.94511","60572.12839","64793.20503","76929.96503","75736.32526","83085.63491","80852.69403","63011.75011","50063.80666","49569.22525","58559.39394","69658.16231","82722.18624","62232.74636","61272.77610","64867.44820","77796.97097","88521.38511","121472.03902","90728.67595","103304.88199","120549.73333","99611.44376","116781.64661","103559.81021","88745.74098","90236.70280","92878.26364","95876.08498","99469.79403","83075.78425","73742.47587","75854.69293","81369.91407","67945.48777","69114.89607","81755.83010","74843.59374","86012.06493","108844.87494","126404.80909","85298.70106","60767.14193","82821.41174","77064.23658","80742.01745"
"CA","DFICP","10127.42890","10642.39401","10398.64865","11123.29700","13206.86095","13001.94425","14263.62831","13880.29082","10817.46783","8594.64492","8509.73824","10053.11484","11958.48280","14201.23369","10683.73328","10518.93152","11136.04261","13355.70317","15196.80431","20853.56893","15575.73836","17734.74369","20695.23319","17100.67704","20048.35135","17778.50819","15235.32034","15491.27945","15944.76629","16459.41373","17076.35949","14261.93721","12659.65251","13022.26488","13969.08396","11664.46142","11865.21821","14035.33564","12848.68562","14766.01973","18685.81544","21700.39641","14643.55383","10432.12737","14218.26811","13229.91186","13861.29055"
"CA","DFRCB","2824.97006","2591.10236","2326.22668","2214.26395","2664.92649","2485.62676","2635.22639","2702.74117","2581.55991","2710.41962","2913.01144","3438.84508","3749.84218","4455.30490","3169.46457","2869.49717","3662.88908","4296.56660","4581.68544","6275.78894","550.08358","418.40305","418.17215","740.28026","867.94568","838.73231","1416.46886","1408.15204","1236.42539","1418.83702","1174.28988","1154.31788","1332.00957","1336.76288","1335.08505","1020.17710","860.71516","925.69158","983.39374","997.35697","1404.62681","1709.48646","854.68151","681.85376","830.01334","907.19068","893.10665"
"CA","DFRCP","484.97340","444.82444","399.35222","380.13115","457.49811","426.71704","452.39938","463.98990","443.18625","465.30809","500.08780","590.35967","643.74973","764.85921","544.11409","492.61754","628.82216","737.60800","786.55544","1077.38866","94.43495","71.82885","71.78921","127.08674","149.00355","143.98838","243.17062","241.74284","212.26187","243.57717","201.59483","198.16616","228.67117","229.48719","229.19915","175.13770","147.76226","158.91701","168.82296","171.22008","241.13765","293.47407","146.72644","117.05644","142.49156","155.74089","153.32303"
"CA","DFTCB","155427.25613","160838.15035","173939.42324","187614.17041","204623.28539","204484.15777","218770.49528","221864.57859","224794.18573","226548.53365","228462.30765","276029.65106","268459.24637","302135.07294","254992.03330","246599.63926","266842.92246","301471.14639","350746.52262","389527.97707","362766.40319","393320.42900","391810.93285","396640.23024","439302.99444","416709.30779","434939.50686","398389.25029","477382.55182","468973.11070","449884.50537","436039.21682","403033.21569","378539.58203","421644.82487","425517.35378","429169.07622","463807.27095","457413.84591","482008.08985","544379.12030","567213.07458","521800.61354","707471.98316","547685.39333","564453.11687","578452.36168"
"CA","DFTCP","26682.79075","27611.69962","29860.84519","32208.44127","35128.46102","35104.57644","37557.16657","38088.33966","38591.27652","38892.45213","39220.99702","47387.06456","46087.42427","51868.68205","43775.45637","42334.70203","45809.94376","51754.70325","60213.99530","66871.75571","62277.49411","67522.82043","67263.67946","68092.74339","75416.82308","71538.07858","74667.72651","68393.00434","81954.08616","80510.40527","77233.39148","74856.51791","69190.25162","64985.33597","72385.37766","73050.18949","73677.09462","79623.56583","78525.98212","82748.16993","93455.64297","97375.63512","89579.50447","121454.41771","94023.24349","96901.82264","99305.12647"
"CA","DKEIB","700.48538","678.25135","499.67433","458.38673","502.01598","485.60695","564.80948","528.54303","553.52645","576.39540","621.35275","1314.34135","1452.48612","1818.86300","1313.84680","1420.81230","3647.20220","11595.79418","15429.56560","17753.81653","14754.41380","6214.10918","1824.76280","1337.88600","1531.34008","1793.17965","2025.51560","2041.16738","971.61583","1962.85025","1538.32425","811.30600","830.83140","722.02040","667.89450","623.10025","842.99983","1650.23415","1728.77845","1622.35570","5237.84000","7989.20303","1303.84470","1482.63143","1355.90855","1405.50324","1172.26401"
"CA","DKEIP","120.25500","116.43800","85.78100","78.69300","86.18300","83.36600","96.96300","90.73700","95.02600","98.95200","106.67000","225.63800","256.56500","317.44000","229.78400","246.52400","635.33600","2041.19900","2681.92800","3073.51700","2558.94400","1067.19900","313.26400","229.68000","262.89100","307.84200","347.72800","350.41500","166.80100","336.97000","264.09000","139.28000","142.63200","123.95200","114.66000","106.97000","144.72100","283.30200","296.78600","278.51600","899.20000","1371.53700","223.83600","254.52900","232.77400","241.28811","201.24704"
"CA","ELEXB","1363.42483","1500.84753","1560.03341","1518.81802","79.74526","10.11317","0.00000","0.00000","0.00000","0.00000","36.71520","37.17292","0.00000","4.96374","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","43.74184","120.32077","0.00000","23.46432","233.00889","487.57139","389.86194","302.24520","495.14262","1906.38335","1787.17830","571.94674","86.36113","156.51526","346.01092","779.58741","966.81067","1200.39960","6716.78814","4312.56328","7254.26344","1245.51989","671.90128","76.80412","164.02849","351.61001","1926.72910"
"CA","ELEXP","399.59696","439.87325","457.21964","445.14010","23.37200","2.96400","0.00000","0.00000","0.00000","0.00000","10.76061","10.89476","0.00000","1.45479","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","12.82000","35.26400","0.00000","6.87700","68.29100","142.89900","114.26200","88.58300","145.11800","558.72900","523.79200","167.62800","25.31100","45.87200","101.41000","228.48400","283.35600","351.81700","1968.57800","1263.94000","2126.10300","365.04100","196.92300","22.51000","48.07400","103.05100","564.69200"
