Begin Header
	version	6.0.0
	Date	Sat Oct 02 02:42:04 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_F_Cy5_12935755.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2121
			# of Poor Spots: 146
			# of Negative Spots: 0
			# of Manually Flagged Spots: 2
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	2	13	ORF00291	0	1570.9687	776.8033	1517.0	720.0	1585.0909	565.115	96.0	361.0	150813.0	280426.0	469.2465	279.3021	0.8648	0.0	96.0	0.0	0.9847	0.0	609.5	295.5	11.0	0.5947	0.2365	0.5457	609.2634	294.9542	608.75	296.0833	1.2403	-0.5134	1.129	10.7734	11.5825		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	14	ORF00248	0	14517.6699	1125.142	14722.0	1055.0	14969.083	941.8934	103.0	359.0	1495320.0	403926.0	6281.4082	471.0914	0.6821	0.0	103.0	0.0	1.0	0.0	630.5	296.5	11.0	1.3661	-0.0255	1.3659	630.5255	295.134	630.1456	296.9126	1.8186	-0.3798	1.7785	10.8591	12.1931		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	15	ORF00209	0	2147.9663	1072.9504	2015.0	1035.0	2171.625	950.9038	89.0	343.0	191169.0	368022.0	717.4262	393.6838	0.7876	0.0	89.0	0.0	1.0	0.0	651.5	295.5	11.0	0.1895	-0.0207	0.1883	651.5207	295.3116	651.2247	295.7415	0.522	-0.296	0.4299	10.7122	10.7855		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	16	ORF00166	0	1536.1723	1125.4022	1440.0	1062.0	1398.1922	974.137	87.0	353.0	133647.0	397267.0	449.8454	373.7258	0.7631	1.0	88.0	2795.0	1.0	0.0	672.5	295.5	11.0	0.2688	-0.2687	0.0087	672.7687	295.4912	672.4712	295.4482	0.3005	-0.2974	-0.0429	10.4557	10.6889		0	0	0	0	0	0	0	0	1	0	0	0
	A	1	1	2	17	ORF00287	0	2376.5671	1293.9044	2315.0	1207.0	2399.6	1036.2674	67.0	408.0	159230.0	527913.0	538.7825	491.1284	0.8799	1.0	68.0	4219.0	1.0	0.0	693.0	296.0	10.0	0.73	-0.6501	0.3321	693.6501	295.6678	692.9552	295.985	0.7639	-0.6949	0.3172	8.8379	9.9423		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	18	ORF00246	0	6336.4165	1331.4925	6258.0	1251.5	6466.7812	1167.7657	84.0	400.0	532259.0	532597.0	1627.1622	524.7324	0.7304	0.0	84.0	0.0	1.0	0.0	714.0	295.0	10.0	0.9337	0.4149	-0.8364	713.585	295.8364	713.6785	295.5952	0.2586	0.0935	-0.2411	10.1522	10.6319		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	1	ORF01523	0	1598.8151	696.0864	1550.0	655.0	1561.75	594.9212	92.0	370.0	147091.0	257552.0	485.3526	230.9828	0.8	0.0	92.0	0.0	0.9437	0.0	357.5	313.5	11.0	0.4055	-0.2407	-0.3264	357.7407	313.8264	356.6412	313.5652	1.13	-1.0994	-0.2611	10.4978	11.4012		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	2	ORF01481	0	2571.4899	735.563	2591.5	695.0	2620.0371	489.271	100.0	341.0	257149.0	250827.0	579.5341	265.0415	0.8849	0.0	100.0	0.0	1.0	0.0	378.5	314.5	11.0	0.4982	0.0097	0.4981	378.4902	314.0018	377.97	315.1	1.2151	-0.5202	1.0981	10.8287	11.8503		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	3	ORF01597	0	3923.3229	726.8306	3976.0	678.0	4111.6552	527.1578	96.0	366.0	376639.0	266020.0	1261.6494	236.9354	0.8421	0.0	96.0	0.0	1.0	0.0	399.5	313.5	11.0	0.6795	0.0145	-0.6794	399.4854	314.1794	398.7187	313.802	0.8544	-0.7666	-0.3773	10.7826	11.5257		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	4	ORF01561	0	5105.6635	873.0991	5162.0	810.0	5243.4331	680.5039	107.0	333.0	546306.0	290742.0	1790.405	317.9423	0.7133	1.0	108.0	9844.0	1.0	0.0	420.5	314.5	11.0	0.2961	0.2581	0.145	420.2418	314.3549	419.9906	315.0934	0.78	-0.2511	0.7385	11.2489	12.2994		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	5	ORF01520	0	3438.958	777.2369	3514.0	700.0	3730.0	660.3773	95.0	346.0	326701.0	268924.0	1037.862	390.3435	0.8407	0.0	95.0	0.0	1.0	0.0	441.5	314.5	11.0	0.0369	0.0129	-0.0345	441.487	314.5345	441.0105	315.1684	0.7929	-0.4765	0.6338	10.6215	11.5805		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	6	ORF01477	0	3669.25	789.4152	3735.0	727.5	3800.7932	607.0476	108.0	354.0	396279.0	279453.0	1209.2862	293.8223	0.7297	0.0	108.0	0.0	1.0	0.0	462.5	315.5	11.0	0.7877	0.0023	0.7877	462.4976	314.7122	461.9814	316.074	1.4563	-0.5161	1.3618	11.5069	12.1204		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	7	ORF00860	0	13885.7265	819.8145	14367.0	763.0	15288.3613	697.471	117.0	345.0	1624630.0	282836.0	6967.0742	346.9061	0.7548	0.0	117.0	0.0	1.0	0.0	483.5	314.5	11.0	0.909	0.8244	-0.3828	482.6755	314.8828	482.376	314.9316	0.3033	-0.2994	0.0487	11.7965	12.8252		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	8	ORF00823	0	3299.9416	834.2542	3247.0	777.5	3213.7307	687.6327	103.0	358.0	339894.0	298663.0	1075.5122	341.1701	0.6688	0.0	103.0	0.0	1.0	0.0	504.5	315.5	11.0	1.1025	1.0104	0.4411	503.4895	315.0588	503.7281	316.1844	1.1505	0.2385	1.1255	10.6593	12.486		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	9	ORF00933	0	44459.5664	1132.6043	65535.0	1031.0	65457.0234	809.1451	141.0	321.0	6268799.0	363566.0	27023.5	507.3707	0.698	0.0	141.0	0.0	1.0	0.0	524.5	314.5	11.0	0.7762	-0.2389	-0.7385	524.7389	315.2385	524.695	315.3404	0.1109	-0.0439	0.1018	12.3845	14.7813		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	10	ORF00894	0	4379.2475	833.1201	4391.0	767.0	4520.643	662.7623	101.0	383.0	442304.0	319085.0	1400.4182	347.195	0.6688	0.0	101.0	0.0	1.0	0.0	546.5	315.5	11.0	0.1413	-0.1188	0.0764	546.6188	315.4235	545.8217	316.0198	0.9954	-0.7971	0.5962	10.5176	12.3531		0	0	0	0	0	0	0	0	0	0	0	0
