Report Date/Time:   02-14-08 04:22:11


                             DAPS
                         DAY  -   45

                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BLM001  324440F6       2008336      2008336       190104
BLM001  32445380       2008333      2008334         1244
BLM001  3244661A       2008331      2008331       211454
BLM001  324485E8       2008203      2008240       154034
BLM001  3244969E       2008142      2009003        25424
BLM001  3244C6E2       2003337      2002157       114235
BLM001  3244D594       2002214      2002222       114339
BLM001  3247B77C       2008242      2008247       140516
BLM001  3249E368       2008205      2008364        81734
BLM001  324A2178       2008059      2008366        44038
BLM001  324B2382       2009042      2009042       112453
BLM001  324B6088       2008269      2008269       200038
BLM001  324C075A       2008032      2008126        45810
BLM001  324C32C0       2002229      2002254       140339
BLM001  324C4450       2008042      2008043       140437
BLM001  324C814E       2008232      2008302       153322
BLM001  324D234C       2001226      2004332        50442
BLM001  324D83B4       2008231      2008304       213316
BLM001  324D90C2       2005299      2005300       122240
BLM001  324DA558       2008208      2008227       234245
BLM001  324EA256       1999067      1998056       144211
BLM001  324EB120       2008275      2008276       203356
BLM001  324ED4C6       2004057      2002037       181836
BLM001  3250122E       1998015      2002016       213851
BLM001  325027B4       2006242      2006249       123413
BLM001  325064BE       2008351      2008353       143124
BLM001  325077C8       2008250      2008349       150408
BLM001  325140A8       2008025      2009038        64714
BLM001  325153DE       2000152      2004189       191812
BLM001  3251A35A       2005245      2006161       191333
BLM001  3251E050       2002212      2004190       172713
BLM001  32522240       2008186      2008224       173109
BLM001  3254D20A       2009034      2009034       194143
BLM001  325515EE       2007081      2007081       151839
BLM001  325593FA       2000157      2004171       222641
BLM001  3255D0F0       2006018      2009015       104925
BLM001  325612E0       2008214      2008244       213438
BLM001  325651EA       2008214      2008245       143838
BLM001  3256D7FE       2008081      2008136        64638
BLM001  3257B0E2       2008307      2008307       141706
BLM001  3258909C       2008066      2008066       220724
BLM001  3258C0E0       2007344      2009043        40848
BLM001  325AB384       2006018      2008312        55840
BLM001  325B02F0       2006066      2006067       212553
BLM001  325B1186       2008213      2008224       182623
BLM001  325B528C       2008218      2008245       232823
BLM001  325B7460       2008296      2008304        22923
BLM001  325CA03C       2004159      2004159            0
BLM001  325CB34A       2008310      2008311       205023
BLM001  325CF040       2007081      2008260       145054
BLM001  325D24D2       2008182      2008240       194938
BLM001  325D37A4       2008310      2008311       205053
BLM001  325D67D8       2008266      2008284       215108
BLM001  3263505A       2008266      2008284       183123
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BLM001  326365C0       2008263      2008268       153153
BLM001  326376B6       2000336      2004171       183227
BLM001  3263E3D4       2001204      2004198       153558
BLM001  3264526E       2006117      2006117       173843
BLM001  326467F4       2008283      2008296       124016
BLM001  3265A010       2007054      2008115       160146
BLM001  3265B366       2006075      2008115       160244
BLM001  3265C5F6       2008009      2008114       160346
BLM001  3265E31A       2007132      2008109       220642
BLM001  3266210A       2006018      2008109       161110
BLM001  3266327C       2008110      2008116        10041
BLM001  326644EC       2008204      2008204       161027
BLM001  3266C2F8       2008176      2008178       125853
BLM001  3266D18E       2007148      2007148       115614
BLM001  3266E414       2008257      2008257       174053
BLM001  3267051C       2008166      2009007       185104
BLM001  3267E6EE       2008218      2008221       135126
BLM001  3267F598       2009042      2009042       231634
BLM001  3268038E       2008221      2008243       161644
BLM001  326810F8       2008301      2008301       164820
BLM001  32682562       2008156      2008156       154554
BLM001  32684084       2005080      2005229       194640
BLM001  32686668       2008059      2008059       224042
BLM001  3268A376       2008200      2008240       221714
BLM001  3268B000       2004239      2004239            0
BLM001  3268F30A       2008338      2008338       221505
BLM001  32691202       2008303      2008303       212338
BLM001  32692798       2008270      2008270       142108
BLM001  326934EE       2008241      2008280       232123
BLM001  3269427E       2008242      2008281       153154
BLM001  32695108       2008222      2008246       171734
BLM001  32696492       2007352      2008302       111445
BLM001  326977E4       2008303      2008303       182144
BLM001  32698760       2008264      2008268       160108
BLM001  32699416       2008310      2008311       202204
BLM001  3269B2FA       2008262      2008280       162214
BLM001  3269C46A       2004110      2005227       171709
BLM001  3269F1F0       2008242      2008276       153324
BLM001  326A2096       2002269      2008171       201938
BLM001  326A33E0       2002229      2008220       182000
BLM001  326A5606       2004205      2008155       192008
BLM001  326A70EA       2002228      2008228       182023
BLM001  326A806E       2002228      2008225       192038
BLM001  326A9318       2002270      2008151       202054
BLM001  326AA682       2006018      2008154       192912
BLM001  326AB5F4       2002270      2008165       182224
BLM001  326AC364       2002270      2006279        62240
BLM001  326AD012       2006018      2008166       182853
BLM001  326AE588       2008262      2008279       154234
BLM001  326AF6FE       2006268      2006268       214539
BLM001  326B0480       2008193      2008196       172653
BLM001  326B311A       2007212      2008175       203455
BLM001  326D61A8       2001295      2001338       140437
BLM001  326DA4B6       2008336      2008336       193244
BLM001  326F87AE       2008249      2008291        93026
                     PDTS THAT ARE DEACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BLM001  327490EE       2007339      2008155       222347
BLM001  3274C092       2007269      2007269            0
BLM001  3274D3E4       2007269      2007269            0
BLM001  3274E67E       2007269      2007269            0
BLM001  32750776       2009008      2009010        35034
BLM001  3275447C       2007269      2007269            0
BLM001  32758162       2008232      2008273       155804
BLM001  327752FE       2007269      2007269            0
BLM001  32776764       2008213      2008213       205123
BLM001  32777412       2008323      2008325       225133
BLM001  3277E170       2009042      2009042       150222
BLM001  3278C10E       2007060      2007179       204925
BLM001  3278F494       2007269      2007269            0
BLM001  32795696       2008298      2008298       103105
BLM001  3279707A       2008310      2008311       204534
BLM001  327980FE       2008287      2008288       204154
BLM001  3279A612       2008253      2009043       204455
BLM001  3279D082       2008219      2008261       192434
BLM001  327A1292       2007033      2007033       110117
BLM001  327A2708       2008243      2008276       172404
BLM001  327A5198       2008208      2008228       144114
BLM001  327A7774       2007203      2007229       212035
BLM001  327A87F0       2008114      2008114       204226
BLM001  327AA11C       2009028      2009028       214254
BLM001  327AC4FA       2008274      2008305       165423
BLM001  327AD78C       2008243      2008263       212414
BLM001  327AF160       2008177      2008308       183657
BLM001  327B1068       2008157      2008161       214424
BLM001  327B4014       2008087      2008110       163534
BLM001  327B5362       2008102      2008102       215454
BLM001  327B66F8       2008106      2008262       174305
BLM001  327B850A       2006018      2007102       234804
BLM001  327BA3E6       2008223      2008245       154724
BLM001  327BD576       2006090      2006090       122909
BLM001  327BF39A       2000040      2000040        94858
BLM001  327C27C6       2008172      2008268       184056
BLM001  327C5156       2008198      2008244         2425
BLM001  327DA328       2008195      2008246       184734
BLM001  327DC6CE       2008195      2008246       214744
BLM001  327DD5B8       2008198      2008244       224754
BLM001  327DE022       2009037      2009037       174604
