  DATE;LATVIAI;LATVIAR;
  26AUG2007; 1.954652; 1.954652;
  25AUG2007; 1.954652; 1.954652;
  24AUG2007; 1.954652; 1.954652;
  23AUG2007; 1.945147; 1.945147;
  22AUG2007; 1.939112; 1.939112;
  21AUG2007; 1.936483; 1.936483;
  20AUG2007; 1.932741; 1.932741;
  19AUG2007; 1.938360; 1.938360;
  18AUG2007; 1.938360; 1.938360;
  17AUG2007; 1.938360; 1.938360;
  16AUG2007; 1.920492; 1.920492;
  15AUG2007; 1.934236; 1.934236;
  14AUG2007; 1.940994; 1.940994;
  13AUG2007; 1.942879; 1.942879;
  12AUG2007; 1.959632; 1.959632;
  11AUG2007; 1.959632; 1.959632;
  10AUG2007; 1.959632; 1.959632;
  09AUG2007; 1.964251; 1.964251;
  08AUG2007; 1.984521; 1.984521;
  07AUG2007; 1.976675; 1.976675;
  06AUG2007; 1.979414; 1.979414;
  05AUG2007; 1.975114; 1.975114;
  04AUG2007; 1.975114; 1.975114;
  03AUG2007; 1.975114; 1.975114;
  02AUG2007; 1.963094; 1.963094;
  01AUG2007; 1.963479; 1.963479;
  31JUL2007; 1.965409; 1.965409;
  30JUL2007; 1.964251; 1.964251;
  29JUL2007; 1.960016; 1.960016;
  28JUL2007; 1.960016; 1.960016;
  27JUL2007; 1.960016; 1.960016;
  26JUL2007; 1.968892; 1.968892;
  25JUL2007; 1.967729; 1.967729;
  24JUL2007; 1.983733; 1.983733;
  23JUL2007; 1.982161; 1.982161;
  22JUL2007; 1.983340; 1.983340;
  21JUL2007; 1.983340; 1.983340;
  20JUL2007; 1.983340; 1.983340;
  19JUL2007; 1.982947; 1.982947;
  18JUL2007; 1.981375; 1.981375;
  17JUL2007; 1.977457; 1.977457;
  16JUL2007; 1.975504; 1.975504;
  15JUL2007; 1.977457; 1.977457;
  14JUL2007; 1.977457; 1.977457;
  13JUL2007; 1.977457; 1.977457;
  12JUL2007; 1.976675; 1.976675;
  11JUL2007; 1.977457; 1.977457;
  10JUL2007; 1.968117; 1.968117;
  09JUL2007; 1.954270; 1.954270;
  08JUL2007; 1.952744; 1.952744;
  07JUL2007; 1.952744; 1.952744;
  06JUL2007; 1.952744; 1.952744;
  05JUL2007; 1.953125; 1.953125;
  04JUL2007; 1.955799; 1.955799;
  03JUL2007; 1.954270; 1.954270;
  02JUL2007; 1.957330; 1.957330;
  01JUL2007; 1.939864; 1.939864;
  30JUN2007; 1.867957; 1.867957;
  29JUN2007; 1.867957; 1.867957;
  28JUN2007; 1.870054; 1.870054;
  27JUN2007; 1.871916; 1.871916;
  26JUN2007; 1.873421; 1.873421;
  25JUN2007; 1.874960; 1.874960;
  24JUN2007; 1.876609; 1.876609;
  23JUN2007; 1.876609; 1.876609;
  22JUN2007; 1.876609; 1.876609;
  21JUN2007; 1.878297; 1.878297;
  20JUN2007; 1.879699; 1.879699;
  19JUN2007; 1.880797; 1.880797;
  18JUN2007; 1.881805; 1.881805;
  17JUN2007; 1.919017; 1.919017;
  16JUN2007; 1.919017; 1.919017;
  15JUN2007; 1.919017; 1.919017;
  14JUN2007; 1.912412; 1.912412;
  13JUN2007; 1.910585; 1.910585;
  12JUN2007; 1.913143; 1.913143;
  11JUN2007; 1.916443; 1.916443;
  10JUN2007; 1.917913; 1.917913;
  09JUN2007; 1.917913; 1.917913;
  08JUN2007; 1.917913; 1.917913;
  07JUN2007; 1.932367; 1.932367;
  06JUN2007; 1.892287; 1.892287;
  05JUN2007; 1.894016; 1.894016;
  04JUN2007; 1.936858; 1.936858;
  03JUN2007; 1.927154; 1.927154;
  02JUN2007; 1.927154; 1.927154;
  01JUN2007; 1.927154; 1.927154;
  31MAY2007; 1.933114; 1.933114;
  30MAY2007; 1.929385; 1.929385;
  29MAY2007; 1.937234; 1.937234;
  28MAY2007; 1.933488; 1.933488;
  27MAY2007; 1.933488; 1.933488;
  26MAY2007; 1.933488; 1.933488;
