SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,039,New Jersey,Union County,0,0,05,396,396,391,420,440,455,456
050,34,039,New Jersey,Union County,0,0,06,5235,5235,5248,5529,5735,5956,6144
050,34,041,New Jersey,Warren County,0,0,01,98192,98188,98865,101013,102362,103480,103774
050,34,041,New Jersey,Warren County,0,0,02,2028,2028,2056,2278,2524,2736,3021
050,34,041,New Jersey,Warren County,0,0,03,126,126,104,113,115,113,111
050,34,041,New Jersey,Warren County,0,0,04,1312,1312,1337,1564,1761,2053,2257
050,34,041,New Jersey,Warren County,0,0,05,20,20,3,3,1,2,3
050,34,041,New Jersey,Warren County,0,0,06,759,759,628,680,739,789,852
050,34,001,New Jersey,Atlantic County,0,1,01,162364,162364,162543,163123,164714,166324,168117
050,34,001,New Jersey,Atlantic County,0,1,02,43102,43102,43309,43276,43129,43440,43828
050,34,001,New Jersey,Atlantic County,0,1,03,446,446,458,482,496,514,521
050,34,001,New Jersey,Atlantic County,0,1,04,13076,13076,13201,13879,14630,15306,16266
050,34,001,New Jersey,Atlantic County,0,1,05,80,80,97,104,103,104,108
050,34,001,New Jersey,Atlantic County,0,1,06,2755,2755,2595,2713,2833,2971,3152
050,34,001,New Jersey,Atlantic County,0,2,01,25383,25383,25671,26647,27870,29467,30764
050,34,001,New Jersey,Atlantic County,0,2,02,4130,4130,4103,4192,4311,4449,4575
050,34,001,New Jersey,Atlantic County,0,2,03,365,365,329,332,338,353,371
050,34,001,New Jersey,Atlantic County,0,2,04,194,194,207,209,206,213,225
050,34,001,New Jersey,Atlantic County,0,2,05,103,103,74,77,74,79,78
050,34,001,New Jersey,Atlantic County,0,2,06,554,554,521,554,592,633,688
050,34,003,New Jersey,Bergen County,0,1,01,644090,644090,643177,635985,628610,621360,614475
050,34,003,New Jersey,Bergen County,0,1,02,45321,45321,45311,45890,46088,46386,46647
050,34,003,New Jersey,Bergen County,0,1,03,848,848,862,879,890,873,887
050,34,003,New Jersey,Bergen County,0,1,04,95274,95274,96751,102303,107460,112540,117831
050,34,003,New Jersey,Bergen County,0,1,05,159,159,134,135,149,156,162
050,34,003,New Jersey,Bergen County,0,1,06,7049,7049,7522,7810,8090,8334,8642
050,34,003,New Jersey,Bergen County,0,2,01,83551,83551,84675,90231,95129,100116,105082
050,34,003,New Jersey,Bergen County,0,2,02,4626,4626,4820,5129,5364,5600,5805
050,34,003,New Jersey,Bergen County,0,2,03,780,780,764,855,919,994,1062
050,34,003,New Jersey,Bergen County,0,2,04,654,654,581,610,645,674,706
050,34,003,New Jersey,Bergen County,0,2,05,133,133,40,39,54,58,60
050,34,003,New Jersey,Bergen County,0,2,06,1633,1633,1213,1338,1449,1540,1639
050,34,005,New Jersey,Burlington County,0,1,01,324529,324526,325008,327264,330085,332591,333634
050,34,005,New Jersey,Burlington County,0,1,02,63060,63060,63540,65021,67129,69109,70852
050,34,005,New Jersey,Burlington County,0,1,03,765,765,682,681,715,751,758
050,34,005,New Jersey,Burlington County,0,1,04,11527,11527,11683,12367,13431,14631,15513
