       2      10       6      99       0      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      645.000    -0.741192      3.84836   0.00863586   0.00648327
      655.000    -0.782755      3.82266    0.0124604   0.00882955
      665.000    -0.854978      3.77332   0.00874883   0.00656430
      675.000    -0.889631      3.74705    0.0118464   0.00847156
      685.000    -0.972927      3.70439   0.00924664   0.00689188
      695.000     -1.06355      3.62420    0.0100167   0.00734981
      705.000     -1.07986      3.58020    0.0109703   0.00787510
      715.000     -1.15793      3.50267   0.00978827   0.00736302
      725.000     -1.12810      3.43971    0.0154033    0.0110066
      735.000     -1.20055      3.24971    0.0125075   0.00973917
      745.000     -1.19055      3.07238    0.0182191    0.0133836
      755.000     -1.12570      2.85590    0.0132366    0.0103098
      765.000     -1.08542      2.51239    0.0147463    0.0112095
      775.000    -0.968054      2.26211    0.0152311    0.0116274
      785.000    -0.797017      1.89949    0.0144041    0.0113350
      795.000    -0.757511      1.63233    0.0196575    0.0147508
      805.000    -0.479347      1.30680    0.0127571    0.0102306
      815.000    -0.406837      1.05371    0.0183083    0.0135755
      825.000    -0.194540     0.896665    0.0118504   0.00932448
      835.000   0.00160893     0.730627    0.0135295    0.0100936
      845.000    0.0846049     0.690408    0.0122249   0.00941586
      855.000     0.252506     0.598498    0.0121121   0.00953931
      865.000     0.319593     0.510938    0.0139298    0.0106028
      875.000     0.467417     0.458772    0.0111343   0.00923227
      885.000     0.524918     0.366320    0.0181811    0.0141475
      895.000     0.610703     0.347193    0.0110904   0.00932246
      905.000     0.658470     0.293723    0.0169161    0.0132886
      915.000     0.697888     0.276180    0.0117651   0.00971885
      925.000     0.743495     0.245171    0.0129551    0.0104875
      935.000     0.713121     0.230133    0.0142194    0.0113004
      945.000     0.699365     0.209541    0.0123840    0.0103883
      955.000     0.720298     0.219439    0.0202854    0.0160174
      965.000     0.710542     0.192251    0.0123487    0.0105552
      975.000     0.685453     0.125183    0.0211191    0.0165423
      985.000     0.672216    0.0574817    0.0134934    0.0113959
      995.000     0.681853    0.0291768    0.0159675    0.0134995
       2      10       6      99       0      60       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000    -0.836070      3.22907    0.0148435    0.0153397
      25.0000    -0.849683      4.06787    0.0115149    0.0118953
      35.0000    -0.880518      4.76385   0.00869374   0.00893829
      45.0000    -0.959937      5.23924   0.00768740   0.00788071
      55.0000     -1.02222      5.46190   0.00752307   0.00768600
      65.0000    -0.956611      5.55719   0.00651134   0.00665821
      75.0000    -0.848669      5.61137   0.00532106   0.00545488
      85.0000    -0.770989      5.63177   0.00463050   0.00474818
      95.0000    -0.718876      5.63170   0.00439260   0.00451035
      105.000    -0.697417      5.64462   0.00434499   0.00446302
      115.000    -0.689061      5.66200   0.00432276   0.00443732
      125.000    -0.671859      5.66178   0.00454231   0.00465976
      135.000    -0.667913      5.64506   0.00485424   0.00497611
      145.000    -0.657069      5.60072   0.00522370   0.00536260
      155.000    -0.641093      5.53772   0.00547176   0.00564227
      165.000    -0.617698      5.47820   0.00585892   0.00609351
      175.000    -0.580211      5.42399   0.00636529   0.00668104
      185.000    -0.565833      5.36451   0.00695063   0.00733761
      195.000    -0.561505      5.29524   0.00794894   0.00839514
      205.000    -0.516682      5.23219   0.00833335   0.00881782
      215.000    -0.479991      5.14463   0.00800177   0.00851161
      225.000    -0.465721      5.07786   0.00735732   0.00780946
      235.000    -0.430736      5.03660   0.00721131   0.00760527
      245.000    -0.384930      4.97670   0.00724825   0.00761490
      255.000    -0.367808      4.92801   0.00682756   0.00715836
      265.000    -0.351432      4.87942   0.00703636   0.00738689
      275.000    -0.349393      4.84802   0.00611900   0.00639555
      285.000    -0.325559      4.78999   0.00699356   0.00730268
      295.000    -0.328738      4.75561   0.00635897   0.00662065
      305.000    -0.308946      4.71457   0.00656430   0.00685480
      315.000    -0.290936      4.67189   0.00663366   0.00695068
      325.000    -0.289144      4.64295   0.00640384   0.00672698
      335.000    -0.273764      4.61551   0.00704482   0.00739496
      345.000    -0.268234      4.58785   0.00624653   0.00653322
      355.000    -0.246652      4.54846   0.00688867   0.00722292
      365.000    -0.234581      4.51597   0.00631188   0.00658663
      375.000    -0.223417      4.49086   0.00644954   0.00672703
      385.000    -0.231638      4.45131   0.00617603   0.00644476
      395.000    -0.244284      4.41633   0.00619103   0.00643798
      405.000    -0.244707      4.39317   0.00706594   0.00734897
      415.000    -0.252419      4.36034   0.00627065   0.00647882
      425.000    -0.244266      4.34021   0.00713611   0.00741358
      435.000    -0.261048      4.30755   0.00647602   0.00672446
      445.000    -0.279606      4.26980   0.00665874   0.00695216
      455.000    -0.292266      4.23238   0.00634635   0.00663528
      465.000    -0.302645      4.20757   0.00654988   0.00681571
      475.000    -0.321261      4.19176   0.00671479   0.00697768
      485.000    -0.329693      4.15371   0.00651183   0.00675389
      495.000    -0.313958      4.12865   0.00777660   0.00804808
      505.000    -0.349477      4.10279   0.00663909   0.00686875
      515.000    -0.359427      4.07609   0.00749271   0.00776742
      525.000    -0.387581      4.03204   0.00691853   0.00716449
      535.000    -0.427815      3.98170   0.00717253   0.00741846
      545.000    -0.467969      3.93950   0.00743996   0.00768745
      555.000    -0.489850      3.89783   0.00723580   0.00741382
      565.000    -0.512519      3.87412   0.00764098   0.00788524
      575.000    -0.574568      3.83491   0.00692204   0.00713094
      585.000    -0.571925      3.79246   0.00830190   0.00854314
      595.000    -0.631659      3.76411   0.00711488   0.00734697
      605.000    -0.667201      3.72709   0.00766727   0.00792977
      615.000    -0.713314      3.68920   0.00782341   0.00807666
      625.000    -0.791496      3.65331   0.00787047   0.00814343
      635.000    -0.847112      3.61454   0.00831438   0.00854549
      645.000    -0.928201      3.55553   0.00815722   0.00839676
      655.000    -0.995666      3.51477   0.00977622    0.0100576
      665.000     -1.10923      3.46015   0.00840435   0.00863715
      675.000     -1.16070      3.42133   0.00974174    0.0100815
      685.000     -1.28194      3.36928   0.00885224   0.00911865
      695.000     -1.35524      3.28082   0.00944124   0.00977389
      705.000     -1.35968      3.18551    0.0101285    0.0104469
      715.000     -1.38645      3.02306    0.0103072    0.0106547
      725.000     -1.32858      2.81899    0.0129756    0.0134325
      735.000     -1.30265      2.46439    0.0116653    0.0120624
      745.000     -1.19970      2.15855    0.0142663    0.0150009
      755.000     -1.00485      1.80104    0.0129765    0.0135187
      765.000    -0.844675      1.51564    0.0132172    0.0138528
      775.000    -0.654564      1.31562    0.0137252    0.0142057
      785.000    -0.442305      1.12545    0.0132112    0.0137305
      795.000    -0.354930      1.04182    0.0158036    0.0163795
      805.000    -0.130065     0.891347    0.0133010    0.0137255
      815.000   -0.0614452     0.752465    0.0162935    0.0167279
      825.000    0.0578645     0.652883    0.0133036    0.0136659
      835.000     0.154125     0.535703    0.0140633    0.0145117
      845.000     0.240080     0.539690    0.0137980    0.0141694
      855.000     0.317940     0.505695    0.0139821    0.0145079
      865.000     0.367412     0.478222    0.0153834    0.0159249
      875.000     0.452861     0.483167    0.0139851    0.0146797
      885.000     0.496191     0.399402    0.0186425    0.0195395
      895.000     0.551283     0.453316    0.0149630    0.0157797
      905.000     0.592237     0.418686    0.0191455    0.0200603
      915.000     0.592057     0.391004    0.0160242    0.0169420
      925.000     0.546732     0.341342    0.0175027    0.0184460
      935.000     0.475865     0.303709    0.0183322    0.0194578
      945.000     0.491968     0.245965    0.0169585    0.0177861
      955.000     0.551998     0.215477    0.0225803    0.0237681
      965.000     0.489405     0.250165    0.0183473    0.0190713
      975.000     0.486482     0.202879    0.0245142    0.0256280
      985.000     0.487206     0.257993    0.0190306    0.0195724
      995.000     0.501964     0.227391    0.0232455    0.0239723
       2      10       6      99       1      15       0     -999.000
      Alt            U            V       U_quality    V_quality
      15.0000     -1.37848      2.88273    0.0127973    0.0113546
      25.0000     -1.56240      3.71169   0.00951472   0.00847084
      35.0000     -1.61992      4.41105   0.00690060   0.00642296
      45.0000     -1.66118      5.04899   0.00572398   0.00538053
      55.0000     -1.65322      5.48271   0.00518237   0.00487520
      65.0000     -1.55761      5.68122   0.00469122   0.00441644
      75.0000     -1.44029      5.75259   0.00438887   0.00413218
      85.0000     -1.32348      5.76378   0.00414816   0.00390366
      95.0000     -1.23088      5.74765   0.00396952   0.00373952
      105.000     -1.18491      5.72980   0.00387478   0.00365420
      115.000     -1.16041      5.70877   0.00378339   0.00356980
      125.000     -1.12799      5.68665   0.00399422   0.00376826
      135.000     -1.08890      5.65624   0.00419613   0.00396071
      145.000     -1.04246      5.61459   0.00441709   0.00417058
      155.000    -0.994745      5.56055   0.00461301   0.00435587
      165.000    -0.936980      5.50191   0.00491793   0.00464195
