Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	128
Date	2004MAY07
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	13.50000	[UTC]
Stop_time	13.78278	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.55457	[p_s^-1]
ForeOptic_temperature	25.30	[ns]
Front_temperature	25.30	[ns]
Back_temperature	31.32	[ns]
Inside_temperature	30.91	[ns]
Shelter_temperature	29.27	[ns]
PSUnit_temperature	33.44	[ns]
AirCond_temperature	14.12	[ns]
Outside_temperature	32.90	[ns]
Comments	none
Formatted_file	2004128f03.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
329.226	129.03819	0.0003	0.0000
329.326	147.55591	0.0003	0.0000
329.426	153.17200	0.0003	0.0000
329.526	132.29874	0.0003	0.0000
329.626	143.40034	0.0003	0.0000
329.726	148.96634	0.0003	0.0000
329.826	133.05861	0.0003	0.0000
329.926	150.07954	0.0003	0.0000
330.026	175.10854	0.0003	0.0000
330.126	154.03313	0.0003	0.0000
330.226	108.28584	0.0004	0.0000
330.326	118.42798	0.0004	0.0000
330.426	129.36560	0.0003	0.0000
330.526	115.82290	0.0004	0.0000
330.626	81.50459	0.0004	0.0000
330.726	109.91878	0.0004	0.0000
330.826	127.36665	0.0003	0.0000
330.926	126.73849	0.0003	0.0000
331.026	115.55805	0.0004	0.0000
331.126	128.43802	0.0003	0.0000
331.226	109.38125	0.0004	0.0000
331.326	122.95114	0.0004	0.0000
331.426	102.76286	0.0004	0.0000
331.526	108.62191	0.0004	0.0000
331.626	135.25902	0.0003	0.0000
331.726	130.83292	0.0003	0.0000
331.826	142.38736	0.0003	0.0000
331.926	137.16446	0.0003	0.0000
332.026	127.77029	0.0003	0.0000
332.126	143.85722	0.0003	0.0000
332.226	99.75060	0.0004	0.0000
332.326	113.05229	0.0004	0.0000
332.426	129.76865	0.0003	0.0000
332.526	151.58055	0.0003	0.0000
332.626	152.78064	0.0003	0.0000
332.726	127.11473	0.0003	0.0000
332.826	133.10150	0.0003	0.0000
332.926	107.80167	0.0004	0.0000
333.026	121.00046	0.0004	0.0000
333.126	149.59824	0.0003	0.0000
333.226	122.31680	0.0004	0.0000
333.326	150.28302	0.0003	0.0000
333.426	125.37206	0.0004	0.0000
333.526	97.74399	0.0004	0.0000
333.626	85.10064	0.0004	0.0000
333.726	113.44701	0.0004	0.0000
333.826	125.03711	0.0004	0.0000
333.926	128.87022	0.0003	0.0000
334.026	115.47195	0.0004	0.0000
334.126	141.21683	0.0003	0.0000
334.226	103.67702	0.0004	0.0000
334.326	146.06760	0.0003	0.0000
334.426	148.40836	0.0003	0.0000
334.526	146.89595	0.0003	0.0000
334.626	147.25865	0.0003	0.0000
334.726	147.53186	0.0003	0.0000
334.826	114.98896	0.0004	0.0000
334.926	81.51981	0.0004	0.0000
335.026	122.75352	0.0004	0.0000
335.126	160.09717	0.0003	0.0000
335.226	156.60234	0.0003	0.0000
335.326	148.25716	0.0003	0.0000
335.426	141.22847	0.0003	0.0000
335.526	171.29257	0.0003	0.0000
335.626	157.77170	0.0003	0.0000
335.726	163.15881	0.0003	0.0000
335.826	126.29894	0.0004	0.0000
335.926	79.87071	0.0004	0.0000
336.026	70.09772	0.0005	0.0000
