CO2: JUL  VEGETATION   (KG C/M2/S) DIMENSION =  72 X  46    SCALE = 0.10E+14    
MISSING =  9999999  UNDEF =  -999999    MIN =  -613013      MAX =   216323      
NUMREC =  335 (NUMBER OF RECORDS IN DATA FILE)                                  
 -179481 -137618 -100715 -152266 -202605 -278010 -208104 -146368 -277155 -248316
 -218242 -134546  -99813  -49006   -3077       0   -3117   11489   46635       0
 -999999 -999999       0       0       0 -999999 -999999 -999999    2039 -999999
 -999999 -999999 -999999 -104361 -421500 -571074 -193564 -491561 -485402 -510015
 -536282 -503281 -422188 -514352 -463392 -389576 -221786 -165366 -286929 -395000
 -494238 -274525 -210855 -307942 -294787 -227713 -193173 -169546 -195839 -104162
  -58043 -107085  -92049  -77856  -62042 -138576  -92583  -72176   -3241  -21022
   -2285  -52368 -185190 -243673 -330845 -363462 -250191 -138413 -167136 -187636
 -133752 -143405  -78349  -71753  -45492   18227  100319   72166   12597   29699
       0       0       0     911       0       0       0       0 -999999    -591
   20914   -1646 -999999 -999999 -999999 -999999  -40244 -205641 -392691 -405988
 -491011 -433919 -200100 -270849 -450207 -489370 -408421 -312633 -265529 -134292
 -253651 -362701 -464561 -231193 -256623 -273706 -278711 -314877 -244251 -194710
 -138335  -97588  -80728 -106668 -232493 -251040 -262800 -162751  -83290  -47636
       0 -999999 -999999  -16845  -67384  -70050  -41181  -59844  -55231  -37824
  -66370  -49172   51386       0   78545   71888   19877   64411   58744   85300
   55720       0       0 -999999 -999999   17421       0       0       0       0
       0       0       0 -999999 -999999 -999999 -999999 -999999 -999999  -13115
  -63753 -119634 -206772  -96941   -3669  -36238   -2079  -45235  -67696  -68640
 -102945  -63245  -89918 -186186 -211510 -138641 -182870 -199119 -174601 -290586
 -224803 -131539  -66639 -115822 -116542 -165214 -131753 -145620  -71823  -97922
  -30483  -39071 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999   15967       0       0       0       0       0       0
       0       0   19682       0 -999999 -999999       0       0       0       0
       0       0       0       0       0 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999       0
       0       0  -20576   -6273   -8702  -36713  -25604  -26132  -37439  -70534
  -18535  -49397  -15387    3182       0       0    -350   -7399       0 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0 -999999 -999999 -999999
 -999999 -999999       0       0       0       0 -999999 -999999 -999999 -999999
 -999999 -999999 -999999       0       0 -999999 -999999 -999999 -999999       0
   11915       0    6122 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999       0 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999 -999999
 -999999 -999999                                                                
