 14826 FLINT                  MI  -5  N42 58  W 83 44   233   988
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  7  5442 G4  1650  4054 G4  2922  2681 G5   508 11341 19622  6.8  5.9  3.02  0.14  26.22  16.33  21.28  22.80  77    11   106  4.0
  8  5681 G4  1358  5483 G4  2588  2166 G5   519 10113 18358  4.7  4.0  2.44  0.14  26.78  14.17  20.50  22.82  71    14    84  3.6
  9  3504 G4  1431  2747 G4  2665  1901 G5   402  8237 16747  7.2  6.6  2.48  0.12  21.39  11.56  16.50  18.15  81    84    32  4.2
 10  2683 G4   909  2547 G4  2238  1455 G5   353  6094 15029  7.3  6.5  1.73  0.09  16.00   6.33  11.17  12.85  81   219     2  4.1
 11  1483 G4   478   921 G4  1284  1142 G5   195  4286 13435  8.7  8.3  1.11  0.07   7.22   1.00   4.11   5.05  77   423     0  5.2
 12  1367 G4   410  1289 G4  1982   964 G5   263  3391 12568  8.1  7.8  0.73  0.06   0.89  -6.67  -2.89  -1.58  77   654     0  5.0
 13  3681 G4  2057  3174 G4  2863  1849 G5   774  7692 16407  6.9  6.2  1.57  0.11  12.94   3.22   8.11   9.90  73  3977   313  4.5
 1971
  1  1581 G4   422  1508 G4  1671  1082 G5   191  3822 13043  7.8  7.3  0.49  0.07  -3.44 -10.33  -6.89  -5.91  74   778     0  5.8
  2  2078 G4   601  1572 G4  1974  1449 G5   311  5319 14491  8.1  7.9  0.80  0.06  -0.06  -6.28  -3.17  -2.59  78   599     0  6.0
  3  3462 G4  1187  2758 G4  2900  1995 G5   560  7408 16226  7.6  6.6  0.67  0.10   2.44  -5.06  -1.28  -0.19  76   604     0  4.9
  4  4807 G4  1678  4434 G4  3755  2119 G5   726  9494 17928  5.9  5.2  0.91  0.12  12.06   0.44   6.28   7.91  66   359     0  4.8
  5  6242 G4  1500  5757 G4  3106  2386 G5   665 11011 19319  5.5  4.4  1.25  0.13  19.44   5.67  12.56  14.94  63   180     6  4.4
  6  6448 G4  1339  5420 G4  2479  2673 G5   574 11649 20012  5.7  4.4  2.52  0.18  27.28  14.39  20.83  22.73  70    23   104  3.8
  7  6104 G4  1511  4977 G4  2698  2727 G5   532 11341 19622  5.6  4.6  2.12  0.18  25.67  13.72  19.72  21.85  67    16    64  4.1
  8  5829 G4  1362  5778 G4  2907  2082 G5   621 10113 18358  4.2  3.7  2.19  0.14  26.22  13.11  19.67  21.93  67    16    62  4.0
  9  3680 G4  1098  2750 G4  2311  2086 G5   446  8237 16747  7.4  6.4  2.50  0.13  23.28  13.11  18.22  19.83  73    60    58  4.0
