! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781451347370 000 01 169960.0 02  94060.0
19781451349000 000 02  94058.0 01 170160.0
19781451352080 000 01 170297.0 02  93877.0
19781451354050 000 01 170117.0 02  93815.0
19781451358180 000 02  93779.0 01 169609.0
19781451359190 000 01 169505.0 02  93771.0
19781451400020 000 01 169435.0 02  93753.0
19781451400490 000 02  93762.0 01 169353.0
19781451402300 000 01 169187.0 02  93760.0
19781451404340 000 02  93767.0 01 168950.0
19781451406580 000 02  93784.0 01 168692.0
19781451408080 000 02  93789.0 01 168574.0
19781451409180 000 02  93790.0 01 168475.0
19781451412110 000 01 168426.0 02  93811.0
19781451413380 000 01 168425.0 02  93821.0
19781451415190 000 02  93810.0 01 168417.0
19781451416270 000 02  93817.0 01 168410.0
19781451417260 000 01 168401.0 02  93804.0
19781451418410 000 02  93802.0 01 168404.0
19781451419540 000 02  93777.0 01 168388.0
19781451423130 000 02  93734.0 01 168375.0
19781451424230 000 01 168388.0 02  93743.0
19781451425320 000 01 168361.0 02  93726.0
19781451427120 000 01 168355.0 02  93712.0
19781451428220 000 01 168352.0 02  93710.0
19781451429410 000 02  93678.0 01 168357.0
19781451431450 000 02  93638.0 01 168323.0
19781451433200 000 01 168307.0 02  93598.0
19781451435310 000 02  93550.0 01 168318.0
19781451436220 000 01 168312.0 02  93547.0
19781451437410 000 02  93554.0 01 168307.0
19781451440530 000 02  93533.0 01 168311.0
19781451442100 000 01 168299.0 02  93537.0
19781451443400 000 02  93525.0 01 168292.0
19781451445140 000 01 168289.0 02  93513.0
19781451446160 000 02  93508.0 01 168287.0
19781451446590 000 02  93488.0 01 168277.0
19781451452150 000 02  93454.0 01 168292.0
19781451454110 000 01 168307.0 02  93454.0
19781451459510 000 01 168276.0 02  93432.0
19781451501520 000 02  93428.0 01 168230.0
19781451504040 000 02  93421.0 01 168211.0
19781451505080 000 01 168216.0 02  93425.0
19781451507180 000 01 168195.0 02  93424.0
19781451508280 000 01 168188.0 02  93431.0
19781451510410 000 02  93444.0 01 168190.0
19781451512040 000 01 168180.0 02  93449.0
19781451513080 000 01 168177.0 02  93481.0
19781451514370 000 01 168192.0 02  93484.0
19781451515420 000 02  93519.0 01 168206.0
19781451516520 000 02  93549.0 01 168205.0
19781451517320 000 01 168203.0 02  93555.0
19781451518450 000 01 168174.0 02  93594.0
19781451520410 000 01 168158.0 02  93627.0
