DIUREF	TITLE	AUTHOR	KEYWORDS	REFERENCE	PDATE
78.00	RRS Discovery Cruise 201, 23 Mar-03 May 1993. South West Indian Ocean Experiment (SWINDEX).	POLLARD, R.T. AND READ, J.F. et al	\ACC\ADCP\AGULHAS\CFC\CROZET PLATEAU\CRUISES\CTD\FIELDW\COUNTRYGB\	Institute of Oceanographic Sciences Deacon Laboratory, Cruise Report No. 240, 96pp.	1994.00
80.00	Automated 3-D spatial measurement of gravity-capillary waves.	GRACIAN, A.P., MULLER, J.-P., CHALLENOR, P.G. AND SROKOSZ, M.A.	\UNPUB\WAVES\COUNTRYGB\	Proceedings of the XVIII ISPRS Congress, Washington, 12-14 August 1992. Washington, DC:  International Congress of Photogrammetry and Remote Sensing.  (Unpaginated),7pp. in	1992.00
82.00	Ocean heat transport across 24N latitude.	BRYDEN, H.L.	\HEAT TRANSPORT\HYDROGRAPHIC SECTIONS\REF\COUNTRYGB\	pp.65-75 in, Interactions between global climate subsystems, (ed. G.A.McBean & M.Hantel). Washington, DC:  American Geophysical Union. (AGU Geophysical Monograph 75)	1993.00
83.00	Mesoscale circulation in the Southern Ocean as observed by satellite altimetry.	SNAITH, H.M.	\ANT\ERS-1\OCEAN CIRCULATION\SATELLITE ALTIMETRY\UNPUBW\COUNTRYGB\	pp.581-586 in, Proceedings of the second ERS-1 Symposium: Space at the Service of our Environment, Hamburg, Germany, 11-14 October 1993. Vol. I. Paris:  European Space Agency. (ESA SP-361)	1993.00
84.00	Determination of ERS-1's sea state bias from instances of rapid change in wave height.	SROKOSZ, M.A. AND QUARTLY, G.D.	\ERS-1\UNPUB\WAVES\COUNTRYGB\	pp.597-600 in, Proceedings of the second ERS-1 Symposium: Space at the Service of our Environment, Hamburg, Germany, 11-14 October 1993. Vol. I. Paris: European Space Agency. (ESA SP-361)	1993.00
85.00	Detection of rain cells in altimeter returns.	QUARTLY, G.D., GUYMER, T.H. AND LAXON, S.W.	\ALTIMETRY\ATMOSPHERIC PRECIPITATIONS\SATELLITE\UNPUBW\COUNTRYGB\	pp.799-804 in, Proceedings of the second ERS-1 Symposium: Space at the Service of our Environment, Hamburg, Germany, 11-14 October 1993. Vol. II. Paris:  European Space Agency. (ESA SP-361)	1993.00
86.00	Cross calibration of ERS-1, TOPEX and GEOSAT wave heights.	COTTON, P.D. AND CARTER, D.J.T.	\CALIBRATION\ERS-1\TOPEX-POSEIDON\UNPUB\WAVES\COUNTRYGB\	pp.1165-1170 in, Proceedings of the second ERS-1 Symposium: Space at the Service of our Environment, Hamburg, Germany, 11-14 October 1993. Vol. II. Paris:  European Space Agency. (ESA SP-361)	1993.00
87.00	An intercomparison between a Bryan-Cox ocean model and an isopycnic ocean model.	ROBERTS, M.J., WOOD, R.A., NEW, A.L. AND MARSH, R.	\ATLN\INTERCOMPARISON\OCEAN MODEL\UNPUBW\COUNTRYGB\	World Meteorological Organization, World Climate Research Programme, CAS/JSC Working Group Numerical Experimentation, Report No.19, 8.12-8.13. (WMO/TD-No.592)	1994.00
88.00	A three-dimensional ocean ecosystem model for use in carbon cycle studies.	TAYLOR, N.K. AND TOTTERDELL, I.	\CARBON CYCLE\JGOFS\MODELLING\OCEAN CIRCULATION\UNPUB\COUNTRYGB\	World Meteorological Organization, World Climate Research Programme, CAS/JSC Working Group Numerical Experimentation, Report No.19, 8.26-8.27. (WMO/TD-No.592)	1994.00
89.00	AIM: the Atlantic Isopycnic Model.	NEW, A.L., BLECK, R., JIA, Y., MARSH, R. AND BARNARD, S.	\AIMS\ATLN\OCEAN MODEL\COUNTRYGB\	World Meteorological Organization, World Climate Research Programme, CAS/JSC Working Group Numerical Experimentation, Report No.19, p.8.56. (WMO/TD-No.592)	1994.00
90.00	From the Bering Sea to Fiji: CO2 survey crosses the northern Pacific.	WINN, C.D.	\CARBON DIOXIDE\DISSOLVED INORGANIC CARBON\JGOFS\PACN\PACTW\UNPUB\COUNTRYUS\	US JGOFS News, 5(3), 10-12. (Unpublished manuscript)	1994.00
95.00	Pieces of the puzzle: understanding ocean circulation.	COLGAN, C.	\ADCP\CURRENT MEASUREMENT\HYDROGRAPHIC SECTIONS\OCEAN CIRCULATION\UNPUBW\COUNTRYUS\	Exploration, Scripps Institution of Oceanography, 1(1), 18-20.	1994.00
96.00	Listening to the currents.	ANONYMOUS	\ADCP\CURRENT MEASUREMENT\UNPUBW\COUNTRYUS\	Exploration, Scripps Institution of Oceanography, 1(1), 21-23. 1994	1994.00
