";"
";","File:","e:\outgoing\doe\grayshbr\70anmllw.dat"
";","Date:","Friday","May",15,1998,"10:49:44"
";","Surface","Name:","70anmllw"
";","Surface","Desc:",1970,"annual","condition","moved","-1.5 to NOS mllw"
";","Point","Type:","Random"
";","Format:","Easting","Northing","Elevation"
";","Pen","Order:","One","Then","Zeroes"
";"
222239.1,178071.3,-9.6012
222239.1,178074.4,-9.6012
222239.3,178077.3,-9.6012
222239.8,178082.8,-9.6012
222240.6,178087.7,-9.6012
222243.9,178104.8,-9.6012
222244.6,178109,-9.6012
222245.4,178115.4,-9.6012
222245.6,178118.6,-9.6012
222245.6,178121.8,-9.6012
222245.1,178146.4,-9.6012
222244.4,178164.8,-9.6012
222243.7,178178.6,-9.6012
222242.2,178199.4,-9.6012
222240.2,178220.1,-9.6012
222238.8,178232.3,-9.6012
222237.4,178242.8,-9.6012
222234.4,178261.2,-9.6012
222231.6,178274.9,-9.6012
222229.1,178285.1,-9.6012
222227,178292.7,-9.6012
222223.4,178304,-9.6012
222219.2,178315.2,-9.6012
222217.5,178319.2,-9.6012
222214,178326.4,-9.6012
222210.7,178332.6,-9.6012
222204.4,178343.1,-9.6012
222194.8,178358.7,-9.6012
222190.4,178366.6,-9.6012
222188.3,178370.7,-9.6012
222186.4,178374.8,-9.6012
222166.8,178418.3,-9.6012
222162.1,178429.3,-9.6012
222155.6,178445.9,-9.6012
222152.7,178454.4,-9.6012
222150,178462.9,-9.6012
222130.8,178527.2,-9.6012
222111.5,178591.5,-9.6012
222087.9,178669.2,-9.6012
222064.5,178747,-9.6012
222060.3,178762.3,-9.6012
222057,178775.8,-9.6012
222051.9,178799.6,-9.6012
222044.9,178835.5,-9.6012
222041.4,178853.4,-9.6012
222037.5,178871.2,-9.6012
222027.6,178911.3,-9.6012
222011.8,178971.2,-9.6012
222004.5,179001.3,-9.6012
221998.2,179031.7,-9.6012
221996.3,179043.2,-9.6012
221993.4,179063.5,-9.6012
221990,179093.9,-9.6012
221986.9,179124.3,-9.6012
221978.5,179203.5,-9.6012
221775.1,177846.9,-11.43
221777.3,177853.8,-11.43
221779.7,177860.7,-11.43
221782.3,177867.4,-11.43
221787.8,177880.7,-11.43
221798,177905.2,-11.43
221805.3,177923.8,-11.43
221810,177937.4,-11.43
221812.7,177947.2,-11.43
221814.3,177954.3,-11.43
221815.2,177959.4,-11.43
221815.9,177966.7,-11.43
221815.8,177973.5,-11.43
221813.2,178005.9,-11.43
221810.5,178038.2,-11.43
221803.1,178120.1,-11.43
221795.5,178202.1,-11.43
221791.7,178241.7,-11.43
221788.5,178271.4,-11.43
221782.9,178315.9,-11.43
221779.6,178338,-11.43
221775.9,178360.2,-11.43
221773.4,178372.1,-11.43
221770.7,178382.4,-11.43
221765.4,178400.3,-11.43
221756.6,178427,-11.43
221752.3,178440.3,-11.43
221748.5,178453.8,-11.43
221744.7,178469.4,-11.43
221906.7,179572.1,-9.6012
221885.3,179591.8,-9.6012
