 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  310:  seaborgium
     Absorber with Z = 106,  A = [266.], density = ??          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.2717  3.0000  0.6247  3.0000 1074.0  6.5174 0.00
 ( Restricted energy loss for Tcut =16.64 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  7.000E+01 1.403E+02 1.295E+00 0.000E+00 0.000E+00 6.229E-05 6.229E-05 1.295E+00 3.715E+01  0.0000 1.295E+00
  8.000E+01 1.527E+02 1.246E+00 0.000E+00 0.000E+00 6.583E-05 6.583E-05 1.247E+00 4.503E+01  0.0000 1.246E+00
  9.000E+01 1.647E+02 1.211E+00 2.867E-06 0.000E+00 6.938E-05 7.225E-05 1.211E+00 5.317E+01  0.0000 1.211E+00
  1.000E+02 1.764E+02 1.184E+00 1.394E-05 0.000E+00 7.293E-05 8.687E-05 1.184E+00 6.153E+01  0.0000 1.184E+00
  1.200E+02 1.994E+02 1.148E+00 3.763E-05 0.000E+00 8.002E-05 1.176E-04 1.148E+00 7.870E+01  0.0000 1.148E+00
  1.400E+02 2.218E+02 1.127E+00 6.321E-05 0.000E+00 8.711E-05 1.503E-04 1.127E+00 9.630E+01  0.0000 1.127E+00
  1.700E+02 2.546E+02 1.111E+00 1.048E-04 0.000E+00 9.775E-05 2.025E-04 1.111E+00 1.231E+02  0.0000 1.111E+00
  2.000E+02 2.868E+02 1.106E+00 1.499E-04 0.000E+00 1.084E-04 2.583E-04 1.106E+00 1.502E+02  0.0000 1.105E+00
  2.099E+02 2.974E+02 1.106E+00 2.318E-04 0.000E+00 1.261E-04 3.580E-04 1.110E+00  Minimum ionization
  2.500E+02 3.396E+02 1.109E+00 2.318E-04 0.000E+00 1.261E-04 3.580E-04 1.110E+00 1.954E+02  0.0000 1.109E+00
  3.000E+02 3.917E+02 1.120E+00 3.213E-04 0.000E+00 1.438E-04 4.652E-04 1.120E+00 2.402E+02  0.0000 1.119E+00
  3.500E+02 4.432E+02 1.133E+00 4.174E-04 0.000E+00 1.616E-04 5.790E-04 1.134E+00 2.846E+02  0.0000 1.132E+00
  4.000E+02 4.945E+02 1.148E+00 5.193E-04 0.000E+00 1.793E-04 6.986E-04 1.148E+00 3.284E+02 -0.0003 1.144E+00
  4.500E+02 5.455E+02 1.162E+00 6.266E-04 0.000E+00 1.970E-04 8.236E-04 1.163E+00 3.717E+02 -0.0010 1.155E+00
  5.000E+02 5.964E+02 1.176E+00 7.386E-04 0.000E+00 2.148E-04 9.533E-04 1.177E+00 4.144E+02 -0.0020 1.164E+00
  5.500E+02 6.471E+02 1.189E+00 8.550E-04 0.000E+00 2.325E-04 1.088E-03 1.190E+00 4.567E+02 -0.0032 1.172E+00
  6.000E+02 6.977E+02 1.202E+00 9.755E-04 0.000E+00 2.502E-04 1.226E-03 1.203E+00 4.984E+02 -0.0046 1.179E+00
  7.000E+02 7.987E+02 1.225E+00 1.228E-03 0.000E+00 2.857E-04 1.513E-03 1.227E+00 5.807E+02 -0.0076 1.192E+00
  8.000E+02 8.995E+02 1.246E+00 1.493E-03 0.000E+00 3.211E-04 1.814E-03 1.248E+00 6.616E+02 -0.0109 1.203E+00
  9.000E+02 1.000E+03 1.265E+00 1.770E-03 0.000E+00 3.566E-04 2.127E-03 1.267E+00 7.411E+02 -0.0142 1.212E+00
  1.000E+03 1.101E+03 1.283E+00 2.058E-03 0.000E+00 3.921E-04 2.450E-03 1.285E+00 8.194E+02 -0.0176 1.220E+00
  1.200E+03 1.301E+03 1.313E+00 2.662E-03 0.000E+00 4.630E-04 3.125E-03 1.316E+00 9.732E+02 -0.0244 1.233E+00
  1.400E+03 1.502E+03 1.339E+00 3.298E-03 0.000E+00 5.339E-04 3.832E-03 1.343E+00 1.124E+03 -0.0310 1.244E+00
  1.700E+03 1.803E+03 1.371E+00 4.305E-03 0.000E+00 6.403E-04 4.945E-03 1.376E+00 1.344E+03 -0.0404 1.256E+00
  2.000E+03 2.103E+03 1.398E+00 5.365E-03 4.418E-04 7.495E-04 6.557E-03 1.405E+00 1.560E+03 -0.0492 1.266E+00
  2.500E+03 2.604E+03 1.434E+00 7.231E-03 1.732E-03 9.419E-04 9.905E-03 1.444E+00 1.911E+03 -0.0626 1.279E+00
  3.000E+03 3.104E+03 1.463E+00 9.200E-03 3.228E-03 1.137E-03 1.357E-02 1.477E+00 2.253E+03 -0.0747 1.288E+00
  3.500E+03 3.604E+03 1.487E+00 1.126E-02 4.897E-03 1.334E-03 1.749E-02 1.505E+00 2.588E+03 -0.0857 1.295E+00
  4.000E+03 4.104E+03 1.507E+00 1.338E-02 6.714E-03 1.533E-03 2.163E-02 1.529E+00 2.918E+03 -0.0958 1.301E+00
  4.500E+03 4.604E+03 1.525E+00 1.558E-02 8.662E-03 1.733E-03 2.597E-02 1.551E+00 3.243E+03 -0.1051 1.306E+00
  5.000E+03 5.105E+03 1.540E+00 1.784E-02 1.073E-02 1.931E-03 3.050E-02 1.571E+00 3.563E+03 -0.1137 1.310E+00
  5.500E+03 5.605E+03 1.554E+00 2.019E-02 1.294E-02 2.115E-03 3.524E-02 1.589E+00 3.880E+03 -0.1217 1.313E+00
  6.000E+03 6.105E+03 1.566E+00 2.259E-02 1.524E-02 2.298E-03 4.013E-02 1.606E+00 4.193E+03 -0.1292 1.316E+00
  7.000E+03 7.105E+03 1.587E+00 2.754E-02 2.011E-02 2.664E-03 5.031E-02 1.637E+00 4.809E+03 -0.1430 1.321E+00
  8.000E+03 8.105E+03 1.605E+00 3.264E-02 2.529E-02 3.027E-03 6.096E-02 1.666E+00 5.415E+03 -0.1554 1.324E+00
  9.000E+03 9.105E+03 1.620E+00 3.789E-02 3.074E-02 3.390E-03 7.202E-02 1.692E+00 6.010E+03 -0.1666 1.327E+00
  1.000E+04 1.011E+04 1.633E+00 4.327E-02 3.641E-02 3.750E-03 8.343E-02 1.717E+00 6.597E+03 -0.1769 1.330E+00
  1.200E+04 1.211E+04 1.656E+00 5.442E-02 4.797E-02 4.451E-03 1.068E-01 1.763E+00 7.746E+03 -0.1953 1.334E+00
  1.400E+04 1.411E+04 1.674E+00 6.596E-02 6.019E-02 5.146E-03 1.313E-01 1.805E+00 8.868E+03 -0.2112 1.336E+00
  1.700E+04 1.711E+04 1.696E+00 8.389E-02 7.955E-02 6.178E-03 1.696E-01 1.866E+00 1.050E+04 -0.2319 1.339E+00
  2.000E+04 2.011E+04 1.714E+00 1.024E-01 1.000E-01 7.200E-03 2.096E-01 1.923E+00 1.209E+04 -0.2497 1.341E+00
  2.500E+04 2.511E+04 1.737E+00 1.344E-01 1.379E-01 8.902E-03 2.812E-01 2.018E+00 1.462E+04 -0.2747 1.343E+00
