DIUREF	TITLE	AUTHOR	KEYWORD	REFERENCE	PDATE
2732	Interannual variability of the coupled tropical Pacific ocean-atmopshere system associated with the El Nino-Southern  Oscillation.	ZHANG, R.-H. AND LEVITUS, S.	\CLIMATE CHANGES\CLIVAR\EL NINO\PAC\REF\SOUTHERN OSCILLATION\COUNTRYUS\	Journal of Climate, 10(6), 1312-1330.	1997
2733	Comparison and satellite assessment of NASA/DAO and NCEP-NCAR reanalyes over tropical ocean: atmospheric hydrology and radiation.	BONY, S., SUD, Y., LAU, K.M., SUSSKIND, J. AND SAHA, S.	\DATA ANALYSIS\GEOID\HYDROLOGY\METEOROLOGY\REF\COUNTRYFR\COUNTRYUS\	Journal of Climate, 10(6), 1441-1462.	1997
2734	Comparison between doubled CO2 time-slice and coupled experiments.	TIMBAL, B., MAHFOUF, J.-F., ROYER, J.-F., CUBASCH, U. AND MURPHY, J.M.	\CARBON DIOXIDE\CLIMATE CHANGES\COUPLED MODEL\MODELW\REF\COUNTRYDE\COUNTRYFR\COUNTRYGB\	Journal of Climate, 10(6), 1463-1469.	1997
2735	Monitoring the upper southeastern Atlantic transports using altimeter data.	GARZOLI, S.L., GONI, G.J., MARIANO, A.J. AND OLSON, D.B.	\AIMS\ATLSE\BENGUELA CURRENT\OCEAN MODEL\REF\SATELLITE ALTIMETRY\TOPEX-POSEIDON\COUNTRYUS\	Journal of Marine Research, 55(3), 453-481.	1997
2736	On the eddy transfer of tracers: advective or diffusive?	LEE, M.-M., MARSHALL, D.P. AND WILLIAMS, R.G.	\AIMS\ADVECTION\DIFFUSION\EDDIES\REF\TRACERS\COUNTRYGB\	Journal of Marine Research, 55(3), 483-505.	1997
2737	Long-term measurements of flow near the Aleutian Islands.	REED, R.K. AND STABENO, P.J.	\AIMS\ALEUTIAN BASIN\BERING SEA\OCEAN CIRCULATION\PACN\REF\COUNTRYUS\	Journal of Marine Research, 55(3), 565-575.	1997
2738	The climate response to CO2 of the Hadley Centre coupled AOGCM with and without flux adjustment.	GREGORY, J.M. AND MITCHELL, J.F.B.	\CARBON DIOXIDE\COUPLED MODEL\GLOBAL WARMING\MODELW\OCEAN MODEL\REF\COUNTRYGB\	Geophysical Research Letters, 24(15), 1943-1946.	1997
2739	Some results of modeling the seasonal variability of the Indian Ocean circulation.	BREKHOVSKIKH, A.L.	\AIMS\INDN\OCEAN CIRCULATION\OCEAN MODEL\REF\SEASONAL VARIABILITY\COUNTRYRU\	Izvestiya Atmospheric and Oceanic Physics, 33(4), 477-483.	1997
2740	Decadal variations in climate associated with the North Atlantic Oscillation.	HURRELL, J.W. AND VAN LOON, H.	\ATLN\ATMOSPHERIC CIRCULATION\CLIMATE CHANGES\CLIVAR\NAO\PACN\REF\COUNTRYUS\	Climatic Change, 36(3/4), 301-326.	1997
2741	Sea-level pressure variability around Antarctica since AD 1750 inferred from subantarctic tree-ring records.	VILLALBA, R., COOK, E.R., D'ARRIGO, R.D., JACOBY, G.C., JONES, P.D.,  SALINGER, M.J. AND PALMER, J.	\ANT\ATMOSPHERIC CIRCULATION\CLIMATE CHANGES\CLIVAR\DENDROCHRONOLOGY\REF\SEA LEVEL\TREE RINGS\COUNTRYAR\COUNTRYGB\COUNTRYNZ\COUNTRYUS\	Climate Dynamics, 13(6), 375-390.	1997
2742	Predictability of SST forced climate signals in two atmospheric general circulation models.	LIANG, X.-Z, SPERBER, K.R., WANG, W.-C. AND SAMEL, A.N.	\ATMOSPHERIC CIRCULATION\ATMOSPHERIC MODEL\CLIMATE PREDICTION\EL NINO\ENSO\REF\SOUTHERN OSCILLATION\SST\COUNTRYUS\	Climate Dynamics, 13(6), 391-415.	1997
2743	Eddy parametrization and the oceanic response to idealized global warming	POWER, S.B. AND HIRST, A.C.	\CLIMATE CHANGES\CLIVAR\EDDIES\GLOBAL WARMING\OCEAN MODEL\REF\COUNTRYAU\	Climate Dynamics, 13(6) 417-428.	1997
2744	Simulations of the Atlantic Ocean with a free surface sigma coordinate ocean model.	EZER, T. AND MELLOR, G.L.	\AIMS\ARC\ATL\OCEAN CIRCULATION\OCEAN MODEL\REF\TURBULENCE\WIND STRESS\COUNTRYUS\	Journal of Geophysical Research, 102(C7), 15647-15657.	1997
2745	Vertical fluxes of carbon, nitrogen, and phosphorus in the North Pacific Subtropical Gyre near Hawaii.	CHRISTIAN, J.R., LEWIS, M.R. AND KARL, D.M.	\AIMS\CARBON\HOTS\NUTRIENTS\PACN\PARTICULATES\REF\COUNTRYCA\COUNTRYUS\	Journal of Geophysical Research, 102(C7), 15667-15677.	1997
2746	The carbon dioxide system in the Atlantic Ocean.	LEE, K., MILLERO, F.J. AND WANNINKHOF, R.	\ALKALINITY\ATLNE\CARBON DIOXIDE\DISSOLVED INORGANIC CARBON\JGOFS\PH\REF\SALINITY\TEMPERATURE\COUNTRYUS\	Journal of Geophysical Research, 102(C7), 15693-15707.	1997
