        CERES Azimuth Position File

 Terra Satellite Orbit Inclination:  98.140
    GERB longitude:   -3.4  (if different - recompile!!)
    * DOY 2004001 = 01 January 2004

------------------------------------------------------------
--DOY*------ hhmmss ---orbit -- XT_Azimuth     (lat  lon)
------------------------------------------------------------
2006003     085737     32154      195.05      -11.33  21.07
2006003     085757     32154      197.42      -12.53  20.81
2006003     085817     32154      199.73      -13.72  20.54
2006003     085837     32154      201.99      -14.92  20.28
2006003     085857     32154      204.18      -16.11  20.01
2006003     085916     32154      206.31      -17.30  19.74
2006003     085943     32154      209.03      -18.89  19.38
2006003     090009     32154      211.63      -20.48  19.01
2006003     090036     32154      214.09      -22.07  18.63
2006003     090102     32154      216.41      -23.66  18.25
2006003     090128     32154      218.61      -25.25  17.87
2006003     090201     32154      221.17      -27.23  17.38
2006003     090234     32154      223.55      -29.21  16.87
2006003     090307     32154      225.74      -31.19  16.35
2006003     090347     32154      228.15      -33.56  15.70
2006003     090427     32154      230.34      -35.92  15.02
2006003     090513     32154      232.64      -38.68  14.20
2006003     090606     32154      234.96      -41.83  13.20
2006003     090705     32154      237.25      -45.36  11.97
2006003     090811     32154      239.45      -49.26  10.45
2006003     090851     32154      180.00      -51.60   9.45

2006003     101900     32155       97.20       51.83  12.94
2006003     102708     32155       99.33       22.62   3.79
2006003     102907     32155      101.53       15.46   2.13
2006003     103006     32155      103.63       11.87   1.34
2006003     103046     32155      105.86        9.48   0.82
2006003     103112     32155      108.04        7.88   0.47
2006003     103132     32155      110.28        6.69   0.21
2006003     103152     32155      113.33        5.49  -0.04
2006003     103205     32155      116.06        4.69  -0.21
2006003     103218     32155      119.63        3.90  -0.38
2006003     103225     32155      121.85        3.50  -0.47
2006003     103231     32155      124.45        3.10  -0.55
2006003     103238     32155      127.52        2.70  -0.64
2006003     103245     32155      131.19        2.30  -0.73
2006003     103251     32155      135.59        1.90  -0.81
2006003     103258     32155      140.92        1.50  -0.90
2006003     103304     32155      147.35        1.10  -0.98
2006003     103311     32155      155.07        0.70  -1.07
2006003     103318     32155      164.12        0.31  -1.15
2006003     103324     32155      174.31       -0.09  -1.23
2006003     103331     32155      185.15       -0.49  -1.32
2006003     103337     32155      195.89       -0.89  -1.40
2006003     103344     32155      205.85       -1.29  -1.49
2006003     103351     32155      214.60       -1.69  -1.57
2006003     103357     32155      222.01       -2.09  -1.66
2006003     103404     32155      228.17       -2.49  -1.74
2006003     103410     32155      233.27       -2.88  -1.83
2006003     103417     32155      237.49       -3.28  -1.92
2006003     103424     32155      241.01       -3.68  -2.00
2006003     103430     32155      243.96       -4.08  -2.09
2006003     103437     32155      246.46       -4.48  -2.17
2006003     103443     32155      248.61       -4.88  -2.26
2006003     103457     32155      252.06       -5.67  -2.43
2006003     103510     32155      254.72       -6.47  -2.60
2006003     103530     32155      257.71       -7.67  -2.85
2006003     103549     32155      259.89       -8.86  -3.11
2006003     103616     32155      262.05      -10.46  -3.46
2006003     103655     32155      264.27      -12.85  -3.98
2006003     103755     32155      266.38      -16.43  -4.78
2006003     103940     32155      268.51      -22.78  -6.26
2006003     104755     32155      180.00      -52.29 -15.58

2006003     115800     32156      245.96       51.41 -11.97
2006003     115919     32156      243.81       46.72 -13.89
2006003     120025     32156      241.64       42.79 -15.30
2006003     120124     32156      239.33       39.24 -16.46
2006003     120217     32156      236.94       36.08 -17.41
2006003     120303     32156      234.55       33.31 -18.20
2006003     120343     32156      232.24       30.93 -18.85
2006003     120416     32156      230.10       28.95 -19.36
2006003     120449     32156      227.75       26.96 -19.87
2006003     120522     32156      225.17       24.98 -20.36
2006003     120548     32156      222.92       23.39 -20.75
2006003     120615     32156      220.50       21.80 -21.13
2006003     120641     32156      217.90       20.21 -21.50
2006003     120707     32156      215.10       18.61 -21.87
2006003     120727     32156      212.89       17.42 -22.14
2006003     120747     32156      210.55       16.22 -22.41
2006003     120807     32156      208.11       15.03 -22.68
2006003     120827     32156      205.57       13.83 -22.95
2006003     120846     32156      202.93       12.64 -23.21
2006003     120906     32156      200.19       11.44 -23.48
2006003     120926     32156      197.36       10.25 -23.74
2006003     120946     32156      194.47        9.05 -24.00
2006003     121006     32156      191.51        7.85 -24.26
2006003     121025     32156      188.52        6.66 -24.51
2006003     121045     32156      185.49        5.46 -24.77
2006003     121105     32156      182.46        4.26 -25.03
2006003     121125     32156      179.44        3.07 -25.28
2006003     121145     32156      176.45        1.87 -25.54
2006003     121204     32156      173.50        0.68 -25.79
2006003     121224     32156      170.61       -0.52 -26.05
2006003     121244     32156      167.80       -1.72 -26.30
2006003     121304     32156      165.07       -2.91 -26.56
2006003     121324     32156      162.44       -4.11 -26.81
2006003     121343     32156      159.91       -5.31 -27.07
2006003     121403     32156      157.49       -6.50 -27.32
2006003     121423     32156      155.18       -7.70 -27.58
2006003     121443     32156      152.97       -8.89 -27.84
2006003     121509     32156      150.21      -10.49 -28.19
2006003     121536     32156      147.64      -12.08 -28.54
2006003     121602     32156      145.25      -13.67 -28.89
2006003     121628     32156      143.03      -15.26 -29.24
2006003     121701     32156      140.49      -17.25 -29.69
2006003     121734     32156      138.20      -19.24 -30.15
2006003     121814     32156      135.72      -21.62 -30.70
2006003     121854     32156      133.51      -24.01 -31.27
2006003     121940     32156      131.25      -26.78 -31.96
2006003     122033     32156      129.02      -29.95 -32.77
2006003     122132     32156      126.89      -33.51 -33.73
2006003     122245     32156      124.73      -37.85 -34.98
2006003     122351     32156      180.00      -41.78 -36.22

2006003     134000     32157      209.46       40.29 -40.86
2006003     134046     32157      207.35       37.52 -41.71
2006003     134132     32157      205.11       34.76 -42.51
2006003     134218     32157      202.76       31.98 -43.28
2006003     134258     32157      200.65       29.60 -43.92
2006003     134337     32157      198.49       27.22 -44.53
2006003     134417     32157      196.25       24.84 -45.12
2006003     134457     32157      193.96       22.45 -45.70
2006003     134536     32157      191.62       20.07 -46.25
2006003     134616     32157      189.25       17.68 -46.80
2006003     134655     32157      186.86       15.29 -47.35
2006003     134735     32157      184.45       12.90 -47.88
2006003     134815     32157      182.05       10.51 -48.40
2006003     134854     32157      179.67        8.11 -48.92
2006003     134934     32157      177.31        5.72 -49.43
2006003     135013     32157      174.99        3.33 -49.95
2006003     135053     32157      172.73        0.93 -50.46
2006003     135133     32157      170.52       -1.46 -50.97
2006003     135146     32157      180.00       -2.26 -51.14

2006004     075300     32168      151.66       21.23  42.09
2006004     075346     32168      153.77       18.45  41.44
2006004     075432     32168      156.04       15.66  40.81
2006004     075518     32168      158.48       12.87  40.19
2006004     075558     32168      160.71       10.48  39.67
2006004     075637     32168      163.06        8.09  39.15
2006004     075717     32168      165.54        5.70  38.63
2006004     075750     32168      167.69        3.70  38.21
2006004     075823     32168      169.91        1.71  37.78
2006004     075856     32168      172.19       -0.29  37.36
2006004     075929     32168      174.54       -2.28  36.93
2006004     080002     32168      176.93       -4.27  36.51
2006004     080035     32168      179.36       -6.27  36.08
2006004     080108     32168      181.82       -8.26  35.65
2006004     080141     32168      184.29      -10.25  35.22
2006004     080214     32168      186.76      -12.24  34.78
