"uscode","sic","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","3842",,85914,551541,2273832,1446,,833,4590,24760,401,,1776,10460,47844,267,,3005,17247,79415,218,,7360,36650,159867,226,,9159,46366,193357,129,,18086,101115,419015,118,,21326,139046,555975,58,,14609,103118,423580,22,,9760,92949,370019,7
"98","3843",,15428,102696,421947,505,,442,2029,10163,220,,505,2520,11201,77,,1056,5899,25227,78,,1930,10261,44787,63,,2086,11693,51426,31,,3393,24007,97144,22,,3539,27262,105266,10,,2477,19025,76733,4,,0,0,0,0
"98","3844",,10705,88784,359980,82,,28,203,1414,15,,76,450,2238,10,,153,1285,5214,11,,260,1975,9429,8,,583,3907,17474,9,,2634,22051,93339,17,,2231,21495,86480,6,,4740,37418,144392,6,,0,0,0,0
"98","3845",,31332,277098,1138803,241,,107,668,4541,53,,142,910,3519,20,,293,2192,8716,22,,1452,10244,42120,43,,2737,21674,87938,37,,5695,45900,185098,35,,5769,47939,194052,16,,5376,55390,230661,7,,9761,92181,382158,8
"98","3850",,31964,173880,707562,531,,351,1727,8776,181,"D",0,0,0,104,,1135,5560,21479,81,,2048,9331,36611,68,,2097,10561,43062,30,,6082,27599,109473,41,,3070,14905,59501,10,,4249,20607,81850,7,"D",0,0,0,9
"98","3860",,84425,893355,3061760,816,,520,3076,14374,244,,986,5988,24787,148,,1674,10542,44945,121,,4635,29705,121712,148,,4424,30658,122722,62,,8261,61317,233806,53,,7588,59798,239635,22,,4550,39793,158829,6,,51787,652478,2100950,12
"98","3870",,9802,55829,218686,179,,128,502,2017,64,"D",0,0,0,21,,391,1892,7451,29,"D",0,0,0,29,"D",0,0,0,10,,2579,15489,60349,16,,2169,10561,44156,6,,1691,9227,36072,3,"D",0,0,0,1
"98","3900",,394154,2024842,8417256,17993,,14174,56390,317913,8033,,22524,94335,396939,3377,,37288,171487,730368,2740,,67408,331494,1387264,2192,,61502,316750,1300939,878,,83409,437899,1822756,548,,53299,298256,1201228,160,,34296,198530,802261,51,,20254,119701,457588,14
"98","3910",,47239,252165,1042964,2725,,2631,10680,49080,1348,,3600,16069,66643,545,,4736,23670,101365,350,,8969,45919,194081,291,,7235,40168,164914,104,,10060,58632,244568,65,,6512,37585,145347,19,"D",0,0,0,1,"D",0,0,0,2
"98","3911",,35345,188117,785979,2147,,2071,8600,38894,1062,,2883,12944,53383,438,,3812,19328,83406,282,,6782,34895,146189,220,,5417,30878,126689,78,,7738,44427,189727,51,"D",0,0,0,14,"D",0,0,0,1,"D",0,0,0,1
"98","3914",,5983,34145,132788,187,"D",0,0,0,73,"D",0,0,0,41,,341,1683,7058,24,"D",0,0,0,27,,848,3864,16484,12,,1073,7241,27036,6,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,1
"98","3915",,5841,29671,123394,384,"D",0,0,0,208,"D",0,0,0,66,,583,2659,10901,44,"D",0,0,0,42,,970,5426,21741,14,,1249,6964,27805,8,"D",0,0,0,2,,0,0,0,0,,0,0,0,0
"98","3930",,12625,66245,271616,404,"D",0,0,0,175,,407,1665,6930,60,"D",0,0,0,55,,1464,7023,28444,49,,2303,13861,55597,33,,3000,16913,67265,19,,3866,18733,76255,12,"D",0,0,0,1,,0,0,0,0
"98","3940",,93612,457377,1888365,2697,,1919,6011,41996,1084,,3106,11518,48565,469,,5266,19741,86532,381,,11591,51392,212042,376,,13215,59978,242059,186,,20059,96693,402565,131,,13763,78660,319774,40,,17591,95270,383181,25,,7102,38114,151651,5
"98","3942",,4223,17306,79410,191,"D",0,0,0,85,,212,766,4150,31,,277,992,4736,22,,983,3509,16286,34,,672,3906,17866,10,,962,4460,18340,7,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0
"98","3944",,30963,154815,641373,719,,510,1676,13601,307,,677,2529,11082,103,,1401,5318,23630,101,,3306,15734,64122,108,,2863,13780,56610,39,,5264,21302,92658,35,"D",0,0,0,9,"D",0,0,0,15,"D",0,0,0,2
"98","3949",,58415,285233,1167483,1784,"D",0,0,0,690,,2208,8205,33241,334,,3588,13431,58166,258,,7302,32149,131634,234,,9680,42292,167583,137,,13833,70931,291567,89,,10310,59624,234679,30,,6187,33617,141032,9,"D",0,0,0,3
"98","3950",,31130,158141,648405,962,,735,2565,13277,353,,1300,5000,20672,190,,2131,10361,43989,158,,3961,19197,81154,126,,4676,22915,96267,67,,7141,35336,147061,45,,5456,29139,114341,16,"D",0,0,0,5,"D",0,0,0,2
"98","3951",,9653,53259,211023,99,"D",0,0,0,24,,48,246,1109,7,"D",0,0,0,13,,572,2031,8537,17,,1190,5909,25935,16,,1661,6983,25944,11,"D",0,0,0,6,,2682,16658,68693,4,"D",0,0,0,1
"98","3952",,6220,29945,127139,145,"D",0,0,0,51,,221,941,4117,32,"D",0,0,0,19,,508,1949,8477,16,,751,3787,15677,10,,1907,9857,42673,12,"D",0,0,0,4,,0,0,0,0,"D",0,0,0,1
"98","3953",,7837,37903,159742,591,"D",0,0,0,252,,930,3407,13710,138,,1435,6991,29873,105,,2000,10480,44371,66,,1269,6153,27109,20,,1399,7501,30349,9,"D",0,0,0,1,,0,0,0,0,,0,0,0,0
"98","3955",,7420,37034,150501,127,,41,149,2004,26,,101,406,1736,13,"D",0,0,0,21,,881,4737,19769,27,,1466,7066,27546,21,,2174,10995,48095,13,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0
"98","3960",,31554,143506,601375,1018,,743,2988,16816,388,,1249,4336,18130,188,,2237,8586,40513,162,,4734,19532,85689,149,,4342,18616,78378,62,,7723,36482,153032,52,,2825,14625,60934,9,,3554,19482,83762,5,,4147,18859,64121,3
"98","3961",,22267,95735,395389,768,,608,2271,11387,317,,984,3380,13974,147,,1552,5709,27877,112,,3482,14123,61252,110,,2655,10358,42296,39,,4840,20217,87341,32,"D",0,0,0,4,"D",0,0,0,4,,4147,18859,64121,3
"98","3965",,9213,47483,203855,237,,123,693,5332,63,,248,888,3867,38,,667,2813,12197,49,,1225,5277,23131,38,,1687,8258,36082,23,,2883,16265,65691,20,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0
"98","3990",,160839,872420,3602685,7382,"D",0,0,0,2908,,9325,40514,169360,1392,,17996,87540,361367,1323,,32317,171819,713270,1051,,28103,154217,633293,401,,34283,186024,773973,227,,20877,119514,484577,64,,8769,56438,223015,14,"D",0,0,0,2
"98","3991",,12704,67660,274284,264,,117,299,1652,55,,221,1040,3998,32,"D",0,0,0,43,,1942,8367,35784,62,,2781,14197,60042,40,,2864,15750,63225,21,,3158,19306,76218,9,"D",0,0,0,2,,0,0,0,0
"98","3993",,65072,372725,1534898,3670,"D",0,0,0,1461,,4831,21492,87309,720,,9379,49150,198872,688,,15480,93258,380964,508,,11997,73995,303397,173,,15300,94700,392901,103,,4850,25827,103095,16,"D",0,0,0,1,,0,0,0,0
"98","3995",,8495,47066,186029,205,"D",0,0,0,45,,277,1055,4948,41,,639,2701,11652,44,"D",0,0,0,41,,1146,5602,21454,16,"D",0,0,0,10,,1595,8670,34782,5,"D",0,0,0,3,,0,0,0,0
