Report Date/Time:   02-10-08 03:14:28


                             DAPS
                         DAY  -   41

                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
BCHYPW  434BE2D4       2007290      2009040       233609
BCHYPW  434BF1A2       2008164      2009040       233613
BCHYPW  434C0312       2007250      2009040       233628
BCHYPW  434C1064       2007136      2009040       233638
BCHYPW  434C25FE       2009014      2009040       231944
BCHYPW  434C3688       2007261      2009040       233025
BCHYPW  434C4018       2007232      2009040       233034
BCHYPW  43501666       2008324      2009040       233314
BCHYPW  435023FC       2008325      2009040       233323
BCHYPW  4350461A       2009028      2009040       233346
BCHYPW  4540EA62       2008350      2009040       235146
BCRFC1  4344B43A       2009019      2009040       221937
BCRFC1  4344E446       2006018      2009040       224122
BCRFC1  4345C050       2008274      2009040       230437
BCRFC1  4345F5CA       2008280      2009040       230737
BCRFC1  43461136       2006018      2009040       230937
BCRFC1  434700BA       2008202      2009040       233935
BCRFC1  434743B0       2009032      2009040       234335
BCRFC1  4347F03E       2008199      2009040       212035
BCRFC1  434833B2       2008280      2009040       214035
BCRFC1  43484522       2009017      2009040       214135
BCRFC1  43485654       2006018      2009040       214235
BCRFC1  434982C6       2006307      2009040       210748
BCRFC1  434991B0       2008184      2009040       210839
BCRFC1  4349A42A       2008354      2009040       210939
BCRFC1  490012A2       2007337      2009040       220137
BCRFC1  49002738       2009015      2009040       220237
BCRFC1  4900344E       2008025      2009040       220324
BCRFC1  490042DE       2009016      2009040       220422
BCRFC1  490051A8       2006018      2009040       220522
BCRFC1  4900A12C       2008286      2009040       221037
BCRFC1  4900B25A       2006018      2009040       221137
BCRFC1  4900C4CA       2008298      2009040       232222
BCRFC1  4900D7BC       2006018      2009040       224122
BCRFC1  4900E226       2007278      2009040       224219
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BCRFC1  4900F150       2006018      2009040       224322
BCRFC1  4901032E       2006018      2009040       224422
BCRFC1  49011058       2008330      2009040       225220
BCRFC1  49014024       2006018      2009040       224922
BCRFC1  49015352       2009015      2009040       225037
BCRFC1  490175BE       2008208      2009040       232232
BCRFC1  4901853A       2009014      2009040       225436
BCRFC1  4901A3D6       2008275      2009040       232242
BCRFC1  4901B0A0       2006049      2009040       213722
BCRFC1  4901C630       2008208      2009040       232252
BCRFC1  4901D546       2008253      2009040       232302
BCRFC1  49020420       2008282      2009040       224152
BCRFC1  49021756       2008282      2009040       224250
BCRFC1  490222CC       2008274      2009040       224352
BCRFC1  490231BA       2006018      2009040       224452
BCRFC1  490261C6       2009010      2009040       220452
BCRFC1  49028234       2006021      2009040       220653
BCRFC1  49029142       2009027      2009040       220752
BIAPRR  32410AEE       2006018      2009040       234605
BIAPRR  3257A394       2006018      2009040       232713
BIAPRR  326D5432       2009014      2009040       235955
BIAPRR  3274A574       2008324      2009040       232413
BIAPRR  3280E150       2008317      2009040       232503
BIAPRR  328C36A4       2009001      2009041          313
BIAPRR  5210139C       2007172      2009040       231804
BIAPRR  52102606       2007227      2009040       231845
BIAPRR  52103570       1996143      2009040       231853
BIAPRR  521043E0       2005018      2009040       231840
BIAPRR  5210650C       2008016      2009040       230854
BIAPRR  5210767A       2006018      2009040       232415
BIAPRR  521086FE       2006018      2009040       234844
BIAPRR  52109588       2006018      2009040       235134
BIAPRR  5210A012       2006018      2009040       231208
BIAPRR  5210D682       2006026      2009040       234944
BIAPRR  5210E318       2006018      2009040       235204
BIAPRR  5210F06E       2007201      2009041          154
BIAPRR  52110210       2008191      2009040       231814
BIAPRR  52111166       2008142      2009040       232507
BIAPRR  521124FC       2008169      2009040       231824
BIAPRR  5211378A       2006018      2009040       231114
BIAPRR  5211411A       1991296      2009040       231834
BIAPRR  5211526C       2006018      2009040       232938
BIAPRR  521167F6       2007046      2009040       232037
BIAPRR  52117480       2006019      2009041          144
BIAPRR  52118404       2006018      2009040       234608
BIAPRR  52119772       2008090      2009040       234623
BIAPRR  5211A2E8       2008152      2009041          237
BIAPRR  5211B19E       2006018      2009040       232622
BIAPRR  5211C70E       2006018      2009040       232737
BIAPRR  5211D478       2006018      2009040       231922
BIAPRR  52125562       2007130      2009040       235603
BIAPRR  5212A5E6       2006250      2009040       231554
BIAPRR  5212B690       2006018      2009040       234123
BIAPRR  5212C000       2006089      2009041          509
BIAPRR  5212D376       2008310      2009040       233033
                        PDTS THAT ARE ACTIVE


 OWNER   ADDRESS  FIRST ACTIVE  LAST ACTIVE    LAST TIME
--------------------------------------------------------------------------------
BIAPRR  5212E6EC       2008034      2009041           53
BIAPRR  52139286       2006146      2009040       233334
BIAPRR  5213A71C       2006018      2009040       233344
BIAPRR  5213C2FA       2006019      2009041          514
BIAPRR  5213D18C       2006018      2009040       233424
BIAPRR  5213F760       2006018      2009040       233444
BIAPRR  5214233C       2006018      2009040       234434
BIAPRR  5214304A       2005222      2009040       232233
BIAPRR  521455AC       2008300      2009040       232804
BIAPRR  52146036       2006018      2009040       232824
BIAPRR  521483C4       2006018      2009040       233113
BIAPRR  521490B2       2006018      2009040       233123
BIAPRR  5214A528       2006018      2009040       233133
BIAPRR  5214B65E       2006018      2009040       233143
BIAPRR  FDD00590       2008266      2009040       232233
BIASWR  39502690       2008120      2009040       222905
BLM001  32433452       2008024      2009040       231813
BLM001  324351B4       2008024      2009040       231036
BLM001  3243642E       2007337      2009040       231944
BLM001  32437758       2007337      2009040       231954
BLM001  324387DC       2008168      2009040       231054
BLM001  324394AA       2009015      2009040       231153
BLM001  3243A130       2009038      2009040       231045
BLM001  3243B246       2007337      2009040       213723
BLM001  3243C4D6       2007337      2009040       235344
BLM001  3243D7A0       2007337      2009040       234054
BLM001  3243E23A       2007337      2009040       234053
BLM001  3243F14C       2007337      2009040       234133
BLM001  3244108A       2007337      2009040       235413
BLM001  32442510       2008343      2009040       231914
BLM001  3244756C       2007337      2009040       234151
BLM001  3244A304       2008339      2009040       231934
BLM001  3244B072       2007337      2009040       235144
BLM001  324564E0       2007337      2009040       235204
BLM001  3249F01E       2007337      2009040       233922
BLM001  324A0794       2007337      2009040       233941
BLM001  324A14E2       2008008      2009040       233838
BLM001  324A320E       2007337      2009040       233907
BLM001  324A6272       2007337      2009040       231822
BLM001  324A7104       2007337      2009040       235144
BLM001  324A8180       2007337      2009040       232152
BLM001  324A92F6       2007337      2009040       231622
BLM001  324AA76C       2007337      2009040       231208
BLM001  324AB41A       2008059      2009040       224125
