Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
12-8-54	P-388AB	T.H. Five bowling team


12-11-54	P-389A-L	JPL Dance, Christmas 1954
12-11-54	P-390A-J	JPL Dance, Christmas 1954
12-11-54	P-391A-K	JPL Dance, Christmas 1954
12-17-54	P-392		Archery group
12-18-54	P-393A-H	JPL children's Christmas party, Elliot School
12-54		P-394AB	Library file
12-30-54	P-395AB	JPL toy collection
12-21-54	P-396A-E	Christmas party, Children's Aid Society
12-23-54	P-397		Interior of Credit Union office
12-28-54	P-398		Large lathe, machine shop
12-28-54	P-399		Jewelers lathe, machine shop
12-28-54	P-400ABC	Fred Vogel, polio patient
12-29-54	P-401AB	Editor shot, brochure
12-29-54	P-402AB	Reports Group files
12-29-54	P-403AB	Reading room shot, brochure
12-29-54	P-404AB	Conference shot for brochure
12-23-54	P-405		Reports Section
1-6-55		P-406		Photo department shot
1-6-55		P-407		Jim Gavigan, Lab Controller
1-6-55		P-408		Jack Schafer
1-7-55		P-409		J. McKenney and Pete Hourlan
1-7-55		P-410		Cecil Edwards
1-10-55	P-411		Gyro room
1-10-55	P-412		Telemetering room
1-10-55	P-413		Wind tunnel model
1-10-55	P-414		20" wind tunnel control panel
1-13-55	P-415		Bob Terbeck
1-10-55	P-416		Data recording, bldg. 125 (brochure)
1-10-55	P-417AB	Data recording, bldg. 125 (brochure)
1-10-55	P-418AB	Computing, bldg. 122
1-10-55	P-419		Standards lab, bldg. 125 (brochure)
1-10-55	P-420		Central records....
1-10-55	P-421		20" wind tunnel control room, color - black and white (brochure)


1-10-55	P-422ABC	[Handwritten unable to read]
1-11-55	P-423ABCD	Dr. William Pickering (brochure)
1-12-55	P-424		Front photo of bldg. 111 (brochure)
1-12-55	P-425		Personnel office (brochure)
1-12-55	P-426		Dr. William Pickering with group, conference room (brochure)
1-14-55	P-427		Drafting room photo (brochure)
1-14-55	P-428		Dr. Rectin, photo for JPL (brochure)
1-14-55	P-429		Analog computer
1-18-55	P-430		Chemicals and beaker, still life (brochure)
1-17-55	P-431		Cathetometer, bldg. 84 (brochure)
1-17-55	P-432		Chemistry lab, bldg. 99 (brochure)
1-18-55	P-433		Chemistry pit A
1-18-55	P-434		Tensile specimens
1-18-55	P-435		Molecule structure
1-18-55	P-436		Crystal structure
1-18-55	P-437		Caltech x-ray unit, bldg. 65
1-19-55	P-438		Typical engineers office, bldg. 125
1-19-55	P-439		Electronics lab, bldg. 125
1-20-55	P-440		Hypo study, spray booth in operation
1-21-55	P-441		Low temperature room
1-21-55	P-442		Shake table
1-11-55	P-443		Reproduction department, bldg. 111 (brochure)
1-25-55	P-444		Presentation to Bob Terbeck
2-3-55		P-445AB	Dr. William Pickering
2-3-55		P-446		Dr. William Pickering
2-10-55	P-447AB	1955 Credit Union officers
2-8-55		P-448		Dr. William Pickering visiting at Edwards
2-17-55	P-449ABC	Dr. William Pickering, V.C. Larsen, R. Droz, D. Scherff
3-1-55		P-450		Party on Alex Irving's boat, copied from color slide
3-2-55		P-451		Milt Noel presenting gift to Harry Sprague
3-9-55		P-452		Credit Union board of directors
3-25-55	P-453ABC	Inspection lab


3-25-55	P-454ABC	Hindenburg Park
3-25-55	P-455ABC	Hindenburg Park
3-28-55	P-456		Permanently assigned crew at Edwards Test Station
3-29-55	P-457		Dr. William Pickering and Bill Cashman
3-30-55	P-458		Packard show
4-1-55		P-459ABC	Caltech Hobby Show
4-1-55		P-460ABC	Caltech Hobby Show
4-1-55		P-461ABCD	Caltech Hobby Show
4-1-55		P-462ABCD	Caltech Hobby Show
4-4-55		P-463ABC	Skeleton dug up between canteen and bldg. 81
4-11-55	P-464		Dr. Nichols and Art Grant
4-11-55	P-465		Art Grant
4-11-55	P-466		Dr. Nichols
4-12-55	P-467ABC	Senator Flanders and Dr. William Pickering
4-12-55	P-468AB	Senator Flanders and Dr. William Pickering
4-12-55	P-469		Bowling award, Gloria O'Brian
4-13-55	P-470AB	Interior missile bldg.
4-12-55	P-471ABCD	Tour of the Lab by Management Club
4-12-55	P-472ABCD	Tour of the Lab by Management Club
4-12-55	P-473ABCD	Tour of the Lab by Management Club
4-12-55	P-474ABCD	Tour of the Lab by Management Club
4-14-55	P-475ABCD	Blood bank
4-14-55	P-476ABCD	Blood bank
4-14-55	P-477ABC	Blood bank
4-14-55	P-478ABC	Blood bank
4-14-55	P-479ABC	Blood bank
4-14-55	P-480AB	Presentation of Ten-year pins, group
4-14-55	P-481		Presentation of Ten-year pins
A - Ed Quick
B - W.E. Tupper
4-14-55	P-482		Presentation of Ten-year pin
A - Davis J. Ragan
B - Lawrence Willis
4-14-55	P-483		Presentation of Ten-year pin
A - Carl Jarzig
B - Robert F. Rose
4-14-55	P-484		Presentation of Ten-year pin,
A - Arthur P. Rider
B - Irl. E. Newlan 
4-14-55	P-485		Presentation of Ten-year pin
A - Clarence E. Fair
B - Harold Gramness
4-19-55	P-486		Miss Guided Missile candidates
4-28-55	P-487ABC	JPL cocktail party, WSPG Officers Club, round 1575-100
4-28-55	P-488ABC	JPL cocktail party, WSPG Officers Club, round 1575-100
5-1-55		P-489ABCD	Spring Dance
5-1-55		P-490ABCD	Spring Dance
5-1-55		P-491ABCD	Spring Dance
5-1-55		P-492ABCD	Spring Dance
5-1-55		P-493ABCD	Spring Dance
5-1-55		P-494ABCD	Spring Dance
5-1-55		P-495ABCD	Spring Dance
5-1-55		P-496ABCD	Spring Dance
5-1-55		P-497ABCD	Spring Dance
5-3-55		P-498		Bob Bruns and new book
5-6-55		P-499ABC	Bowling champions
5-6-55		P-500ABCD	Bowling all-stars
1955		P-501ABCD	1,2,3,4 - Dr. William Pickering, portraits
1955		P-502ABCD	5,6,7,8 - Dr. William Pickering, portraits
1955		P-503ABCD	9,10,11,12 - Dr. William Pickering, portraits
5-23-55	P-504		Jim Wilson and Harry Cotrill and their M.C. sports car
6-1-55		P-505		Credit Union manager and assistants
6-6-55		P-506		Arctic suit
6-16-55	P-507ABC	W. Teilman, E.M. Pierce, and Forest Brown inspecting plans for
				new cafeteria
6-17-55	P-508AB	Pat Hand in costume
7-6-55		P-509		Bowling officers Bill Howard, Nancy Thurston, Dick Harter and
Chuck McCall
7-7-55		P-510		Analog computer with 4 engineers
7-8-55		P-511		New offices for Section 7 in building 111
7-11-55	P-512ABC	Thunderbird sports car, Alpho and Charles Maddis
7-25-55	P-513ABCD	JPL picnic poster
7-14-55	P-514AB	Action shots at JPL softball game
7-21-55	P-515		Volkswagen owned by Lab personnel with owners
7-26-55	P-516AB	Jack Seymore, portrait


7-25-55	P-517ABCD	Picnic Committee at picnic site
7-26-55	P-518AB	Picnic Committee at picnic site
7-26-55	P-519		Golf Club officials
7-27-55	P-520ABCD	TB x-ray clinic truck at JPL
7-29-55	P-521		Pouring concrete for Powder Magazine
8-23-55	P-522ABC	Baseball team
8-26-55	P-523		Athletic Club, new officers
8-31-55	P-524		Distribution of JPL employees by classifications
8-31-55	P-525		Number of employees at JPL by years, 1943 to 1955 inclusive
8-28-55	P-526ABCD	Lab Picnic
8-28-55	P-527ABCD	Lab Picnic
8-28-55	P-528ABCD	Lab Picnic
8-28-55	P-529ABCD	Lab Picnic
8-28-55	P-530ABCD	Lab Picnic
8-28-55	P-531AB	Lab Picnic
9-15-55	P-532AB	Presentation of Ten-year pin, group shot
9-15-55	P-533		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Vaughn
Harvey
9-15-55	P-534		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Russel Hixon
9-15-55	P-535		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, W. Davis
9-15-55	P-536		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Tom Wujcicki
9-20-55	P-537		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, G. Kramer
9-20-55	P-538		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, George Griggs
9-20-55	P-539		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, John Faherty
9-20-55	P-540		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Roy Root
9-20-55	P-541		Presentation of Ten-year pins, Dr. William Pickering, E. Pierce, Harold Bartel
