Section P
September 1951 - July 1969
P-1 through P-____?

Public release photos of JPL projects, visitors to JPL, portraits and group photos of employees, social events, club activities, early facilities photos,  ...

There are 17 P-numbered photo albums ... when visiting the Archives to view photos, please request specific photo album numbers, such as photo album P1, or P17.

Dates seen in the index are the dates the photographs were entered into the Photo Lab index and filed.  This is not necessarily the date the photo was actually taken.

(U) - Unclassified


Photo Album P1  (Contains photograph numbers P-1 through P-____)

Date
Entered	Photo #	Description				
Operations Facility (SFOF)
4-8-69		P-9366AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9367AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9368AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9369AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9370AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9371AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9372AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9373AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9374AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility  (SFOF)


4-8-69		P-9375AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility  (SFOF)
4-8-69		P-9376AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9377AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9378AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9379AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9380AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility  (SFOF)
4-8-69		P-9381AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility  (SFOF)
4-8-69		P-9382AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9383AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9384AB	Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-8-69		P-9385		Mariner Mars 1969 (Mariner 7), Mission G midcourse, Space Flight
Operations Facility (SFOF)
4-9-69		P-9386AB	Dr. William Pickering and students, Youth Science Congregation
4-9-69		P-9387AB	Dr. William Pickering and students, Youth Science Congregation
4-11-69	P-9388AB	NASA story exhibit information
4-11-69	P-9389AB	NASA story exhibit information
4-11-69	P-9390AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9391AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9392AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9393AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9394AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9395AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9396AB	Bud Schurmeier and students, Youth Science Congregation
4-11-69	P-9397AB	Dr. Robert J. Mackin, portrait
4-16-69	P-9398		R. Cargill Hall, JPL historian, portrait
4-16-69	P-9399		Larry Hall, NASA, portrait
4-16-69	P-9400		Dr. Charles Craven, portrait
4-16-69	P-9401AB	10 and 15-year service awards
4-16-69	P-9402AB	10 and 15-year service awards
4-16-69	P-9403AB	10 and 15-year service awards
4-16-69	P-9404AB	10 and 15-year service awards


4-16-69	P-9405AB	10 and 15-year service awards
4-16-69	P-9406AB	10 and 15-year service awards
4-16-69	P-9407AB	10 and 15-year service awards
4-16-69	P-9408AB	10 and 15-year service awards
4-16-69	P-9409AB	10 and 15-year service awards
4-16-69	P-9410		10 and 15-year service awards
4-21-69	P-9411		Moon map with Mascon locations 
4-21-69	P-9412AcBc	Management Service Office, IBM teletype room, bldg. 202
4-21-69	P-9413AcBc	Management Service Office, IBM teletype room, bldg. 202
4-21-69	P-9414	`	Management Service Office, IBM teletype room, bldg. 202 (color)
4-22-69	P-9415		J.W. Layland, portrait
4-25-69	P-9416		Explorer 1, Dr. William Pickering, celebration 
4-30-69	P-9417		John Scull, portrait
5-1-69		P-9418AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9419AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9420AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9421AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9422AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9423AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9424AB	George Miller with Mayor Yorty, portrait
5-1-69		P-9425AB	George Miller with Mayor Yorty, portrait
5-9-69		P-9426		Infared aerial Apollo shots - NASA
				Ac - Salton Sea area of California, NASA 69-HC-386
				Bc - Delta area, Colorado River - Mexico, NASA69-HC385
5-9-69		P-9427		Mariner Mars 1969 (Mariner 7), launch (by Dick Darcey, The 2B0200
Washington Post, 2-24-69
5-12-69	P-9428		Apollo aerial photographs
				Ac - GT-3-100 Sonora Baja California in fore, California in
         background
				Bc - NASA 68-HC-666, California coast, South Point Mugu to
        Oceanside
5-12-69	P-9429		Ac - NASA 69-HC-375, Salton Sea and Imperial Valley, California,
				         Mexicalli, and Mexico
				Bc - NASA 69-HC-388, Californa and Arizona in region of Colorado
				         River


5-12-69	P-9430		Apollo aerial photographs
				Ac - NASA 69-HC-175 California
				Bc - NASA 65-HC-561 California, Arizona, Sonora, Salton Sea, and
       Colorado River
5-12-69	P-9431		Apollo aerial photographs
Ac - NASA 65-HC-566, California coastline, LA South, Salton Sea in
      background
				Bc - NASA 65-HC-774 California coast, San Luis Obespo South,
        Ensenada East
5-12-69	P-9432		NASA 65-HC-779, Mexico; Baja California, Sonora, California; and
Arizona (color)
5-13-69	P-9433AB	Director's cost reduction award presentation
5-13-69	P-9434AB	Director's cost reduction award presentation
5-13-69	P-9435		Director's cost reduction award presentation
5-14-69	P-9436		Apollo 9, views from Earth orbit
	-			Ac - AS9-19-2920
				Bc - AS9-20-3064
5-14-69	P-9437		Ac - AS9-21-3210
				Bc - AS9-21-3238
5-14-69	P-9438		Ac - AS9-24-3631
				Bc - AS9-24-3646
5-12-69	P-9439AB	Mariner Mars 1969 (Mariner 7) status board
5-12-69	P-9440AB	Mariner Mars 1969 (Mariner 7) status board
5-15-69	P-9441AB	Mariner Mars 1969 (Mariner 7), Spacecraft 1/10 model with J.
Stallkamp 2000, H. Norris, B. Schurmeier, and C. Kohlhase
5-15-69	P-9442AB	Federal Executive Board meeting, Lt. Gov. Reinecke, Pickering
5-15-69	P-9443AB	Federal Executive Board meeting, Lt. Gov. Reinecke, Pickering
5-15-69	P-9444AB	Federal Executive Board meeting, Lt. Gov. Reinecke, Pickering
5-15-69	P-9445AB	Federal Executive Board meeting, Lt. Gov. Reinecke, Pickering
5-15-69	P-9446		Federal Executive Board meeting, Lt. Gov. Reinecke, Pickering
5-19-69	P-9447		A.J. Fahnestock, portrait
5-20-69	P-9448		Apollo 9, Earth resource survey
				Ac - 69-HC-387, Delta Area, Colorado River
				Bc - 69-HC-388, California and Arizona 
5-20-69	P-9449		Ac - 69-HC-389, Phoenix, Arizona temperature and snow covered
         terrain
				Bc - 69-HC-390 Arizona area


5-20-69	P-9450		Apollo 9, Earth resource survey
				Ac - 69-HC-391, SW U.S., New Mexico, Texas
				Bc - 69-HC-392, Lubbock, Texas area
5-20-69	P-9451		Ac - 69-HC-393, Houston-Galveston, Texas
				Bc - 69-HC-394, Mississippi Valley area
5-20-69	P-9452		Ac - 69-HC-395, Yazoo Valley area of Mississippi
				Bc - 69-HC-396, Gadsden, Alabama
5-20-69	P-9453		Ac-69-HC-397, Atlanta, Georgia
				Bc-69-HC-398, Georgetown, South Carolina
5-20-69	P-9454		69-HC-399, Brunswick, Georgia area just south of Savannah (color)
5-21-69	P-9455		Mariner Mars 1969 (Mariner 7) UV Spectrometer and Dr. Barth
5-21-69	P-9456		Wm. Sjogren, portrait
5-21-69	P-9457AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9458AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9459AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9460AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9461AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9462AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9463AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9464AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9465AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9466AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9467AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-21-69	P-9468AB	Apollo 10, DSN support, Space Flight Operations Facility (SFOF)
operations area
5-22-69	P-9469		Parachute drop test, 5-22-69
A - Sequence 1
B - Sequence 2 
5-22-69	P-9470		A - Sequence 3
				B - Sequence 4
5-22-69	P-9471		A - Sequence 5
				B - Sequence 6
5-22-69	P-9472		A - Sequence 7
				B - Sequence 8


5-22-69	P-9473		Parachute drop test, 5-22-69
A - Sequence 9
B - (general heading)
5-22-69	P-9474		Parachute drop test, 5-22-69
A - Sequence 9
B - (general heading)
5-22-69	P-9475		Parachute Drop Test, 5-22-69
A - Sequence 9
B - (general heading)
5-28-69	P-9476		Parachute Drop Test, 5-22-69
A - Sequence 9
B - (general heading)
5-28-69	P-9477		James Burke, portrait
5-27-69	P-9478AB	Tom W. Hamilton, portrait
5-27-69	P-9479AB	Astronaut Borman's visit to JPL
5-27-69	P-9480AB	Astronaut Borman's visit to JPL
5-27-69	P-9481AB	Astronaut Borman's visit to JPL
5-27-69	P-9482AB	Astronaut Borman's visit to JPL
5-27-69	P-9483AB	Astronaut Borman's visit to JPL
5-27-69	P-9484AB	Astronaut Borman's visit to JPL
5-27-69	P-9485AB	Astronaut Borman's visit to JPL
5-27-69	P-9486AB	Astronaut Borman's visit to JPL
5-27-69	P-9487AB	Astronaut Borman's visit to JPL
5-27-69	P-9488AB	Astronaut Borman's visit to JPL
5-27-69	P-9489AB	Astronaut Borman's visit to JPL
5-27-69	P-9490AB	Astronaut Borman's visit to JPL
5-27-69	P-9491AB	Astronaut Borman's visit to JPL
5-27-69	P-9492AB	Astronaut Borman's visit to JPL
5-27-69	P-9493AB	Astronaut Borman's visit to JPL
5-27-69	P-9494AB	Astronaut Borman's visit to JPL
5-27-69	P-9495AB	Astronaut Borman's visit to JPL
5-27-69	P-9496AB	Astronaut Borman's visit to JPL
5-27-69	P-9497AB	Astronaut Borman's visit to JPL
5-27-69	P-9498AB	Astronaut Borman's visit to JPL
5-27-69	P-9499AB	Astronaut Borman's visit to JPL
5-27-69	P-9500AB	Astronaut Borman's visit to JPL
5-27-69	P-9501AB	Astronaut Borman's visit to JPL
5-27-69	P-9502		Astronaut Borman's visit to JPL


5-29-69	P-9503AB	W.J. Shimandle, portrait
6-2-69		P-9504		Views of Saturn as seen by flyby spacecraft 
6-2-69		P-9505		Paul Muller, portrait
6-6-69		P-9506		Apollo 10 on-board photography (color)
				AS 10-27-3879, Smyth's Sea, Travel E to West, lack of shadows shows
nearing sub-solar point 
6-6-69		P-9507		AS 10-27-3888, looking W in direction of travel above lunar far side
highlands.
6-6-69		P-9508		AS 10-27-3950 - Post transearth insertion, Sea of Crises
surrounded by highlands, terraced Crater Langrenus (color)
6-6-69		P-9509		AS 10-34-5013 - Earth shot (color)
6-6-69		P-9510		AS 10-34-5112 - prior to docking, diagonal line is top of window, lunar
surface in background (color)
6-6-69		P-9511		AS 10-34-5131 - Crater Apollonius 30 status miles width, highlands S
of the Sea of Crises, North of Apollonius (color)
6-6-69		P-9512		AS 10-34-5154 - Crater Maskelyne G. and the "Diamond Back Rille"
landing site 2 - Sea of Tranquility, (color)
6-6-69		P-9513		AS 10-34-5162 - Crater Schmidt, at W edge of Sea of Tranquility and
immediately W of Crater Sabino (color)
6-6-69		P-9514		AS 10-34-5164 - Crater Godin lies in highlands between the Sea of
Tranquility and Central Bay (color)
6-6-69		P-9515		AS 10-34-5171 - IAU Crater, exhibits terracing and Central Peaks
(color)
6-5-69		P-9516		AS 10-29-4252
6-5-69		P-9517		AS 10-29-4253
6-5-69		P-9518		AS 10-29-4254
6-5-69		P-9519		AS 10-29-4255
6-5-69		P-9520		AS 10-29-4256
6-5-69		P-9521		AS 10-29-4257
6-5-69		P-9522		AS 10-29-4417
6-5-69		P-9523		AS 10-29-4418
6-5-69		P-9524		AS 10-29-4419
6-5-69		P-9525		AS 10-29-4420


6-5-69		P-9526		Apollo 10 on-board photography, AS-10-30-4421
6-5-69		P-9527		AS 10-30-4422
6-5-69		P-9528		AS 10-31-4638
6-5-69		P-9529		AS 10-31-4639
6-5-69		P-9530		AS 10-31-4640
6-5-69		P-9531		AS 10-31-4641
6-5-69		P-9532		AS 10-31-4642
6-5-69		P-9533		AS 10-31-4643
6-5-69		P-9534		AS 10-31-4644
6-5-69		P-9535		AS 10-31-4645
6-5-69		P-9536		AS 10-31-4646
6-5-69		P-9537		AS 10-31-4647
6-5-69		P-9538		AS 10 (number not readable)
6-5-69		P-9539		AS 10-32-4756
6-5-69		P-9540		AS 10-32-4757
6-5-69		P-9541		AS 10-31-4658
6-5-69		P-9542		AS 10-32-4659
6-5-69		P-9543		AS 10-32-4660
6-5-69		P-9544		AS 10-32-4661
6-5-69		P-9545		AS 10-32-4660
6-5-69		P-9546		AS 10-32-4773
6-5-69		P-9547		AS 10-32-4774
6-5-69		P-9548		AS 10-32-4775
6-5-69		P-9549		AS 10-32-4776
6-5-69		P-9550		AS 10-32-4777
6-5-69		P-9551		AS 10-32-4778
6-5-69		P-9552		AS 10-32-4779
6-5-69		P-9553		AS 10-32-4780
6-5-69		P-9554		AS 10-32-4781
6-5-69		P-9555		AS 10-32-4782


6-5-69		P-9556		Apollo 10 on-board photography
				AS 10-33-4922
6-5-69		P-9557		AS 10-33-4923
6-5-69		P-9558		AS 10-33-4924
6-5-69		P-9559		AS 10-33-4925
6-5-69		P-9560		AS 10-33-4926
6-5-69		P-9561		AS 10-33-4927
6-5-69		P-9562		AS 10-33-4928
6-5-69		P-9563		AS 10-33-4929
6-5-69		P-9564		AS 10-33-4930
6-5-69		P-9565		AS 10-33-4931
6-5-69		P-9566		AS 10-33-4932
6-5-69		P-9567		AS 10-33-4933
6-5-69		P-9568		AS 10-33-4955
6-5-69		P-9569		AS 10-33-4956
6-5-69		P-9570		AS 10-33-4957
6-5-69		P-9571		AS 10-33-4958
6-5-69		P-9572		AS 10-33-4959
6-5-69		P-9573		AS 10-33-4960
6-5-69		P-9574		AS 10-33-4961
6-5-69		P-9575		AS 10-33-4962
6-5-69		P-9576		AS 10-33-4963
6-5-69		P-9577		AS 10-33-4964
6-5-69		P-9578		AS 10-33-4965
6-6-69		P-9579AB	Dr. C.R. Gates, portrait
6-9-69		P-9580AB	Apollo awards to Div. 31, for Lab-Oratory 
6-9-69		P-9581AB	Apollo awards to Div. 31, for Lab-Oratory
6-10-69	P-9582AB	Exhibits, VAB (Vertical Assembly Bldg.)
6-10-69	P-9583AB	Exhibits, VAB (Vertical Assembly Bldg.)


6-12-69	P-9584		Skeet awards, Mary McGough
6-13-69	P-9585		H.W. Brugh, passport photo
6-26-69	P-9586AB	Summer program, facility members
6-26-69	P-9587AB	Summer program, facility members
6-26-69	P-9588AB	Summer program, facility members
6-26-69	P-9589AB	Douglas MOL layoff, JPL personnel utilization 
6-26-69	P-9590		Douglas MOL layoff, JPL personnel utilization
6-30-69	P-9591AB	Dr. Charles Lawson, portrait
7-2-69		P-9592AB	Security poster
7-2-69		P-9593AB	Security poster
7-6-69		P-9594AB	Tour of Pasadena Institute of Technology
7-6-69		P-9595AB	Tour of Pasadena Institute of Technology
7-6-69		P-9596		Tour of Pasadena Institute of Technology
7-9-69		P-9597AB	Admiral John Clark, Toastmasters speaker 
7-9-69		P-9598AB	Admiral John Clark, Toastmasters speaker
7-9-69		P-9599AB	Admiral John Clark, Toastmasters speaker
7-9-69		P-9600AB	Admiral John Clark, Toastmasters speaker
7-9-69		P-9601AB	Admiral John Clark, Toastmasters speaker
7-9-69		P-9602AB	Admiral John Clark, Toastmasters speaker
7-11-69	P-9603AcBc	20 and 25-year service award
7-11-69	P-9604AcBc	20 and 25-year service award
7-11-69	P-9605AcBc	20 and 25-year service award
7-11-69	P-9606AcBc	20 and 25-year service award
7-11-69	P-9607AcBc	20 and 25-year service award
7-11-69	P-9608AcBc	20 and 25-year service award
7-11-69	P-9609AB	10 and 15-year service award
7-11-69	P-9610AB	10 and 15-year service award
7-11-69	P-9611AB	10 and 15-year service award
7-11-69	P-9612AB	10 and 15-year service award
7-11-69	P-9613AB	10 and 15-year service award


7-11-69	P-9614AB	10 and 15-year service award
7-11-69	P-9615AB	10 and 15-year service award
7-11-69	P-9616AB	10 and 15-year service award
7-11-69	P-9617		10 and 15-year service award
7-15-69	P-9618AB	Mariner Mars 1969 (Mariner 7), TV experimenters
7-15-69	P-9619AB	Mariner Mars 1969 (Mariner 7), TV experimenters
7-15-69	P-9620AB	Mariner Mars 1969 (Mariner 7), TV experimenters
7-15-69	P-9621AB	Mariner Mars 1969 (Mariner 7), TV experimenters
7-15-69	P-9622		Mariner Mars 1969 (Mariner 7), TV experimenters
7-18-69	P-9623		Dr. William Pickering and Congressman Miller
7-22-69	P-9624		Apollo 11 press releases, TV pictures
A-1 - President Nixon congratulates astronauts Neil Armstrong and                 Edwin E. Aldrin, Jr. with hand salute 
7-22-69	P-9625		A-2 - Prior to unveiling plaque fastened to descent stage of the Lunar
Module
7-22-69	P-9626		A-3 - Astronaut Neil Armstrong coming down lunar ladder
7-22-69	P-9627		A-4 - Panoramic view of lunar surface photograph by Astronaut Edwin
E. Aldrin, Jr.
7-22-69	P-9628		A-5 - Astronauts deploying the American flag
7-22-69	P-9629		A-6 - Aldrin deploying solar wind experiment on lunar surface
7-22-69	P-9630		A-7 - Astronaut Aldrin's "Kangaroo Run".
7-22-69	P-9631		A-8 - Astronauts conducting bulk and soil sample collection experiment
on lunar surface
7-18-69	P-9632		G. Gaines, portrait for management new letter
7-22-69	P-9633		JPL Director's Award, Scroll
7-24-69	P-9634		Dr. Charles Barth, portrait
7-28-69	P-9635		Dr. Pimental
7-29-69	P-9636		Mariner Mars 1969 (Mariner 7) NASA International Planetary Program
7-29-69	P-9637AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9638AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9639AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9640AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing


7-29-69	P-9641AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9642AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9643AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9644AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9645AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9646AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9647AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9648AB	Mariner Mars 1969 (Mariner 6) press preencounter briefing
7-29-69	P-9649AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9650AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9651AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9652AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9653AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9654AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9655AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9656AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9657AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9658AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9659AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9660AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9661AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9662AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9663AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9664AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9665AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9666AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9667AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9668AB	Mariner Mars 1969 (Mariner 6 and 7) flight readiness test
7-29-69	P-9669AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9670AB	Mariner Mars 1969 (Mariner 6) playback, 1-33


7-29-69	P-9671AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9672AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9673AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9674AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9675AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9676AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9677AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9678AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9679AB	Mariner Mars 1969 (Mariner 6) playback, 1-33
7-29-69	P-9680		Apollo 11 pictures on surface of the Moon
			1 of 2	A - NASA AS11-37-5505
	B - NASA AS11-37-5551
			2 of 2AcBc
7-29-69	P-9681 1 of 2	A - NASA AS11-37-5545
B - NASA AS11-37-5475
			2 of 2 AcBc
7-29-69	P-9682AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility 
(SFOF)
7-28-69	P-9683AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9684AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9685AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9686AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9687AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9688AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9689AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9690AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9691AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9692AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9693AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9694AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9695AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9696AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9697AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9698AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9699AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)


7-28-69	P-9700AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-28-69	P-9701AB	Mariner Mars 1969 (Mariner 7)-6, Space Flight Operations Facility
(SFOF)
7-29-69	P-9702		Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-29-69	P-9703AcBc	Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-29-69	P-9704AcBc	Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-29-69	P-9705AcBc	Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-29-69	P-9706AcBc	Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-29-69	P-9707AcBc	Mariner Mars 1969 (Mariner 7)-6 press preencounter
7-30-69	P-9708AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-30-69	P-9709AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-30-69	P-9710AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-30-69	P-9711AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-30-69	P-9712AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-30-69	P-9713AB	Mariner Mars 1969 (Mariner 7)-6, playback 34-50
7-31-69	P-9714		Artist concept of Lunar Orbiter 1 (color)
7-30-69	P-9715AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9716AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9717AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9718AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9719AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9720AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9721AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9722AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9723AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9724AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9725AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9726AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9727AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9728AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests
7-30-69	P-9729AB	Mariner Mars 1969 (Mariner 7), Dr. William Pickering, VIP guests


