                                                                     TABLE 1
                                          AGGREGATE RESERVES OF DEPOSITORY INSTITUTIONS AND THE MONETARY BASE
                                          ADJUSTED FOR CHANGES IN RESERVE REQUIREMENTS, MILLIONS OF DOLLARS                   February  5, 2009
               ----------------------SEASONALLY ADJUSTED----------------------  --------------------NOT SEASONALLY ADJUSTED--------------------
                                            NON-                                                             NON-
                               NON-       BORROWED                                              NON-       BORROWED
                  TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY       TOTAL      BORROWED     RESERVES     REQUIRED     MONETARY
     DATE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE       RESERVES     RESERVES    PLUS EXT CR   RESERVES       BASE
 -----------   -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------  -----------
      May         17940        17826        17826        17731        97251        17839        17724        17724        17629        97071  
      June        17946        17820        17820        17732        97732        17636        17509        17509        17422        97688  
      July        17846        17714        17714        17612        98234        17934        17802        17802        17700        98914  
      Aug.        18053        17953        17953        17846        98888        17811        17711        17711        17604        98917  
      Sep.        18009        17948        17948        17808        99446        17737        17675        17675        17536        99073  
      Oct.        18077        17983        17983        17858       100066        18033        17939        17939        17814        99882  
      Nov.        18340        18268        18268        18083       100892        18340        18268        18268        18083       101500  
      Dec.        18388        18335        18335        18115       101515        18679        18626        18626        18405       103304  
 1977-Jan.        18421        18353        18353        18156       102237        19538        19470        19470        19273       102844  
      Feb.        18299        18227        18227        18100       102654        18253        18182        18182        18055       101487  
      Mar.        18405        18301        18301        18190       103337        17981        17877        17877        17766       102125  
      Apr.        18479        18406        18406        18287       104076        18473        18400        18400        18282       103818  
      May         18585        18379        18379        18377       104630        18436        18229        18229        18227       104447  
      June        18471        18208        18208        18324       105186        18117        17855        17855        17970       105085  
      July        18748        18425        18425        18473       106394        18829        18506        18506        18554       107162  
      Aug.        18919        17858        17858        18719       107185        18664        17604        17604        18464       107202  
      Sep.        18873        18247        18247        18664       107923        18615        17990        17990        18406       107520  
      Oct.        18963        17658        17658        18753       108750        18971        17666        17666        18761       108566  
      Nov.        19012        18150        18150        18761       109560        19041        18179        18179        18790       110195  
      Dec.        18990        18420        18420        18800       110324        19337        18768        18768        19147       112278  
 1978-Jan.        19290        18806        18806        19023       111449        20498        20014        20014        20232       112119  
      Feb.        19561        19155        19155        19319       112450        19481        19075        19075        19240       111154  
      Mar.        19286        18958        18958        19087       112778        18806        18478        18478        18607       111482  
      Apr.        19408        18851        18851        19260       113377        19372        18815        18815        19223       113101  
      May         19655        18443        18443        19436       114418        19443        18232        18232        19224       114187  
      June        19868        18774        18774        19691       115376        19455        18361        18361        19277       115306  
      July        20118        18801        18801        19921       116273        20196        18878        18878        19998       117107  
      Aug.        19912        18772        18772        19744       116904        19639        18499        18499        19471       116925  
      Sep.        19994        18934        18934        19801       118112        19739        18679        18679        19547       117655  
      Oct.        20109        18832        18832        19947       119044        20152        18875        18875        19990       118854  
      Nov.        19872        19169        19169        19650       119733        19914        19211        19211        19692       120423  
      Dec.        19753        18885        18885        19521       120445        20148        19280        19280        19916       122566  
 1979-Jan.        19821        18818        18818        19606       121272        21115        20112        20112        20901       122030  
      Feb.        19396        18423        18423        19187       121504        19300        18327        18327        19091       120041  
      Mar.        19429        18439        18439        19271       122065        18932        17941        17941        18774       120697  
      Apr.        19504        18587        18587        19328       122819        19475        18557        18557        19298       122539  
      May         19553        17788        17788        19412       123487        19322        17557        17557        19181       123234  
      June        19808        18390        18390        19587       124635        19384        17966        17966        19163       124580  
      July        19992        18822        18822        19782       125810        20019        18848        18848        19808       126679  
      Aug.        20008        18923        18923        19786       127079        19698        18612        18612        19476       127138  
      Sep.        20007        18667        18667        19816       128309        19771        18431        18431        19580       127793  
      Oct.        20375        18353        18353        20103       129458        20437        18415        18415        20164       129224  
      Nov.        20398        18492        18492        20153       130369        20457        18551        18551        20213       131156  
      Dec.        20720        19248        19248        20279       131143        21200        19727        19727        20758       133436  
 1980-Jan.        20693        19452        19452        20442       131998        22068        20826        20827        21817       132831  
      Feb.        20682        19027        19027        20471       132785        20508        18853        18854        20298       131224  
      Mar.        20703        17879        17978        20517       133607        20178        17354        17453        19992       132074  
      Apr.        20629        18174        18726        20432       134740        20607        18152        18704        20410       134425  
      May         20440        19421        20164        20262       134998        20195        19176        19919        20017       134803  
      June        20575        20196        20503        20372       135679        20142        19762        20069        19938       135603  
      July        20796        20401        20654        20511       136637        20780        20385        20638        20496       137545  
      Aug.        21011        20352        20594        20709       137977        20670        20012        20254        20369       138108  
      Sep.        21232        19921        20011        20977       139220        20990        19678        19769        20734       138608  
      Oct.        21147        19837        19837        20941       140150        21177        19867        19867        20971       139896  
      Nov.        22150        20091        20091        21629       141566        22227        20167        20167        21705       142429  
      Dec.        22015        20325        20328        21501       142004        22558        20868        20871        22044       144509  
 1981-Jan.        21673        20278        20348        21298       141462        23094        21699        21770        22720       142300  
      Feb.        21840        20536        20557        21489       142270        21682        20379        20400        21332       140650  
      Mar.        22072        21072        21086        21791       143029        21571        20572        20586        21291       141359  
      Apr.        22187        20849        20857        22018       143917        22184        20847        20854        22015       143518  
      May         22442        20219        20224        22184       144587        22202        19979        19984        21944       144409  
      June        22326        20289        20295        21988       145001        21874        19836        19843        21536       144872  
      July        22329        20650        20653        21989       145839        22271        20592        20595        21931       146823  
      Aug.        22356        20936        21017        22064       146467        21987        20567        20648        21695       146541  
      Sep.        22487        21031        21332        22073       146941        22237        20780        21081        21822       146376  
      Oct.        22296        21115        21553        22018       147062        22280        21099        21537        22002       146791  
      Nov.        22338        21675        21840        21993       147749        22415        21752        21918        22071       148618  
      Dec.        22443        21807        21956        22124       149021        22999        22362        22511        22680       151699  
 1982-Jan.        22669        21152        21349        22251       149991        24077        22559        22757        23658       150835  
      Feb.        22551        20762        20994        22248       150459        22379        20590        20822        22076       148732  
      Mar.        22452        20898        21206        22091       150660        21994        20439        20747        21632       148920  
