  Tick      DoY      hits
  381411  156.43100   3
  381412  156.43110   2
  381413  156.43130   3
  381415  156.43160   1
  381422  156.43260   1
  381840  156.49600   3
  381841  156.49620   6
  381842  156.49630   2
  381843  156.49650   8
  381844  156.49660   7
  381845  156.49680   7
  381846  156.49690   2
  381847  156.49710   2
  381848  156.49720   1
  381850  156.49750   1
  381851  156.49770   1
  381852  156.49780   2
  382273  156.56170  29
  382274  156.56180   3
  382275  156.56200  10
  382276  156.56210   7
  382277  156.56230   5
  382278  156.56240   1
  382281  156.56290   2
  382282  156.56300   3
  382490  156.59460   1
  382696  156.62580   1
  382697  156.62600   2
  382698  156.62610   1
  382699  156.62630   2
  382700  156.62640   4
  382701  156.62660   1
  382702  156.62670   1
  382703  156.62690   3
  382704  156.62700   7
  382705  156.62720   3
  382706  156.62730   3
  382707  156.62750   4
  382708  156.62760   1
  382710  156.62790   2
  382711  156.62810   1
  382712  156.62820   1
  383125  156.69090   1
  383126  156.69100   1
  383127  156.69120   1
  383128  156.69130   1
  383129  156.69150   1
  383133  156.69210   1
  383135  156.69240   5
  383136  156.69250   1
  383137  156.69270   1
  383138  156.69280   6
  383139  156.69300   1
  383140  156.69310   2
  383142  156.69340   1
  383557  156.75640   1
  383565  156.75760   1
  383566  156.75770   2
  383567  156.75790   1
  383568  156.75800   1
  383569  156.75820   2
  383570  156.75830   4
  383571  156.75850   2
  383572  156.75860   1
  383573  156.75880   1
  383577  156.75940   1
  383983  156.82100   1
  383989  156.82190   1
  383993  156.82250   1
  383994  156.82260   1
  383995  156.82280   2
  383996  156.82290   1
  383997  156.82310   2
  383998  156.82320   1
  384000  156.82350   1
  384001  156.82370   1
  384009  156.82490   1
  384013  156.82550   1
  384421  156.88740   1
  384423  156.88770   1
  384425  156.88800   1
  384426  156.88810   1
  384428  156.88840   1
  384429  156.88860   1
  384430  156.88870   1
  384438  156.89000   2
  384855  156.95320   1
  384857  156.95350   2
  384861  156.95410   1
  384867  156.95500   1
  384869  156.95530   1
  385198  157.00520   1
  385213  157.00750   1
  385273  157.01660   1
  385280  157.01760   1
  385285  157.01840   1
  385286  157.01860   2
  385287  157.01870   1
  385290  157.01920   2
  385292  157.01950   1
  385298  157.02040   1
  385709  157.08270   1
  385716  157.08380   1
  385719  157.08420   1
  385720  157.08440   1
  385721  157.08450   2
  385726  157.08530   1
  385732  157.08620   1
  386133  157.14700   1
  386148  157.14930   1
  386151  157.14970   2
  386152  157.14990   1
  386166  157.15200   1
  386511  157.20430   1
  386554  157.21080   1
  386582  157.21510   2
  386593  157.21680   1
  387005  157.27920   1
  387010  157.28000   1
  387012  157.28030   1
  387412  157.34090   1
  387422  157.34250   1
  387442  157.34550   2
  387445  157.34590   1
  387450  157.34670   1
  388309  157.47700   1
  388735  157.54160   1
  388736  157.54170   1
  388748  157.54350   1
  389555  157.66590   1
  389596  157.67210   1
  389597  157.67230   1
  389606  157.67360   1
  389615  157.67500   1
  390039  157.73930   1
  390458  157.80280   1
  390459  157.80300   1
  390888  157.86800   1
  390891  157.86850   1
  391322  157.93390   1
  392183  158.06440   1
  394766  158.45610   1
  395196  158.52130   1
  395642  158.58890   1
  396059  158.65220   1
  396060  158.65230   1
  396921  158.78290   2
