SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,013,Maryland,Carroll County,4,154788,76526,78262,9830,5040,4790,22241,11507,10734,9724,5056,4668,11876,6219,5657,117780,57457,60323,112993,54923,58070,65333,32713,32620,38205,19137,19068,16730,6868,9862,2152,579,1573,37.3,36.5,38.0
050,24,013,Maryland,Carroll County,5,159413,78833,80580,9755,4966,4789,22129,11403,10726,10133,5270,4863,13382,7012,6370,122415,59804,62611,117396,57194,60202,67592,33906,33686,40109,20082,20027,17216,7110,10106,2289,626,1663,37.5,36.6,38.2
050,24,013,Maryland,Carroll County,6,163438,80856,82582,9720,4929,4791,22034,11357,10677,10458,5418,5040,14744,7741,7003,126393,61825,64568,121226,59152,62074,69540,34948,34592,41923,20959,20964,17598,7315,10283,2331,667,1664,37.6,36.7,38.4
050,24,013,Maryland,Carroll County,7,166489,82403,84086,9747,4960,4787,21672,11139,10533,10846,5658,5188,15598,8123,7475,129554,63447,66107,124224,60646,63578,70402,35425,34977,43765,21851,21914,18067,7551,10516,2406,707,1699,37.7,36.7,38.6
050,24,013,Maryland,Carroll County,8,168541,83469,85072,9726,4950,4776,21281,10950,10331,11169,5821,5348,15924,8361,7563,131837,64617,67220,126365,61748,64617,70811,35683,35128,45305,22622,22683,18612,7822,10790,2544,757,1787,37.9,36.8,38.9
050,24,015,Maryland,Cecil County,1,85951,42594,43357,5957,2998,2959,12680,6559,6121,5152,2637,2515,6406,3195,3211,64684,31686,32998,62162,30400,31762,37047,18280,18767,19965,10125,9840,8995,3965,5030,807,233,574,35.5,35.2,35.9
050,24,015,Maryland,Cecil County,2,85951,42594,43357,5957,2998,2959,12680,6559,6121,5152,2637,2515,6406,3195,3211,64684,31686,32998,62162,30400,31762,37047,18280,18767,19965,10125,9840,8995,3965,5030,807,233,574,35.5,35.2,35.9
050,24,015,Maryland,Cecil County,3,86481,42872,43609,5959,3001,2958,12689,6565,6124,5190,2655,2535,6504,3242,3262,65178,31943,33235,62643,30651,31992,37226,18374,18852,20227,10265,9962,9068,3998,5070,825,241,584,35.6,35.3,36.0
050,24,015,Maryland,Cecil County,4,88394,43794,44600,5830,2927,2903,12714,6563,6151,5373,2780,2593,6966,3481,3485,67116,32889,34227,64477,31524,32953,38117,18818,19299,21038,10656,10382,9288,4098,5190,882,269,613,35.9,35.4,36.2
050,24,015,Maryland,Cecil County,5,90335,44670,45665,5842,2941,2901,12504,6447,6057,5658,2912,2746,7458,3738,3720,69043,33765,35278,66331,32370,33961,39167,19360,19807,21770,10975,10795,9526,4175,5351,944,276,668,36.0,35.5,36.5
050,24,015,Maryland,Cecil County,6,92955,45916,47039,5896,2949,2947,12472,6383,6089,5856,3052,2804,8053,4047,4006,71538,34990,36548,68731,33532,35199,40545,20054,20491,22680,11416,11264,9865,4315,5550,1040,314,726,36.1,35.5,36.5
