"State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"AR","NNTCV","133.75818","123.00197","128.36290","149.04906","159.12409","185.75040","214.45365","307.12529","287.42791","345.61275","581.63828","672.11555","678.89146","697.86330","728.39740","636.93406","613.02815","486.60954","632.67185","724.52525","665.26740","635.04381","675.40439","756.60420","782.02649","719.55082","901.43485","970.59092","910.62397","923.33613","1243.12123","1418.01100","1319.93255","1560.70963","1638.47221","1927.04144","1955.03411"
"AZ","NNACD","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","3.72463","3.51813","3.46816","3.81798","3.62627","3.41049","3.41227","4.38687","5.19706","5.77193","6.71907","6.80882","5.63628","6.66910","7.84991","9.69010"
"AZ","NNACV","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.14054","0.52127","0.64151","0.75366","1.02780","1.24479","1.27506","2.70196","3.84137","4.62818","6.28552","6.91560","6.77802","8.85755","14.93848","20.16712"
"AZ","NNCCD","0.59672","0.64699","0.68647","0.72781","0.78131","1.10442","1.36054","1.66688","2.06749","2.54134","2.99838","3.35101","4.64305","5.30984","5.35561","5.32722","4.47106","4.37975","4.80658","4.56151","4.63805","4.94959","5.04058","4.92215","5.12826","5.06175","4.96971","5.19173","5.90162","6.07307","6.62337","7.81126","8.14235","7.82373","8.72441","9.77270","11.96321"
"AZ","NNCCV","14.34789","17.54290","19.45408","24.35798","27.17002","37.83286","52.45289","59.85988","65.13494","71.31914","86.16884","94.52886","127.76312","136.64505","141.77208","141.28310","111.51832","125.49118","140.64614","136.25166","135.98253","139.94259","140.80987","139.52010","153.87246","148.21608","145.51424","160.00193","190.73011","193.12932","215.00359","244.60858","266.95331","253.16980","285.16851","314.09485","397.10974"
"AZ","NNEID","0.34750","0.39471","0.39159","0.41600","0.52700","0.73135","0.81538","1.07871","1.33204","2.07614","2.41200","2.66200","3.64300","4.12300","4.00500","3.74400","2.35300","2.20300","2.24100","2.24400","2.36900","2.00500","2.21300","2.80700","2.17700","1.72900","2.98200","2.94440","2.39090","2.64320","4.77890","4.60360","3.20110","5.11717","5.72785","8.04444","6.34958"
"AZ","NNEIV","21.67459","28.58340","32.56257","25.16252","22.82340","13.85856","21.27318","33.91395","77.07071","112.48357","126.70193","161.71377","119.78832","82.52328","106.77236","165.45993","75.10865","60.67946","58.68961","117.63755","59.27497","47.94354","70.53940","59.04257","58.21279","39.17410","68.26082","79.67581","102.48619","146.43030","465.70041","607.67999","473.82743","877.92399","1403.47647","1792.07781","1607.98702"
"AZ","NNICD","0.41266","0.44099","0.45190","0.46671","0.54609","0.72125","0.87634","1.23830","1.52392","2.06671","2.56801","3.00683","3.82781","3.95863","4.17255","4.25089","3.77439","3.61763","3.65571","3.51401","3.59381","3.42596","4.03402","3.90971","3.47266","3.67059","3.76193","3.51982","3.20655","3.36627","4.74229","6.19137","6.27599","6.52643","7.00996","8.46306","9.78000"
"AZ","NNICV","25.22054","28.27035","30.02978","32.16967","37.63889","38.50720","50.11907","65.67517","74.31903","95.90714","101.50914","124.44557","103.85583","123.06088","127.23496","73.36402","33.17891","66.52183","91.41940","68.53194","60.97165","61.62919","75.71421","85.07989","92.35266","105.39695","102.51864","100.30868","91.79244","92.44840","101.64472","132.25010","111.33287","99.91296","143.12478","144.80083","182.62151"
"AZ","NNRCD","1.13220","1.15770","1.18103","1.30033","1.41232","1.46155","2.01875","2.47851","2.88236","3.36757","3.87582","4.39142","5.61699","6.34953","6.84548","6.69420","6.05824","5.89433","6.76015","6.64311","6.63935","6.82166","7.01880","7.00538","7.33053","7.53772","7.44565","7.65561","8.36063","8.98657","9.33608","10.44482","11.69133","11.28652","12.33591","13.43374","16.12218"
