 482235.86 2839399.33    0.21 AB25B10800 20020509Y
 482578.38 2839387.16    0.24 AB25B10800 20020509Y
 483814.46 2839399.91   -0.07 AB25B10800 20020509Y
 484231.67 2839400.70   -0.24 AB25B10800 20020509Y
 484615.96 2839399.68   -0.13 AB25B10800 20020509Y
 485062.76 2839402.30   -0.19 AB25B10800 20020509Y
 485437.96 2839395.70   -0.18 AB25B10800 20020509Y
 485810.20 2839399.40   -0.15 AB25B10800 20020509Y
 486209.51 2839392.45   -0.06 AB25B10800 20020509Y
 486612.80 2839406.01   -0.14 AB25B10800 20020509Y
 486985.93 2839390.53   -0.05 AB25B10800 20020509Y
 475022.08 2839794.36   -0.06 AB27F10700 20020509Y
 475411.05 2839798.95   -0.10 AB27F10700 20020509Y
 475830.80 2839804.29   -0.07 AB27F10700 20020509Y
 476217.97 2839805.75   -0.20 AB27F10700 20020509Y
 476642.25 2839806.87   -0.29 AB27F10700 20020509Y
 477060.82 2839795.73   -0.26 AB27F10700 20020509Y
 477418.28 2839793.02   -0.18 AB27F10700 20020509Y
 477812.54 2839796.11   -0.03 AB27F10700 20020509Y
 478230.05 2839799.79   -0.02 AB27F10700 20020509Y
 478618.60 2839796.77   -0.10 AB27F10700 20020509Y
 479009.22 2839796.13   -0.01 AB27F10700 20020509Y
 479447.67 2839814.95   -0.16 AB27F10700 20020509Y
 479813.30 2839799.19    0.12 AB27F10700 20020509Y
 480212.35 2839794.90    0.10 AB27F10700 20020509Y
 480603.56 2839801.01    0.03 AB27F10700 20020509Y
 481010.65 2839800.45    0.06 AB27F10700 20020509Y
 481414.00 2839798.40    0.09 AB27F10700 20020509Y
 481831.38 2839794.46   -0.23 AB27F10700 20020509Y
 482223.22 2839798.86   -0.09 AB27F10700 20020509Y
 482487.03 2839788.37    0.06 AB27F10700 20020509Y
 483428.41 2839804.02    0.06 AB27F10700 20020509Y
 483820.53 2839796.29   -0.28 AB27F10700 20020509Y
 484210.87 2839806.51   -0.37 AB27F10700 20020509Y
 484619.42 2839797.56   -0.23 AB27F10700 20020509Y
 485015.72 2839800.33   -0.34 AB27F10700 20020509Y
 485430.17 2839793.65   -0.37 AB27F10700 20020509Y
 485802.26 2839800.47   -0.35 AB27F10700 20020509Y
 486187.38 2839801.45   -0.37 AB27F10700 20020509Y
 486570.55 2839796.24   -0.39 AB27F10700 20020509Y
 486998.88 2839800.47   -0.18 AB27F10700 20020509Y
 475102.53 2840188.27   -0.01 AB29E10700 20020509Y
 475430.70 2840200.87    0.03 AB29E10700 20020509Y
