SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,22,083,Louisiana,Richland Parish,0,0,05,5,5,0,0,2,0,0
050,22,085,Louisiana,Sabine Parish,0,0,01,17595,17595,17584,17541,17529,17616,17777
050,22,085,Louisiana,Sabine Parish,0,0,02,4021,4021,4055,4019,3986,3970,3921
050,22,085,Louisiana,Sabine Parish,0,0,03,2240,2240,2228,2229,2258,2289,2292
050,22,085,Louisiana,Sabine Parish,0,0,04,75,75,47,52,53,44,54
050,22,085,Louisiana,Sabine Parish,0,0,05,11,11,4,4,4,2,4
050,22,087,Louisiana,St. Bernard Parish,0,0,01,60758,60758,60554,59847,59306,58515,57795
050,22,087,Louisiana,St. Bernard Parish,0,0,02,5292,5292,5281,5532,5868,6097,6473
050,22,087,Louisiana,St. Bernard Parish,0,0,03,646,646,627,633,618,631,621
050,22,087,Louisiana,St. Bernard Parish,0,0,04,1223,1223,1239,1263,1309,1364,1418
050,22,087,Louisiana,St. Bernard Parish,0,0,05,73,73,69,58,55,63,67
050,22,089,Louisiana,St. Charles Parish,0,0,01,35467,35462,35499,35538,35806,35911,36334
050,22,089,Louisiana,St. Charles Parish,0,0,02,12270,12270,12352,12596,12879,12994,13229
050,22,089,Louisiana,St. Charles Parish,0,0,03,289,289,266,286,284,301,309
050,22,089,Louisiana,St. Charles Parish,0,0,04,364,364,361,414,465,507,529
050,22,089,Louisiana,St. Charles Parish,0,0,05,15,15,2,1,0,2,1
050,22,091,Louisiana,St. Helena Parish,0,0,01,4964,4964,4930,4777,4829,4770,4704
050,22,091,Louisiana,St. Helena Parish,0,0,02,5550,5550,5578,5646,5586,5541,5589
050,22,091,Louisiana,St. Helena Parish,0,0,03,37,37,19,17,19,24,23
050,22,091,Louisiana,St. Helena Parish,0,0,04,28,28,20,16,13,22,24
050,22,091,Louisiana,St. Helena Parish,0,0,05,14,14,15,10,7,10,13
050,22,093,Louisiana,St. James Parish,0,0,01,10686,10677,10611,10668,10594,10601,10633
050,22,093,Louisiana,St. James Parish,0,0,02,10518,10506,10565,10574,10654,10562,10496
050,22,093,Louisiana,St. James Parish,0,0,03,60,60,32,32,39,41,33
050,22,093,Louisiana,St. James Parish,0,0,04,17,17,11,12,11,12,12
050,22,093,Louisiana,St. James Parish,0,0,05,5,5,1,3,1,2,1
050,22,095,Louisiana,St. John the Baptist Paris,0,0,01,23288,23293,23282,23355,23434,23515,23411
050,22,095,Louisiana,St. John the Baptist Paris,0,0,02,19455,19455,19556,20036,20404,21013,21750
050,22,095,Louisiana,St. John the Baptist Paris,0,0,03,226,226,208,217,232,226,222
050,22,095,Louisiana,St. John the Baptist Paris,0,0,04,324,324,296,335,359,410,436
050,22,095,Louisiana,St. John the Baptist Paris,0,0,05,33,33,11,16,15,18,18
050,22,097,Louisiana,St. Landry Parish,0,0,01,50192,50192,50140,50354,50555,51048,51388
050,22,097,Louisiana,St. Landry Parish,0,0,02,37370,37370,37493,37583,37697,37862,38083
050,22,097,Louisiana,St. Landry Parish,0,0,03,333,333,357,354,375,374,393
050,22,097,Louisiana,St. Landry Parish,0,0,04,279,279,267,277,306,330,378
050,22,097,Louisiana,St. Landry Parish,0,0,05,40,40,21,15,15,19,21
050,22,099,Louisiana,St. Martin Parish,0,0,01,32350,32350,32327,32611,33032,33396,33750
050,22,099,Louisiana,St. Martin Parish,0,0,02,15736,15736,15828,15973,15985,16037,16130
050,22,099,Louisiana,St. Martin Parish,0,0,03,240,240,214,212,223,233,234
050,22,099,Louisiana,St. Martin Parish,0,0,04,501,501,480,477,486,520,556
050,22,099,Louisiana,St. Martin Parish,0,0,05,13,13,14,9,12,11,11
050,22,101,Louisiana,St. Mary Parish,0,0,01,34741,34741,34562,34111,33937,33815,33603
050,22,101,Louisiana,St. Mary Parish,0,0,02,17224,17224,17199,17088,17012,17026,17058
050,22,101,Louisiana,St. Mary Parish,0,0,03,1056,1056,1048,1083,1089,1102,1095
050,22,101,Louisiana,St. Mary Parish,0,0,04,947,947,923,934,950,904,888
050,22,101,Louisiana,St. Mary Parish,0,0,05,15,15,0,1,1,3,1
050,22,103,Louisiana,St. Tammany Parish,0,0,01,169583,169583,170345,173191,177289,181602,185968
050,22,103,Louisiana,St. Tammany Parish,0,0,02,19789,19789,20068,21009,22485,23611,25080
050,22,103,Louisiana,St. Tammany Parish,0,0,03,1760,1760,1840,1883,1975,2036,2113
050,22,103,Louisiana,St. Tammany Parish,0,0,04,1926,1926,1975,2132,2392,2598,2855
050,22,103,Louisiana,St. Tammany Parish,0,0,05,144,144,166,191,212,242,275
050,22,105,Louisiana,Tangipahoa Parish,0,0,01,71271,71271,71432,71759,72127,72881,73835
050,22,105,Louisiana,Tangipahoa Parish,0,0,02,28763,28769,28837,29282,29683,30138,30706
050,22,105,Louisiana,Tangipahoa Parish,0,0,03,566,566,529,521,531,549,548
050,22,105,Louisiana,Tangipahoa Parish,0,0,04,538,538,513,550,580,590,606
050,22,105,Louisiana,Tangipahoa Parish,0,0,05,51,51,15,14,23,13,11
050,22,107,Louisiana,Tensas Parish,0,0,01,2907,2907,2891,2843,2824,2720,2702
050,22,107,Louisiana,Tensas Parish,0,0,02,3700,3700,3679,3639,3583,3558,3459
050,22,107,Louisiana,Tensas Parish,0,0,03,27,27,15,12,16,13,16
050,22,107,Louisiana,Tensas Parish,0,0,04,21,21,18,17,16,14,19
050,22,107,Louisiana,Tensas Parish,0,0,05,3,3,2,1,0,1,2
050,22,109,Louisiana,Terrebonne Parish,0,0,01,79181,79181,79178,79422,79781,80112,80361
050,22,109,Louisiana,Terrebonne Parish,0,0,02,19006,19006,19077,19268,19335,19622,19765
050,22,109,Louisiana,Terrebonne Parish,0,0,03,6510,6510,6513,6580,6641,6624,6620
050,22,109,Louisiana,Terrebonne Parish,0,0,04,1045,1045,1033,1010,1033,1077,1091
050,22,109,Louisiana,Terrebonne Parish,0,0,05,55,55,8,11,11,12,13
050,22,111,Louisiana,Union Parish,0,0,01,16272,16272,16242,16397,16353,16538,16561
050,22,111,Louisiana,Union Parish,0,0,02,6436,6436,6426,6390,6355,6290,6223
050,22,111,Louisiana,Union Parish,0,0,03,99,99,82,84,79,72,87
050,22,111,Louisiana,Union Parish,0,0,04,76,76,67,71,69,72,73
050,22,111,Louisiana,Union Parish,0,0,05,16,16,4,4,4,3,7
050,22,113,Louisiana,Vermilion Parish,0,0,01,44968,44968,44977,45009,45112,45212,45611
