NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/12/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:   1.235 to  1.638 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 343
Relative Std Dev Filter Aerosol[%]: 0.8
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
01.38056  33.42321 127.00451   4.770  549.04  0.0022  0.1012  0.0771  0.0019   0.0597
01.37972  33.42350 127.00845   4.789  547.53  0.0038  0.1019  0.0721  0.0033   0.0594
01.37889  33.42381 127.01238   4.807  546.08  0.0014  0.1009  0.0672  0.0013   0.0587
01.37806  33.42415 127.01634   4.825  544.71  0.0004  0.1007  0.0614  0.0022   0.0579
01.37722  33.42452 127.02029   4.843  543.38  0.0002  0.1005  0.0551  0.0012   0.0571
01.37639  33.42488 127.02426   4.870  542.13  0.0003  0.1006  0.0452  0.0011   0.0562
01.37556  33.42526 127.02824   4.888  540.92  0.0003  0.1006  0.0387  0.0016   0.0554
01.37472  33.42563 127.03222   4.904  539.69  0.0003  0.1006  0.0327  0.0020   0.0545
01.37389  33.42602 127.03622   4.921  538.34  0.0003  0.1006  0.0266  0.0019   0.0537
01.37306  33.42641 127.04022   4.937  537.09  0.0003  0.1007  0.0211  0.0022   0.0529
01.37181  33.42702 127.04625   4.962  535.26  0.0003  0.1006  0.0136  0.0020   0.0515
01.37056  33.42763 127.05231   4.989  533.16  0.0003  0.1006  0.0066  0.0017   0.0500
01.36972  33.42804 127.05637   5.008  531.79  0.0004  0.1007  0.0026  0.0021   0.0490
01.36889  33.42846 127.06043   5.027  530.37  0.0003  0.1007 -0.0004  0.0020   0.0480
01.36806  33.42887 127.06450   5.045  529.06  0.0004  0.1004 -0.0026  0.0004   0.0469
01.36722  33.42929 127.06858   5.063  527.74  0.0002  0.1003 -0.0037  0.0002   0.0457
01.36639  33.42971 127.07268   5.080  526.49  0.0001  0.1001 -0.0039  0.0001   0.0446
01.36556  33.43012 127.07679   5.097  525.32  0.0036  0.1018 -0.0031  0.0036   0.0434
01.36431  33.43075 127.08297   5.122  523.43  0.0002  0.1002 -0.0009  0.0003   0.0418
01.36306  33.43139 127.08916   5.149  521.48  0.0027  0.1014  0.0021  0.0026   0.0403
01.36222  33.43182 127.09330   5.169  520.05  0.0024  0.1013  0.0043  0.0021   0.0394
