Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	173
Date	2004JUN21
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78186	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54545	[p_s^-1]
ForeOptic_temperature	16.42	[ns]
Front_temperature	16.42	[ns]
Back_temperature	22.93	[ns]
Inside_temperature	22.47	[ns]
Shelter_temperature	18.62	[ns]
PSUnit_temperature	22.03	[ns]
AirCond_temperature	9.25	[ns]
Outside_temperature	24.42	[ns]
Comments	none
Formatted_file	2004173f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
315.712	26.70438	0.0007	0.0000
315.812	26.86395	0.0007	0.0000
315.912	25.28925	0.0008	0.0000
316.012	32.69357	0.0007	0.0000
316.112	29.17574	0.0007	0.0000
316.212	36.74749	0.0006	0.0000
316.312	48.17324	0.0006	0.0000
316.412	44.56454	0.0006	0.0000
316.512	44.28606	0.0006	0.0000
316.612	43.48012	0.0006	0.0000
316.712	57.75385	0.0005	0.0000
316.812	46.11650	0.0006	0.0000
316.912	45.50182	0.0006	0.0000
317.012	56.57962	0.0005	0.0000
317.112	65.20731	0.0005	0.0000
317.212	62.10131	0.0005	0.0000
317.312	63.21279	0.0005	0.0000
317.412	60.11735	0.0005	0.0000
317.512	50.97729	0.0005	0.0000
317.612	61.52931	0.0005	0.0000
317.712	63.76984	0.0005	0.0000
317.812	46.58947	0.0006	0.0000
317.912	35.99583	0.0006	0.0000
318.012	36.97369	0.0006	0.0000
318.112	39.01404	0.0006	0.0000
318.212	39.05096	0.0006	0.0000
318.312	43.86091	0.0006	0.0000
318.412	49.41731	0.0005	0.0000
318.512	50.96517	0.0005	0.0000
318.612	58.43270	0.0005	0.0000
318.712	55.17367	0.0005	0.0000
318.812	57.73806	0.0005	0.0000
318.912	78.52453	0.0004	0.0000
319.012	71.21896	0.0005	0.0000
319.112	53.36040	0.0005	0.0000
319.212	38.53605	0.0006	0.0000
319.312	37.30342	0.0006	0.0000
319.412	51.04653	0.0005	0.0000
319.512	52.87228	0.0005	0.0000
319.612	51.95922	0.0005	0.0000
319.712	48.67821	0.0006	0.0000
319.812	70.36627	0.0005	0.0000
319.912	70.47297	0.0005	0.0000
320.012	48.40221	0.0006	0.0000
320.112	61.34709	0.0005	0.0000
320.212	64.59936	0.0005	0.0000
320.312	64.05029	0.0005	0.0000
320.412	79.95062	0.0004	0.0000
320.512	69.47374	0.0005	0.0000
320.612	76.88803	0.0004	0.0000
320.712	76.95796	0.0004	0.0000
320.812	72.34166	0.0005	0.0000
320.912	60.34293	0.0005	0.0000
321.012	57.15853	0.0005	0.0000
321.112	53.56932	0.0005	0.0000
321.212	48.51682	0.0006	0.0000
321.312	54.97377	0.0005	0.0000
321.412	43.39682	0.0006	0.0000
321.512	61.45887	0.0005	0.0000
321.612	66.24447	0.0005	0.0000
321.712	53.49390	0.0005	0.0000
321.812	74.97948	0.0004	0.0000
321.912	72.57839	0.0005	0.0000
322.012	65.79519	0.0005	0.0000
322.112	70.96765	0.0005	0.0000
322.212	47.02194	0.0006	0.0000
322.312	54.27375	0.0005	0.0000
322.412	74.34971	0.0004	0.0000
322.512	54.86924	0.0005	0.0000
