sumlev,State,County,Stname,Ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
050,34,023,New Jersey,Middlesex County,3,753064,369803,383261,49388,25406,23982,90990,46769,44221,37790,19759,18031,71645,36026,35619,593746,287906,305840,574896,277869,297027,346296,175470,170826,164050,79819,84231,92789,37473,55316,9550,2839,6711,35.7,34.6,36.9
050,34,023,New Jersey,Middlesex County,4,762101,374592,387509,50052,25713,24339,92372,47540,44832,38220,19742,18478,72210,36587,35623,600488,291554,308934,581457,281597,299860,347786,176482,171304,169435,82486,86949,92951,37524,55427,10081,2998,7083,36.0,34.8,37.1
050,34,023,New Jersey,Middlesex County,5,770069,378814,391255,50824,25985,24839,92647,47762,44885,39204,20150,19054,72026,36480,35546,606973,295035,311938,587394,284917,302477,348124,176803,171321,175424,85536,89888,93022,37593,55429,10882,3371,7511,36.2,35.0,37.3
050,34,023,New Jersey,Middlesex County,6,777672,382927,394745,51896,26559,25337,93360,48071,45289,40137,20623,19514,71778,36260,35518,612049,297832,314217,592279,287674,304605,348260,177067,171193,180654,88239,92415,93294,37727,55567,11723,3746,7977,36.3,35.1,37.5
050,34,023,New Jersey,Middlesex County,7,785095,386901,398194,53430,27310,26120,93365,48069,45296,41480,21342,20138,71221,35979,35242,617050,300595,316455,596820,290180,306640,348018,177251,170767,185836,90715,95121,93552,37969,55583,12453,4002,8451,36.4,35.3,37.6
050,34,025,New Jersey,Monmouth County,1,615301,298839,316462,42231,21696,20535,84593,43184,41409,33518,17277,16241,42573,22338,20235,471397,225258,246139,454959,216682,238277,254395,126182,128213,148474,72687,75787,76923,30622,46301,9814,2710,7104,37.7,36.6,38.8
050,34,025,New Jersey,Monmouth County,2,615301,298839,316462,42231,21696,20535,84593,43184,41409,33518,17277,16241,42573,22338,20235,471397,225258,246139,454959,216682,238277,254395,126182,128213,148474,72687,75787,76923,30622,46301,9814,2710,7104,37.7,36.6,38.8
050,34,025,New Jersey,Monmouth County,3,617277,299881,317396,42159,21661,20498,84886,43333,41553,33718,17372,16346,42898,22540,20358,472978,226104,246874,456514,217515,238999,254737,126413,128324,149672,73288,76384,77108,30709,46399,9952,2762,7190,37.8,36.6,38.8
050,34,025,New Jersey,Monmouth County,4,622724,302818,319906,41268,21251,20017,85425,43636,41789,34636,17671,16965,45448,23915,21533,478203,228852,249351,461395,220260,241135,254381,126460,127921,155075,75840,79235,77508,31052,46456,10236,2879,7357,38.1,37.0,39.2
050,34,025,New Jersey,Monmouth County,5,628437,305843,322594,40585,20838,19747,84852,43436,41416,35978,18327,17651,47584,24952,22632,484433,232128,252305,467022,223242,243780,254284,126550,127734,161108,78732,82376,78123,31432,46691,10701,3071,7630,38.5,37.3,39.6
050,34,025,New Jersey,Monmouth County,6,633257,308475,324782,40262,20668,19594,84228,43074,41154,37338,19150,18188,49969,26094,23875,489364,234739,254625,471429,225583,245846,253593,126552,127041,166548,81250,85298,78764,31819,46945,10994,3177,7817,38.8,37.5,39.9
050,34,025,New Jersey,Monmouth County,7,636298,310210,326088,40192,20530,19662,83133,42569,40564,38634,19804,18830,52246,27248,24998,492980,236807,256173,474339,227307,247032,251786,125914,125872,171694,83702,87992,79410,32326,47084,11394,3351,8043,39.1,37.7,40.2
050,34,027,New Jersey,Morris County,1,470212,230039,240173,32906,16855,16051,60554,31205,29349,23378,11979,11399,29896,15334,14562,364736,175773,188963,353374,170000,183374,197323,98422,98901,118794,57735,61059,54530,22663,31867,6652,1838,4814,37.8,36.9,38.7
050,34,027,New Jersey,Morris County,2,470212,230039,240173,32906,16855,16051,60554,31205,29349,23378,11979,11399,29896,15334,14562,364736,175773,188963,353374,170000,183374,197323,98422,98901,118794,57735,61059,54530,22663,31867,6652,1838,4814,37.8,36.9,38.7
050,34,027,New Jersey,Morris County,3,471470,230706,240764,32788,16794,15994,60676,31274,29402,23487,12034,11453,30072,15445,14627,365885,176380,189505,354519,170604,183915,197444,98538,98906,119656,58164,61492,54786,22774,32012,6756,1872,4884,37.9,37.0,38.8
050,34,027,New Jersey,Morris County,4,474213,232280,241933,32346,16574,15772,61597,31753,29844,24048,12325,11723,30919,15868,15051,367854,177559,190295,356222,171628,184594,195408,97671,97737,123004,59739,63265,55592,23324,32268,6787,1914,4873,38.3,37.4,39.2
