
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 06-612 26 Jul 2006  CCVEX"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 03 03 16  0 0.059405 0.0000  0.628  0.648  0.679  0.1000 1576.93
 14 14 16  0 0.003326 0.0000  1.803  1.828  1.852  0.0100  157.40
 30 30 16  1 0.945000 0.0000  3.679  3.750  3.809  0.0010   11.76
 45 45 16  1 0.957000 0.0000 10.807 11.063 11.331  0.0100    0.16

 Record ScanLine -2006207-  INU_Lat    INU_Lon    Roll   Rad_03  Rad_14  Tmp_30  Tmp_45
 000182 00022313 14.620897 +34.74701 -113.16451  -0.484  49.844  1.1275  264.05  264.81
 000183 00022333 14.621789 +34.74684 -113.15575  -0.264  53.199  1.5366  307.48  263.00
 000184 00022353 14.622684 +34.74667 -113.14940  -0.418  64.762  2.0255  256.19  255.38
 000185 00022373 14.623578 +34.74649 -113.14304  -0.374  71.771  2.3515  255.33  257.20
 000186 00022393 14.624470 +34.74649 -113.13686  -0.374  74.707  2.6774  250.04  253.96
 000187 00022413 14.625364 +34.74632 -113.13052  -0.330  85.969  2.9901  241.24  246.29
 000188 00022433 14.626256 +34.74615 -113.12210  -0.352  86.389  2.9136  232.89  245.63
 000189 00022453 14.627148 +34.74598 -113.11558  -0.352  79.260  2.6076  239.54  247.38
 000190 00022473 14.628041 +34.74598 -113.10923  -0.484  72.550  2.4080  248.21  247.21
 000191 00022493 14.628936 +34.74581 -113.10287  -0.550  73.329  2.1985   -0.41  245.62
 000192 00022513 14.629827 +34.74564 -113.09635  -0.462  77.882  2.4513   -0.41  243.09
 000193 00022533 14.630722 +34.74546 -113.08760  -0.286  96.753  4.1675  187.11  238.50
 000194 00022553 14.631614 +34.74529 -113.08108  -0.440  98.311  4.2240   -0.41  239.51
 000195 00022573 14.632508 +34.74512 -113.07472  -0.330  88.186  3.4091   -0.41  237.01
 000196 00022593 14.633400 +34.74512 -113.06837  -0.418  81.896  2.8005   -0.41  237.37
 000197 00022613 14.634295 +34.74495 -113.06185  -0.330  91.541  3.4291   -0.41  233.89
 000198 00022633 14.635186 +34.74478 -113.05309  -0.440  110.11  4.5866   -0.41  231.33
 000199 00022653 14.636081 +34.74461 -113.04675  -0.330  132.64  5.8039   -0.41  229.82
 000200 00022673 14.636972 +34.74443 -113.04039  -0.352  156.36  6.8615   -0.41  229.68
 000201 00022693 14.637867 +34.74426 -113.03387  -0.462  186.80  8.6409  288.34  230.35
 000202 00022713 14.638759 +34.74409 -113.02546  -0.330  180.69  7.2041   -0.41  232.22
 000203 00022733 14.639653 +34.74409 -113.01894  -0.462  204.89  8.7906   -0.41  231.87
 000204 00022753 14.640547 +34.74392 -113.01258  -0.352  209.02  8.9702   -0.41  233.75
 000205 00022773 14.641441 +34.74375 -113.00623  -0.374  185.24  7.4369  189.17  235.58
 000206 00022793 14.642333 +34.74358 -112.99971  -0.484  156.48  5.7972   -0.41  236.93
 000207 00022813 14.643228 +34.74340 -112.99147  -0.286  134.38  4.7196   -0.41  238.38
 000208 00022833 14.644119 +34.74323 -112.98495  -0.418  119.64  4.1475   -0.41  237.95
 000209 00022853 14.645014 +34.74323 -112.97859  -0.308  108.14  3.6686   -0.41  238.75
 000210 00022873 14.645905 +34.74306 -112.97173  -0.418  97.412  3.1165   -0.41  239.68
 000211 00022893 14.646800 +34.74289 -112.96314  -0.418  97.592  3.3160   -0.41  239.01
 000212 00022913 14.647695 +34.74272 -112.95662  -0.374  97.771  3.4590   -0.41  235.96
 000213 00022933 14.648589 +34.74255 -112.95010  -0.462  93.398  3.2562   -0.41  236.38
 000214 00022953 14.649481 +34.74237 -112.94375  -0.352  91.661  3.2794   -0.41  238.28
 000215 00022973 14.650375 +34.74220 -112.93723  -0.484  95.315  3.6220   -0.41  236.89
 000216 00022993 14.651267 +34.74203 -112.92864  -0.286  96.453  3.6686   -0.41  234.71
 000217 00023013 14.652161 +34.74203 -112.92229  -0.396  99.089  3.6885   -0.41  236.73
 000218 00023033 14.653052 +34.74186 -112.91594  -0.418  103.88  3.9313   -0.41  236.10
 000219 00023053 14.653947 +34.74169 -112.90942  -0.440  110.65  4.2240  313.15  233.23
 000220 00023073 14.654839 +34.74152 -112.90255  -0.308  123.53  5.0422   -0.41  232.17
 000221 00023093 14.655733 +34.74134 -112.89397  -0.374  128.38  5.0622   -0.41  233.64
 000222 00023113 14.656628 +34.74117 -112.88761  -0.396  130.78  4.8094   -0.41  231.58
 000223 00023133 14.657519 +34.74100 -112.88109  -0.308  144.86  5.3914   -0.41  231.37
 000224 00023153 14.658414 +34.74083 -112.87457  -0.308  175.23  7.6864   -0.41  230.41
 000225 00023173 14.659306 +34.74066 -112.86598  -0.418  172.18  7.1376   -0.41  231.50
 000226 00023193 14.660200 +34.74049 -112.85946  -0.462  165.95  6.6720   -0.41  234.02
 000227 00023213 14.661092 +34.74049 -112.85328  -0.308  155.46  5.7706  182.15  234.99
 000228 00023233 14.661983 +34.74031 -112.84676  -0.440  146.90  5.0988   -0.41  232.38
 000229 00023253 14.662878 +34.74014 -112.84023  -0.462  139.89  4.5699   -0.41  236.77
 000230 00023273 14.663773 +34.73997 -112.83114  -0.308  136.29  4.3471   -0.41  238.28
 000231 00023293 14.664667 +34.73980 -112.82462  -0.418  137.25  4.5433   -0.41  235.57
 000232 00023313 14.665558 +34.73963 -112.81809  -0.440  138.03  4.6996   -0.41  233.98
 000233 00023333 14.666450 +34.73946 -112.81157  -0.308  137.19  4.7229   -0.41  234.74
 000234 00023353 14.667344 +34.73928 -112.80315  -0.440  135.39  4.6897   -0.41  234.49
 000235 00023373 14.668239 +34.73911 -112.79663  -0.286  134.08  4.6863   -0.41  235.55
 000236 00023393 14.669130 +34.73894 -112.79011  -0.484  133.12  4.7163   -0.41  236.25
 000237 00023413 14.670025 +34.73877 -112.78324  -0.286  129.70  4.5101  288.22  235.10
 000238 00023433 14.670917 +34.73860 -112.77672  -0.286  128.38  4.5234   -0.41  234.91
 000239 00023453 14.671811 +34.73843 -112.76797  -0.440  129.52  4.7163   -0.41  231.79
 000240 00023473 14.672703 +34.73825 -112.76144  -0.352  130.54  4.8693   -0.41  234.95
 000241 00023493 14.673597 +34.73825 -112.75492  -0.308  131.56  4.9757   -0.41  238.53
 000242 00023513 14.674489 +34.73808 -112.74840  -0.330  132.52  5.0223   -0.41  235.82
 000243 00023533 14.675384 +34.73791 -112.74187  -0.462  132.46  4.8959   -0.41  230.98
 000244 00023553 14.676275 +34.73774 -112.73346  -0.264  134.86  4.9690   -0.41  234.84
 000245 00023573 14.677170 +34.73757 -112.72694  -0.440  137.91  5.1121   -0.41  231.93
 000246 00023593 14.678061 +34.73740 -112.72059  -0.264  140.97  5.2850   -0.41  230.11
 000247 00023613 14.678956 +34.73722 -112.71407  -0.418  144.56  5.5677   -0.41  231.95
 000248 00023633 14.679847 +34.73705 -112.70754  -0.330  144.68  5.5644   -0.41  234.35
 000249 00023653 14.680741 +34.73688 -112.69896  -0.396  143.06  5.4746   -0.41  233.06
 000250 00023673 14.681636 +34.73671 -112.69260  -0.440  138.63  5.1819   -0.41  234.40
 000251 00023693 14.682533 +34.73654 -112.68608  -0.264  132.16  4.7063   -0.41  231.70
 000252 00023713 14.683425 +34.73637 -112.67956  -0.352  128.68  4.5566   -0.41  230.91
 000253 00023733 14.684319 +34.73619 -112.67097  -0.418  126.05  4.4003   -0.41  234.47
 000254 00023753 14.685211 +34.73602 -112.66463  -0.330  126.17  4.5134   -0.41  231.61
