NuoscProb: ctrls: 0
prob-load: unknown option -g.
optitr.index=1
using cp phase: 0
prob-load: unknown option --lin.
optitr.index=15
prob-load: unknown option -o.
optitr.index=19
prob-load: unknown option --.
optitr.index=19
prob-load: unknown option -g.
prob-load: unknown option -o.
prob-load: unknown option --.
prob-load: unknown option -o.
prob-load: unknown option --.
prob: ctrls: 0
2.75e+09 0.0327653 0.0455672 0.921668
2.76e+09 0.032753 0.0387892 0.928458
2.77e+09 0.0328763 0.046113 0.921011
2.78e+09 0.0328168 0.0356534 0.93153
2.79e+09 0.0328938 0.0376554 0.929451
2.8e+09 0.032874 0.0321816 0.934944
2.81e+09 0.0328966 0.0309405 0.936163
2.82e+09 0.0329231 0.0296606 0.937416
2.83e+09 0.0329306 0.0271061 0.939963
2.84e+09 0.0328626 0.0212832 0.945854
2.85e+09 0.0328503 0.0191424 0.948007
2.86e+09 0.0328601 0.0177748 0.949365
2.87e+09 0.0328738 0.0166378 0.950488
2.88e+09 0.0328273 0.01395 0.953223
2.89e+09 0.0329025 0.0149052 0.952192
2.9e+09 0.032837 0.0119899 0.955173
2.91e+09 0.0327617 0.00943069 0.957808
2.92e+09 0.0328783 0.0109058 0.956216
2.93e+09 0.0326693 0.0064335 0.960897
2.94e+09 0.0328758 0.00914523 0.957979
2.95e+09 0.032831 0.00760479 0.959564
2.96e+09 0.0327444 0.00574597 0.96151
2.97e+09 0.0328876 0.00717666 0.959936
2.98e+09 0.0328507 0.00610233 0.961047
2.99e+09 0.0328035 0.00490516 0.962291
3e+09 0.0327026 0.00348902 0.963808
3.01e+09 0.0326555 0.0027424 0.964602
3.02e+09 0.0326189 0.00220262 0.965178
3.03e+09 0.0327124 0.00254327 0.964744
3.04e+09 0.0326874 0.00209477 0.965218
3.05e+09 0.0325856 0.0013179 0.966096
3.06e+09 0.0325293 0.000915148 0.966556
3.07e+09 0.0324248 0.000521927 0.967053
3.08e+09 0.0326134 0.000940423 0.966446
3.09e+09 0.0326452 0.000936425 0.966418
3.1e+09 0.0324434 0.000371412 0.967185
3.11e+09 0.0324129 0.000308073 0.967279
3.12e+09 0.0324432 0.000308046 0.967249
3.13e+09 0.0324001 0.000291856 0.967308
3.14e+09 0.0324456 0.000292334 0.967262
3.15e+09 0.0321967 0.000626751 0.967177
3.16e+09 0.0319484 0.00159841 0.966453
3.17e+09 0.0321032 0.0011107 0.966786
3.18e+09 0.0318189 0.00252897 0.965652
3.19e+09 0.0320283 0.00166078 0.966311
3.2e+09 0.0317685 0.00315827 0.965073
3.21e+09 0.0318785 0.00273268 0.965389
3.22e+09 0.0317798 0.00348618 0.964734
3.23e+09 0.031801 0.00353008 0.964669
3.24e+09 0.0317844 0.0038346 0.964381
3.25e+09 0.0318021 0.00394059 0.964257
3.26e+09 0.031652 0.00521127 0.963137
3.27e+09 0.0317224 0.00494906 0.963329
3.28e+09 0.0315381 0.00660157 0.96186
3.29e+09 0.0311218 0.0106857 0.958192
3.3e+09 0.0312411 0.00977742 0.958982
3.31e+09 0.0312257 0.0101886 0.958586
3.32e+09 0.0313074 0.0097217 0.958971
3.33e+09 0.031029 0.0127728 0.956198
3.34e+09 0.0306587 0.0173627 0.951979
3.35e+09 0.0307092 0.0170751 0.952216
3.36e+09 0.0307641 0.0166865 0.952549
3.37e+09 0.0308707 0.0158081 0.953321
3.38e+09 0.030772 0.0172803 0.951948
3.39e+09 0.0306181 0.0194477 0.949934
3.4e+09 0.0308127 0.0174261 0.951761
3.41e+09 0.0306586 0.0196222 0.949719
3.42e+09 0.0303799 0.0235232 0.946097
3.43e+09 0.0307675 0.0189068 0.950326
3.44e+09 0.0304171 0.0236325 0.94595
3.45e+09 0.0302922 0.0256846 0.944023
3.46e+09 0.0301254 0.0283403 0.941534
3.47e+09 0.0302236 0.0273464 0.94243
3.48e+09 0.030404 0.0251713 0.944425
3.49e+09 0.030284 0.0271921 0.942524
3.5e+09 0.0301504 0.0293994 0.94045
3.51e+09 0.030088 0.0306972 0.939215
3.52e+09 0.0302759 0.0283399 0.941384
3.53e+09 0.0296825 0.0374259 0.932892
3.54e+09 0.0296456 0.0383363 0.932018
3.55e+09 0.0295611 0.0401409 0.930298
3.56e+09 0.0290782 0.0484062 0.922516
3.57e+09 0.0291142 0.0482037 0.922682
3.58e+09 0.0291319 0.0482366 0.922632
3.59e+09 0.029059 0.0498114 0.92113
3.6e+09 0.0290222 0.0507652 0.920213
3.61e+09 0.0289586 0.0522593 0.918782
3.62e+09 0.0289315 0.0530502 0.918018
3.63e+09 0.0290087 0.0521185 0.918873
3.64e+09 0.0287484 0.0570434 0.914208
3.65e+09 0.0281885 0.0675755 0.904236
3.66e+09 0.0281545 0.0685505 0.903295
3.67e+09 0.0284784 0.0628825 0.908639
3.68e+09 0.0284064 0.0645722 0.907021
3.69e+09 0.0282463 0.0678721 0.903882
3.7e+09 0.0283936 0.0654834 0.906123
3.71e+09 0.0280825 0.0716194 0.900298
3.72e+09 0.028272 0.0684477 0.90328
3.73e+09 0.0283789 0.0667706 0.904851
3.74e+09 0.0278747 0.0766434 0.895482
3.75e+09 0.0281314 0.072096 0.899773
3.76e+09 0.0276418 0.0818351 0.890523
3.77e+09 0.0277084 0.0808983 0.891393
3.78e+09 0.027674 0.081918 0.890408
3.79e+09 0.0276948 0.0818389 0.890466
3.8e+09 0.0274833 0.0864514 0.886065
3.81e+09 0.0272628 0.0911653 0.881572
3.82e+09 0.0273322 0.0900398 0.882628
3.83e+09 0.0273639 0.0897205 0.882916
3.84e+09 0.0269357 0.0988897 0.874175
3.85e+09 0.0270558 0.0967641 0.87618
3.86e+09 0.0268654 0.100989 0.872145
3.87e+09 0.0267659 0.103419 0.869815
3.88e+09 0.0270831 0.0971401 0.875777
3.89e+09 0.0270881 0.0972866 0.875625
3.9e+09 0.0267394 0.104848 0.868412
3.91e+09 0.0269106 0.101596 0.871493
3.92e+09 0.0269988 0.100143 0.872858
3.93e+09 0.0266325 0.108129 0.865239
3.94e+09 0.026302 0.115544 0.858154
3.95e+09 0.0264373 0.112928 0.860635
3.96e+09 0.0265661 0.11042 0.863014
3.97e+09 0.026187 0.118912 0.854901
3.98e+09 0.0263913 0.114798 0.85881
3.99e+09 0.0258001 0.128022 0.846178
4e+09 0.026282 0.117822 0.855896
4.01e+09 0.0262637 0.118452 0.855284
4.02e+09 0.0259744 0.1251 0.848926
4.03e+09 0.0254204 0.137886 0.836693
4.04e+09 0.0256828 0.132164 0.842153
4.05e+09 0.0259606 0.126275 0.847764
4.06e+09 0.0252135 0.14356 0.831227
4.07e+09 0.0254473 0.138508 0.836045
4.08e+09 0.0248484 0.152535 0.822617
4.09e+09 0.0252981 0.14246 0.832242
4.1e+09 0.0248304 0.153583 0.821586
4.11e+09 0.0245167 0.161225 0.814258
4.12e+09 0.0250631 0.148772 0.826165
4.13e+09 0.0246517 0.158525 0.816824
4.14e+09 0.0245216 0.161915 0.813564
4.15e+09 0.0247271 0.157342 0.81793
4.16e+09 0.0245959 0.16075 0.814654
4.17e+09 0.0243728 0.166327 0.809301
4.18e+09 0.0243768 0.166404 0.809219
4.19e+09 0.0239323 0.177408 0.79866
4.2e+09 0.0238374 0.180002 0.79616
4.21e+09 0.0241179 0.173434 0.802448
4.22e+09 0.0242157 0.171337 0.804448
4.23e+09 0.0239685 0.177576 0.798456
4.24e+09 0.0239541 0.178167 0.797879
4.25e+09 0.0235859 0.187466 0.788949
4.26e+09 0.023809 0.182241 0.79395
4.27e+09 0.0241461 0.174296 0.801558
4.28e+09 0.023498 0.190348 0.786154
4.29e+09 0.0237258 0.185098 0.791177
4.3e+09 0.0236358 0.187447 0.788917
4.31e+09 0.0233345 0.195089 0.781577
4.32e+09 0.0236941 0.186526 0.78978
4.33e+09 0.0232167 0.198605 0.778178
4.34e+09 0.0231924 0.199438 0.77737
4.35e+09 0.0236299 0.188789 0.787581
4.36e+09 0.0229422 0.206094 0.770964
4.37e+09 0.0228169 0.209519 0.767664
4.38e+09 0.0233358 0.196692 0.779972
4.39e+09 0.0227464 0.211791 0.765463
4.4e+09 0.0227505 0.211968 0.765282
4.41e+09 0.0226837 0.213834 0.763483
4.42e+09 0.0229288 0.207797 0.769275
4.43e+09 0.0226099 0.216232 0.761158
4.44e+09 0.0225185 0.218732 0.75875
4.45e+09 0.0227478 0.213122 0.76413
4.46e+09 0.0223588 0.223239 0.754402
4.47e+09 0.0225004 0.219948 0.757551
4.48e+09 0.0218357 0.237258 0.740907
4.49e+09 0.0219739 0.233869 0.744157
4.5e+09 0.0221717 0.22902 0.748808
4.51e+09 0.0222032 0.228316 0.74948
4.52e+09 0.0221385 0.230243 0.747619
4.53e+09 0.0223104 0.226046 0.751644
4.54e+09 0.0220265 0.233535 0.744438
4.55e+09 0.0222058 0.229065 0.748729
4.56e+09 0.0220866 0.232466 0.745447
4.57e+09 0.0216252 0.244597 0.733778
4.58e+09 0.0218078 0.240019 0.738174
4.59e+09 0.0216867 0.243421 0.734893
4.6e+09 0.0218978 0.238149 0.739953
4.61e+09 0.0216935 0.24363 0.734677
4.62e+09 0.0217131 0.243329 0.734958
4.63e+09 0.0218054 0.241144 0.73705
4.64e+09 0.0215133 0.248945 0.729541
4.65e+09 0.0210881 0.260399 0.718512
4.66e+09 0.0210064 0.262776 0.716218
4.67e+09 0.0208223 0.267912 0.711266
4.68e+09 0.0207706 0.269523 0.709707
4.69e+09 0.0210682 0.261775 0.717157
4.7e+09 0.0209443 0.265202 0.713854
4.71e+09 0.0212 0.25857 0.72023
4.72e+09 0.0208468 0.268212 0.710941
4.73e+09 0.0206711 0.2731 0.706229
4.74e+09 0.0200036 0.291633 0.688363
4.75e+09 0.0201315 0.288262 0.691607
4.76e+09 0.0201828 0.287015 0.692802
4.77e+09 0.0203478 0.282759 0.696893
4.78e+09 0.0197651 0.298887 0.681348
4.79e+09 0.0199289 0.294504 0.685567
4.8e+09 0.020049 0.291402 0.688549
4.81e+09 0.0196126 0.303661 0.676726
4.82e+09 0.0192477 0.314088 0.666664
4.83e+09 0.0194084 0.309741 0.670851
4.84e+09 0.0195426 0.306075 0.674382
4.85e+09 0.0195081 0.307208 0.673284
4.86e+09 0.0193468 0.31189 0.668763
4.87e+09 0.0197366 0.301216 0.679048
4.88e+09 0.0189897 0.322296 0.658714
4.89e+09 0.0198394 0.298687 0.681474
4.9e+09 0.0189133 0.324738 0.656349
4.91e+09 0.0190473 0.321095 0.659858
4.92e+09 0.0189404 0.324258 0.656801
4.93e+09 0.0189559 0.323964 0.65708
4.94e+09 0.0188071 0.328399 0.652794
4.95e+09 0.0190686 0.321092 0.659839
4.96e+09 0.0193588 0.313056 0.667585
4.97e+09 0.0190114 0.322978 0.65801
4.98e+09 0.0190394 0.322411 0.65855
4.99e+09 0.0183841 0.34124 0.640376
5e+09 0.0189005 0.326573 0.654526
5.01e+09 0.0188688 0.327614 0.653517
5.02e+09 0.0187042 0.332443 0.648852
5.03e+09 0.0184407 0.340085 0.641474
