
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 05-922  20 Jun 2005  TCSP"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 07 07 16  0 0.054580 0.0000  0.843  0.864  0.884  0.1000  980.98
 15 15 16  0 0.003276 0.0000  1.853  1.878  1.902  0.0100  140.08
 30 30 16  1 0.945000 0.0000  3.671  3.740  3.800  0.0010   11.86
 45 45 16  1 0.957000 0.0000 10.774 11.003 11.274  0.0100    0.16

 Record ScanLine -2005171-  INU_Lat    INU_Lon    Roll   Rad_07  Rad_15  Tmp_30  Tmp_45
 000175 00023585 18.285767 +39.47113 -119.59751 +20.064 0.00000 0.00000   error   error
 000176 00023605 18.286661 +39.47697 -119.59682 +19.866 0.00000 0.00000   error   error
 000177 00023625 18.287556 +39.48280 -119.59597 +19.866 0.00000 0.00000   error   error
 000178 00023645 18.288450 +39.48864 -119.59460 +20.042 0.00000 0.00000   error   error
 000179 00023665 18.289345 +39.49619 -119.59236 +19.954 0.00000 0.00000   error   error
 000180 00023685 18.290239 +39.50186 -119.59030 +19.910 0.00000 0.00000   error   error
 000181 00023705 18.291134 +39.50752 -119.58773 +19.998 0.00000 0.00000   error   error
 000182 00023725 18.292028 +39.51284 -119.58498 +19.910 0.00000 0.00000   error   error
 000183 00023745 18.292923 +39.51988 -119.58052 +19.866 0.00000 0.00000   error   error
 000184 00023765 18.293818 +39.52503 -119.57691 +19.976 0.00000 0.00000   error   error
 000185 00023785 18.294710 +39.53001 -119.57297 +19.866 0.00000 0.00000   error   error
 000186 00023805 18.295605 +39.53482 -119.56867 +19.976 0.00000 0.00000   error   error
 000187 00023825 18.296499 +39.53928 -119.56404 +19.976 0.00000 0.00000   error   error
 000188 00023845 18.297394 +39.54512 -119.55752 +19.888 0.00000 0.00000   error   error
 000189 00023865 18.298292 +39.54924 -119.55237 +19.998 0.00000 0.00000   error   error
 000190 00023885 18.299183 +39.55318 -119.54704 +17.006 0.00000 0.00000   error   error
 000191 00023905 18.300077 +39.55696 -119.54138 +14.168 0.00000 0.00000   error   error
 000192 00023925 18.300972 +39.56160 -119.53349 +11.770 0.00000 0.00000   error   error
 000193 00023945 18.301867 +39.56503 -119.52747  +9.922 0.00000 0.00000   error   error
 000194 00023965 18.302761 +39.56829 -119.52129  +8.514 0.00000 0.00000   error   error
 000195 00023985 18.303656 +39.57138 -119.51511  +7.260 0.00000 0.00000   error   error
 000196 00024005 18.304550 +39.57430 -119.50893  +6.380 0.00000 0.00000   error   error
 000197 00024025 18.305445 +39.57825 -119.50035  +5.544 0.00000 0.00000   error   error
 000198 00024045 18.306341 +39.58099 -119.49400  +4.686 0.00000 0.00000   error   error
 000199 00024065 18.307236 +39.58374 -119.48765  +4.048 0.00000 0.00000   error   error
 000200 00024085 18.308130 +39.58649 -119.48112  +3.520 0.00000 0.00000   error   error
 000201 00024105 18.309023 +39.58992 -119.47237  +2.882 0.00000 0.00000   error   error
 000202 00024125 18.309917 +39.59249 -119.46585  +2.618 0.00000 0.00000   error   error
 000203 00024145 18.310812 +39.59507 -119.46036  +2.134 0.00000 0.00000   error   error
