Easter Island (Chile)         ID: 644   Lat: -27.12  Lon: -109.37  Alt:    0
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50611.7 1997 163 63730  18 -26.96 -109.27  20 100 55.12 231.4   7.4   0.70   -3
50612.7 1997 164 62126  31 -27.17 -109.34   6 100 58.38 229.5  74.6  -0.30    1
50613.8 1997 165 66520   2 -27.08 -109.88  51 100 51.86 237.5  81.8   0.10   -1
50614.8 1997 166 64903   8 -27.07 -109.09  28 100 53.57 262.9   7.5   0.10   -4
50615.7 1997 167 63292  22 -27.14 -109.23  14 100 56.27 242.2   8.7   0.20   -5
50616.7 1997 168 61688  33 -27.25 -109.24  19 100 59.54 236.2  49.0   0.70    0
50617.8 1997 169 66075   3 -26.97 -109.45  18 100 52.29 241.2  43.9   0.40   -2
50618.7 1997 170 64465  12 -27.20 -109.61  25 100 54.67 248.8  19.7   0.10   -3
50619.7 1997 171 62854  26 -27.23 -109.34  13 100 57.36 243.1  20.8   0.60   -2
50620.7 1997 172 61250  35 -27.16 -109.64  27 100 60.79 239.7   3.9   0.80   -4
50621.8 1997 173 65637   5 -27.21 -109.83  47 100 53.19 260.1  11.1   0.40   -5
50622.7 1997 174 64020  15 -27.08 -109.19  18 100 55.17 268.9  21.0   0.70   -1
50623.7 1997 175 62416  29 -27.34 -109.25  27 100 58.32 257.9  30.4   1.00   -2
50624.7 1997 176 60811  36 -27.22 -109.31  13 100 61.70 264.3  38.4   0.80   -3
50625.8 1997 177 65193   7 -27.07 -109.62  25 100 53.55 267.6  18.4   0.60   -1
50626.7 1997 178 63582  20 -27.19 -109.59  23 100 56.16 265.6   8.1   0.10   -2
50627.7 1997 179 61972  32 -27.03 -109.49  16 100 59.07 267.0  10.0   0.70   -1
50628.8 1997 180 66366   2 -27.06 -109.25  14 100 51.96 270.9  17.4   0.40   -4
