Time	Date	StoreData	FitResults1	FitResults2	Integral
36.49999166666669	2/23/2009 18:14:24	0	32.23150114043618	22.204	11346.323	
36.66665833333335	2/23/2009 18:24:24	0	32.062191941343904	22.008	11365.611	
36.833325000000016	2/23/2009 18:34:24	0	31.89422987064847	21.813	11384.798	
36.99999166666668	2/23/2009 18:44:24	0	31.72759987194342	21.62	11403.884	
37.166658333333345	2/23/2009 18:54:24	0	31.562287110384794	21.428	11422.871	
37.33332500000001	2/23/2009 19:4:24	0	31.398276968606517	21.238	11441.76	
37.49999166666667	2/23/2009 19:14:24	0	31.235555042726745	21.05	11460.55	
37.66665833333334	2/23/2009 19:24:24	0	31.07410713844271	20.864	11479.243	
37.833325	2/23/2009 19:34:24	0	30.913919267211735	20.68	11497.839	
37.999991666666666	2/23/2009 19:44:24	0	30.754977642516256	20.497	11516.34	
38.16665833333333	2/23/2009 19:54:24	0	30.597268676210806	20.315	11534.745	
38.333324999999995	2/23/2009 20:4:24	0	30.440778974948476	20.136	11553.057	
38.49999166666666	2/23/2009 20:14:24	0	30.285495336685223	19.958	11571.275	
38.666658333333324	2/23/2009 20:24:24	0	30.131404747259932	19.781	11589.4	
38.83332499999999	2/23/2009 20:34:24	0	29.97849437704799	19.606	11607.433	
38.99999166666665	2/23/2009 20:44:24	0	29.826751577687034	19.433	11625.374	
39.16665833333332	2/23/2009 20:54:24	0	29.67616387887265	19.261	11643.225	
39.33332499999998	2/23/2009 21:4:24	0	29.526718985222356	19.091	11660.986	
39.499991666666645	2/23/2009 21:14:24	0	29.37840477320639	18.922	11678.658	
39.66665833333331	2/23/2009 21:24:24	0	29.231209288143322	18.755	11696.24	
39.833324999999974	2/23/2009 21:34:24	0	29.085120741258923	18.59	11713.735	
39.99999166666664	2/23/2009 21:44:24	0	28.940127506807038	18.425	11731.143	
40.1666583333333	2/23/2009 21:54:24	0	28.79621811925057	18.263	11748.464	
40.33332499999997	2/23/2009 22:4:24	0	28.653381270501235	18.101	11765.699	
40.49999166666663	2/23/2009 22:14:24	0	28.511605807216664	17.942	11782.848	
40.666658333333295	2/23/2009 22:24:24	0	28.370880728153605	17.783	11799.913	
40.83332499999996	2/23/2009 22:34:24	0	28.231195181575366	17.626	11816.894	
40.999991666666624	2/23/2009 22:44:24	0	28.09253846271293	17.471	11833.791	
41.16665833333329	2/23/2009 22:54:24	0	27.954900011277672	17.316	11850.605	
41.33332499999995	2/23/2009 23:4:24	0	27.818269409025113	17.164	11867.337	
41.49999166666662	2/23/2009 23:14:24	0	27.68263637736791	17.012	11883.987	
41.66665833333328	2/23/2009 23:24:24	0	27.547990775037512	16.862	11900.556	
41.833324999999945	2/23/2009 23:34:24	0	27.414322595792648	16.713	11917.045	
41.99999166666661	2/23/2009 23:44:24	0	27.28162196617414	16.566	11933.454	
42.166658333333274	2/23/2009 23:54:24	0	27.14987914330461	16.42	11949.783	
42.33332499999994	2/24/2009 0:4:24	0	27.019084512732174	16.275	11966.034	
42.4999916666666	2/24/2009 0:14:24	0	26.88922858631684	16.131	11982.206	
42.66665833333327	2/24/2009 0:24:24	0	26.760302000159108	15.989	11998.301	
42.83332499999993	2/24/2009 0:34:24	0	26.632295512569257	15.848	12014.319	
42.999991666666595	2/24/2009 0:44:24	0	26.505200002076684	15.708	12030.26	
