
 Processing inputs for a 4 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "4 MASTER Configuration for 07-927  05 Aug 2007  TC4 Deployment"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 05 05 16  0 0.068890 0.0000  0.633  0.656  0.692  0.1000 1546.61
 17 17 16  0 0.003870 0.0000  1.855  1.876  1.900  0.0100  140.11
 30 30 16  1 0.956340 0.0000  3.659  3.740  3.804  0.0060   11.90
 48 48 16  1 0.966670 0.0000 11.027 11.304 11.724  0.0100    0.15

 Record ScanLine -2007217-  INU_Lat    INU_Lon    Roll   Rad_05  Rad_17  Tmp_30  Tmp_48
 000185 00017368 13.524364  +8.37776  -81.50053  -0.434  100.58  1.2345  291.61  266.70
 000186 00017388 13.525252  +8.37261  -81.49882  -0.429  126.41  1.2461  290.40  266.64
 000187 00017408 13.526144  +8.36729  -81.49710  -0.478  118.49  1.2423  291.85  266.77
 000188 00017428 13.527034  +8.36214  -81.49538  -0.495  126.96  1.1378  289.97  267.30
 000189 00017448 13.527923  +8.35510  -81.49315  -0.335  96.790  1.0372  292.25  268.84
 000190 00017468 13.528814  +8.34978  -81.49161  -0.484  107.68  1.0062  291.13  268.80
 000191 00017488 13.529703  +8.34463  -81.48989  -0.495  118.28  1.0604  292.00  269.28
 000192 00017508 13.530595  +8.33965  -81.48817  -0.390  101.89  1.0333  292.54  270.15
 000193 00017528 13.531484  +8.33433  -81.48663  -0.385  116.01  1.0681  289.24  268.46
 000194 00017548 13.532372  +8.32747  -81.48440  -0.533  101.82  1.0797  292.24  269.46
 000195 00017568 13.533264  +8.32214  -81.48268  -0.544  94.999  1.0681  291.68  269.74
 000196 00017588 13.534153  +8.31699  -81.48096  -0.401  102.44  1.0604  292.82  269.63
 000197 00017608 13.535042  +8.31167  -81.47925  -0.451  104.09  1.0488  294.04  269.98
 000198 00017628 13.535933  +8.30652  -81.47753  -0.495  105.95  1.0836  292.27  269.67
 000199 00017648 13.536822  +8.29948  -81.47530  -0.374  101.75  1.0565  294.45  269.53
 000200 00017668 13.537714  +8.29416  -81.47358  -0.528  99.133  1.0488  294.43  269.14
 000201 00017688 13.538603  +8.28901  -81.47186  -0.462  110.78  1.1803  291.72  268.70
 000202 00017708 13.539492  +8.28369  -81.47032  -0.561  100.92  1.1339  290.52  268.22
 000203 00017728 13.540383  +8.27837  -81.46861  -0.484  101.06  1.1571  292.84  268.65
 000204 00017748 13.541272  +8.27133  -81.46620  -0.484  97.066  1.1416  293.91  269.13
 000205 00017768 13.542161  +8.26601  -81.46465  -0.578  86.870  1.1223  295.33  270.57
 000206 00017788 13.543053  +8.26052  -81.46277  -0.341  98.168  1.1184  294.75  268.92
 000207 00017808 13.543941  +8.25537  -81.46105  -0.495  86.664  1.1184  295.32  270.30
 000208 00017828 13.544830  +8.25005  -81.45950  -0.478  111.88  1.1339  292.85  268.35
 000209 00017848 13.545722  +8.24318  -81.45728  -0.390  106.23  1.0720  292.28  268.68
 000210 00017868 13.546611  +8.23786  -81.45556  -0.396  83.632  1.0875  292.85  269.69
 000211 00017888 13.547503  +8.23271  -81.45384  -0.533  100.30  1.0952  292.11  268.87
 000212 00017908 13.548391  +8.22739  -81.45213  -0.385  106.78  1.0294  290.37  268.86
 000213 00017928 13.549280  +8.22206  -81.45041  -0.484  113.19  1.0526  290.44  269.12
 000214 00017948 13.550172  +8.21503  -81.44817  -0.445  121.25  1.0101  291.15  269.61
 000215 00017968 13.551061  +8.20971  -81.44646  -0.561  114.15 0.92493  290.64  269.80
 000216 00017988 13.551952  +8.20421  -81.44474  -0.484  97.342 0.92880  292.45  270.67
 000217 00018008 13.552842  +8.19906  -81.44302  -0.374  70.268 0.85914  293.14  272.93
 000218 00018028 13.553731  +8.19374  -81.44131  -0.396  62.208 0.80109  295.18  274.44
 000219 00018048 13.554623  +8.18670  -81.43908  -0.462  67.168 0.82044  295.14  274.75
 000220 00018068 13.555511  +8.18172  -81.43736  -0.550  73.299 0.78948  294.07  273.23
 000221 00018088 13.556400  +8.17640  -81.43581  -0.401  47.190 0.75465  295.74  278.51
 000222 00018108 13.557292  +8.17108  -81.43410  -0.473  46.294 0.76239  296.38  277.65
 000223 00018128 13.558181  +8.16593  -81.43238  -0.330  45.950 0.73917  295.71  277.42
 000224 00018148 13.559070  +8.15889  -81.43015  -0.511  36.856 0.67725  296.85  281.45
 000225 00018168 13.559961  +8.15357  -81.42844  -0.500  32.929 0.63081  296.11  284.06
 000226 00018188 13.560850  +8.14825  -81.42672  -0.451  36.925 0.63081  296.34  283.80
 000227 00018208 13.561742  +8.14276  -81.42500  -0.473  26.592 0.58050  295.60  286.80
 000228 00018228 13.562631  +8.13572  -81.42260  -0.352  28.934 0.53019  293.80  288.25
 000229 00018248 13.563519  +8.13040  -81.42088  -0.561  20.185 0.56502  294.82  288.37
 000230 00018268 13.564411  +8.12542  -81.41933  -0.434  19.840 0.59211  294.04  288.68
 000231 00018288 13.565300  +8.12010  -81.41762  -0.363  21.287 0.65403  294.89  287.61
 000232 00018308 13.566189  +8.11478  -81.41590  -0.533  32.861 0.71595  295.40  283.81
 000233 00018328 13.567080  +8.10774  -81.41367  -0.528  45.054 0.77400  298.89  280.33
 000234 00018348 13.567969  +8.10242  -81.41196  -0.335  50.910 0.70434  299.31  278.92
 000235 00018368 13.568858  +8.09710  -81.41024  -0.539  54.561 0.70821  298.94  278.46
 000236 00018388 13.569750  +8.09177  -81.40852  -0.374  69.097 0.61533  298.88  278.30
 000237 00018408 13.570639  +8.08628  -81.40681  -0.511  65.928 0.58050  298.11  278.75
 000238 00018428 13.571530  +8.07924  -81.40457  -0.390  66.272 0.58050  298.04  279.71
 000239 00018448 13.572419  +8.07392  -81.40285  -0.522  64.963 0.54180  299.03  280.15
 000240 00018468 13.573308  +8.06894  -81.40114  -0.380  70.268 0.62307  299.67  279.35
 000241 00018488 13.574200  +8.06362  -81.39942  -0.473  72.128 0.62307  298.93  278.26
 000242 00018508 13.575089  +8.05830  -81.39771  -0.423  74.539 0.99846  295.94  273.49
 000243 00018528 13.575977  +8.05126  -81.39548  -0.429  73.575 0.65016  298.81  278.05
 000244 00018548 13.576869  +8.04577  -81.39376  -0.440  65.445 0.61533  298.81  279.44
 000245 00018568 13.577759  +8.04045  -81.39204  -0.440  58.074 0.59211  299.13  282.10
 000246 00018588 13.578650  +8.03513  -81.39033  -0.445  54.423 0.54567  299.59  282.14
 000247 00018608 13.579539  +8.02980  -81.38861  -0.473  45.743 0.51858  299.61  285.68
 000248 00018628 13.580428  +8.02277  -81.38638  -0.418  48.499 0.49923  300.18  284.03
 000249 00018648 13.581320  +8.01744  -81.38466  -0.418  49.256 0.48762  301.13  283.81
 000250 00018668 13.582209  +8.01212  -81.38294  -0.495  49.256 0.50697  301.60  283.19
 000251 00018688 13.583097  +8.00697  -81.38123  -0.495  35.892 0.53019  299.39  285.90
 000252 00018708 13.583989  +8.00165  -81.37951  -0.506  20.460 0.43344  296.02  289.21
 000253 00018728 13.584878  +7.99461  -81.37728  -0.418  20.667 0.46440  296.45  288.57
 000254 00018748 13.585767  +7.98929  -81.37556  -0.445  22.183 0.45279  296.36  288.87
 000255 00018768 13.586658  +7.98397  -81.37385  -0.396  25.283 0.46440  296.70  287.79
 000256 00018788 13.587547  +7.97865  -81.37213  -0.423  22.458 0.48375  295.49  288.40
 000257 00018808 13.588439  +7.97333  -81.37041  -0.500  28.176 0.75852  295.08  284.70
 000258 00018828 13.589328  +7.96629  -81.36818  -0.390  26.660 0.45666  294.21  287.01
 000259 00018848 13.590217  +7.96097  -81.36646  -0.440  28.589 0.40635  295.87  288.53
