NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/22/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:  23.810 to 24.250 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 333
Relative Std Dev Filter Aerosol[%]: 0.5
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
23.90847  33.87385 138.07587   4.713  567.27  0.0448  0.1092  0.4407  0.0457   0.4622
23.90722  33.87232 138.06845   4.741  565.31  0.0428  0.1089  0.4366  0.0431   0.4444
23.90639  33.87128 138.06351   4.758  564.05  0.0407  0.1086  0.4319  0.0428   0.4326
23.90556  33.87024 138.05856   4.775  562.86  0.0401  0.1085  0.4262  0.0435   0.4222
23.90472  33.86920 138.05360   4.792  561.66  0.0412  0.1087  0.4198  0.0457   0.4128
23.90389  33.86815 138.04864   4.808  560.45  0.0395  0.1084  0.4127  0.0438   0.4046
23.90264  33.86658 138.04118   4.833  558.72  0.0411  0.1087  0.4011  0.0459   0.3869
23.90139  33.86501 138.03371   4.860  556.73  0.0355  0.1078  0.3861  0.0362   0.3770
23.90056  33.86398 138.02872   4.878  555.48  0.0361  0.1079  0.3753  0.0384   0.3736
23.89972  33.86296 138.02371   4.897  554.17  0.0362  0.1079  0.3632  0.0352   0.3719
23.89889  33.86195 138.01871   4.916  552.78  0.0346  0.1077  0.3510  0.0334   0.3704
23.89806  33.86097 138.01369   4.934  551.48  0.0349  0.1077  0.3396  0.0357   0.3690
23.89722  33.86000 138.00865   4.953  550.12  0.0340  0.1076  0.3287  0.0346   0.3697
23.89639  33.85908 138.00360   4.970  548.98  0.0388  0.1083  0.3188  0.0409   0.3707
23.89556  33.85818 137.99852   4.988  547.65  0.0367  0.1080  0.3086  0.0377   0.3684
23.89472  33.85730 137.99342   5.007  546.34  0.0324  0.1073  0.2971  0.0334   0.3608
23.89389  33.85643 137.98833   5.026  544.99  0.0313  0.1071  0.2834  0.0309   0.3470
23.89264  33.85512 137.98067   5.054  543.01  0.0299  0.1069  0.2599  0.0294   0.3144
23.89139  33.85382 137.97301   5.084  541.01  0.0303  0.1070  0.2336  0.0291   0.2754
23.89056  33.85295 137.96788   5.103  539.63  0.0286  0.1067  0.2153  0.0276   0.2500
23.88972  33.85209 137.96275   5.122  538.28  0.0279  0.1066  0.1975  0.0280   0.2287
23.88889  33.85122 137.95763   5.141  536.88  0.0287  0.1067  0.1801  0.0283   0.2129
23.88806  33.85035 137.95250   5.160  535.59  0.0285  0.1067  0.1640  0.0283   0.2014
