Dataset:              EMAP Lakes Bird Names
File Name:            brdnam
Date Created:         03/13/97
# Variables:          9
# Header Records:     19
# Data Records:       217
Missing Value Symbol: .

Variables:    AOU              Amer. Ornith. Union code
              DIET             Dietary guild
              FEED             Foraging guild
              NAME_COM         common name
              NEOTROP          Neotrophic Migr. (NE) or Resident (RE)
              ORDER            Taxonomic Order
              SCIENTIF         Genus and species
              SPECIES          EMAP code for bird species
              TOLER            Tolerant (TO) or intolerant (IN)

"AOU","DIET","FEED","NAME_COM","NEOTROP","ORDER","SCIENTIF","SPECIES","TOLER" 
3091,"OM","GG","Ring-necked Pheasant","RE","Galliformes","Phasianus colchicus","RNPH","IN" 
3131,"SE","GG","Rock Dove","RE","Columbiformes","Columba livia","RODO","IN" 
3390,"SM","LP","Red-shouldered Hawk","RE","Falconiformes","Buteo lineatus","RSHA","IN" 
5870,"IN","GG","Rufous-sided Towhee","RE","Passeriformes","Pipilo erythrophthalmus","RSTO","IN" 
3370,"SM","HI","Red-tailed Hawk","RE","Falconiformes","Buteo jamaicensis","RTHA","IN" 
4280,"NE","HG","Ruby-throated Hummingbird","NE","Apodiformes","Archilochus colubris","RTHU","IN" 
5090,"IN","GG","Rusty Blackbird","RE","Passeriformes","Euphagus carolinus","RUBB","IN" 
3000,"OM","FG","Ruffed Grouse","RE","Galliformes","Bonasa umbellus","RUGR","IN" 
4980,"IN","GG","Red-winged Blackbird","RE","Passeriformes","Agelaius phoeniceus","RWBB","IN" 
5420,"IN","GG","Savannah Sparrow","RE","Passeriformes","Passerculus sandwichensis","SASP","IN" 
6080,"IN","HG","Scarlet Tanager","NE","Passeriformes","Piranga olivacea","SCTA","IN" 
1970,"AI","SS","Snowy Egret","RE","Ciconiiformes","Egretta thula","SNEG","IN" 
2140,"SE","GG","Sora","RE","Gruiformes","Porzana carolina","SORA","IN" 
5810,"IN","GG","Song Sparrow","RE","Passeriformes","Melospiza melodia","SOSP","IN" 
6290,"IN","FG","Solitary Vireo","NE","Passeriformes","Vireo solitarius","SOVI","IN" 
2630,"IN","GG","Spotted Sandpiper","RE","Charadriiformes","Actitis macularia","SPSA","IN" 
3320,"BI","AP","Sharp-shinned Hawk","RE","Falconiformes","Accipiter striatus","SSHA","IN" 
6100,"IN","FG","Summer Tanager","NE","Passeriformes","Piranga rubra","SUTA","IN" 
5840,"IN","GG","Swamp Sparrow","RE","Passeriformes","Melospiza georgiana","SWSP","IN" 
7580,"IN","FG","Swainson's Thrush","NE","Passeriformes","Catharus ustulatus","SWTH","IN" 
6470,"IN","FG","Tennessee Warbler","NE","Passeriformes","Vermivora peregrina","TEWA","IN" 
6140,"IN","AF","Tree Swallow","RE","Passeriformes","Tachycineta bicolor","TRSW","IN" 
1800,"GR","SD","Tundra Swan","RE","Anseriformes","Cygnus columbianus","TUSW","IN" 
7310,"IN","FG","Tufted Titmouse","RE","Passeriformes","Parus bicolor","TUTI","IN" 
3250,"CA","HP","Turkey Vulture","RE","Falconiformes","Cathartes aura","TUVU","TO" 
.," "," ","Unspecified blackbird species"," "," "," ","UNBB"," " 
.," "," ","Black Duck/Mallard"," "," "," ","UNBM"," " 
.," "," ","Unspecified call note"," "," "," ","UNCA"," " 
.," "," ","Unspecified chip note"," "," "," ","UNCH"," " 
.," "," ","Unspecified cuckoo species"," "," "," ","UNCU"," " 
.," "," ","Junco/Chipping Sparrow"," "," "," ","UNDC"," " 
.," "," ","Uspecified woodpecker drumming"," "," "," ","UNDR"," " 
.," "," ","Unspecified duck species"," "," "," ","UNDU"," " 
.," "," ","Unspecified finch species"," "," "," ","UNFI"," " 
