Begin Header
	version	6.0.0
	Date	Sat Oct 02 01:22:16 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_4_Cy3_12935517.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2141
			# of Poor Spots: 95
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	2	13	ORF00291	0	9938.7607	933.5077	10016.0	849.5	10135.4404	646.3051	96.0	388.0	954121.0	362201.0	3055.1354	500.7053	0.8727	0.0	96.0	0.0	1.0	0.0	440.0	182.0	10.0	0.6241	0.3518	-0.5154	439.6481	182.5154	440.0	181.5937	0.9865	0.3518	-0.9217	10.5131	11.7331		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	14	ORF00248	0	9836.4218	918.1596	10155.5	876.5	10846.9628	533.2293	102.0	382.0	1003315.0	350737.0	4011.3359	388.6045	0.658	0.0	102.0	0.0	1.0	0.0	461.5	182.5	11.0	1.109	0.9725	0.533	460.5274	181.9669	461.2843	181.8431	0.7669	0.7568	-0.1237	10.975	12.074		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	15	ORF00209	0	8207.1806	910.3141	7979.5	798.0	8080.4545	797.564	94.0	347.0	771475.0	315879.0	2840.5876	576.6137	0.8392	0.0	94.0	0.0	1.0	0.0	482.5	181.5	11.0	0.9695	0.9657	0.0849	481.5342	181.415	482.0957	181.6595	0.6124	0.5615	0.2445	10.4177	11.5909		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	16	ORF00166	0	8014.6328	972.5164	8045.5	819.5	8806.04	771.9934	98.0	364.0	785434.0	353996.0	2784.3684	703.8815	0.8672	0.0	98.0	0.0	1.0	0.0	503.5	180.5	11.0	0.7529	0.6637	-0.3554	502.8362	180.8554	503.0918	180.9081	0.2609	0.2556	0.0527	10.7602	11.7074		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	17	ORF00287	0	8509.6445	978.6132	8344.0	881.0	8423.7275	740.1887	90.0	393.0	765868.0	384595.0	2646.4287	560.2338	0.8035	1.0	91.0	16346.0	1.0	0.0	524.0	180.0	10.0	0.6334	0.5502	-0.3139	523.4497	180.3139	523.9444	179.8222	0.6974	0.4946	-0.4916	10.1688	11.4171		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	18	ORF00246	0	8056.2998	994.8676	7975.0	894.0	8147.4052	592.0151	90.0	393.0	725067.0	390983.0	2543.8686	479.309	0.8035	0.0	90.0	0.0	1.0	0.0	544.5	179.5	11.0	0.492	0.4102	-0.2716	544.0897	179.7716	544.9	179.3333	0.9212	0.8103	-0.4383	10.5018	11.0652		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	1	ORF01523	0	4486.5849	975.6983	4320.0	869.5	4671.85	623.4948	94.0	368.0	421739.0	359057.0	1415.8137	496.6819	0.8468	0.0	94.0	0.0	0.9642	0.0	187.5	209.5	11.0	1.4203	-1.3575	-0.4176	188.8575	209.9176	188.0106	209.234	1.0883	-0.8469	-0.6835	10.474	11.6618		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	2	ORF01481	0	5223.163	1014.754	5191.0	895.0	5194.2607	783.0769	92.0	370.0	480531.0	375459.0	1435.4316	657.9979	0.7931	0.0	92.0	0.0	1.0	0.0	208.5	208.5	11.0	0.9321	0.2144	-0.9071	208.2855	209.4071	208.7065	208.7065	0.8173	0.4209	-0.7006	10.6169	11.2314		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	3	ORF01597	0	5702.6127	1005.1824	5412.0	912.0	5443.6943	780.3639	93.0	389.0	530343.0	391016.0	2287.5439	509.7449	0.8157	2.0	95.0	11293.5	1.0	0.0	229.5	208.5	11.0	0.7949	-0.7227	-0.3308	230.2227	208.8308	229.8494	208.4946	0.5024	-0.3733	-0.3362	10.544	11.4378		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	3	4	ORF01561	0	5261.9711	1082.7678	4955.0	997.0	4988.8212	763.513	105.0	379.0	552507.0	410369.0	1976.0461	491.0572	0.9292	0.0	105.0	0.0	1.0	0.0	251.0	208.0	12.0	0.5861	-0.5195	-0.2713	251.5195	208.2713	250.9904	208.1047	0.5546	-0.529	-0.1666	11.4149	11.8352		0	0	0	0	0	0	0	0	0	0	0	0
