23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 57294  553.84   0.037
 57295  553.45   0.038
 57296  553.07   0.039
 57297  552.69   0.040
 57298  552.30   0.041
 57299  551.91   0.044
 57300  551.52   0.044
 57301  551.13   0.045
 57302  550.74   0.047
 57303  550.35   0.048
 57304  549.95   0.046
 57305  549.56   0.048
 57306  549.17   0.048
 57307  548.78   0.048
 57308  548.39   0.048
 57309  547.98   0.049
 57310  547.57   0.048
 57311  547.16   0.049
 57312  546.75   0.049
 57313  546.34   0.050
 57314  545.93   0.050
 57315  545.52   0.050
 57316  545.11   0.049
 57317  544.70   0.049
 57318  544.28   0.049
 57319  543.89   0.049
 57320  543.50   0.049
 57321  543.09   0.048
 57322  542.70   0.048
 57323  542.29   0.048
 57324  541.89   0.048
 57325  541.50   0.049
 57326  541.09   0.049
 57327  540.70   0.049
 57328  540.28   0.049
 57329  539.86   0.050
 57330  539.42   0.049
 57331  538.98   0.049
 57332  538.54   0.049
 57333  538.10   0.050
 57334  537.66   0.049
 57335  537.22   0.050
 57336  536.78   0.050
 57337  536.34   0.050
 57338  535.90   0.050
 57339  535.48   0.050
 57340  535.06   0.049
 57341  534.63   0.049
 57342  534.21   0.048
 57343  533.78   0.049
 57344  533.36   0.049
 57345  532.93   0.049
 57346  532.51   0.049
 57347  532.08   0.050
 57348  531.65   0.050
 57349  531.28   0.049
 57350  530.90   0.049
 57351  530.53   0.049
 57352  530.15   0.049
 57353  529.78   0.050
 57354  529.40   0.049
 57355  529.02   0.050
 57356  528.65   0.051
 57357  528.27   0.049
 57358  527.90   0.049
 57359  527.45   0.049
 57360  527.00   0.049
 57361  526.55   0.048
 57362  526.10   0.049
 57363  525.66   0.049
 57364  525.21   0.049
 57365  524.76   0.049
 57366  524.31   0.049
 57367  523.86   0.048
 57368  523.41   0.048
 57369  523.02   0.048
 57370  522.62   0.048
 57371  522.22   0.047
 57372  521.82   0.047
 57373  521.42   0.047
 57374  521.02   0.046
 57375  520.62   0.047
 57376  520.22   0.047
 57377  519.82   0.047
 57378  519.41   0.048
 57379  519.00   0.048
 57380  518.58   0.048
 57381  518.16   0.048
 57382  517.75   0.048
 57383  517.33   0.047
 57384  516.91   0.047
 57385  516.50   0.046
 57386  516.08   0.047
 57387  515.66   0.046
 57388  515.23   0.047
 57389  514.79   0.043
 57390  514.34   0.044
 57391  513.89   0.044
 57392  513.44   0.042
 57393  512.99   0.045
 57394  512.54   0.045
 57395  512.09   0.045
 57396  511.64   0.047
 57397  511.19   0.047
 57398  510.73   0.048
 57399  510.38   0.046
 57400  510.02   0.047
 57401  509.67   0.048
 57402  509.32   0.047
 57403  508.96   0.047
 57404  508.60   0.048
 57405  508.25   0.048
 57406  507.89   0.048
 57407  507.54   0.048
 57408  507.19   0.048
 57409  506.72   0.048
 57410  506.25   0.048
 57411  505.78   0.046
 57412  505.31   0.047
 57413  504.84   0.047
 57414  504.37   0.047
 57415  503.90   0.047
 57416  503.43   0.048
 57417  502.96   0.047
 57418  502.50   0.048
 57419  502.11   0.048
 57420  501.73   0.048
 57421  501.35   0.049
