UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,7,2006,29,3803587,1893425,1910162,1513912,1467782,218382,273129,21807,20930,107298,114215,4939,4524,27087,29582,1536594,1492376,227105,283729,31777,31300,118977,126868,8529,8388,1463792,1548919,1112642,1134277,205234,258640,14739,15479,104915,111858,3608,3481,22654,25184,1131425,1155076,211937,267118,22857,24071,115434,123274,6739,6825,429633,361243,401270,333505,13148,14489,7068,5451,2383,2357,1331,1043,4433,4398,405169,337300,15168,16611,8920,7229,3543,3594,1790,1563
N,7,2006,30,3715964,1849081,1866883,1475041,1430635,209649,263639,20948,19986,112949,119964,4758,4454,25736,28205,1496473,1453918,217789,273483,30482,30066,124106,132090,8255,8177,1423927,1506531,1077224,1097413,196983,249433,14051,14773,110675,117591,3424,3412,21570,23909,1094981,1117002,203210,257322,21885,23110,120785,128526,6443,6598,425154,360352,397817,333222,12666,14206,6897,5213,2274,2373,1334,1042,4166,4296,401492,336916,14579,16161,8597,6956,3321,3564,1812,1579
N,7,2006,31,3830168,1904439,1925729,1518486,1475654,214731,269860,20422,19759,120817,128342,4697,4308,25286,27806,1539396,1498695,222728,279434,29795,29553,131788,140378,8078,7955,1481641,1564423,1122447,1141180,202251,255531,13833,14722,118548,126036,3415,3354,21147,23600,1139737,1160561,208298,263077,21505,22871,128515,136981,6378,6551,422798,361306,396039,334474,12480,14329,6589,5037,2269,2306,1282,954,4139,4206,399659,338134,14430,16357,8290,6682,3273,3397,1700,1404
N,7,2006,32,3719106,1843100,1876006,1466446,1435827,206629,261671,19831,19351,121743,128500,4367,4140,24084,26517,1486368,1457816,214026,270607,28775,28970,132501,140042,7602,7525,1441374,1526190,1090024,1111769,194677,247957,13627,14416,119512,126259,3228,3227,20306,22562,1106582,1130280,200280,255031,21030,22417,129327,136821,6073,6150,401726,349816,376422,324058,11952,13714,6204,4935,2231,2241,1139,913,3778,3955,379786,327536,13746,15576,7745,6553,3174,3221,1529,1375
N,7,2006,33,3810550,1882594,1927956,1493502,1473128,215755,272489,20102,19597,124768,132284,4382,4118,24085,26340,1513352,1494813,223040,281495,29297,29357,135344,143712,7610,7395,1485101,1577578,1121222,1148845,203828,258487,13889,14673,122545,130009,3256,3215,20361,22349,1137745,1167050,209387,265528,21533,22884,132268,140376,6101,6046,397493,350378,372280,324283,11927,14002,6213,4924,2223,2275,1126,903,3724,3991,375607,327763,13653,15967,7764,6473,3076,3336,1509,1349
N,7,2006,34,3994842,1973787,2021055,1576395,1554828,223210,282537,20059,20038,125504,132945,4194,4146,24425,26561,1596500,1576652,230443,291272,29563,29955,136250,144558,7488,7639,1582980,1673405,1210217,1233271,211464,268528,14109,15106,123339,130648,3139,3215,20712,22637,1227023,1251672,216948,275407,22106,23475,133211,141210,6068,6275,390807,347650,366178,321557,11746,14009,5950,4932,2165,2297,1055,931,3713,3924,369477,324980,13495,15865,7457,6480,3039,3348,1420,1364
N,7,2006,35,4220458,2078749,2141709,1672766,1663116,232597,296348,20731,20718,123195,130276,4279,4224,25181,27027,1693525,1685406,240074,305256,30843,31106,134057,141725,7621,7814,1694486,1795010,1313539,1342906,220656,282073,14768,15775,120974,127948,3229,3246,21320,23062,1330909,1361728,226332,289084,23250,24649,130908,138318,6150,6401,384263,346699,359227,320210,11941,14275,5963,4943,2221,2328,1050,978,3861,3965,362616,323678,13742,16172,7593,6457,3149,3407,1471,1413
N,7,2006,36,4305237,2132457,2172780,1720900,1692923,237418,296691,20461,20588,124711,131456,4383,4272,24584,26850,1741128,1714901,244678,305354,30299,31391,135199,142693,7803,7853,1743778,1829382,1357788,1375869,225049,282479,14361,15631,122437,129158,3327,3356,20816,22889,1374682,1394413,230524,289336,22694,24779,132014,139344,6362,6453,388679,343398,363112,317054,12369,14212,6100,4957,2274,2298,1056,916,3768,3961,366446,320488,14154,16018,7605,6612,3185,3349,1441,1400
N,7,2006,37,4064409,2004588,2059821,1626193,1613680,216462,273939,19604,19493,115901,123668,3920,3954,22508,25087,1644729,1634192,222862,281806,29108,29977,125309,134029,7086,7281,1648165,1739232,1293082,1317513,205239,261005,13985,14708,113908,121479,3006,3135,18945,21392,1308458,1334854,209931,267135,22039,23653,122461,130864,5812,6077,356423,320589,333111,296167,11223,12934,5619,4785,1993,2189,914,819,3563,3695,336271,299338,12931,14671,7069,6324,2848,3165,1274,1204
N,7,2006,38,3991813,1965264,2026549,1591735,1584809,218485,276560,19097,19252,110625,118815,3786,3864,21536,23249,1609463,1603722,224499,283808,28331,29161,119514,128240,6836,7075,1616140,1712042,1265572,1294149,207288,263765,13643,14685,108665,116650,2864,3058,18108,19735,1280237,1310016,211664,269315,21479,23199,116780,125184,5586,5880,349124,314507,326163,290660,11197,12795,5454,4567,1960,2165,922,806,3428,3514,329226,293706,12835,14493,6852,5962,2734,3056,1250,1195
N,7,2006,39,4006472,1967752,2038720,1603240,1605427,217889,276675,19051,19633,103076,110219,3722,3879,20774,22887,1620256,1624009,223601,283747,28273,29696,111583,119329,6610,7018,1634515,1734363,1291965,1324329,207226,264269,13696,15026,101229,108228,2868,3055,17531,19456,1306130,1339986,211404,269652,21576,23708,108970,116471,5401,5815,333237,304357,311275,281098,10663,12406,5355,4607,1847,1991,854,824,3243,3431,314126,284023,12197,14095,6697,5988,2613,2858,1209,1203
N,7,2006,40,4129208,2033055,2096153,1650258,1647254,233368,290053,19745,20303,104526,111058,3866,3831,21292,23654,1667586,1666429,239224,297268,29312,30915,113151,120291,6892,7118,1697426,1792387,1337124,1367031,222301,277488,14363,15625,102673,109124,2966,3020,17999,20099,1351556,1383122,226583,282972,22596,24808,110531,117448,5635,5923,335629,303766,313134,280223,11067,12565,5382,4678,1853,1934,900,811,3293,3555,316030,283307,12641,14296,6716,6107,2620,2843,1257,1195
N,7,2006,41,4423508,2181693,2241815,1775253,1768949,251765,309184,20950,21531,107595,113661,3964,4032,22166,24458,1793368,1788690,257569,316235,31240,32939,116416,123129,7103,7545,1843575,1933942,1459747,1484472,240778,296778,15386,16840,105734,111623,3057,3192,18873,21037,1475031,1501266,245059,302273,24219,26853,113814,120181,5853,6271,338118,307873,315506,284477,10987,12406,5564,4691,1861,2038,907,840,3293,3421,318337,287424,12510,13962,7021,6086,2602,2948,1250,1274
N,7,2006,42,4495657,2207182,2288475,1806560,1817665,247977,306947,21006,22185,105349,113025,4004,3949,22286,24704,1824846,1837532,253732,314043,31743,33991,113938,122444,7157,7390,1885629,1989136,1506738,1541191,237290,295012,15683,17408,103576,111021,3198,3184,19144,21320,1522244,1558110,241642,300560,25050,27776,111427,119585,6001,6237,321553,299339,299822,276474,10687,11935,5323,4777,1773,2004,806,765,3142,3384,302602,279422,12090,13483,6693,6215,2511,2859,1156,1153
N,7,2006,43,4486033,2197853,2288180,1802590,1824514,244584,302336,20879,21440,104028,111414,3774,3943,21998,24533,1820520,1844285,250014,309152,31803,33700,112477,120512,6842,7269,1895028,2001518,1520347,1560051,234496,290689,15836,16862,102313,109466,3015,3218,19021,21232,1535689,1576998,238571,296031,25449,27716,110064,117716,5773,6132,302825,286662,282243,264463,10088,11647,5043,4578,1715,1948,759,725,2977,3301,284831,267287,11443,13121,6354,5984,2413,2796,1069,1137
N,7,2006,44,4506843,2212026,2294817,1825074,1842000,244220,299488,20648,21433,96298,103919,3781,3749,22005,24228,1843023,1861593,249572,306037,31801,33809,104634,112850,6831,7075,1918733,2017849,1551493,1586048,234765,288541,15731,17042,94640,102059,3001,3030,19103,21129,1566903,1602973,238850,293725,25554,28027,102275,110183,5735,5972,293293,276968,273581,255952,9455,10947,4917,4391,1658,1860,780,719,2902,3099,276120,258620,10722,12312,6247,5782,2359,2667,1096,1103
